NONETRACED_MEDIAN_SINGLE_VSM_MEDIAN.csv,Associated
0.15455000000000002,YES
0.1189,NO
0.1361,YES
0.09870000000000001,NO
0.062200000000000005,NO
0.12440000000000001,NO
0.14629999999999999,NO
0.11995,NO
0.1298,NO
0.11535,NO
0.07255,NO
0.12210000000000001,NO
0.2091,YES
0.1149,NO
0.15955,YES
0.12065,NO
0.1142,NO
0.10225,NO
0.038700000000000005,NO
0.11255000000000001,NO
0.03795,NO
0.0905,NO
0.13145,NO
0.0936,NO
0.21345,YES
0.20140000000000002,YES
0.1766,YES
0.1707,YES
0.1517,NO
0.12355000000000001,YES
0.10405,NO
0.07575,NO
0.07114999999999999,NO
0.08485,YES
0.2263,YES
0.15375,YES
0.11235,YES
0.09265,NO
0.0421,NO
0.1454,YES
0.1422,NO
0.0891,YES
0.09005,NO
0.1356,NO
0.1734,NO
0.1424,NO
0.0883,NO
0.17405,YES
0.0846,NO
0.17074999999999999,YES
0.09319999999999999,NO
0.16615,YES
0.131,NO
0.14484999999999998,NO
0.1631,NO
0.0819,NO
0.11945,YES
0.11095,NO
0.11655,YES
0.09789999999999999,NO
0.0648,NO
0.14525,NO
0.1163,NO
0.1043,NO
0.14179999999999998,NO
0.1256,NO
0.0925,NO
0.13524999999999998,NO
0.10785,YES
0.13535,NO
0.13705,YES
0.15075,NO
0.1206,NO
0.1205,NO
0.04315,NO
0.1119,NO
0.04165,NO
0.09935,NO
0.1425,NO
0.09025,NO
0.12275,YES
0.0997,YES
0.14684999999999998,YES
0.1941,YES
0.15755,NO
0.13845,YES
0.11754999999999999,NO
0.0728,NO
0.09889999999999999,NO
0.1552,NO
0.12305,NO
0.10775000000000001,NO
0.1807,NO
0.11499999999999999,NO
0.06835,NO
0.1666,NO
0.1793,YES
0.1812,NO
0.1007,YES
0.0858,NO
0.07214999999999999,NO
0.0515,NO
0.11775,NO
0.13945000000000002,NO
0.0988,NO
0.2301,NO
0.0963,NO
0.189,NO
0.24215,YES
0.1956,YES
0.33175,YES
0.13905,YES
0.1599,NO
0.20929999999999999,YES
0.15475,NO
0.09175,NO
0.06625,NO
0.12279999999999999,NO
0.13005,NO
0.12135,NO
0.13565,NO
0.12025,NO
0.07225,NO
0.13845000000000002,NO
0.1889,YES
0.1294,NO
0.11775000000000001,YES
0.13445000000000001,NO
0.12655,NO
0.11804999999999999,NO
0.03775,NO
0.11485,NO
0.037349999999999994,NO
0.09955,NO
0.1258,NO
0.09720000000000001,NO
0.2234,YES
0.19695,YES
0.18075,YES
0.16260000000000002,YES
0.1525,NO
0.14055,YES
0.1135,NO
0.05105,NO
0.0455,NO
0.0698,NO
0.16870000000000002,NO
0.0838,NO
0.0675,NO
0.0494,NO
0.03285,NO
0.09615,NO
0.22324999999999998,YES
0.04925,NO
0.12285,YES
0.11779999999999999,NO
0.1158,NO
0.11249999999999999,NO
0.05095,NO
0.08285,NO
0.0495,NO
0.07095,NO
0.1108,NO
0.0907,NO
0.1789,YES
0.17379999999999998,YES
0.1755,YES
0.07405,YES
0.09075000000000001,NO
0.07314999999999999,YES
0.0717,NO
0.1017,NO
0.0576,NO
0.30145,YES
0.10795,YES
0.11285,YES
0.20465,YES
0.1809,NO
0.08165,NO
0.261,YES
0.064,NO
0.21815,YES
0.07285,NO
0.1375,NO
0.11765,NO
0.0895,NO
0.0634,NO
0.14665,YES
0.0612,NO
0.1814,YES
0.15905,NO
0.123,YES
0.09344999999999999,NO
0.0749,NO
0.19715,NO
0.10880000000000001,NO
0.21844999999999998,YES
0.1679,NO
0.20005,YES
0.12115000000000001,NO
0.1096,NO
0.23585,YES
0.15755000000000002,NO
0.14065,NO
0.28705,YES
0.15165,NO
0.06665,NO
0.37265,YES
0.1106,NO
0.29585,YES
0.1001,NO
0.18830000000000002,NO
0.19224999999999998,NO
0.15125,NO
0.09830000000000001,NO
0.2108,NO
0.08270000000000001,NO
0.2621,NO
0.09375,NO
0.20034999999999997,NO
0.1544,NO
0.1365,NO
0.27985,NO
0.16035,NO
0.2484,YES
0.2509,NO
0.2449,YES
0.0934,NO
0.07515,NO
0.19845000000000002,YES
0.2138,YES
0.19085000000000002,YES
0.2266,YES
0.14725,NO
0.05725,NO
0.28225,YES
0.1468,NO
0.24559999999999998,YES
0.09955,NO
0.1681,NO
0.18365,NO
0.1565,NO
0.04825,NO
0.25239999999999996,YES
0.049100000000000005,NO
0.3024,YES
0.1307,NO
0.21575,YES
0.21465,NO
0.18105,NO
0.2983,NO
0.1811,NO
0.20475,YES
0.2559,NO
0.22735,YES
0.1164,NO
0.1109,NO
0.24130000000000001,YES
0.13215,NO
0.12965,NO
0.28295000000000003,YES
0.1403,NO
0.0923,NO
0.318,YES
0.09375,NO
0.31905,YES
0.0925,NO
0.13624999999999998,NO
0.1192,NO
0.077,NO
0.10245,NO
0.18665,NO
0.09675,NO
0.2504,NO
0.0659,NO
0.20934999999999998,NO
0.1562,NO
0.1307,NO
0.279,NO
0.16835,NO
0.25355,YES
0.26295,NO
0.23955,YES
0.053849999999999995,NO
0.03615,NO
0.0563,YES
0.13385,YES
0.09344999999999999,YES
0.0876,YES
0.06415,NO
0.0167,NO
0.10844999999999999,YES
0.06875,NO
0.0683,YES
0.06905,NO
0.10300000000000001,NO
0.11435000000000001,NO
0.10195,NO
0.059550000000000006,NO
0.1528,YES
0.0582,NO
0.12184999999999999,YES
0.11624999999999999,NO
0.1003,YES
0.036449999999999996,NO
0.0746,NO
0.0915,NO
0.055,NO
0.08695,YES
0.07125000000000001,NO
0.0696,YES
0.17715,YES
0.0472,YES
0.25385,NO
0.10185,NO
0.10875,NO
0.1282,NO
0.1776,YES
0.20325000000000001,YES
0.11885,NO
0.0533,NO
0.1193,NO
0.0572,NO
0.12675,NO
0.1189,NO
0.10475000000000001,NO
0.0628,YES
0.11575,NO
0.1348,YES
0.08149999999999999,NO
0.18314999999999998,YES
0.06695,NO
0.0882,NO
0.08495,NO
0.13175,NO
0.10425000000000001,NO
0.17335,NO
0.12095,NO
0.10469999999999999,NO
0.0708,NO
0.06255,NO
0.21055000000000001,YES
0.1106,YES
0.08679999999999999,YES
0.2352,YES
0.0983,NO
0.04695,NO
0.3781,YES
0.0611,NO
0.26335,YES
0.06265,NO
0.1726,NO
0.12745,NO
0.113,NO
0.05790000000000001,NO
0.13415,YES
0.05449999999999999,NO
0.21125000000000002,YES
0.06035,NO
0.16344999999999998,YES
0.11175,NO
0.0874,NO
0.24525000000000002,NO
0.1195,NO
0.2077,YES
0.2131,NO
0.2728,YES
0.0965,NO
0.0612,NO
0.24875000000000003,YES
0.15030000000000002,YES
0.14984999999999998,YES
0.1746,YES
0.1679,NO
0.0806,NO
0.20415,YES
0.10905,NO
0.2025,YES
0.086,NO
0.14745,NO
0.13235000000000002,NO
0.11985,NO
0.06565,NO
0.1775,YES
0.061649999999999996,NO
0.19535,YES
0.14085,NO
0.1483,YES
0.16920000000000002,NO
0.14255,NO
0.2425,NO
0.14085,NO
0.1899,YES
0.19225,NO
0.17254999999999998,YES
0.1033,NO
0.0896,NO
0.30110000000000003,YES
0.11505,YES
0.14945,YES
0.22775,YES
0.1633,NO
0.10365,NO
0.2279,YES
0.0656,NO
0.2586,YES
0.06965,NO
0.088,NO
0.07925,NO
0.04435,NO
0.1158,NO
0.1628,YES
0.11505,NO
0.2394,YES
0.11915,NO
0.1951,YES
0.1263,NO
0.0978,NO
0.23945,NO
0.13815,NO
0.21655000000000002,YES
0.23895,NO
0.18985000000000002,YES
0.06205,NO
0.0643,NO
0.2028,YES
0.10095,YES
0.0784,YES
0.21575,YES
0.08385000000000001,NO
0.0397,NO
0.36135,YES
0.060200000000000004,NO
0.2472,YES
0.06390000000000001,NO
0.16165,NO
0.09695,NO
0.0854,NO
0.06645,NO
0.12895,YES
0.06495,NO
0.21,YES
0.05035,NO
0.16785,YES
0.10465,NO
0.07694999999999999,NO
0.24465,NO
0.1112,NO
0.2017,YES
0.19445,NO
0.29664999999999997,YES
0.0802,NO
0.07125000000000001,NO
0.0699,YES
0.21989999999999998,YES
0.1583,YES
0.1078,YES
0.08515,NO
0.0378,NO
0.13574999999999998,YES
0.1054,NO
0.0867,YES
0.0829,NO
0.13924999999999998,NO
0.1649,NO
0.13985,NO
0.1002,NO
0.1658,YES
0.10085,NO
0.16065000000000002,YES
0.09625,NO
0.16144999999999998,YES
0.0767,NO
0.10414999999999999,NO
0.1122,NO
0.0763,NO
0.1074,YES
0.0932,NO
0.08745,YES
0.09515,NO
0.07845,NO
0.17235,YES
0.19705,YES
0.2213,YES
0.2037,YES
0.10925,NO
0.056600000000000004,NO
0.20495000000000002,YES
0.1034,NO
0.23185,YES
0.0889,NO
0.10775000000000001,NO
0.096,NO
0.0503,NO
0.107,NO
0.23555,YES
0.10339999999999999,NO
0.3749,YES
0.07100000000000001,NO
0.2974,YES
0.13474999999999998,NO
0.11345,NO
0.2293,NO
0.128,NO
0.1901,YES
0.1896,NO
0.1727,YES
0.06385,NO
0.034,NO
0.10725,NO
0.1293,NO
0.06659999999999999,NO
0.08645,NO
0.08165,NO
0.03435,NO
0.1581,NO
0.07579999999999999,NO
0.08205,NO
0.0707,NO
0.22535,YES
0.1873,YES
0.21794999999999998,YES
0.05455,NO
0.0823,NO
0.0533,NO
0.08085,NO
0.11165,NO
0.0829,NO
0.05685,NO
0.07415,NO
0.1072,NO
0.06395,NO
0.11905,NO
0.06760000000000001,NO
0.1305,NO
0.07275,YES
0.156,YES
0.1617,NO
0.0975,NO
0.05215,NO
0.04725,NO
0.18574999999999997,YES
0.0681,YES
0.0621,NO
0.08515,NO
0.0416,NO
0.1023,NO
0.09445,NO
0.09095,NO
0.0913,NO
0.1629,YES
0.0551,NO
0.09925,YES
0.03705,NO
0.20035,YES
0.06235,NO
0.0732,NO
0.0474,NO
0.0904,NO
0.0639,NO
0.09595,NO
0.0633,NO
0.0638,NO
0.0458,NO
0.035250000000000004,NO
0.11105000000000001,YES
0.16705,YES
0.17174999999999999,YES
0.14379999999999998,YES
0.0753,NO
0.0184,NO
0.17445,YES
0.06615,NO
0.14679999999999999,YES
0.06825,NO
0.1261,NO
0.11660000000000001,NO
0.11914999999999999,NO
0.02585,NO
0.16645,YES
0.0237,NO
0.24080000000000001,YES
0.07755000000000001,NO
0.18230000000000002,YES
0.05495,NO
0.048600000000000004,NO
0.13290000000000002,NO
0.0673,NO
0.1377,YES
0.11255000000000001,NO
0.11595,YES
0.1897,YES
0.0295,YES
0.21134999999999998,NO
0.09615,NO
0.0665,NO
0.091,NO
0.1439,YES
0.2192,YES
0.08715,NO
0.0592,NO
0.08199999999999999,NO
0.06845,NO
0.1022,NO
0.09455,NO
0.08700000000000001,NO
0.06655,YES
0.08075,NO
0.1701,YES
0.05375,NO
0.18855,YES
0.0464,NO
0.05525,NO
0.06525,NO
0.09334999999999999,NO
0.06355,NO
0.13405,NO
0.08225,NO
0.08249999999999999,NO
0.0754,NO
0.04575,NO
0.075,NO
0.1328,NO
0.07345,NO
0.09634999999999999,NO
0.0682,NO
0.050350000000000006,NO
0.12025,NO
0.1139,YES
0.0651,NO
0.1096,YES
0.12810000000000002,NO
0.1468,NO
0.1404,NO
0.0813,NO
0.09809999999999999,NO
0.09175,NO
0.09815,NO
0.1225,NO
0.10835,NO
0.07715,YES
0.08399999999999999,YES
0.10675,YES
0.11175,YES
0.09745000000000001,NO
0.076,YES
0.08325,NO
0.19205,YES
0.036250000000000004,YES
0.16425,NO
0.095,NO
0.0464,NO
0.056499999999999995,NO
0.1051,YES
0.23115000000000002,YES
0.061450000000000005,NO
0.06415,NO
0.04735,NO
0.06775,NO
0.0927,NO
0.09004999999999999,NO
0.08835000000000001,NO
0.07055,YES
0.05545,NO
0.19615,YES
0.04005,NO
0.19225,YES
0.0489,NO
0.04105,NO
0.046,NO
0.0824,NO
0.05065,NO
0.09595,NO
0.058499999999999996,NO
0.05665,NO
0.09,NO
0.0487,NO
0.1042,NO
0.1061,NO
0.07529999999999999,NO
0.10555,NO
0.11425,NO
0.067,NO
0.11525,NO
0.1001,YES
0.0925,NO
0.157,YES
0.13749999999999998,NO
0.13985,NO
0.1278,NO
0.05245,NO
0.0953,NO
0.052199999999999996,NO
0.06945,NO
0.13119999999999998,NO
0.0688,NO
0.07114999999999999,YES
0.0784,YES
0.09355,YES
0.1646,YES
0.1207,NO
0.08835,YES
0.0835,NO
