NONETRACED_RFNONE_RAW_VSM_MEDIAN.csv,Associated
0.06975,NO
0.16125,YES
0.08715,NO
0.13824999999999998,NO
0.1017,NO
0.1217,NO
0.0286,NO
0.1709,YES
0.0278,NO
0.18045,YES
0.07085,NO
0.2425,YES
0.051100000000000007,NO
0.09384999999999999,NO
0.07195,NO
0.0847,NO
0.08575,YES
0.0532,NO
0.07215,YES
0.0922,NO
0.0416,NO
0.11375,NO
0.18409999999999999,NO
0.09885,NO
0.08505,NO
0.09419999999999999,NO
0.06125,NO
0.0729,NO
0.26639999999999997,YES
0.07885,NO
0.2002,YES
0.11435,NO
0.1178,NO
0.08445,NO
0.027000000000000003,NO
0.07845,NO
0.04235,NO
0.08910000000000001,NO
0.10595,NO
0.06965,NO
0.31984999999999997,YES
0.29560000000000003,YES
0.16955,YES
0.2047,YES
0.12129999999999999,NO
0.12265000000000001,YES
0.05895,NO
0.07425000000000001,NO
0.0387,NO
0.08845,YES
0.18735000000000002,YES
0.21155000000000002,YES
0.09655,YES
0.06425,NO
0.0302,NO
0.1134,YES
0.1749,NO
0.118,YES
0.09795000000000001,NO
0.1476,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.13725,YES
0.08549999999999999,NO
0.16115,YES
0.076,NO
0.13275,YES
0.10245,NO
0.1253,NO
0.1214,NO
0.11660000000000001,NO
0.14305,YES
0.0558,NO
0.0813,YES
0.10074999999999999,NO
0.05225,NO
0.15405000000000002,NO
0.095,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.15944999999999998,YES
0.11224999999999999,NO
0.12735,YES
0.15095,NO
0.1168,NO
0.10665000000000001,NO
0.04665,NO
0.0525,NO
0.048,NO
0.060649999999999996,NO
0.1128,NO
0.04945,NO
0.10395,YES
0.17225000000000001,YES
0.11005,YES
0.1754,YES
0.12025,NO
0.09284999999999999,YES
0.07654999999999999,NO
0.04745,NO
0.06695,NO
0.16199999999999998,NO
0.17835,NO
0.0718,NO
0.11395,NO
0.10694999999999999,NO
0.04835,NO
0.1799,NO
0.26139999999999997,YES
0.1372,NO
0.1068,YES
0.06655,NO
0.06675,NO
0.03235,NO
0.11699999999999999,NO
0.08635000000000001,NO
0.10275000000000001,NO
0.16999999999999998,NO
0.08545,NO
0.18095,NO
0.2721,YES
0.25980000000000003,YES
0.28704999999999997,YES
0.09415,YES
0.0965,NO
0.17365,YES
0.0963,NO
0.08195,NO
0.03845,NO
0.10265,NO
0.1621,NO
0.11234999999999999,NO
0.10114999999999999,NO
0.09419999999999999,NO
0.0652,NO
0.10255,NO
0.24395,YES
0.10139999999999999,NO
0.12415000000000001,YES
0.1126,NO
0.10705,NO
0.10035,NO
0.0349,NO
0.08574999999999999,NO
0.07075,NO
0.06535,NO
0.10060000000000001,NO
0.10500000000000001,NO
0.2819,YES
0.2097,YES
0.16494999999999999,YES
0.23875000000000002,YES
0.1153,NO
0.12515,YES
0.12340000000000001,NO
0.03635,NO
0.0357,NO
0.059000000000000004,NO
0.1693,NO
0.07135,NO
0.06275,NO
0.06525,NO
0.0266,NO
0.07105,NO
0.26985,YES
0.04035,NO
0.14235,YES
0.1209,NO
0.13740000000000002,NO
0.10725,NO
0.05745,NO
0.056749999999999995,NO
0.0912,NO
0.04875,NO
0.1601,NO
0.0809,NO
0.24359999999999998,YES
0.19014999999999999,YES
0.242,YES
0.07285,YES
0.07375000000000001,NO
0.1364,YES
0.0545,NO
0.07844999999999999,NO
0.02255,NO
0.29474999999999996,YES
0.07155,YES
0.21635,YES
0.14235,YES
0.13685,NO
0.058249999999999996,NO
0.1883,YES
0.0837,NO
0.17445000000000002,YES
0.05295,NO
0.13655,NO
0.0748,NO
0.0737,NO
0.0601,NO
0.06465,YES
0.048749999999999995,NO
0.12345,YES
0.11645,NO
0.08105,YES
0.14355,NO
0.09,NO
0.19125,NO
0.08,NO
0.17995,YES
0.1558,NO
0.11905,YES
0.11495,NO
0.12735000000000002,NO
0.17975,YES
0.1278,NO
0.08175,NO
0.22794999999999999,YES
0.09135,NO
0.07985,NO
0.31239999999999996,YES
0.0955,NO
0.22405,YES
0.08639999999999999,NO
0.16820000000000002,NO
0.16015,NO
0.1324,NO
0.09050000000000001,NO
0.10949999999999999,NO
0.0699,NO
0.18365,NO
0.07255,NO
0.13685,NO
0.09955,NO
0.0942,NO
0.18835,NO
0.09585,NO
0.1897,YES
0.16795,NO
0.1787,YES
0.0399,NO
0.0182,NO
0.12375,YES
0.1397,YES
0.16160000000000002,YES
0.11565,YES
0.11665,NO
0.0287,NO
0.20495,YES
0.1414,NO
0.1654,YES
0.05475,NO
0.11825,NO
0.12305,NO
0.1024,NO
0.0228,NO
0.08975,YES
0.0221,NO
0.155,YES
0.1212,NO
0.12564999999999998,YES
0.16985,NO
0.11555,NO
0.15175,NO
0.05775,NO
0.1215,YES
0.11295,NO
0.099,YES
0.0818,NO
0.0823,NO
0.20905,YES
0.0931,NO
0.08245,NO
0.20985,YES
0.25405,NO
0.0765,NO
0.32689999999999997,YES
0.0795,NO
0.2615,YES
0.1378,NO
0.1772,NO
0.0921,NO
0.06385,NO
0.08875,NO
0.18530000000000002,NO
0.0827,NO
0.21785000000000002,NO
0.0501,NO
0.13315,NO
0.1109,NO
0.0932,NO
0.19505,NO
0.11800000000000001,NO
0.21600000000000003,YES
0.1792,NO
0.19195,YES
0.10835,NO
0.0092,NO
0.0372,YES
0.09835,YES
0.10255,YES
0.0313,YES
0.03945,NO
0.0049,NO
0.0602,YES
0.0826,NO
0.036699999999999997,YES
0.0497,NO
0.0955,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.0826,YES
0.0307,NO
0.08664999999999999,YES
0.13735,NO
0.1256,YES
0.0075,NO
0.0357,NO
0.0449,NO
0.0175,NO
0.0336,YES
0.0189,NO
0.05185000000000001,YES
0.2012,YES
0.0241,YES
0.2167,NO
0.2124,NO
0.10795,NO
0.0753,NO
0.1197,YES
0.27965,YES
0.11019999999999999,NO
0.0379,NO
0.09585,NO
0.0335,NO
0.12155,NO
0.085,NO
0.0723,NO
0.0872,YES
0.0475,NO
0.14595,YES
0.013000000000000001,NO
0.14925,YES
0.01885,NO
0.061,NO
0.04635,NO
0.06795000000000001,NO
0.05965,NO
0.10885,NO
0.14,NO
0.0498,NO
0.04195,NO
0.1036,NO
0.1534,YES
0.0577,YES
0.0501,YES
0.1583,YES
0.0434,NO
0.11385,NO
0.3378,YES
0.051899999999999995,NO
0.18855,YES
0.03825,NO
0.15710000000000002,NO
0.16835,NO
0.1462,NO
0.042,NO
0.07635,YES
0.06864999999999999,NO
0.16510000000000002,YES
0.04105,NO
0.10345,YES
0.06765,NO
0.0971,NO
0.15615,NO
0.05885,NO
0.1483,YES
0.14105,NO
0.29655,YES
0.0639,NO
0.0287,NO
0.30385,YES
0.1207,YES
0.10035,YES
0.12335,YES
0.1346,NO
0.11825,NO
0.15175,YES
0.1143,NO
0.15610000000000002,YES
0.0544,NO
0.11385,NO
0.08815,NO
0.0922,NO
0.0474,NO
0.076,YES
0.0441,NO
0.22335,YES
0.1034,NO
0.08370000000000001,YES
0.1517,NO
0.1123,NO
0.1552,NO
0.1261,NO
0.23195,YES
0.12205,NO
0.12185,YES
0.0671,NO
0.05495,NO
0.333,YES
0.08615,YES
0.1098,YES
0.16985,YES
0.11349999999999999,NO
0.0911,NO
0.1886,YES
0.0601,NO
0.20505,YES
0.0561,NO
0.07915,NO
0.0781,NO
0.03145,NO
0.1017,NO
0.1041,YES
0.09875,NO
0.2361,YES
0.08865,NO
0.1307,YES
0.1177,NO
0.09505,NO
0.18095,NO
0.09075000000000001,NO
0.1876,YES
0.17295000000000002,NO
0.169,YES
0.045450000000000004,NO
0.0566,NO
0.1997,YES
0.06955,YES
0.03825,YES
0.16704999999999998,YES
0.0382,NO
0.0278,NO
0.34645000000000004,YES
0.05015,NO
0.2702,YES
0.044000000000000004,NO
0.15295,NO
0.06815,NO
0.08985,NO
0.05235,NO
0.05155,YES
0.0508,NO
0.17329999999999998,YES
0.03195,NO
0.11235,YES
0.07385,NO
0.17065,NO
0.15675,NO
0.05475,NO
0.151,YES
0.15845,NO
0.24815,YES
0.05755,NO
0.06025,NO
0.0714,YES
0.23829999999999998,YES
0.13255,YES
0.0821,YES
0.052,NO
0.0277,NO
0.11184999999999999,YES
0.10355,NO
0.08130000000000001,YES
0.0709,NO
0.1294,NO
0.14655,NO
0.12615,NO
0.12490000000000001,NO
0.12329999999999999,YES
0.1174,NO
0.19225,YES
0.0804,NO
0.15764999999999998,YES
0.0653,NO
0.16065000000000002,NO
0.08055,NO
0.0759,NO
0.14600000000000002,YES
0.0643,NO
0.06535,YES
0.06005,NO
0.061500000000000006,NO
0.147,YES
0.19925,YES
0.2062,YES
0.13465,YES
0.04905,NO
0.0396,NO
0.19585000000000002,YES
0.0918,NO
0.15695,YES
0.0671,NO
0.07740000000000001,NO
0.0518,NO
0.0401,NO
0.10625,NO
0.16685,YES
0.0886,NO
0.3114,YES
0.0546,NO
0.2397,YES
0.08385,NO
0.07805000000000001,NO
0.14925,NO
0.0674,NO
0.16395,YES
0.12990000000000002,NO
0.12225,YES
0.0895,NO
0.0197,NO
0.06905,NO
0.11539999999999999,NO
0.0338,NO
0.05785,NO
0.04815,NO
0.02175,NO
0.2096,NO
0.15955,NO
0.04925,NO
0.0526,NO
0.30125,YES
0.2234,YES
0.2569,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0635,NO
0.03315,NO
0.03725,NO
0.13570000000000002,NO
0.03205,NO
0.08425,NO
0.02705,NO
0.13025,NO
0.06695,YES
0.1545,YES
0.1476,NO
0.08265,NO
0.0507,NO
0.09615,NO
0.18949999999999997,YES
0.06245,YES
0.0484,NO
0.08095000000000001,NO
0.02665,NO
0.0892,NO
0.14305,NO
0.0752,NO
0.0781,NO
0.19375,YES
0.03485,NO
0.10575,YES
0.1618,NO
0.27175,YES
0.04885,NO
0.09315000000000001,NO
0.0209,NO
0.0677,NO
0.052399999999999995,NO
0.07035,NO
0.051050000000000005,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.06515,YES
0.1993,YES
0.20895,YES
0.10469999999999999,YES
0.0249,NO
0.00695,NO
0.10994999999999999,YES
0.06045,NO
0.12445,YES
0.0598,NO
0.09885,NO
0.1063,NO
0.10525,NO
0.1052,NO
0.14115,YES
0.0149,NO
0.19180000000000003,YES
0.05695,NO
0.18635000000000002,YES
0.0313,NO
0.02935,NO
0.0614,NO
0.038650000000000004,NO
0.06795,YES
0.045399999999999996,NO
0.07095,YES
0.2129,YES
0.0132,YES
0.17365,NO
0.07775,NO
0.0953,NO
0.0535,NO
0.11800000000000001,YES
0.2892,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.09205,NO
0.07365000000000001,NO
0.066,NO
0.0669,YES
0.0383,NO
0.2721,YES
0.01985,NO
0.17535,YES
0.03435,NO
0.03105,NO
0.038,NO
0.0783,NO
0.0363,NO
0.096,NO
0.0664,NO
0.06565,NO
0.0619,NO
0.03295,NO
0.06455,NO
0.1084,NO
0.04705,NO
0.1063,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.12095,YES
0.09725,NO
0.09815,YES
0.1255,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0879,NO
0.06665,NO
0.1036,NO
0.09095,NO
0.06135,YES
0.0712,YES
0.09905,YES
0.09635,YES
0.0689,NO
0.058499999999999996,YES
0.059500000000000004,NO
0.1806,YES
0.0244,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.08760000000000001,YES
0.28495000000000004,YES
0.04735,NO
0.058949999999999995,NO
0.03725,NO
0.05475,NO
0.08825000000000001,NO
0.0986,NO
0.07315,NO
0.06805,YES
0.0264,NO
0.28454999999999997,YES
0.03145,NO
0.21385,YES
0.051000000000000004,NO
0.03385,NO
0.02285,NO
0.06870000000000001,NO
0.03405,NO
0.07635,NO
0.0452,NO
0.06845,NO
0.08109999999999999,NO
0.03065,NO
0.0842,NO
0.0889,NO
0.056249999999999994,NO
0.08225,NO
0.07645,NO
0.0549,NO
0.10765000000000001,NO
0.15034999999999998,YES
0.08700000000000001,NO
0.1409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.07535,NO
0.053599999999999995,NO
0.0631,NO
0.10075,NO
0.1343,NO
0.0502,NO
0.0736,YES
0.0775,YES
0.06185,YES
0.14155,YES
0.11185,NO
0.05755,YES
0.0726,NO
