LOWERTRACED_RFUNDER_RAW_LSA_MEDIAN.csv,Associated
0.17754999999999999,NO
0.08349999999999999,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.52425,NO
0.02705,NO
0.54525,NO
0.06195,YES
0.1445,YES
0.4326,NO
0.43765,NO
0.3957,NO
0.32615,NO
0.16449999999999998,YES
0.06245,YES
0.3434,NO
0.07595,NO
0.32165,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.15375,YES
0.38484999999999997,NO
0.09075,YES
0.37179999999999996,NO
0.18675,YES
0.39885,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.36534999999999995,NO
0.04105,NO
0.3397,NO
0.0208,NO
0.00655,NO
0.55015,YES
0.4193,YES
0.41895000000000004,YES
0.5547,YES
0.0249,NO
0.00695,NO
0.58995,YES
0.18545,NO
0.55945,YES
0.17980000000000002,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.38115,YES
0.0099,NO
0.45180000000000003,YES
0.05195,NO
0.41635,YES
0.1513,NO
0.14935,NO
0.19140000000000001,NO
0.14865,NO
0.55795,YES
0.1704,NO
0.5459499999999999,YES
0.1729,YES
0.0132,YES
0.43865,NO
0.52775,NO
0.4953,NO
0.3185,NO
0.113,YES
0.2092,YES
0.32055,NO
0.05085,NO
0.3135,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.0569,YES
0.4883,NO
0.1621,YES
0.46485,NO
0.17035,YES
0.46935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.361,NO
0.0564,NO
0.30565000000000003,NO
0.07189999999999999,NO
0.04295,NO
0.54455,NO
0.1284,NO
0.06705,NO
0.5563,NO
0.04985,NO
0.053450000000000004,NO
0.59105,NO
0.44095,YES
0.53725,NO
0.43315000000000003,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0807,NO
0.06915,NO
0.0929,NO
0.08665,NO
0.11359999999999999,NO
0.09595000000000001,NO
0.39635000000000004,YES
0.4012,YES
0.41405000000000003,YES
0.43135,YES
0.5639,NO
0.3835,YES
0.5545,NO
0.1806,YES
0.0244,YES
0.43115,NO
0.4642,NO
0.4175,NO
0.32389999999999997,NO
0.0826,YES
0.22495,YES
0.33735,NO
0.05395,NO
0.32225,NO
0.05475,NO
0.08836693638217598,NO
0.07871693638217597,NO
0.07826693638217598,NO
0.06305,YES
0.4114,NO
0.18955,YES
0.40145000000000003,NO
0.17885,YES
0.41600000000000004,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.36134999999999995,NO
0.0402,NO
0.32844999999999996,NO
0.0711,NO
0.03065,NO
0.5742,NO
0.5589,NO
0.52125,NO
0.57725,NO
0.07645,NO
0.0549,NO
0.58765,NO
0.47535,YES
0.567,NO
0.5259,YES
0.3119,NO
0.30925,NO
0.2988,NO
0.04035,NO
0.5186,NO
0.0431,NO
0.5107499999999999,NO
0.1143,NO
0.5102,NO
0.4336,YES
0.4375,YES
0.44685,YES
0.52155,YES
0.59685,NO
0.44255,YES
0.5526,NO
