LOWERTRACED_RFSMOTE_MULTI_LSA_MEDIAN.csv,Associated
0.0956,NO
0.2,NO
0.4069,YES
0.3797,YES
0.34495,YES
0.33875,YES
0.3503,NO
0.30515,YES
0.2984,NO
0.06135,NO
0.060700000000000004,NO
0.484,NO
0.32930000000000004,NO
0.25634999999999997,NO
0.47275,NO
0.05525,NO
0.0516,NO
0.50105,NO
0.5098499999999999,YES
0.46035,NO
0.40735,YES
0.2009,NO
0.19740000000000002,NO
0.19724999999999998,NO
0.06745000000000001,NO
0.23675,NO
0.06620000000000001,NO
0.23375,NO
0.1101,NO
0.2609,NO
0.4586,YES
0.45514999999999994,YES
0.44699999999999995,YES
0.35285,YES
0.49875,NO
0.3464,YES
0.4795,NO
0.05345,NO
0.02255,NO
0.47975,YES
0.40655,YES
0.39635000000000004,YES
0.36735,YES
0.11185,NO
0.05325,NO
0.3883,YES
0.2587,NO
0.38945,YES
0.26295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.38465000000000005,YES
0.04375,NO
0.45345,YES
0.10645,NO
0.40105,YES
0.27354999999999996,NO
0.25,NO
0.36124999999999996,NO
0.27,NO
0.39495,YES
0.3358,NO
0.32905,YES
0.08995,NO
0.07735,NO
0.47475,YES
0.27780000000000005,NO
0.24675000000000002,NO
0.50295,YES
0.09135,NO
0.05485,NO
0.5673999999999999,YES
0.0955,NO
0.51405,YES
0.0764,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.27949999999999997,NO
0.0699,NO
0.35365,NO
0.07255,NO
0.30185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.4847,YES
0.16795,NO
0.4387,YES
0.2299,NO
0.2082,NO
0.60875,YES
0.3597,YES
0.3316,YES
0.59565,YES
0.25165,NO
0.2137,NO
0.62495,YES
0.13140000000000002,NO
0.6154,YES
0.06975,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.2128,NO
0.30974999999999997,YES
0.2121,NO
0.355,YES
0.2512,NO
0.31565,YES
0.13485,NO
0.12055,NO
0.16175,NO
0.07275000000000001,NO
0.6065,YES
0.11295,NO
0.584,YES
0.0818,NO
0.0823,NO
0.23405,YES
0.0881,NO
0.08245,NO
0.24985000000000002,YES
0.08405,NO
0.0765,NO
0.2769,YES
0.0795,NO
0.2865,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.24100000000000002,YES
0.1792,NO
0.20195000000000002,YES
0.29335,NO
0.2792,NO
0.0922,YES
0.49835,YES
0.46255,YES
0.0913,YES
0.28945000000000004,NO
0.27490000000000003,NO
0.1252,YES
0.1376,NO
0.0867,YES
0.1297,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.30160000000000003,NO
0.48260000000000003,YES
0.3007,NO
0.47665,YES
0.33735000000000004,NO
0.4606,YES
0.0875,NO
0.1157,NO
0.1149,NO
0.0975,NO
0.0986,YES
0.0989,NO
0.09685,YES
0.2112,YES
0.0841,YES
0.3167,NO
0.5374,NO
0.53295,NO
0.21030000000000001,NO
0.1797,YES
0.24465,YES
0.2052,NO
0.4979,NO
0.21085,NO
0.49350000000000005,NO
0.11155000000000001,NO
0.085,NO
0.07730000000000001,NO
0.1022,YES
0.5075000000000001,NO
0.18095,YES
0.47300000000000003,NO
0.20925,YES
0.47885,NO
0.511,NO
0.5063500000000001,NO
0.52295,NO
0.5196500000000001,NO
0.24385,NO
0.535,NO
0.18480000000000002,NO
0.04195,NO
0.0336,NO
0.45840000000000003,YES
0.0577,YES
0.0401,YES
0.4633,YES
0.0434,NO
0.03385,NO
0.5778,YES
0.13190000000000002,NO
0.49355,YES
0.12325,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.05635,YES
0.03865,NO
0.1501,YES
0.04105,NO
0.09845,YES
0.15265,NO
0.1321,NO
0.23615000000000003,NO
0.14385,NO
0.4533,YES
0.21605000000000002,NO
0.48655,YES
0.2939,NO
0.2587,NO
0.50885,YES
0.25070000000000003,YES
0.24035,YES
0.41835,YES
0.3446,NO
0.29325,NO
0.44675,YES
0.20429999999999998,NO
0.4411,YES
0.1644,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.2824,NO
0.21600000000000003,YES
0.2791,NO
0.25335,YES
0.3334,NO
0.2187,YES
0.2167,NO
0.20229999999999998,NO
0.2602,NO
0.1761,NO
0.44694999999999996,YES
0.22705,NO
0.40185,YES
0.0671,NO
0.05495,NO
0.443,YES
0.27115,YES
0.2898,YES
0.34485,YES
0.11349999999999999,NO
0.0811,NO
0.3486,YES
0.5551,NO
0.37505,YES
0.5511,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.2741,YES
0.09875,NO
0.3611,YES
0.08865,NO
0.3157,YES
0.5877,NO
0.56505,NO
0.6809499999999999,NO
0.58575,NO
0.3526,YES
0.66295,NO
0.309,YES
0.03545,NO
0.0366,NO
0.2047,YES
0.47955,YES
0.45825,YES
0.19705,YES
0.0332,NO
0.0278,NO
0.31145,YES
0.55015,NO
0.23020000000000002,YES
0.544,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.47655,YES
0.0508,NO
0.5783,YES
0.03195,NO
0.53235,YES
0.56385,NO
0.54065,NO
0.65675,NO
0.55475,NO
0.201,YES
0.6184499999999999,NO
0.26315,YES
0.06255,NO
0.050249999999999996,NO
0.2864,YES
0.20329999999999998,YES
0.15755,YES
0.3121,YES
0.052,NO
0.0327,NO
0.33685,YES
0.29355,NO
0.2913,YES
0.2659,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.08990000000000001,NO
0.1383,YES
0.0874,NO
0.16225,YES
0.0804,NO
0.15764999999999998,YES
0.2553,NO
0.27565,NO
0.27555,NO
0.2459,NO
0.311,YES
0.2543,NO
0.29535,YES
0.13505,NO
0.1265,NO
0.242,YES
0.46925,YES
0.48619999999999997,YES
0.24464999999999998,YES
0.12405,NO
0.11460000000000001,NO
0.26085,YES
0.1068,NO
0.26695,YES
0.0821,NO
0.07740000000000001,NO
0.056799999999999996,NO
0.0401,NO
0.16625,NO
0.45185,YES
0.1636,NO
0.5913999999999999,YES
0.1196,NO
0.5347,YES
0.09885,NO
0.08805,NO
0.16425,NO
0.0824,NO
0.23895,YES
0.12990000000000002,NO
0.23225,YES
0.059500000000000004,NO
0.034699999999999995,NO
0.13905,NO
0.4704,NO
0.3988,NO
0.11785000000000001,NO
0.06315,NO
0.03675,NO
0.1996,NO
0.06455,NO
0.10925000000000001,NO
0.0526,NO
0.42125,YES
0.37839999999999996,YES
0.4069,YES
0.0533,NO
0.40054999999999996,NO
0.054849999999999996,NO
0.39155,NO
0.09255,NO
0.40349999999999997,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.15425,NO
0.02705,NO
0.17525000000000002,NO
0.06195,YES
0.1445,YES
0.2576,NO
0.10765,NO
0.06570000000000001,NO
0.15115,NO
0.16449999999999998,YES
0.06245,YES
0.1684,NO
0.12095,NO
0.14665,NO
0.13419999999999999,NO
0.08805,NO
0.08020000000000001,NO
0.08310000000000001,NO
0.15375,YES
0.05485,NO
0.09075,YES
0.041800000000000004,NO
0.18675,YES
0.06885,NO
0.10314999999999999,NO
0.0659,NO
0.1127,NO
0.0924,NO
0.19035,NO
0.08605,NO
0.16469999999999999,NO
0.0308,NO
0.016550000000000002,NO
0.49015,YES
0.1443,YES
0.14395,YES
0.4947,YES
0.0349,NO
0.01695,NO
0.52995,YES
0.38545,NO
0.49945,YES
0.3798,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.020200000000000003,NO
0.10615,YES
0.0199,NO
0.1768,YES
0.061950000000000005,NO
0.14135,YES
0.3513,NO
0.34935,NO
0.3914,NO
0.34865,NO
0.49795,YES
0.3704,NO
0.48595,YES
0.4929,YES
0.3332,YES
0.28365,NO
0.33775,NO
0.3053,NO
0.1635,NO
0.433,YES
0.5292,YES
0.16555,NO
0.5208499999999999,NO
0.1585,NO
0.5228999999999999,NO
0.09705,NO
0.07865,NO
0.076,NO
0.3769,YES
0.2983,NO
0.4821,YES
0.27485,NO
0.49035,YES
0.27935,NO
0.50105,NO
0.508,NO
0.5333,NO
0.5063,NO
0.20600000000000002,NO
0.5264,NO
0.15065,NO
0.0619,NO
0.03295,NO
0.17454999999999998,NO
0.1134,NO
0.05205,NO
0.1863,NO
0.03985,NO
0.04345,NO
0.22105,NO
0.37095,YES
0.16725,NO
0.36315000000000003,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.05415,NO
0.0829,NO
0.07165,NO
0.1036,NO
0.08095000000000001,NO
0.32635000000000003,YES
0.3312,YES
0.34405,YES
0.36135,YES
0.19390000000000002,NO
0.3135,YES
0.1845,NO
0.5806,YES
0.4244,YES
0.19615,NO
0.3142,NO
0.26749999999999996,NO
0.0889,NO
0.48260000000000003,YES
0.62495,YES
0.10235,NO
0.11895,NO
0.08725,NO
0.11975,NO
0.57325,NO
0.5636,NO
0.56315,NO
0.46305,YES
0.26139999999999997,NO
0.58955,YES
0.25145,NO
0.5788500000000001,YES
0.266,NO
0.08885,NO
0.08785,NO
0.1287,NO
0.09905,NO
0.12635,NO
0.1052,NO
0.09345,NO
0.1011,NO
0.060649999999999996,NO
0.4142,NO
0.5039,NO
0.46625,NO
0.41725,NO
0.10645,NO
0.0849,NO
0.42765000000000003,NO
0.09035,YES
0.40700000000000003,NO
0.1409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.07035,NO
0.46359999999999996,NO
0.0731,NO
0.45575,NO
0.14429999999999998,NO
0.4552,NO
0.0486,YES
0.0525,YES
0.06185,YES
0.13655,YES
0.43685,NO
0.05755,YES
0.3926,NO
