LOWERTRACED_RFSMOTE_RAW_LSA_MEDIAN.csv,Associated
0.0716,NO
0.52105,NO
0.29485,YES
0.48035,NO
0.19235,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.08745,NO
0.15175,NO
0.0862,NO
0.14875,NO
0.1301,NO
0.1759,NO
0.24359999999999998,YES
0.24014999999999997,YES
0.23199999999999998,YES
0.13785,YES
0.51875,NO
0.1314,YES
0.4995,NO
0.12345,NO
0.09255000000000001,NO
0.70475,YES
0.44655,YES
0.43635,YES
0.59235,YES
0.18185,NO
0.12325,NO
0.6133,YES
0.0887,NO
0.61445,YES
0.09295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.11510000000000001,NO
0.42464999999999997,YES
0.11375,NO
0.49345,YES
0.17645,NO
0.44105,YES
0.10355,NO
0.08,NO
0.19125,NO
0.1,NO
0.61995,YES
0.1658,NO
0.55405,YES
0.20995,NO
0.19735,NO
0.66975,YES
0.1178,NO
0.08675,NO
0.69795,YES
0.21134999999999998,NO
0.17485,NO
0.7624,YES
0.0955,NO
0.70905,YES
0.0764,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.20550000000000002,NO
0.11949999999999998,NO
0.1899,NO
0.19365000000000002,NO
0.19255,NO
0.14185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.6797,YES
0.16795,NO
0.6336999999999999,YES
0.0849,NO
0.0632,NO
0.58875,YES
0.1697,YES
0.1416,YES
0.57565,YES
0.10665,NO
0.0687,NO
0.60495,YES
0.3214,NO
0.5954,YES
0.25975,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0678,NO
0.11975,YES
0.06709999999999999,NO
0.165,YES
0.10619999999999999,NO
0.12564999999999998,YES
0.32484999999999997,NO
0.31055,NO
0.35175,NO
0.26275,NO
0.5865,YES
0.30295,NO
0.5640000000000001,YES
0.1918,NO
0.1923,NO
0.44405,YES
0.0881,NO
0.08245,NO
0.45985,YES
0.19405,NO
0.1865,NO
0.4869,YES
0.0945,NO
0.4965,YES
0.0878,NO
0.12219999999999999,NO
0.0871,NO
0.07385,NO
0.19874999999999998,NO
0.1053,NO
0.19269999999999998,NO
0.17785,NO
0.15510000000000002,NO
0.13315,NO
0.1259,NO
0.1032,NO
0.21005000000000001,NO
0.12300000000000001,NO
0.451,YES
0.19419999999999998,NO
0.41195000000000004,YES
0.17335,NO
0.1592,NO
0.2722,YES
0.17335,YES
0.13755,YES
0.2713,YES
0.16945,NO
0.15489999999999998,NO
0.30519999999999997,YES
0.1326,NO
0.2667,YES
0.1247,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.18159999999999998,NO
0.15760000000000002,YES
0.1807,NO
0.15165,YES
0.21735,NO
0.1356,YES
0.08249999999999999,NO
0.11069999999999999,NO
0.1099,NO
0.0925,NO
0.2786,YES
0.0939,NO
0.27685,YES
0.5962000000000001,YES
0.4691,YES
0.5217,NO
0.2274,NO
0.22294999999999998,NO
0.4153,NO
0.5647,YES
0.62965,YES
0.4102,NO
0.0729,NO
0.41585000000000005,NO
0.0685,NO
0.14655,NO
0.12,NO
0.11230000000000001,NO
0.4872,YES
0.1975,NO
0.56595,YES
0.163,NO
0.59425,YES
0.16885,NO
0.086,NO
0.08135,NO
0.09795000000000001,NO
0.09465000000000001,NO
0.44885,NO
0.11,NO
0.38980000000000004,NO
0.15195,NO
0.1436,NO
0.6184000000000001,YES
0.2027,YES
0.1851,YES
0.6233,YES
0.1534,NO
0.14385,NO
0.7378,YES
0.5368999999999999,NO
0.6535500000000001,YES
0.52825,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.152,NO
0.20134999999999997,YES
0.14865,NO
0.29510000000000003,YES
0.15105000000000002,NO
0.24345,YES
0.55765,NO
0.5371,NO
0.64115,NO
0.54885,NO
0.6133,YES
0.62105,NO
0.64655,YES
0.0589,NO
0.0237,NO
0.68385,YES
0.24070000000000003,YES
0.23035,YES
0.5933499999999999,YES
0.1096,NO
0.05825,NO
0.62175,YES
0.0943,NO
0.6161,YES
0.0544,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.20600000000000002,YES
0.0441,NO
0.24335,YES
0.0984,NO
0.2087,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.62195,YES
0.11705,NO
0.57685,YES
0.2071,NO
0.19495,NO
0.643,YES
0.10615,YES
0.1248,YES
0.5448500000000001,YES
0.2535,NO
0.22110000000000002,NO
0.5486,YES
0.0551,NO
0.5750500000000001,YES
0.0511,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.24170000000000003,NO
0.1091,YES
0.23875000000000002,NO
0.1961,YES
0.22865000000000002,NO
0.1507,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.5526,YES
0.16295,NO
0.509,YES
0.17545000000000002,NO
0.1766,NO
0.3297,YES
0.10455,YES
0.08325,YES
0.32204999999999995,YES
0.17320000000000002,NO
0.1678,NO
0.43645,YES
0.05015,NO
0.35519999999999996,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.19235000000000002,NO
0.10155,YES
0.19080000000000003,NO
0.20329999999999998,YES
0.17195000000000002,NO
0.15735,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.32599999999999996,YES
0.11845,NO
0.38815,YES
0.32255,NO
0.31025,NO
0.5314,YES
0.1883,YES
0.14255,YES
0.5570999999999999,YES
0.312,NO
0.2927,NO
0.58185,YES
0.19855,NO
0.5363,YES
0.1709,NO
0.1394,NO
0.15155000000000002,NO
0.14115,NO
0.3499,NO
0.12329999999999999,YES
0.34740000000000004,NO
0.14725000000000002,YES
0.34040000000000004,NO
0.14265,YES
0.1603,NO
0.18065,NO
0.18055,NO
0.1509,NO
0.5559999999999999,YES
0.1593,NO
0.54035,YES
0.22005,NO
0.21150000000000002,NO
0.352,YES
0.16925,YES
0.1862,YES
0.35465,YES
0.20905,NO
0.1996,NO
0.37085,YES
0.11680000000000001,NO
0.37695,YES
0.09210000000000002,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.25125,NO
0.15185,YES
0.2486,NO
0.2914,YES
0.2046,NO
0.2347,YES
0.10885,NO
0.09805,NO
0.17425,NO
0.09240000000000001,NO
0.34895,YES
0.1399,NO
0.34225,YES
0.2845,NO
0.2597,NO
0.24405,NO
0.3404,NO
0.2688,NO
0.22285,NO
0.28815,NO
0.26175,NO
0.3046,NO
0.07955,NO
0.21425,NO
0.0676,NO
0.21125,YES
0.1684,YES
0.1969,YES
0.2783,NO
0.27054999999999996,NO
0.27985,NO
0.26155,NO
0.31755,NO
0.27349999999999997,NO
0.03815,NO
0.05225,NO
0.06570000000000001,NO
0.042050000000000004,NO
0.25925,NO
0.042050000000000004,NO
0.28025,NO
0.06195,YES
0.1445,YES
0.5376000000000001,NO
0.23265,NO
0.19069999999999998,NO
0.43115000000000003,NO
0.16449999999999998,YES
0.06245,YES
0.4484,NO
0.07595,NO
0.42665000000000003,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.15375,YES
0.17985,NO
0.09075,YES
0.1668,NO
0.18675,YES
0.19385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.47035000000000005,NO
0.04105,NO
0.44470000000000004,NO
0.0208,NO
0.00655,NO
0.55015,YES
0.1993,YES
0.19895,YES
0.5547,YES
0.0249,NO
0.00695,NO
0.58995,YES
0.17545,NO
0.55945,YES
0.1698,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.16115,YES
0.0099,NO
0.2318,YES
0.05195,NO
0.19635,YES
0.14129999999999998,NO
0.13935,NO
0.1814,NO
0.13865,NO
0.55795,YES
0.1604,NO
0.5459499999999999,YES
0.1779,YES
0.0182,YES
0.49865000000000004,NO
0.5327500000000001,NO
0.5003,NO
0.3785,NO
0.11800000000000001,YES
0.2142,YES
0.38055,NO
0.05085,NO
0.3735,NO
0.0529,NO
0.58705,NO
0.56865,NO
0.5660000000000001,NO
0.0619,YES
0.4933,NO
0.1671,YES
0.46985,NO
0.17535,YES
0.47435,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.42100000000000004,NO
0.0564,NO
0.36565000000000003,NO
0.0769,NO
0.04795,NO
0.43955,NO
0.2784,NO
0.21705000000000002,NO
0.45130000000000003,NO
0.054849999999999996,NO
0.05845,NO
0.48605,NO
0.31595,YES
0.43225,NO
0.30815,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0857,NO
0.21915,NO
0.0979,NO
0.23665000000000003,NO
0.1186,NO
0.24595,NO
0.27135,YES
0.2762,YES
0.28905,YES
0.30635,YES
0.45890000000000003,NO
0.2585,YES
0.4495,NO
0.1806,YES
0.0244,YES
0.62115,NO
0.3442,NO
0.2975,NO
0.5139,NO
0.0826,YES
0.22495,YES
0.52735,NO
0.05395,NO
0.51225,NO
0.05475,NO
0.23261163227642323,NO
0.22296163227642324,NO
0.22251163227642323,NO
0.06305,YES
0.2914,NO
0.18955,YES
0.28145000000000003,NO
0.17885,YES
0.29600000000000004,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.55135,NO
0.0402,NO
0.51845,NO
0.3911,NO
0.35065,NO
0.5492,NO
0.1889,NO
0.15125,NO
0.55225,NO
0.39645,NO
0.3749,NO
0.56265,NO
0.15535,YES
0.542,NO
0.2059,YES
0.1669,NO
0.16425,NO
0.1538,NO
0.36035,NO
0.1486,NO
0.3631,NO
0.14075000000000001,NO
0.4343,NO
0.1402,NO
0.1136,YES
0.1175,YES
0.12685000000000002,YES
0.20155,YES
0.57185,NO
0.12254999999999999,YES
0.5276,NO
