LOWERTRACED_SUM_SINGLE_VSM_MEDIAN.csv,Associated
0.38755,NO
0.35405000000000003,NO
1.1475000000000002,NO
0.4565,NO
0.43884999999999996,NO
1.1283,NO
0.39945,NO
0.3936,NO
1.1284,NO
1.19515,YES
1.1307,NO
1.2180499999999999,YES
0.5412,NO
0.51705,NO
0.5169,NO
0.34345000000000003,NO
0.414,NO
0.3448,NO
0.41714999999999997,NO
0.42960000000000004,NO
0.41095,NO
1.1896499999999999,YES
1.1679499999999998,YES
1.19075,YES
1.2510999999999999,YES
1.1487,NO
1.17855,YES
1.0950000000000002,NO
0.22955,NO
0.24905,NO
1.3575,NO
0.7266,NO
0.70005,NO
1.34945,NO
0.24905,NO
0.23045000000000002,NO
1.3554,NO
1.7193,YES
1.3627,NO
1.6347,YES
0.11315,NO
0.08335000000000001,NO
0.07894999999999999,NO
0.2841,NO
0.6946,NO
0.26485000000000003,NO
0.78325,NO
0.24755,NO
0.7692,NO
1.75,YES
1.7127000000000001,YES
1.79495,YES
1.6370500000000001,YES
1.342,NO
1.68155,YES
1.3318,NO
0.31455,NO
0.28105,NO
0.84375,NO
0.57265,NO
0.5579000000000001,NO
0.8372499999999999,NO
0.3268,NO
0.3028,NO
0.83365,NO
1.74995,YES
0.8375,NO
1.67515,YES
0.39235,NO
0.38180000000000003,NO
0.3801,NO
0.2675,NO
0.5263,NO
0.26835000000000003,NO
0.5159,NO
0.3382,NO
0.52555,NO
1.7729,YES
1.7457,YES
1.71095,YES
1.70475,YES
0.8563999999999999,NO
1.67115,YES
0.8045,NO
0.23485,NO
0.23420000000000002,NO
0.36645,NO
0.6648499999999999,NO
0.5919,NO
0.3552,NO
0.22875,NO
0.22510000000000002,NO
0.3835,NO
1.68925,YES
0.3428,NO
1.58675,YES
0.37785,NO
0.37435,NO
0.37420000000000003,NO
0.24095,NO
0.5722999999999999,NO
0.23970000000000002,NO
0.5692999999999999,NO
0.2836,NO
0.5964499999999999,NO
1.6380000000000001,YES
1.63455,YES
1.6264,YES
1.5322500000000001,YES
0.3812,NO
1.5258,YES
0.36195,NO
0.3378,NO
0.3069,NO
3.09415,YES
0.8549,YES
0.8447,YES
2.98175,YES
0.3962,NO
0.3376,NO
3.0027,YES
0.47820000000000007,NO
3.00385,YES
0.48245000000000005,NO
0.47645000000000004,NO
0.4447,NO
0.4436,NO
0.32945,NO
0.833,YES
0.3281,NO
0.9017999999999999,YES
0.3908,NO
0.8493999999999999,YES
0.49305000000000004,NO
0.46950000000000003,NO
0.5807500000000001,NO
0.48950000000000005,NO
3.00935,YES
0.5553,NO
2.94345,YES
0.1096,NO
0.097,NO
2.71345,YES
0.9548,NO
0.92375,NO
2.74165,YES
0.111,NO
0.07450000000000001,NO
2.8061,YES
0.51675,NO
2.7527500000000003,YES
0.49765000000000004,NO
0.60255,NO
0.5995,NO
0.57175,NO
0.10515000000000001,NO
0.9564999999999999,NO
0.08955,NO
1.03065,NO
0.0922,NO
0.97885,NO
0.5208,NO
0.5104500000000001,NO
0.6096,NO
0.5171,NO
2.7234000000000003,YES
0.5892,NO
2.6774,YES
0.14065,NO
0.11895,NO
2.97425,YES
2.12635,YES
2.09825,YES
2.9611500000000004,YES
0.16240000000000002,NO
0.12445,NO
2.99045,YES
1.64615,NO
2.9809,YES
1.5845,NO
0.6018,NO
0.5866,NO
0.58595,NO
0.12355000000000001,NO
2.0764,YES
0.12285000000000001,NO
2.12165,YES
0.16195,NO
2.0823,YES
1.6496,NO
1.6353,NO
1.6764999999999999,NO
1.5875,NO
2.9720000000000004,YES
1.6277,NO
2.9495000000000005,YES
0.09545,NO
0.09595,NO
2.8222,YES
0.88505,NO
0.8794000000000001,NO
2.838,YES
0.0977,NO
0.09015,NO
2.86505,YES
0.6531,NO
2.8746500000000004,YES
0.6464,NO
0.3518,NO
0.3167,NO
0.30345,NO
0.10239999999999999,NO
0.90225,NO
0.09634999999999999,NO
0.9748000000000001,NO
0.058750000000000004,NO
0.9301,NO
0.6845,NO
0.6617999999999999,NO
0.76865,NO
0.6816,NO
2.8291500000000003,YES
0.7528,NO
2.7901000000000002,YES
0.34854999999999997,NO
0.3344,NO
0.90955,YES
2.2007,YES
2.1649,YES
0.90865,YES
0.34465,NO
0.3301,NO
0.94255,YES
0.5192,NO
0.90405,YES
0.5113,NO
0.82985,NO
0.831,NO
0.8335999999999999,NO
0.3568,NO
2.1849499999999997,YES
0.3559,NO
2.179,YES
0.39254999999999995,NO
2.16295,YES
0.4691,NO
0.4973,NO
0.4965,NO
0.4791,NO
0.9159499999999999,YES
0.48050000000000004,NO
0.9142,YES
1.27915,YES
1.15205,YES
1.45725,NO
0.6397,NO
0.63525,NO
1.3508499999999999,NO
1.24765,YES
1.3126,YES
1.34575,NO
0.59745,NO
1.3514,NO
0.59305,NO
0.7132000000000001,NO
0.68665,NO
0.67895,NO
1.17015,YES
0.6098,NO
1.2489,YES
0.5753,NO
1.2772000000000001,YES
0.58115,NO
0.61055,NO
0.6059,NO
0.6225,NO
0.6192,NO
1.3843999999999999,NO
0.63455,NO
1.32535,NO
0.05115,NO
0.0428,NO
2.9412,YES
0.79225,YES
0.7746500000000001,YES
2.9461,YES
0.0526,NO
0.04305,NO
3.0606,YES
0.4591,NO
2.97635,YES
0.45045,NO
0.61605,NO
0.5573,NO
0.5651499999999999,NO
0.0512,NO
0.7909,YES
0.04785,NO
0.88465,YES
0.05025,NO
0.8330000000000001,YES
0.47985,NO
0.45930000000000004,NO
0.56335,NO
0.47105,NO
2.9360999999999997,YES
0.54325,NO
2.96935,YES
0.18265,NO
0.14745,NO
2.6654,YES
1.0643,YES
1.05395,YES
2.5749,YES
0.23335,NO
0.182,NO
2.6033,YES
1.20825,NO
2.5976500000000002,YES
1.16835,NO
0.4019,NO
0.3762,NO
0.37525,NO
0.17115,NO
1.0296,YES
0.16785,NO
1.06695,YES
0.22215000000000001,NO
1.0323,YES
1.22065,NO
1.20625,NO
1.2641499999999999,NO
1.18005,NO
2.6035,YES
1.231,NO
2.5584000000000002,YES
0.1879,NO
0.17575000000000002,NO
2.8373,YES
0.89225,YES
0.9109,YES
2.73915,YES
0.2343,NO
0.20190000000000002,NO
2.7429,YES
0.6889000000000001,NO
2.76935,YES
0.6849000000000001,NO
0.16055,NO
0.1295,NO
0.11785000000000001,NO
0.2225,NO
0.8952,YES
0.21955000000000002,NO
0.9822000000000001,YES
0.20945000000000003,NO
0.9368000000000001,YES
0.7215,NO
0.69885,NO
0.8147500000000001,NO
0.71955,NO
2.7469,YES
0.7967500000000001,NO
2.7033,YES
0.040150000000000005,NO
0.0413,NO
2.77355,YES
0.7776,YES
0.7563,YES
2.7659000000000002,YES
0.0379,NO
0.0325,NO
2.8803,YES
0.42945,NO
2.7990500000000003,YES
0.4233,NO
0.5314,NO
0.4516,NO
0.46330000000000005,NO
0.057050000000000003,NO
0.7746,YES
0.0555,NO
0.87635,YES
0.03665,NO
0.8304,YES
0.44315000000000004,NO
0.41995000000000005,NO
0.53605,NO
0.43405000000000005,NO
2.76985,YES
0.49775,NO
2.8320000000000003,YES
0.21595,NO
0.20365,NO
0.69325,YES
2.1525,YES
2.10675,YES
0.71895,YES
0.20540000000000003,NO
0.18610000000000002,NO
0.7437,YES
0.75695,NO
0.69815,YES
0.7293,NO
0.61125,NO
0.6234,NO
0.613,NO
0.24330000000000002,NO
2.0875,YES
0.24080000000000001,NO
2.11145,YES
0.2338,NO
2.10685,YES
0.7187,NO
0.73905,NO
0.73895,NO
0.7093,NO
0.71785,YES
0.7177,NO
0.7022,YES
0.1618,NO
0.15325,NO
1.91835,YES
2.2411,YES
2.25805,YES
1.921,YES
0.1508,NO
0.14135,NO
1.9372,YES
0.66395,NO
1.9433,YES
0.6392500000000001,NO
0.14225,NO
0.12165,NO
0.10494999999999999,NO
0.193,NO
2.2237,YES
0.19035,NO
2.36325,YES
0.14634999999999998,NO
2.3065499999999997,YES
0.656,NO
0.6452,NO
0.7214,NO
0.6395500000000001,NO
1.9153,YES
0.68705,NO
1.9086,YES
0.4199,NO
0.3951,NO
1.18065,NO
0.80515,NO
0.7335499999999999,NO
1.1594499999999999,NO
0.42355,NO
0.39715,NO
1.2411999999999999,NO
0.3953,NO
1.15085,NO
0.38334999999999997,NO
1.17725,YES
1.1343999999999999,YES
1.1629,YES
0.4137,NO
0.7353,NO
0.41525,NO
0.7263,NO
0.45295,NO
0.73825,NO
0.3539,NO
0.368,NO
0.38145,NO
0.3578,NO
1.1958499999999999,NO
0.3578,NO
1.21685,NO
0.9611,YES
1.04365,YES
0.56255,NO
0.47115,NO
0.4292,NO
0.4561,NO
1.06365,YES
0.9616,YES
0.47335,NO
0.39805,NO
0.4516,NO
0.4113,NO
0.3934,NO
0.38555,NO
0.38845,NO
1.0529,YES
0.41835,NO
0.9899,YES
0.4053,NO
1.0859,YES
0.43235,NO
0.38025,NO
0.34299999999999997,NO
0.3898,NO
0.3695,NO
0.49529999999999996,NO
0.36315,NO
0.46965,NO
0.09605,NO
0.0818,NO
1.5031999999999999,YES
2.3861999999999997,YES
2.3858499999999996,YES
1.50775,YES
0.10014999999999999,NO
0.0822,NO
1.543,YES
0.2307,NO
1.5125,YES
0.22504999999999997,NO
0.49615,NO
0.4836,NO
0.48755,NO
0.08545,NO
2.3480499999999997,YES
0.08515,NO
2.4187,YES
0.1272,NO
2.38325,YES
0.19655,NO
0.1946,NO
0.23665,NO
0.1939,NO
1.511,YES
0.21564999999999998,NO
1.4989999999999999,YES
1.3179,YES
1.1582000000000001,YES
0.9329999999999999,NO
0.4869,NO
0.45445,NO
0.81285,NO
1.258,YES
1.3542,YES
0.8149,NO
0.37305,NO
0.80785,NO
0.3751,NO
0.4277,NO
0.4093,NO
0.40665,NO
1.2019,YES
0.44745,NO
1.3071,YES
0.424,NO
1.31535,YES
0.4285,NO
0.35325,NO
0.36019999999999996,NO
0.38549999999999995,NO
0.3585,NO
0.8553499999999999,NO
0.3786,NO
0.7999999999999999,NO
0.40825,NO
0.37929999999999997,NO
0.37374999999999997,NO
0.5949,NO
0.53355,NO
0.3855,NO
0.3862,NO
0.3898,NO
0.42025,NO
1.1479,YES
0.36645,NO
1.1401,YES
0.6743,NO
0.6853,NO
0.6789999999999999,NO
0.41705,NO
0.53565,NO
0.42925,NO
0.55315,NO
0.44994999999999996,NO
0.56245,NO
1.1033,YES
1.10815,YES
1.121,YES
1.1382999999999999,YES
0.3931,NO
1.09045,YES
0.3837,NO
1.3381,YES
1.1819,YES
0.57205,NO
0.4673,NO
0.4206,NO
0.4648,NO
1.2401,YES
1.38245,YES
0.47825,NO
0.313,NO
0.46315,NO
0.3138,NO
0.34354999999999997,NO
0.3339,NO
0.33344999999999997,NO
1.22055,YES
0.4145,NO
1.3470499999999999,YES
0.40455,NO
1.33635,YES
0.41910000000000003,NO
0.2829,NO
0.2819,NO
0.32275,NO
0.2931,NO
0.50225,NO
0.29925,NO
0.46935,NO
0.54545,NO
0.505,NO
0.8094,NO
0.40535,NO
0.3677,NO
0.81245,NO
0.5508,NO
0.52925,NO
0.82285,NO
0.9317500000000001,YES
0.8022,NO
0.9823000000000001,YES
0.5196999999999999,NO
0.51705,NO
0.5065999999999999,NO
0.5146999999999999,NO
0.36505,NO
0.51745,NO
0.3572,NO
0.58865,NO
0.35665,NO
0.89,YES
0.8939,YES
0.90325,YES
0.9779500000000001,YES
0.83205,NO
0.89895,YES
0.7878,NO
