NONETRACED_SUM_MULTI_VSM_MAX.csv,Associated
1.7562,NO
0.7954,NO
2.0842,NO
1.8039,YES
1.4447,NO
1.1364,YES
1.7238,NO
2.0866,NO
0.8688,NO
1.0714,NO
1.9033,NO
1.2225,NO
1.7366,NO
1.0371,NO
1.7116,NO
1.4815,YES
2.2628,YES
2.0154,YES
1.1282,YES
1.8702,NO
1.8729,YES
1.5819,NO
2.3312,YES
0.4361,YES
1.4376,NO
1.4803,NO
1.0332,NO
1.5290000000000001,NO
1.5066,YES
1.3933,YES
1.3411,NO
1.0838,NO
0.956,NO
0.7305,NO
1.2559,NO
1.6367,NO
0.6339,NO
1.061,YES
1.375,NO
1.8935,YES
1.1134,NO
1.4881,YES
1.165,NO
0.8333,NO
1.4616,NO
1.2135,NO
0.7078,NO
1.4365,NO
1.2614,NO
1.0644,NO
2.2274,NO
0.6559999999999999,NO
2.0938,NO
2.2365,NO
1.6026,NO
2.5999,NO
2.0589,NO
0.9873,NO
2.4576,NO
1.9542,YES
1.7475,NO
1.2973,YES
1.9793,NO
2.3707,NO
0.9694,NO
1.2476,NO
2.1109,NO
1.4528,NO
1.9080000000000001,NO
1.3147,NO
1.8608,NO
1.6343,YES
2.4792,YES
2.286,YES
1.3239,YES
2.2778,NO
2.1849,YES
1.8518,NO
