UPPERTRACED_RFNONE_RAW_VSM_MAX.csv,Associated
0.3303,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.34,NO
0.59,NO
0.5095,YES
0.25,YES
0.21,YES
0.31,YES
0.37,NO
0.58,NO
0.37,YES
0.47,NO
0.92,YES
0.38,NO
0.42,NO
0.38,NO
0.26,NO
0.33,NO
0.38,YES
0.21,NO
0.53,YES
0.55,NO
0.32,YES
0.32,NO
0.41,NO
0.46,NO
0.48,NO
0.68,YES
0.53,NO
0.88,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.38,YES
0.3359,NO
0.2874,YES
0.55,NO
0.14,NO
0.2475,YES
0.33,YES
0.82,YES
0.4,YES
0.36,NO
0.06,NO
0.3,YES
0.27,NO
0.2608,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.43,YES
0.49,NO
0.42,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.21,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.9,YES
0.1681,NO
0.153,NO
0.4738,YES
0.31,NO
0.87,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.42,NO
0.3901,NO
0.21600000000000003,NO
0.402,YES
0.3584,NO
0.81,YES
0.55,NO
0.14,NO
0.22,YES
0.33,YES
0.82,YES
0.4,YES
0.36,NO
0.06,NO
0.3,YES
0.27,NO
0.09,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.43,YES
0.49,NO
0.42,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.21,YES
0.3024,YES
0.12,YES
0.51,NO
0.47,NO
0.48,NO
0.29,NO
0.36,YES
0.54,YES
0.48,NO
0.59,NO
0.1517,NO
0.47,NO
0.25,NO
0.27,NO
0.1446,NO
0.3,YES
0.54,NO
0.2419,YES
0.11,NO
0.46,YES
0.52,NO
0.11,NO
0.4,NO
0.48,NO
0.1193,NO
0.46,NO
0.24,NO
0.49,NO
0.34,NO
0.59,NO
0.44,YES
0.25,YES
0.21,YES
0.3166,YES
0.37,NO
0.58,NO
0.5456,YES
0.47,NO
0.92,YES
0.38,NO
0.42,NO
0.38,NO
0.26,NO
0.33,NO
0.38,YES
0.21,NO
0.53,YES
0.55,NO
0.32,YES
0.32,NO
0.41,NO
0.46,NO
0.48,NO
0.68,YES
0.53,NO
0.88,YES
0.34,NO
0.59,NO
0.44,YES
0.25,YES
0.21,YES
0.31,YES
0.37,NO
0.58,NO
0.37,YES
0.47,NO
0.92,YES
0.38,NO
0.42,NO
0.38,NO
0.26,NO
0.33,NO
0.38,YES
0.21,NO
0.53,YES
0.55,NO
0.32,YES
0.32,NO
0.41,NO
0.46,NO
0.48,NO
0.68,YES
0.53,NO
0.88,YES
0.34,NO
0.59,NO
0.526,YES
0.25,YES
0.21,YES
0.3297,YES
0.37,NO
0.58,NO
0.37,YES
0.47,NO
0.92,YES
0.38,NO
0.42,NO
0.38,NO
0.26,NO
0.33,NO
0.38,YES
0.21,NO
0.53,YES
0.55,NO
0.32,YES
0.32,NO
0.41,NO
0.46,NO
0.48,NO
0.68,YES
0.53,NO
0.88,YES
0.34,NO
0.59,NO
0.44,YES
0.25,YES
0.21,YES
0.31,YES
0.37,NO
0.58,NO
0.5229,YES
0.47,NO
0.92,YES
0.38,NO
0.42,NO
0.38,NO
0.26,NO
0.33,NO
0.38,YES
0.21,NO
0.53,YES
0.55,NO
0.32,YES
0.32,NO
0.41,NO
0.46,NO
0.48,NO
0.68,YES
0.53,NO
0.88,YES
0.55,NO
0.14,NO
0.22,YES
0.3566,YES
0.82,YES
0.4,YES
0.36,NO
0.06,NO
0.3,YES
0.27,NO
0.1126,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.43,YES
0.49,NO
0.42,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.21,YES
0.55,NO
0.14,NO
0.254,YES
0.33,YES
0.82,YES
0.4,YES
0.36,NO
0.0792,NO
0.3,YES
0.27,NO
0.3039,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.5728,YES
0.49,NO
0.4594,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.2345,YES
0.39,NO
0.11,NO
0.15,NO
0.49,NO
0.07,NO
0.75,NO
0.0963,NO
0.0435,NO
0.83,NO
0.34,NO
0.0785,NO
0.1052,NO
0.4225,YES
0.51,YES
0.91,YES
0.0766,NO
0.0711,NO
0.28,NO
0.37,NO
0.1551,NO
0.1,NO
0.0463,NO
0.0745,NO
0.53,NO
0.0541,NO
0.1685,NO
0.06,NO
0.61,NO
0.16,YES
0.289,YES
0.51,NO
0.47,NO
0.48,NO
0.29,NO
0.36,YES
0.54,YES
0.48,NO
0.59,NO
0.0533,NO
0.47,NO
0.25,NO
0.27,NO
0.1562,NO
0.3075,YES
0.54,NO
0.1815,YES
0.11,NO
0.46,YES
0.52,NO
0.1163,NO
0.4,NO
0.48,NO
0.0948,NO
0.46,NO
0.24,NO
0.49,NO
0.55,NO
0.14,NO
0.22,YES
0.33,YES
0.82,YES
0.4,YES
0.36,NO
0.06,NO
0.3,YES
0.27,NO
0.1389,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.43,YES
0.49,NO
0.42,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.21,YES
0.3458,YES
0.12,YES
0.51,NO
0.47,NO
0.48,NO
0.29,NO
0.36,YES
0.54,YES
0.48,NO
0.59,NO
0.09699999999999999,NO
0.47,NO
0.25,NO
0.27,NO
0.132,NO
0.3,YES
0.54,NO
0.3242,YES
0.11,NO
0.46,YES
0.52,NO
0.11,NO
0.4,NO
0.48,NO
0.09,NO
0.46,NO
0.24,NO
0.49,NO
0.35,NO
0.07,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.26,YES
0.0845,NO
0.2,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.2072,NO
0.47,NO
0.36,YES
0.26,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.3612,YES
0.12,YES
0.51,NO
0.47,NO
0.48,NO
0.29,NO
0.36,YES
0.54,YES
0.48,NO
0.59,NO
0.0645,NO
0.47,NO
0.25,NO
0.27,NO
0.1463,NO
0.3,YES
0.54,NO
0.3791,YES
0.11,NO
0.46,YES
0.52,NO
0.11,NO
0.4,NO
0.48,NO
0.09,NO
0.46,NO
0.24,NO
0.49,NO
0.35,NO
0.07,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.26,YES
0.134,NO
0.2818,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.2286,NO
0.47,NO
0.36,YES
0.26,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
