ALLTRACED_SUM_SINGLE_LSA_MEDIAN.csv,Associated
0.14162857142857144,YES
0.5245428571428571,YES
0.5039928571428571,YES
0.14292857142857143,YES
0.0413,NO
0.006500000000000001,NO
0.17657857142857142,YES
0.06975,NO
0.13767857142857143,YES
0.07215,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
0.4730428571428571,YES
0.0278,NO
0.5375928571428571,YES
0.07085,NO
0.4846428571428571,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.15717857142857145,YES
0.0482,NO
0.13857857142857144,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.1291,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0729,NO
0.4871142857142857,YES
0.07885,NO
0.4309142857142857,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10095,NO
0.06465,NO
0.48056428571428567,YES
0.4663142857142857,YES
0.4252642857142857,YES
0.4304142857142857,YES
0.1113,NO
0.3733642857142857,YES
0.04895,NO
0.04925,NO
0.0387,NO
0.12487857142857142,YES
0.5394928571428571,YES
0.4836928571428571,YES
0.13797857142857142,YES
0.04425,NO
0.0302,NO
0.17482857142857144,YES
0.1299,NO
0.12442857142857142,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.4693928571428571,YES
0.0705,NO
0.4882928571428571,YES
0.071,NO
0.4848928571428571,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.14447857142857143,YES
0.0558,NO
0.13772857142857142,YES
0.07075,NO
0.03725,NO
0.11905,NO
0.095,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.3851642857142857,YES
0.10225,NO
0.4080642857142857,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.3796642857142857,YES
0.3579642857142857,YES
0.38076428571428567,YES
0.4411142857142857,YES
0.12025,NO
0.3685642857142857,YES
0.06655,NO
0.04745,NO
0.06695,NO
0.11199999999999999,NO
0.09835,NO
0.0718,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.4571142857142857,YES
0.1172,NO
0.3725142857142857,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.4878142857142857,YES
0.4505142857142857,YES
0.5327642857142857,YES
0.3748642857142857,YES
0.0965,NO
0.4193642857142857,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1171,NO
0.10235,NO
0.09115,NO
0.0842,NO
0.0602,NO
0.08755,NO
0.4646642857142857,YES
0.0914,NO
0.3898642857142857,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.07075,NO
0.02575,NO
0.06035,NO
0.0956,NO
0.07,NO
0.48761428571428567,YES
0.46041428571428566,YES
0.4256642857142857,YES
0.41946428571428573,YES
0.1103,NO
0.3858642857142857,YES
0.0584,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.1443,NO
0.07135,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.07105,NO
0.5055642857142857,YES
0.03035,NO
0.4030642857142857,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.05175,NO
0.0412,NO
0.04875,NO
0.0851,NO
0.0759,NO
0.45431428571428567,YES
0.4508642857142857,YES
0.4427142857142857,YES
0.3485642857142857,YES
0.06875,NO
0.3421142857142857,YES
0.0495,NO
0.05345,NO
0.02255,NO
0.75475,YES
0.14297857142857143,YES
0.1327785714285714,YES
0.64235,YES
0.11185,NO
0.05325,NO
0.6633,YES
0.0487,NO
0.66445,YES
0.05295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.12107857142857142,YES
0.04375,NO
0.18987857142857142,YES
0.10645,NO
0.13747857142857142,YES
0.06355,NO
0.04,NO
0.15125,NO
0.06,NO
0.66995,YES
0.1258,NO
0.60405,YES
0.08995,NO
0.07735,NO
0.32260714285714287,YES
0.1078,NO
0.07675,NO
0.3508071428571429,YES
0.09135,NO
0.05485,NO
0.4152571428571428,YES
0.0955,NO
0.36190714285714287,YES
0.0764,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.10949999999999999,NO
0.0699,NO
0.18365,NO
0.07255,NO
0.13185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.3325571428571429,YES
0.16795,NO
0.28655714285714284,YES
0.0399,NO
0.0182,NO
0.19517857142857142,YES
0.4968428571428571,YES
0.46874285714285713,YES
0.18207857142857142,YES
0.06165,NO
0.0237,NO
0.21137857142857142,YES
0.1164,NO
0.2018285714285714,YES
0.05475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.4468928571428571,YES
0.0221,NO
0.4921428571428571,YES
0.0612,NO
0.4527928571428571,YES
0.11985,NO
0.10555,NO
0.14675,NO
0.05775,NO
0.19292857142857142,YES
0.09795,NO
0.17042857142857143,YES
0.0818,NO
0.0823,NO
0.33690714285714285,YES
0.0881,NO
0.08245,NO
0.3527071428571429,YES
0.08405,NO
0.0765,NO
0.37975714285714285,YES
0.0795,NO
0.38935714285714285,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.34385714285714286,YES
0.1792,NO
0.30480714285714283,YES
0.02335,NO
0.0092,NO
0.09862857142857143,YES
0.4554928571428571,YES
0.4196928571428571,YES
0.09772857142857143,YES
0.01945,NO
0.0049,NO
0.13162857142857143,YES
0.0576,NO
0.09312857142857142,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.4397428571428571,YES
0.0307,NO
0.4337928571428571,YES
0.06735,NO
0.4177428571428571,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.10502857142857142,YES
0.0189,NO
0.10327857142857143,YES
0.3654857142857143,YES
0.23838571428571428,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.3339857142857143,YES
0.3989357142857143,YES
0.0702,NO
0.0379,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.0723,NO
0.25648571428571426,YES
0.0475,NO
0.3352357142857143,YES
0.013000000000000001,NO
0.3635357142857143,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.6534,YES
0.12912857142857143,YES
0.11152857142857142,YES
0.6583,YES
0.0434,NO
0.03385,NO
0.7727999999999999,YES
0.0469,NO
0.68855,YES
0.03825,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.1277785714285714,YES
0.03865,NO
0.22152857142857144,YES
0.04105,NO
0.16987857142857143,YES
0.06765,NO
0.0471,NO
0.15115,NO
0.05885,NO
0.6483,YES
0.13105,NO
0.68155,YES
0.0589,NO
0.0237,NO
0.71385,YES
0.18212857142857142,YES
0.17177857142857142,YES
0.62335,YES
0.1096,NO
0.05825,NO
0.65175,YES
0.0943,NO
0.6461,YES
0.0544,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.1474285714285714,YES
0.0441,NO
0.18477857142857143,YES
0.0984,NO
0.15012857142857144,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.65195,YES
0.11705,NO
0.60685,YES
0.0671,NO
0.05495,NO
0.763,YES
0.15257857142857142,YES
0.17122857142857142,YES
0.6648499999999999,YES
0.11349999999999999,NO
0.0811,NO
0.6686,YES
0.0551,NO
0.69505,YES
0.0511,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.1555285714285714,YES
0.09875,NO
0.24252857142857143,YES
0.08865,NO
0.19712857142857143,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.6726,YES
0.16295,NO
0.629,YES
0.03545,NO
0.0366,NO
0.6547000000000001,YES
0.12597857142857144,YES
0.10467857142857143,YES
0.64705,YES
0.0332,NO
0.0278,NO
0.76145,YES
0.05015,NO
0.6802,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.12297857142857142,YES
0.0508,NO
0.22472857142857142,YES
0.03195,NO
0.17877857142857143,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.651,YES
0.11845,NO
0.71315,YES
0.05755,NO
0.04525,NO
0.12282857142857143,YES
0.5354428571428571,YES
0.4896928571428571,YES
0.14852857142857143,YES
0.047,NO
0.0277,NO
0.17327857142857142,YES
0.09855,NO
0.1277285714285714,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.0849,NO
0.4704428571428571,YES
0.0824,NO
0.4943928571428571,YES
0.0754,NO
0.4897928571428571,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.1474285714285714,YES
0.0593,NO
0.1317785714285714,YES
0.06005,NO
0.051500000000000004,NO
0.19842857142857143,YES
0.5213928571428571,YES
0.5383428571428571,YES
0.2010785714285714,YES
0.04905,NO
0.0396,NO
0.21727857142857143,YES
0.0918,NO
0.22337857142857143,YES
0.0671,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.5039928571428571,YES
0.0886,NO
0.6435428571428571,YES
0.0446,NO
0.5868428571428571,YES
0.08385,NO
0.07305,NO
0.14925,NO
0.0674,NO
0.19537857142857143,YES
0.1149,NO
0.18867857142857142,YES
0.044500000000000005,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.03925,NO
0.0526,NO
0.35410714285714284,YES
0.31125714285714284,YES
0.33975714285714287,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.27623571428571425,YES
0.35878571428571426,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.3787857142857143,YES
0.27673571428571425,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.36803571428571424,YES
0.02985,NO
0.3050357142857143,YES
0.0168,NO
0.4010357142857143,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.13157857142857143,YES
0.5014428571428571,YES
0.5010928571428571,YES
0.13612857142857143,YES
0.0249,NO
0.00695,NO
0.17137857142857144,YES
0.05545,NO
0.1408785714285714,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.46329285714285706,YES
0.0099,NO
0.533942857142857,YES
0.05195,NO
0.49849285714285707,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.1393785714285714,YES
0.0404,NO
0.12737857142857142,YES
0.38718571428571424,YES
0.22748571428571426,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.3272857142857143,YES
0.42348571428571424,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.27118571428571425,YES
0.0383,NO
0.37638571428571427,YES
0.01485,NO
0.3846357142857143,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.0619,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.3916642857142857,YES
0.04225,NO
0.3838642857142857,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0829,NO
0.06665,NO
0.1036,NO
0.07595,NO
0.3470642857142857,YES
0.3519142857142857,YES
0.3647642857142857,YES
0.3820642857142857,YES
0.0689,NO
0.3342142857142857,YES
0.059500000000000004,NO
0.3948857142857143,YES
0.23868571428571428,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.2968857142857143,YES
0.4392357142857143,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.27733571428571424,YES
0.0264,NO
0.4038357142857143,YES
0.01645,NO
0.39313571428571426,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.3760642857142857,YES
0.067,NO
0.4266142857142857,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.04075,NO
0.1143,NO
0.0402,NO
0.3343142857142857,YES
0.3382142857142857,YES
0.3475642857142857,YES
0.4222642857142857,YES
0.09685,NO
0.3432642857142857,YES
0.0526,NO
