UPPERTRACED_RFSMOTE_SINGLE_LSA_MEDIAN.csv,Associated
0.07819999999999999,NO
0.06715,YES
0.2022,NO
0.0516,NO
0.17875000000000002,NO
0.5390999999999999,NO
0.33885,NO
0.30505,NO
0.3942,NO
0.10125,NO
0.0829,NO
0.3114,YES
0.36385,NO
0.5551999999999999,YES
0.20934999999999998,NO
0.0978,NO
0.19945000000000002,NO
0.07700000000000001,NO
0.07345,NO
0.19235000000000002,NO
0.11910000000000001,NO
0.29095,NO
0.08965000000000001,NO
0.66985,YES
0.1806,YES
0.45955,YES
0.5046999999999999,YES
0.2363,NO
0.38265,YES
0.04895,NO
0.059250000000000004,NO
0.1037,NO
0.058449999999999995,YES
0.18235,YES
0.12655,YES
0.40655,YES
0.26425,NO
0.2352,NO
0.1434,YES
0.1299,NO
0.088,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.11265,NO
0.12225,YES
0.20550000000000002,NO
0.13115,YES
0.071,NO
0.12775,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.1266,NO
0.07305,YES
0.0858,NO
0.0663,YES
0.19574999999999998,NO
0.05225,NO
0.19905,NO
0.505,NO
0.31735,NO
0.31984999999999997,NO
0.39265,NO
0.11679999999999999,NO
0.10994999999999999,NO
0.20945,YES
0.38725,NO
0.53235,YES
0.23595,NO
0.1118,NO
0.21665,NO
0.07665,NO
0.0525,NO
0.193,NO
0.12065000000000001,NO
0.3028,NO
0.07445,NO
0.56895,YES
0.07225,YES
0.41505000000000003,YES
0.5154,YES
0.24525,NO
0.37784999999999996,YES
0.06655,NO
0.17245,NO
0.08195,NO
0.192,NO
0.50835,NO
0.31179999999999997,NO
0.32395,NO
0.37695,NO
0.08835,NO
0.11989999999999999,NO
0.2814,YES
0.4022,NO
0.49679999999999996,YES
0.17654999999999998,NO
0.04675,NO
0.14735,NO
0.152,NO
0.06635,NO
0.24775000000000003,NO
0.22,NO
0.25545,NO
0.16595,NO
0.6771,YES
0.1648,YES
0.56705,YES
0.44915,YES
0.2215,NO
0.42865,YES
0.0863,NO
0.19695000000000001,NO
0.05345,NO
0.17765,NO
0.5271,NO
0.34235,NO
0.31115,NO
0.3942,NO
0.1002,NO
0.09755,NO
0.28895,YES
0.37639999999999996,NO
0.51415,YES
0.22260000000000002,NO
0.11205,NO
0.21534999999999999,NO
0.0749,NO
0.07075,NO
0.19075,NO
0.12535000000000002,NO
0.2856,NO
0.095,NO
0.6769,YES
0.1747,YES
0.45994999999999997,YES
0.49375,YES
0.2353,NO
0.39515,YES
0.0584,NO
0.16135,NO
0.0507,NO
0.134,NO
0.5543,NO
0.31135,NO
0.26275,NO
0.34025,NO
0.06659999999999999,NO
0.08105,NO
0.32985,YES
0.31534999999999996,NO
0.52735,YES
0.21589999999999998,NO
0.1124,NO
0.21725,NO
0.09245,NO
0.05175,NO
0.2062,NO
0.11375,NO
0.2751,NO
0.10089999999999999,NO
0.6436,YES
0.16515,YES
0.477,YES
0.42285,YES
0.19375,NO
0.3514,YES
0.0495,NO
0.08345,NO
0.02255,NO
0.25475,YES
0.10155,YES
0.08135,YES
0.14235,YES
0.11185,NO
0.08825,NO
0.1633,YES
0.1137,NO
0.16445,YES
0.18795,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.25965,YES
0.04375,NO
0.20345000000000002,YES
0.34145,NO
0.11105,YES
0.06355,NO
0.05,NO
0.16625,NO
0.095,NO
0.16995,YES
0.1258,NO
0.10405,YES
0.08995,NO
0.08735,NO
0.17975,YES
0.1078,NO
0.07675,NO
0.20795,YES
0.16635,NO
0.23985,NO
0.2724,YES
0.1655,NO
0.26405,YES
0.0764,NO
0.1632,NO
0.36515,NO
0.6123999999999999,NO
0.4505,NO
0.10949999999999999,NO
0.1799,NO
0.18365,NO
0.07255,NO
0.13185,NO
0.10455,NO
0.5591999999999999,NO
0.18835,NO
0.17585,NO
0.1947,YES
0.17295,NO
0.6336999999999999,YES
0.0499,NO
0.0832,NO
0.12875,YES
0.1397,YES
0.1116,YES
0.45065,YES
0.28165,NO
0.2287,NO
0.17995,YES
0.1164,NO
0.1654,YES
0.05475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0628,NO
0.09974999999999999,YES
0.15710000000000002,NO
0.135,YES
0.0612,NO
0.09565,YES
0.11985,NO
0.10555,NO
0.14675,NO
0.13275,NO
0.1215,YES
0.12795,NO
0.099,YES
0.5818,NO
0.0873,NO
0.37905,YES
0.0881,NO
0.08245,NO
0.20985,YES
0.09905,NO
0.0865,NO
0.5319,YES
0.0795,NO
0.2465,YES
0.0728,NO
0.1122,NO
0.0921,NO
0.52885,NO
0.08875,NO
0.4853,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.29315,NO
0.2109,NO
0.31320000000000003,NO
0.67005,NO
0.43300000000000005,NO
0.641,YES
0.6092,NO
0.23695,YES
0.03335,NO
0.0742,NO
0.0322,YES
0.09835,YES
0.06255,YES
0.3663,YES
0.23945,NO
0.20989999999999998,NO
0.1002,YES
0.0576,NO
0.0567,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0716,NO
0.0926,YES
0.16570000000000001,NO
0.07665,YES
0.06735,NO
0.0606,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0925,NO
0.0336,YES
0.0489,NO
0.03185,YES
0.1512,YES
0.0241,YES
0.5367,NO
0.0974,NO
0.24295,NO
0.0753,NO
0.39970000000000006,YES
0.18465,YES
0.0702,NO
0.0729,NO
0.52585,NO
0.11850000000000001,NO
0.10655,NO
0.125,NO
0.47730000000000006,NO
0.2022,YES
0.2675,NO
0.32095,YES
0.368,NO
0.40925,YES
0.24385,NO
0.051,NO
0.15134999999999998,NO
0.12795,NO
0.05965,NO
0.51885,NO
0.11,NO
0.5398,NO
0.07195,NO
0.0336,NO
0.1534,YES
0.0877,YES
0.0601,YES
0.1583,YES
0.0434,NO
0.06885,NO
0.2728,YES
0.1119,NO
0.18855,YES
0.17325000000000002,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.26635,YES
0.03865,NO
0.23510000000000003,YES
0.27605,NO
0.14345,YES
0.06765,NO
0.057100000000000005,NO
0.16615000000000002,NO
0.09385,NO
0.1483,YES
0.13105,NO
0.18155,YES
0.0889,NO
0.0237,NO
0.21385,YES
0.1407,YES
0.12035,YES
0.12335,YES
0.1096,NO
0.09325,NO
0.15175,YES
0.1593,NO
0.1461,YES
0.1894,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.286,YES
0.0441,NO
0.19835000000000003,YES
0.3334,NO
0.1237,YES
0.1067,NO
0.10229999999999999,NO
0.1652,NO
0.10110000000000001,NO
0.15195,YES
0.11705,NO
0.10685,YES
0.0971,NO
0.05495,NO
0.263,YES
0.11115,YES
0.1198,YES
0.16485,YES
0.11349999999999999,NO
0.11610000000000001,NO
0.1686,YES
0.12010000000000001,NO
0.19505,YES
0.18610000000000002,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.2941,YES
0.09875,NO
0.2561,YES
0.32365,NO
0.17070000000000002,YES
0.0877,NO
0.07504999999999999,NO
0.19595,NO
0.12075000000000001,NO
0.1726,YES
0.16295,NO
0.129,YES
0.06545000000000001,NO
0.0366,NO
0.1547,YES
0.08455,YES
0.053250000000000006,YES
0.14705,YES
0.0332,NO
0.0628,NO
0.26145,YES
0.11515,NO
0.1802,YES
0.17900000000000002,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.26155,YES
0.0508,NO
0.2383,YES
0.26694999999999997,NO
0.15234999999999999,YES
0.06385,NO
0.05065,NO
0.17175,NO
0.08975,NO
0.151,YES
0.11845,NO
0.21315,YES
0.06755,NO
0.11025,NO
0.0564,YES
0.1783,YES
0.13255,YES
0.4171,YES
0.267,NO
0.2327,NO
0.14185,YES
0.09855,NO
0.0913,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.12490000000000001,NO
0.12329999999999999,YES
0.2174,NO
0.13725,YES
0.0754,NO
0.13265,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.1259,NO
0.076,YES
0.08929999999999999,NO
0.06035,YES
0.07005,NO
0.1165,NO
0.132,YES
0.16425,YES
0.1812,YES
0.46965,YES
0.26905,NO
0.24459999999999998,NO
0.18585000000000002,YES
0.0918,NO
0.18695,YES
0.0671,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.13125,NO
0.15685000000000002,YES
0.22360000000000002,NO
0.2864,YES
0.0446,NO
0.2297,YES
0.08385,NO
0.07305,NO
0.14925,NO
0.1424,NO
0.12395,YES
0.1449,NO
0.11725,YES
0.1195,NO
0.3897,NO
0.11405,NO
0.1054,NO
0.038799999999999994,NO
0.15785,NO
0.22315,NO
0.06675,NO
0.1646,NO
0.08455,NO
0.17925000000000002,NO
0.2026,NO
0.31625,YES
0.1684,YES
0.2019,YES
0.0883,NO
0.040549999999999996,NO
0.26485000000000003,NO
0.02655,NO
0.57755,NO
0.1435,NO
0.48315,NO
0.03725,NO
0.0507,NO
0.41205,NO
0.21925,NO
0.03205,NO
0.29525,NO
0.06195,YES
0.1445,YES
0.4926,NO
0.10265,NO
0.2107,NO
0.03115,NO
0.4445,YES
0.06245,YES
0.0484,NO
0.11095000000000001,NO
0.47665,NO
0.17420000000000002,NO
0.08305,NO
0.1202,NO
0.48310000000000003,NO
0.31375,YES
0.24985000000000002,NO
0.29075,YES
0.37179999999999996,NO
0.44675,YES
0.26885000000000003,NO
0.05815,NO
0.12589999999999998,NO
0.13269999999999998,NO
0.0474,NO
0.48034999999999994,NO
0.07605,NO
0.5347,NO
0.0308,NO
0.07155,NO
0.06515,YES
0.1443,YES
0.14395,YES
0.4047,YES
0.2449,NO
0.21195,NO
0.13995,YES
0.05545,NO
0.10445,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0502,NO
0.11614999999999999,YES
0.1449,NO
0.1768,YES
0.05195,NO
0.14135,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.09365,NO
0.06795,YES
0.07039999999999999,NO
0.05595,YES
0.1729,YES
0.0132,YES
0.52865,NO
0.09775,NO
0.21530000000000002,NO
0.0535,NO
0.393,YES
0.2092,YES
0.05555,NO
0.08585000000000001,NO
0.4985,NO
0.13790000000000002,NO
0.08705,NO
0.11365,NO
0.47100000000000003,NO
0.2169,YES
0.2583,NO
0.3621,YES
0.36984999999999996,NO
0.43035,YES
0.24435,NO
0.03105,NO
0.143,NO
0.1283,NO
0.0363,NO
0.506,NO
0.09140000000000001,NO
0.53065,NO
0.1869,NO
0.04795,NO
0.12955,NO
0.5184,NO
0.28704999999999997,NO
0.2813,NO
0.34985,NO
0.08345,NO
0.10604999999999999,NO
0.21595,YES
0.32725,NO
0.50815,YES
0.2305,NO
0.14150000000000001,NO
0.24020000000000002,NO
0.1207,NO
0.04915,NO
0.2479,NO
0.13165,NO
0.29359999999999997,NO
0.10095000000000001,NO
0.53635,YES
0.0662,YES
0.39905,YES
0.45635,YES
0.19390000000000002,NO
0.34349999999999997,YES
0.059500000000000004,NO
0.1806,YES
0.0244,YES
0.49615,NO
0.09920000000000001,NO
0.2025,NO
0.0339,NO
0.36260000000000003,YES
0.22495,YES
0.04735,NO
0.08895,NO
0.48225,NO
0.13975,NO
0.08325,NO
0.1186,NO
0.47815,NO
0.22305,YES
0.2464,NO
0.38955,YES
0.37145,NO
0.43885,YES
0.256,NO
0.02385,NO
0.12785,NO
0.1287,NO
0.03405,NO
0.48134999999999994,NO
0.0752,NO
0.52845,NO
0.1961,NO
0.045649999999999996,NO
0.1542,NO
0.4989,NO
0.29125,NO
0.29725,NO
0.38645,NO
0.0949,NO
0.09765,NO
0.20035,YES
0.352,NO
0.5509,YES
0.2319,NO
0.12925,NO
0.2238,NO
0.09035,NO
0.0486,NO
0.2081,NO
0.10575000000000001,NO
0.3043,NO
0.06520000000000001,NO
0.5236,YES
0.0525,YES
0.38185,YES
0.49655,YES
0.22185,NO
0.35255,YES
0.0526,NO
