NONETRACED_RFSMOTE_SINGLE_VSM_MEDIAN.csv,Associated
0.10515,YES
0.06975,NO
0.08625000000000001,YES
0.07215,NO
0.36325,NO
0.1617,NO
0.1017,NO
0.0386,NO
0.4259,YES
0.0278,NO
0.24045,YES
0.31584999999999996,NO
0.3875,YES
0.0261,NO
0.08385000000000001,NO
0.08695,NO
0.0997,NO
0.09075000000000001,YES
0.0932,NO
0.09715,YES
0.0772,NO
0.0366,NO
0.13375,NO
0.3891,NO
0.13885,NO
0.09505,NO
0.0992,NO
0.06125,NO
0.1179,NO
0.3114,YES
0.18885000000000002,NO
0.4652,YES
0.09935,NO
0.09280000000000001,NO
0.08445,NO
0.027000000000000003,NO
0.23345,NO
0.05735,NO
0.0591,NO
0.19595,NO
0.38965,NO
0.39485000000000003,YES
0.36060000000000003,YES
0.16955,YES
0.2447,YES
0.1163,NO
0.44265,YES
0.11395,NO
0.04925,NO
0.0487,NO
0.05345,YES
0.34235000000000004,YES
0.28154999999999997,YES
0.30155,YES
0.49925,NO
0.0352,NO
0.4834,YES
0.39490000000000003,NO
0.133,YES
0.13795000000000002,NO
0.11760000000000001,NO
0.24855,NO
0.15875,NO
0.07265,NO
0.26225,YES
0.0705,NO
0.16615,YES
0.071,NO
0.14775,YES
0.28245,NO
0.14029999999999998,NO
0.33640000000000003,NO
0.1616,NO
0.15805000000000002,YES
0.1308,NO
0.2263,YES
0.07075,NO
0.03725,NO
0.20905,NO
0.12,NO
0.07735,NO
0.30984999999999996,NO
0.10765,NO
0.0768,NO
0.10495,NO
0.17445,YES
0.10725,NO
0.58735,YES
0.23095,NO
0.20679999999999998,NO
0.13165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.19565000000000002,NO
0.1328,NO
0.04945,NO
0.12895,YES
0.19224999999999998,YES
0.16005,YES
0.5704,YES
0.22025,NO
0.12284999999999999,YES
0.11155,NO
0.04745,NO
0.06695,NO
0.152,NO
0.19835000000000003,NO
0.1318,NO
0.20395000000000002,NO
0.23195,NO
0.05835,NO
0.1149,NO
0.3464,YES
0.3472,NO
0.1518,YES
0.07155,NO
0.03675,NO
0.09234999999999999,NO
0.102,NO
0.48135,NO
0.08275,NO
0.22999999999999998,NO
0.06545,NO
0.30095,NO
0.6671,YES
0.6098,YES
0.5770500000000001,YES
0.08915,YES
0.1365,NO
0.18364999999999998,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.15765,NO
0.2521,NO
0.13235,NO
0.17115,NO
0.0842,NO
0.0602,NO
0.37755,NO
0.29395,YES
0.2814,NO
0.42915000000000003,YES
0.1126,NO
0.12205,NO
0.10035,NO
0.0249,NO
0.08574999999999999,NO
0.03575,NO
0.09035,NO
0.1106,NO
0.24000000000000002,NO
0.3619,YES
0.3947,YES
0.19995,YES
0.24375000000000002,YES
0.1103,NO
0.23015000000000002,YES
0.2934,NO
0.04135,NO
0.0857,NO
0.054000000000000006,NO
0.5243,NO
0.17635,NO
0.17275000000000001,NO
0.04025,NO
0.22160000000000002,NO
0.08605,NO
0.31484999999999996,YES
0.03035,NO
0.22235,YES
0.1059,NO
0.13240000000000002,NO
0.11224999999999999,NO
0.04745,NO
0.17174999999999999,NO
0.061200000000000004,NO
0.21875,NO
0.0851,NO
0.44089999999999996,NO
0.4586,YES
0.41515,YES
0.547,YES
0.12285,YES
0.06875,NO
0.10139999999999999,YES
0.07450000000000001,NO
0.058449999999999995,NO
0.04755,NO
0.33475,YES
0.16655,YES
0.16635,YES
0.54235,YES
0.12185,NO
0.05325,NO
0.33330000000000004,YES
0.0487,NO
0.34945000000000004,YES
0.05295,NO
0.15155000000000002,NO
0.2248,NO
0.1037,NO
0.0451,NO
0.28964999999999996,YES
0.05875,NO
0.16344999999999998,YES
0.13145,NO
0.08605,YES
0.22855,NO
0.1,NO
0.16625,NO
0.2,NO
0.5749500000000001,YES
0.1508,NO
0.25405,YES
0.08995,NO
0.21735000000000002,NO
0.32475,YES
0.27780000000000005,NO
0.08175,NO
0.33294999999999997,YES
0.12135,NO
0.06485,NO
0.5973999999999999,YES
0.0955,NO
0.67905,YES
0.0764,NO
0.17820000000000003,NO
0.17015,NO
0.1424,NO
0.09050000000000001,NO
0.1495,NO
0.0699,NO
0.34365,NO
0.18755,NO
0.16685,NO
0.10455,NO
0.2542,NO
0.25834999999999997,NO
0.09585,NO
0.25970000000000004,YES
0.24295,NO
0.5186999999999999,YES
0.059899999999999995,NO
0.0332,NO
0.28875,YES
0.5847,YES
0.6116,YES
0.11065,YES
0.06165,NO
0.0237,NO
0.55995,YES
0.5464,NO
0.1304,YES
0.50475,NO
0.16325,NO
0.10805000000000001,NO
0.19240000000000002,NO
0.0228,NO
0.32475,YES
0.0221,NO
0.265,YES
0.0662,NO
0.12065000000000001,YES
0.60985,NO
0.59055,NO
0.27675,NO
0.07775,NO
0.1315,YES
0.14795,NO
0.394,YES
0.0868,NO
0.2673,NO
0.64905,YES
0.1531,NO
0.38244999999999996,NO
0.23985,YES
0.10905000000000001,NO
0.1215,NO
0.6369,YES
0.0795,NO
0.6014999999999999,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.28885,NO
0.09375,NO
0.25529999999999997,NO
0.0827,NO
0.18285,NO
0.15510000000000002,NO
0.15314999999999998,NO
0.1709,NO
0.5232,NO
0.19505,NO
0.11800000000000001,NO
0.20600000000000002,YES
0.1892,NO
0.37195,YES
0.02835,NO
0.0292,NO
0.1572,YES
0.45335,YES
0.28755,YES
0.0463,YES
0.034449999999999995,NO
0.0049,NO
0.0702,YES
0.1476,NO
0.1117,YES
0.13470000000000001,NO
0.0855,NO
0.37165,NO
0.39425,NO
0.0316,NO
0.48760000000000003,YES
0.0307,NO
0.31665,YES
0.07734999999999999,NO
0.5156000000000001,YES
0.0925,NO
0.0507,NO
0.13490000000000002,NO
0.07250000000000001,NO
0.2836,YES
0.28390000000000004,NO
0.03685,YES
0.16620000000000001,YES
0.0241,YES
0.1817,NO
0.15739999999999998,NO
0.16795,NO
0.08030000000000001,NO
0.1447,YES
0.54965,YES
0.23520000000000002,NO
0.0379,NO
0.10085,NO
0.0335,NO
0.23655,NO
0.08,NO
0.0723,NO
0.062200000000000005,YES
0.1275,NO
0.36095,YES
0.15300000000000002,NO
0.31925000000000003,YES
0.01885,NO
0.066,NO
0.21635000000000001,NO
0.06295,NO
0.07465,NO
0.13385,NO
0.135,NO
0.3948,NO
0.04195,NO
0.038599999999999995,NO
0.1684,YES
0.0577,YES
0.1201,YES
0.5683,YES
0.0584,NO
0.20884999999999998,NO
0.4078,YES
0.0469,NO
0.51355,YES
0.03825,NO
0.22210000000000002,NO
0.10335,NO
0.1412,NO
0.042,NO
0.14634999999999998,YES
0.03865,NO
0.23010000000000003,YES
0.05605,NO
0.10844999999999999,YES
0.06765,NO
0.057100000000000005,NO
0.18615,NO
0.07385,NO
0.3883,YES
0.15605,NO
0.36155,YES
0.0589,NO
0.0637,NO
0.25885,YES
0.39070000000000005,YES
0.20534999999999998,YES
0.19835,YES
0.1196,NO
0.05825,NO
0.16175,YES
0.3343,NO
0.2111,YES
0.2044,NO
0.27385000000000004,NO
0.10815000000000001,NO
0.0922,NO
0.0474,NO
0.261,YES
0.0441,NO
0.18335,YES
0.2034,NO
0.1487,YES
0.4017,NO
0.4173,NO
0.3802,NO
0.0761,NO
0.29195000000000004,YES
0.46704999999999997,NO
0.19685,YES
0.0671,NO
0.27995000000000003,NO
0.488,YES
0.11115,YES
0.3948,YES
0.29485,YES
0.4235,NO
0.1711,NO
0.1736,YES
0.0651,NO
0.62005,YES
0.0511,NO
0.08414999999999999,NO
0.31310000000000004,NO
0.14645,NO
0.1017,NO
0.23909999999999998,YES
0.09875,NO
0.1761,YES
0.13365,NO
0.16570000000000001,YES
0.19269999999999998,NO
0.24505,NO
0.20095,NO
0.08575,NO
0.1876,YES
0.17795,NO
0.219,YES
0.03545,NO
0.0716,NO
0.1597,YES
0.05455,YES
0.17825,YES
0.16204999999999997,YES
0.0482,NO
0.0678,NO
0.60145,YES
0.05015,NO
0.43520000000000003,YES
0.049,NO
0.16795,NO
0.06315,NO
0.10985,NO
0.05235,NO
0.14155,YES
0.0508,NO
0.2833,YES
0.18195,NO
0.11235,YES
0.07385,NO
0.08065,NO
0.25175000000000003,NO
0.06975,NO
0.156,YES
0.15345,NO
0.33815,YES
0.05755,NO
0.050249999999999996,NO
0.0514,YES
0.2483,YES
0.59755,YES
0.1671,YES
0.40199999999999997,NO
0.0277,NO
0.10185,YES
0.11855,NO
0.4163,YES
0.3159,NO
0.1244,NO
0.15655,NO
0.17615000000000003,NO
0.0849,NO
0.2883,YES
0.0824,NO
0.25225000000000003,YES
0.1954,NO
0.22765,YES
0.1953,NO
0.10065,NO
0.25555,NO
0.2509,NO
0.20600000000000002,YES
0.1143,NO
0.12535000000000002,YES
0.06505,NO
0.051500000000000004,NO
0.34199999999999997,YES
0.60425,YES
0.32120000000000004,YES
0.16465,YES
0.059050000000000005,NO
0.0446,NO
0.19085000000000002,YES
0.1568,NO
0.17195,YES
0.0671,NO
0.12240000000000001,NO
0.1618,NO
0.11510000000000001,NO
0.09125,NO
0.50685,YES
0.0986,NO
0.32639999999999997,YES
0.0546,NO
0.7047,YES
0.08885,NO
0.14305,NO
0.36424999999999996,NO
0.09240000000000001,NO
0.42895,YES
0.4449,NO
0.30225,YES
0.059500000000000004,NO
0.0847,NO
0.08905,NO
0.1054,NO
0.1488,NO
0.25284999999999996,NO
0.48815,NO
0.02175,NO
0.1896,NO
0.06955,NO
0.07425000000000001,NO
0.0526,NO
0.46125,YES
0.2834,YES
0.2269,YES
0.0383,NO
0.16055,NO
0.03985,NO
0.02655,NO
0.18755,NO
0.20850000000000002,NO
0.02315,NO
0.06225,NO
0.0907,NO
0.02705,NO
0.09925,NO
0.042050000000000004,NO
0.12525,NO
0.06195,YES
0.6144999999999999,YES
0.1376,NO
0.12265000000000001,NO
0.0807,NO
0.03615,NO
0.22949999999999998,YES
0.06245,YES
0.0584,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.62375,YES
0.02985,NO
0.17075,YES
0.0218,NO
0.51175,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.07605,NO
0.0447,NO
0.0208,NO
0.07155,NO
0.46515,YES
0.2543,YES
0.25395,YES
0.23470000000000002,YES
0.30989999999999995,NO
0.03695,NO
0.34495,YES
0.05545,NO
0.21944999999999998,YES
0.0498,NO
0.41385,NO
0.1213,NO
0.09525,NO
0.2102,NO
0.41115,YES
0.1349,NO
0.5367999999999999,YES
0.05195,NO
0.38134999999999997,YES
0.0213,NO
0.039349999999999996,NO
0.09140000000000001,NO
0.13365,NO
0.20295000000000002,YES
0.1254,NO
0.09595000000000001,YES
0.5679000000000001,YES
0.0132,YES
0.20365,NO
0.07775,NO
0.0453,NO
0.23349999999999999,NO
0.133,YES
0.6192,YES
0.16055,NO
0.05085,NO
0.0935,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.0569,YES
0.0383,NO
0.5720999999999999,YES
0.01485,NO
0.41035,YES
0.02435,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0463,NO
0.106,NO
0.0564,NO
0.13565,NO
0.07189999999999999,NO
0.05795,NO
0.04955,NO
0.2234,NO
0.11705000000000002,NO
0.0663,NO
0.03985,NO
0.05845,NO
0.10105,NO
0.14095000000000002,YES
0.04225,NO
0.54315,YES
0.12050000000000001,NO
0.1865,NO
0.13520000000000001,NO
0.0707,NO
0.04915,NO
0.1079,NO
0.06665,NO
0.17859999999999998,NO
0.07595,NO
0.08635000000000001,YES
0.1462,YES
0.16405,YES
0.35135,YES
0.0689,NO
0.048499999999999995,YES
0.0645,NO
0.6006,YES
0.0244,YES
0.14115,NO
0.0892,NO
0.0375,NO
0.0339,NO
0.0826,YES
0.63995,YES
0.07235,NO
0.05395,NO
0.07725,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.06305,YES
0.0264,NO
0.6045499999999999,YES
0.01645,NO
0.43885,YES
0.031,NO
0.02885,NO
0.03285,NO
0.1187,NO
0.03405,NO
0.07135,NO
0.0552,NO
0.043449999999999996,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.1739,NO
0.07125,NO
0.16725,NO
0.15145,NO
0.0549,NO
0.09765,NO
0.09535,YES
0.34700000000000003,NO
0.5809,YES
0.1219,NO
0.23425,NO
0.14379999999999998,NO
0.04035,NO
0.1586,NO
0.0431,NO
0.05575,NO
0.3393,NO
0.0402,NO
0.053599999999999995,YES
0.0525,YES
0.22685,YES
0.21155000000000002,YES
0.19185000000000002,NO
0.06755,YES
0.2376,NO
