UPPERTRACED_SUM_SINGLE_VSM_MAX.csv,Associated
0.4794,NO
0.6359,NO
0.47600000000000003,NO
0.6097,NO
0.3584,NO
0.6356,NO
0.818,NO
0.1997,NO
1.2433,NO
0.2802,NO
0.5309,NO
0.4018,NO
1.9216,YES
1.9658,YES
1.9975,YES
0.1826,NO
0.7931,NO
0.1705,NO
0.3586,NO
0.7401,NO
0.2997,NO
0.2149,NO
0.4806,NO
0.4269,NO
0.439,NO
0.4962,NO
0.4193,NO
1.3013,NO
2.0339,YES
1.0926,YES
0.6465,NO
0.1653,NO
0.0814,NO
0.0935,NO
1.4691,YES
1.9612,YES
0.0968,NO
0.1519,NO
0.1085,NO
0.1784,NO
0.1661,NO
0.3458,NO
0.3488,NO
1.4798,YES
0.1189,NO
2.2142,YES
0.0876,NO
2.8288,YES
0.0877,NO
0.2533,NO
0.2983,NO
0.1354,NO
0.1636,NO
0.2932,NO
0.1362,NO
0.1526,NO
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
2.0339,YES
1.0926,YES
0.6465,NO
0.1555,NO
0.0906,NO
0.107,NO
1.4691,YES
1.9612,YES
0.1111,NO
0.1017,NO
0.1085,NO
0.1661,NO
0.1741,NO
0.3458,NO
0.3488,NO
1.4798,YES
0.1189,NO
2.2142,YES
0.0876,NO
2.8288,YES
0.0745,NO
0.2533,NO
0.2983,NO
0.1266,NO
0.1636,NO
0.2932,NO
0.1362,NO
0.1526,NO
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
2.0339,YES
1.0926,YES
0.6465,NO
0.1584,NO
0.071,NO
0.0935,NO
1.4691,YES
1.9612,YES
0.0947,NO
0.1079,NO
0.1085,NO
0.1661,NO
0.1665,NO
0.3458,NO
0.3488,NO
1.4798,YES
0.1189,NO
2.2142,YES
0.0876,NO
2.8288,YES
0.0745,NO
0.2533,NO
0.2983,NO
0.1274,NO
0.1636,NO
0.2932,NO
0.1362,NO
0.1526,NO
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
