Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,PathAggregation,Technique,AUC,Credibility,LagGlobal,MAP
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,RAW,LSA,NA,ALLTRACED_RFSMOTE_RAW_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,RAW,LSA,NA,ALLTRACED_RFUNDER_RAW_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,MULTI,LSA,NA,ALLTRACED_MAX_MULTI_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,RAW,VSM,NA,ALLTRACED_RFSMOTE_RAW_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFUNDER,SINGLE,VSM,NA,ALLTRACED_RFUNDER_SINGLE_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,SINGLE,LSA,NA,ALLTRACED_RFSMOTE_SINGLE_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,MULTI,LSA,NA,ALLTRACED_SUM_MULTI_LSA,1.0,0.8462585034013606,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,SINGLE,LSA,NA,ALLTRACED_SUM_SINGLE_LSA,1.0,0.8462585034013606,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,RAW,VSM,NA,ALLTRACED_RFNONE_RAW_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,SINGLE,VSM,NA,ALLTRACED_SUM_SINGLE_VSM,1.0,0.2761904761904762,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,MULTI,VSM,NA,ALLTRACED_SUM_MULTI_VSM,1.0,0.2761904761904762,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFSMOTE,MULTI,LSA,NA,ALLTRACED_RFSMOTE_MULTI_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,RAW,VSM,NA,ALLTRACED_MAX_RAW_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,SINGLE,LSA,NA,ALLTRACED_MAX_SINGLE_LSA,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,SUM,RAW,LSA,NA,ALLTRACED_SUM_RAW_LSA,1.0,0.8462585034013606,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,MULTI,VSM,NA,ALLTRACED_MAX_MULTI_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,RFNONE,SINGLE,VSM,NA,ALLTRACED_RFNONE_SINGLE_VSM,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Indirect,100.0,MAX,RAW,LSA,NA,ALLTRACED_MAX_RAW_LSA,1.0,1.0,0.0,1.0
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,SINGLE,LSA,NA,LOWERTRACED_MAX_SINGLE_LSA,0.9829392074290032,0.7360352591740922,0.3412698412698413,0.9658712388741206
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,SINGLE,VSM,NA,LOWERTRACED_MAX_SINGLE_VSM,0.9829392074290032,0.7334190476190476,0.3412698412698413,0.9658712388741206
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,SINGLE,LSA,NA,UPPERTRACED_MAX_SINGLE_LSA,0.9822845804988664,0.7700382891069913,0.3888888888888889,0.9657013842322536
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,SINGLE,VSM,NA,UPPERTRACED_MAX_SINGLE_VSM,0.9822845804988664,0.7618126190476191,0.3888888888888889,0.9657013842322536
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,MULTI,VSM,NA,UPPERTRACED_MAX_MULTI_VSM,0.9633071482561278,0.6960851190476189,0.6071428571428571,0.9279075337387812
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,MULTI,LSA,NA,UPPERTRACED_MAX_MULTI_LSA,0.9633071482561278,0.7284780604149925,0.6071428571428571,0.9279075337387812
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,RAW,LSA,NA,UPPERTRACED_MAX_RAW_LSA,0.9633071482561278,0.7284572458791209,0.6071428571428571,0.9279075337387812
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MAX,RAW,VSM,NA,UPPERTRACED_MAX_RAW_VSM,0.9633071482561278,0.6937182142857142,0.6071428571428571,0.9279075337387812
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,MULTI,VSM,NA,LOWERTRACED_MAX_MULTI_VSM,0.9596898283122772,0.6888740476190476,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,RAW,LSA,NA,LOWERTRACED_MAX_RAW_LSA,0.9596898283122772,0.6975517725517726,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,MULTI,LSA,NA,LOWERTRACED_MAX_MULTI_LSA,0.9596898283122772,0.6975404289706069,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MAX,RAW,VSM,NA,LOWERTRACED_MAX_RAW_VSM,0.9596898283122772,0.6839242857142858,1.6785714285714286,0.9390053816102584
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,SINGLE,LSA,NA,LOWERTRACED_SUM_SINGLE_LSA,0.9523607061872368,0.7518093707016857,0.4801587301587302,0.8891888239466296
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,SINGLE,VSM,NA,LOWERTRACED_SUM_SINGLE_VSM,0.9523607061872368,-0.26681154761904763,0.4801587301587302,0.8891888239466296
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,SINGLE,LSA,NA,UPPERTRACED_SUM_SINGLE_LSA,0.9411510636000432,0.7462845847641587,0.8611111111111112,0.8534525241735065
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,SINGLE,VSM,NA,UPPERTRACED_SUM_SINGLE_VSM,0.9411510636000432,-0.07343511904761905,0.8611111111111112,0.8534525241735065
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,MULTI,LSA,NA,LOWERTRACED_SUM_MULTI_LSA,0.92792355037253,0.7239268164553725,0.9325396825396826,0.8609532173098976
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,MULTI,VSM,NA,LOWERTRACED_SUM_MULTI_VSM,0.92792355037253,-0.13136285714285714,0.9325396825396826,0.8609532173098976
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,RAW,LSA,NA,LOWERTRACED_SUM_RAW_LSA,0.9170378468847856,0.7217150226352795,0.7896825396825397,0.8403418016667935
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,SUM,RAW,VSM,NA,LOWERTRACED_SUM_RAW_VSM,0.9170378468847856,0.4334619047619048,0.7896825396825397,0.8403418016667935
EasyClinic,NONETRACED,Indirect,0.0,MAX,SINGLE,VSM,NA,NONETRACED_MAX_SINGLE_VSM,0.9154991361624014,0.6839835714285715,1.825396825396825,0.8518149488599231
EasyClinic,NONETRACED,Indirect,0.0,MAX,SINGLE,LSA,NA,NONETRACED_MAX_SINGLE_LSA,0.9154991361624014,0.7206195327292928,1.825396825396825,0.8518149488599231
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,MULTI,VSM,NA,UPPERTRACED_SUM_MULTI_VSM,0.8952529424468199,-0.0954829761904762,1.7103174603174602,0.7759705138628438
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,MULTI,LSA,NA,UPPERTRACED_SUM_MULTI_LSA,0.8952529424468199,0.7191517968629223,1.7103174603174602,0.7759705138628438
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,SINGLE,LSA,NA,LOWERTRACED_RFUNDER_SINGLE_LSA,0.8948412698412699,0.9321428571428572,2.3134920634920637,0.8342636895268475
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,RAW,LSA,NA,UPPERTRACED_SUM_RAW_LSA,0.8911598369506533,0.7154200050276845,1.7023809523809523,0.7695319616274482
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,RAW,VSM,NA,UPPERTRACED_SUM_RAW_VSM,0.8911598369506533,0.5445865476190477,1.7023809523809523,0.7695319616274482
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,SINGLE,LSA,NA,LOWERTRACED_RFNONE_SINGLE_LSA,0.8888888888888888,0.9333333333333332,2.3015873015873014,0.8444444444444444
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,SINGLE,VSM,NA,LOWERTRACED_RFUNDER_SINGLE_VSM,0.8829365079365079,0.925,2.3134920634920637,0.8176245210727969
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,SINGLE,LSA,NA,LOWERTRACED_RFSMOTE_SINGLE_LSA,0.8829365079365079,0.925,2.3015873015873014,0.8176245210727969
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,SINGLE,VSM,NA,LOWERTRACED_RFSMOTE_SINGLE_VSM,0.8684807256235827,0.9047619047619048,2.2896825396825395,0.7595959595959596
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,MULTI,LSA,NA,LOWERTRACED_RFUNDER_MULTI_LSA,0.8681972789115645,0.9059523809523812,2.3015873015873014,0.7632159315339039
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,SINGLE,VSM,NA,LOWERTRACED_RFNONE_SINGLE_VSM,0.8650793650793651,0.919047619047619,2.2817460317460316,0.8111111111111111
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,MULTI,VSM,NA,LOWERTRACED_RFUNDER_MULTI_VSM,0.8622448979591837,0.9071428571428573,2.293650793650793,0.7698529411764705
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,MULTI,LSA,NA,LOWERTRACED_RFSMOTE_MULTI_LSA,0.8585600907029479,0.9083333333333332,2.3293650793650795,0.7762413512413512
EasyClinic,NONETRACED,Indirect,0.0,MAX,MULTI,LSA,NA,NONETRACED_MAX_MULTI_LSA,0.8470535039412591,0.6839238004841253,2.2857142857142856,0.7520098970363776
EasyClinic,NONETRACED,Indirect,0.0,MAX,MULTI,VSM,NA,NONETRACED_MAX_MULTI_VSM,0.8470535039412591,0.6640365476190476,2.2857142857142856,0.7520098970363776
EasyClinic,NONETRACED,Indirect,0.0,MAX,RAW,VSM,NA,NONETRACED_MAX_RAW_VSM,0.8464258719360761,0.6887360714285714,2.2896825396825395,0.7509207443292613
EasyClinic,NONETRACED,Indirect,0.0,MAX,RAW,LSA,NA,NONETRACED_MAX_RAW_LSA,0.8464258719360761,0.6795310820211219,2.2896825396825395,0.7509207443292613
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,MULTI,VSM,NA,LOWERTRACED_RFSMOTE_MULTI_VSM,0.8367346938775511,0.8857142857142857,2.3174603174603177,0.7159663865546219
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,MULTI,VSM,NA,LOWERTRACED_RFNONE_MULTI_VSM,0.8268140589569158,0.8892857142857142,2.3015873015873014,0.7319788064201471
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,MULTI,LSA,NA,LOWERTRACED_RFNONE_MULTI_LSA,0.8248299319727891,0.8880952380952379,2.3174603174603177,0.7292134831460674
EasyClinic,NONETRACED,Indirect,0.0,SUM,SINGLE,VSM,NA,NONETRACED_SUM_SINGLE_VSM,0.8170688910484829,-1.0051415476190475,2.1865079365079363,0.6825021738311771
EasyClinic,NONETRACED,Indirect,0.0,SUM,SINGLE,LSA,NA,NONETRACED_SUM_SINGLE_LSA,0.8170688910484829,0.6828828241954189,2.1865079365079363,0.6825021738311771
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,SINGLE,VSM,NA,UPPERTRACED_RFUNDER_SINGLE_VSM,0.8089569160997732,0.7690476190476191,2.2103174603174605,0.5476289682539682
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,SINGLE,LSA,NA,UPPERTRACED_RFUNDER_SINGLE_LSA,0.7998866213151927,0.7928571428571428,2.3095238095238093,0.5589440167284478
EasyClinic,DIRECT,Direct,0.0,,,LSA,NA,DIRECT_NA_NA_LSA,0.7782366915019977,0.6639700160703713,2.293650793650793,0.6795107654487806
EasyClinic,DIRECT,Direct,0.0,,,VSM,NA,DIRECT_NA_NA_VSM,0.7782366915019977,0.6757951190476189,2.293650793650793,0.6795107654487806
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,SINGLE,VSM,NA,UPPERTRACED_RFSMOTE_SINGLE_VSM,0.7517006802721088,0.6761904761904762,2.234126984126984,0.4690572585309427
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,SINGLE,LSA,NA,UPPERTRACED_RFSMOTE_SINGLE_LSA,0.7312925170068025,0.6619047619047619,2.2777777777777777,0.451288056206089
EasyClinic,NONETRACED,Indirect,0.0,SUM,MULTI,VSM,NA,NONETRACED_SUM_MULTI_VSM,0.7202009772162834,-0.8061657142857143,2.3293650793650795,0.5766025354493128
EasyClinic,NONETRACED,Indirect,0.0,SUM,MULTI,LSA,NA,NONETRACED_SUM_MULTI_LSA,0.7202009772162834,0.6252690499075638,2.3293650793650795,0.5766025354493128
EasyClinic,NONETRACED,Indirect,0.0,SUM,RAW,VSM,NA,NONETRACED_SUM_RAW_VSM,0.7102870910268871,0.5315005952380952,2.3293650793650795,0.5674328708529183
EasyClinic,NONETRACED,Indirect,0.0,SUM,RAW,LSA,NA,NONETRACED_SUM_RAW_LSA,0.7102870910268871,0.6138307826707221,2.3293650793650795,0.5674328708529183
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,MULTI,VSM,NA,UPPERTRACED_RFNONE_MULTI_VSM,0.6862244897959183,0.7178571428571429,2.3293650793650795,0.43707658321060383
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,RAW,VSM,NA,UPPERTRACED_RFNONE_RAW_VSM,0.6842403628117915,0.7833333333333333,2.3293650793650795,0.4891534391534391
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,RAW,LSA,NA,UPPERTRACED_RFNONE_RAW_LSA,0.6825396825396824,0.7904761904761904,2.3174603174603177,0.5013468013468013
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,RAW,LSA,NA,UPPERTRACED_RFSMOTE_RAW_LSA,0.6802721088435374,0.6714285714285714,2.3293650793650795,0.4181783824640967
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,SINGLE,VSM,NA,UPPERTRACED_RFNONE_SINGLE_VSM,0.6706349206349207,0.8023809523809524,2.3095238095238093,0.5388888888888889
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,SINGLE,LSA,NA,UPPERTRACED_RFNONE_SINGLE_LSA,0.6499433106575964,0.7892857142857143,2.3134920634920637,0.5071943929086786
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,RAW,VSM,NA,UPPERTRACED_RFSMOTE_RAW_VSM,0.6448412698412698,0.5678571428571428,2.2817460317460316,0.3802741296643736
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,MULTI,LSA,NA,NONETRACED_RFUNDER_MULTI_LSA,0.6320861678004535,0.7738095238095238,2.3174603174603177,0.465954415954416
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,SINGLE,LSA,NA,NONETRACED_RFUNDER_SINGLE_LSA,0.6309523809523809,0.7785714285714286,2.3055555555555562,0.4833333333333334
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,MULTI,LSA,NA,UPPERTRACED_RFUNDER_MULTI_LSA,0.6230158730158729,0.5023809523809524,2.2896825396825395,0.36349331926863576
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,SINGLE,LSA,NA,NONETRACED_MEDIAN_SINGLE_LSA,0.6141952812871181,0.6506830720092915,2.333333333333333,0.4521715088313009
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,SINGLE,VSM,NA,NONETRACED_MEDIAN_SINGLE_VSM,0.6141952812871181,0.6811040476190476,2.333333333333333,0.4521715088313009
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,MULTI,LSA,NA,NONETRACED_RFNONE_MULTI_LSA,0.5969387755102041,0.7547619047619047,2.3293650793650795,0.4235969387755102
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,MULTI,LSA,NA,NONETRACED_MEDIAN_MULTI_LSA,0.5900415721844293,0.6074276415203999,2.3293650793650795,0.4177388737189421
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,MULTI,VSM,NA,NONETRACED_MEDIAN_MULTI_VSM,0.5900415721844293,0.6725257142857143,2.3293650793650795,0.4177388737189421
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,MULTI,VSM,NA,NONETRACED_RFUNDER_MULTI_VSM,0.5875850340136055,0.7464285714285714,2.3134920634920637,0.4032581453634085
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,RAW,LSA,NA,NONETRACED_MEDIAN_RAW_LSA,0.5857325072886298,0.5991013824884792,2.333333333333333,0.4123773324591337
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,RAW,VSM,NA,NONETRACED_MEDIAN_RAW_VSM,0.5857325072886298,0.6916242857142857,2.333333333333333,0.4123773324591337
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,SINGLE,VSM,NA,NONETRACED_RFUNDER_SINGLE_VSM,0.5853174603174603,0.7511904761904762,2.3253968253968256,0.4194444444444444
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,SINGLE,LSA,NA,NONETRACED_RFSMOTE_SINGLE_LSA,0.5850340136054422,0.7380952380952381,2.3253968253968256,0.3867346938775511
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,MULTI,LSA,NA,UPPERTRACED_RFNONE_MULTI_LSA,0.5833333333333333,0.7023809523809523,2.3174603174603177,0.35915492957746475
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,SINGLE,VSM,NA,NONETRACED_RFSMOTE_SINGLE_VSM,0.5751133786848073,0.7226190476190476,2.3253968253968256,0.3643323996265173
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,MULTI,LSA,NA,UPPERTRACED_RFSMOTE_MULTI_LSA,0.5731292517006803,0.4928571428571429,2.333333333333333,0.33539766970618035
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,MULTI,VSM,NA,UPPERTRACED_RFSMOTE_MULTI_VSM,0.5700113378684808,0.4773809523809524,2.333333333333333,0.33350119517632204
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,RAW,LSA,NA,UPPERTRACED_RFUNDER_RAW_LSA,0.5620748299319728,0.4345238095238095,2.3293650793650795,0.32892482330263434
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,MULTI,VSM,NA,UPPERTRACED_RFUNDER_MULTI_VSM,0.5561224489795917,0.3976190476190476,2.333333333333333,0.3256909303230829
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,SINGLE,VSM,NA,NONETRACED_RFNONE_SINGLE_VSM,0.5436507936507936,0.7261904761904762,2.3253968253968256,0.3611111111111111
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,RAW,VSM,NA,UPPERTRACED_RFUNDER_RAW_VSM,0.5396825396825397,0.4047619047619048,2.3095238095238093,0.3177938808373591
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,MULTI,VSM,NA,NONETRACED_RFNONE_MULTI_VSM,0.5357142857142857,0.7214285714285714,2.3293650793650795,0.35
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,RAW,LSA,NA,NONETRACED_RFSMOTE_RAW_LSA,0.530328798185941,0.705952380952381,2.3214285714285716,0.32381920247773904
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,RAW,VSM,NA,NONETRACED_RFSMOTE_RAW_VSM,0.5289115646258504,0.7023809523809523,2.3253968253968256,0.3211180124223602
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,RAW,LSA,NA,LOWERTRACED_RFSMOTE_RAW_LSA,0.5277777777777778,0.7166666666666667,2.3293650793650795,0.3388888888888889
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,SINGLE,LSA,NA,NONETRACED_RFNONE_SINGLE_LSA,0.5198412698412699,0.7119047619047619,2.3293650793650795,0.3277777777777777
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,MULTI,LSA,NA,NONETRACED_RFSMOTE_MULTI_LSA,0.5099206349206349,0.6583333333333333,2.3293650793650795,0.30462962962962964
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,MULTI,VSM,NA,NONETRACED_RFSMOTE_MULTI_VSM,0.5048185941043084,0.655952380952381,2.3293650793650795,0.30213735659280216
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,RAW,LSA,NA,NONETRACED_RFNONE_RAW_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,RAW,VSM,NA,LOWERTRACED_RFSMOTE_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,RAW,LSA,NA,LOWERTRACED_RFUNDER_RAW_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,RAW,LSA,NA,ALLTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,RAW,LSA,NA,LOWERTRACED_RFNONE_RAW_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,SINGLE,VSM,NA,LOWERTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,RAW,VSM,NA,LOWERTRACED_RFUNDER_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,RAW,VSM,NA,NONETRACED_RFNONE_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,RAW,VSM,NA,LOWERTRACED_RFNONE_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,RAW,VSM,NA,LOWERTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,RAW,LSA,NA,LOWERTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,SINGLE,LSA,NA,ALLTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,MULTI,LSA,NA,UPPERTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,SINGLE,VSM,NA,ALLTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,SINGLE,LSA,NA,LOWERTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,MULTI,LSA,NA,ALLTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,RAW,LSA,NA,UPPERTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,RAW,VSM,NA,UPPERTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,SINGLE,VSM,NA,UPPERTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,MULTI,VSM,NA,ALLTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,MULTI,VSM,NA,UPPERTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,RAW,VSM,NA,ALLTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,MULTI,VSM,NA,LOWERTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.3134920634920637,0.3
