,DIRECT_NA_NA_VSM,NONETRACED_MAX_MULTI_LSA,Associated
123,0.1443,0.34527089072543604,NO
124,0.2165,0.5048974594429141,NO
125,0.1934,0.4067952249770431,NO
126,0.1934,0.35827976737067624,NO
127,0.0572,0.5059687786960514,NO
128,0.2318,0.6836547291092745,YES
129,0.0556,0.43112947658402206,NO
130,0.3609,0.41444750535659625,YES
131,0.1417,0.2601775329048056,NO
132,0.255,0.5183654729109273,YES
133,0.0522,0.4664830119375574,NO
134,0.0677,0.5622895622895623,NO
135,0.1439,0.5335169880624424,NO
136,0.0494,0.4524028160391797,NO
137,0.1715,0.5945821854912763,YES
138,0.0964,0.6980410162228343,NO
139,0.1343,0.4937251300887663,YES
140,0.1544,0.5537190082644627,NO
141,0.0732,0.5036730945821855,NO
142,0.1975,0.47842056932966,NO
143,0.2582,0.8093051729415366,NO
144,0.1977,0.5091827364554635,NO
145,0.1701,0.5745332108968473,NO
146,0.1684,0.6287113559840831,NO
147,0.1225,0.35277012549739817,NO
148,0.1458,0.4651056014692378,NO
149,0.4028,0.9999999999999998,YES
150,0.1577,0.5076522803795529,NO
151,0.2904,0.8824609733700641,YES
152,0.1987,0.596265687174778,NO
153,0.1756,0.6382001836547291,NO
154,0.1689,0.5016835016835015,NO
155,0.054000000000000006,0.4507193143556778,NO
156,0.1469,0.6323844505662686,NO
157,0.0547,0.3806244260789714,NO
158,0.1082,0.4072543617998162,NO
159,0.2019,0.6039179675543311,NO
160,0.1293,0.610805019895929,NO
161,0.3897,0.6166207529843892,YES
162,0.3612,0.7806856443220078,YES
163,0.2791,0.5514233241505968,YES
164,0.2894,0.5534129170492805,YES
165,0.2226,0.6311600857055402,NO
166,0.1753,0.6937557392102847,YES
167,0.0979,0.5731558004285278,NO
168,0.0985,0.4194980104071012,NO
169,0.0774,0.3663911845730027,NO
170,0.1069,0.3816957453321089,YES
171,0.3647,0.4599020508111416,YES
172,0.2531,0.42822161003979176,YES
173,0.1331,0.4175084175084175,YES
174,0.0885,0.4248546066727885,NO
175,0.0604,0.2837465564738291,NO
176,0.2068,0.3062442607897153,YES
177,0.2598,0.27640036730945805,NO
178,0.106,0.4080195898377717,YES
179,0.1459,0.25573921028466473,NO
180,0.2252,0.3985307621671258,NO
181,0.2571,0.3996020814202631,NO
182,0.2375,0.2673706764615855,NO
183,0.1453,0.3415977961432507,NO
184,0.2245,0.5632078359351085,YES
185,0.141,0.3682277318640954,NO
186,0.2623,0.3175696357514538,YES
187,0.142,0.17952249770431586,NO
188,0.2555,0.4106213651668196,YES
189,0.2049,0.3640955004591368,NO
190,0.2206,0.497857361493725,NO
191,0.2228,0.4240893786348331,NO
192,0.1032,0.3480257116620752,NO
193,0.1461,0.448270584634221,YES
194,0.1116,0.4240893786348331,NO
195,0.1326,0.3885827976737066,YES
196,0.1415,0.5159167431894705,NO
197,0.0745,0.4550045913682276,NO
198,0.2381,0.5431588613406795,NO
199,0.19,0.7363024181205999,NO
200,0.1547,0.5550964187327823,NO
201,0.1997,0.4934190388735842,NO
202,0.1653,0.5881542699724516,NO
203,0.1536,0.40924395469850017,NO
204,0.1999,0.4505662687480868,NO
205,0.1989,0.9462809917355371,YES
206,0.2045,0.5743801652892562,NO
207,0.2447,0.8328741965105599,YES
208,0.2519,0.5630547903275174,NO
209,0.2036,0.5973370064279153,NO
210,0.2033,0.4657177838996019,NO
211,0.0533,0.41659014386287097,NO
212,0.105,0.6365166819712273,NO
213,0.055999999999999994,0.4245485154576062,NO
214,0.1113,0.4674012855831037,NO
215,0.2256,0.564279155188246,NO
216,0.0989,0.5772880318334863,NO
217,0.1879,0.576522803795531,YES
218,0.1445,0.7347719620446893,YES
219,0.1901,0.5932047750229568,YES
220,0.3108,0.5032139577594121,YES
221,0.2405,0.6216712580348942,NO
222,0.1657,0.5497398224670951,YES
223,0.1331,0.5511172329354146,NO
224,0.0949,0.6414141414141414,NO
225,0.1339,0.7063054790327516,NO
226,0.22399999999999998,0.1648301193755738,NO
227,0.1967,0.15610651974288325,NO
228,0.1436,0.574074074074074,NO
229,0.2079,0.37098255280073456,NO
230,0.1339,0.4700030609121517,NO
231,0.0967,0.7725742271196816,NO
232,0.2198,0.03642485460667277,NO
233,0.3428,0.2603305785123966,YES
234,0.2344,0.5299969390878481,NO
235,0.1736,0.2153351698806244,YES
236,0.1331,0.11937557392102838,NO
237,0.0735,0.26997245179063345,NO
238,0.0647,0.15350474441383533,NO
239,0.204,0.20707070707070696,NO
240,0.1327,0.4580655035200488,NO
241,0.1655,0.33256810529537795,NO
242,0.31,0.04591368227731851,NO
243,0.1309,0.029537802265074964,NO
244,0.2819,0.18564432200795825,NO
245,0.4042,0.7053872053872052,YES
246,0.3296,0.5658096112641566,YES
247,0.4941,0.11723293541475355,YES
248,0.1783,0.7268135904499541,YES
249,0.193,0.23722069176614624,NO
250,0.2673,0.4605142332415061,YES
251,0.1726,0.09335782063054787,NO
252,0.1439,0.6795224977043159,NO
253,0.0769,0.4465870829507193,NO
254,0.1953,0.4897459442913989,NO
255,0.2342,0.7477808386899296,NO
256,0.2047,0.5010713192531373,NO
257,0.1823,0.5514233241505968,NO
258,0.1684,0.5982552800734617,NO
259,0.1204,0.41659014386287097,NO
260,0.1751,0.4392408937863482,NO
261,0.3579,0.9597490052035504,YES
262,0.1828,0.5192837465564737,NO
263,0.2083,0.8452708907254359,YES
264,0.2252,0.5668809305172942,NO
265,0.2041,0.6075910621365166,NO
266,0.2007,0.4747474747474747,NO
267,0.0498,0.4251606978879705,NO
268,0.1415,0.6671258034894398,NO
269,0.0515,0.37725742271196816,NO
270,0.1207,0.4178145087235995,NO
271,0.1912,0.5742271196816651,NO
272,0.14,0.5598408325681052,NO
273,0.4038,0.5866238138965412,YES
274,0.3494,0.7462503826140191,YES
275,0.2799,0.5373431282522192,YES
276,0.2675,0.4935720844811753,YES
277,0.2206,0.5858585858585859,NO
278,0.2003,0.6486072849709212,YES
279,0.1168,0.5122436486072848,NO
280,0.0727,0.5321395775941229,NO
281,0.0714,0.35797367615549425,NO
282,0.10800000000000001,0.4372513008876645,NO
283,0.2886,0.5202020202020201,NO
284,0.1427,0.5283134374043466,NO
285,0.0855,0.5165289256198347,NO
286,0.0605,0.4516375880012243,NO
287,0.0532,0.3640955004591368,NO
288,0.1421,0.3539944903581267,NO
289,0.4397,0.6049892868074684,YES
290,0.0607,0.4652586470768289,NO
291,0.2347,0.5182124273033364,YES
292,0.2118,0.4550045913682276,NO
293,0.2048,0.4938781756963574,NO
294,0.2045,0.3155800428527701,NO
295,0.0849,0.3218549127640036,NO
296,0.1035,0.6778389960208142,NO
297,0.0824,0.3307315580042852,NO
298,0.0975,0.3689929599020506,NO
299,0.1702,0.3128252219161309,NO
300,0.1518,0.46786042240587705,NO
301,0.3372,0.4184266911539637,YES
302,0.3303,0.6025405570860116,YES
303,0.314,0.4822467095194367,YES
304,0.1257,0.4012855831037647,YES
305,0.1375,0.507805325987144,NO
306,0.1128,0.5237220691766147,YES
307,0.099,0.4444444444444443,NO
308,0.1069,0.5168350168350166,NO
309,0.0451,0.5977961432506886,NO
310,0.5095,0.6991123354759716,YES
311,0.1431,0.8053259871441689,YES
312,0.1227,0.7128864401591672,YES
313,0.2847,0.6420263238445054,YES
314,0.2237,0.4779614325068869,NO
315,0.1065,0.5453014998469543,NO
316,0.3266,0.5927456382001834,YES
317,0.0974,0.7229874502601774,NO
318,0.3289,0.7349250076522804,YES
319,0.1059,0.6270278543005816,NO
320,0.2131,0.7219161310070399,NO
321,0.1496,0.4647995102540558,NO
322,0.1474,0.5436179981634528,NO
323,0.0902,0.5333639424548515,NO
324,0.0993,0.6131007040097949,YES
325,0.0875,0.5629017447199265,NO
326,0.2369,0.6120293847566574,YES
327,0.2129,0.4243954698500152,NO
328,0.1321,0.7382920110192837,YES
329,0.1271,0.6752372206917661,NO
330,0.08,0.5440771349862259,NO
331,0.3025,0.7566574839302111,NO
332,0.12,0.6531986531986531,NO
333,0.3399,0.7894092439546985,YES
334,0.2516,0.7067646158555247,NO
335,0.2081,0.7082950719314354,YES
336,0.1799,0.57927762473217,NO
337,0.1547,0.34649525558616456,NO
338,0.3595,0.3143556779920416,YES
339,0.2156,0.3865932047750229,NO
340,0.1535,0.3236914600550963,NO
341,0.4159,0.4548515457606366,YES
342,0.1827,0.41000918273645537,NO
343,0.1097,0.40342822161003977,NO
344,0.5448,0.5113253749617386,YES
345,0.191,0.217018671564126,NO
346,0.4381,0.4834710743801652,YES
347,0.1528,0.1978879706152432,NO
348,0.3264,0.3299663299663299,NO
349,0.3203,0.3223140495867768,NO
350,0.2648,0.2087542087542087,NO
351,0.171,0.3221610039791857,NO
352,0.21899999999999997,0.4436792164064891,NO
353,0.1398,0.3481787572696663,NO
354,0.3673,0.2551270278543005,NO
355,0.1451,0.1276400367309457,NO
356,0.2637,0.3409856137128863,NO
357,0.1991,0.298132843587389,NO
358,0.1784,0.2568105295378021,NO
359,0.3767,0.35353535353535337,NO
360,0.1917,0.283287419651056,NO
361,0.3794,0.3758800122436485,YES
362,0.3359,0.453474135292317,NO
363,0.2874,0.32063054790327505,YES
364,0.0798,0.4808692990511172,NO
365,0.0364,0.5015304560759104,NO
366,0.2475,0.5939700030609121,YES
367,0.2794,0.6908478726660543,YES
368,0.2232,0.6065197428833791,YES
369,0.2213,0.7770125497398224,YES
370,0.1233,0.4865319865319865,NO
371,0.0474,0.453474135292317,NO
372,0.2799,0.4967860422405877,YES
373,0.2328,0.5036730945821855,NO
374,0.2608,0.716712580348944,YES
375,0.1095,0.4377104377104376,NO
376,0.2365,0.6147842056932966,NO
377,0.2061,0.460820324456688,NO
378,0.2048,0.4520967248239974,NO
379,0.0456,0.4427609427609427,NO
380,0.1795,0.5252525252525253,YES
381,0.0442,0.4696969696969696,NO
382,0.27,0.5143862871135598,YES
383,0.1224,0.3432812978267523,NO
384,0.1913,0.6296296296296295,YES
385,0.2397,0.5720844811753902,NO
386,0.2111,0.4938781756963574,NO
387,0.2935,0.6464646464646464,NO
388,0.1155,0.552035506580961,NO
389,0.243,0.6763085399449036,YES
390,0.1959,0.6936026936026936,NO
391,0.198,0.6023875114784205,YES
392,0.1636,0.5569329660238751,NO
393,0.1646,0.3437404346495254,NO
394,0.3881,0.23706764615855516,YES
395,0.1762,0.18717477808386884,NO
396,0.1649,0.2479338842975206,NO
397,0.4197,0.32583409856137113,YES
398,0.1681,0.4005203550658095,NO
399,0.153,0.3847566574839302,NO
400,0.4738,0.2744107744107743,YES
401,0.159,0.05555555555555547,NO
402,0.493,0.2868074686256503,YES
403,0.1456,0.043617998163452576,NO
404,0.2244,0.23324150596877855,NO
405,0.1542,0.3120599938781757,NO
406,0.1277,0.16850321395775936,NO
407,0.1775,0.3194061830425465,NO
408,0.2106,0.4240893786348331,NO
409,0.1654,0.34542393633302715,NO
410,0.3557,0.08524640342822154,NO
411,0.0902,0.0,NO
412,0.2663,0.15182124273033348,NO
413,0.2218,0.29002142638506256,NO
414,0.1764,0.2543617998163452,NO
415,0.3901,0.16161616161616155,NO
416,0.21600000000000003,0.32629323538414445,NO
417,0.402,0.2555861646770737,YES
418,0.3584,0.3683807774716865,NO
419,0.3239,0.13605754514845414,YES
420,0.0467,0.22344658708295065,NO
421,0.0184,0.18166513621059066,NO
422,0.0544,0.17936945209672472,YES
423,0.1967,0.2396694214876032,YES
424,0.1251,0.2422711968166513,YES
425,0.0526,0.2595653504744413,YES
426,0.0389,0.273492500765228,NO
427,0.0098,0.1141720232629323,NO
428,0.1204,0.11906948270584627,YES
429,0.1152,0.09810223446587074,NO
430,0.0434,0.2235996326905416,YES
431,0.0994,0.08218549127640029,NO
432,0.171,0.19237832874196506,NO
433,0.1733,0.15595347413529226,NO
434,0.1785,0.09106213651668194,NO
435,0.0632,0.16207529843893476,NO
436,0.1652,0.3503213957759411,YES
437,0.0614,0.1830425466789103,NO
438,0.1533,0.12993572084481164,YES
439,0.1347,0.023415977961432462,NO
440,0.1212,0.20171411080501975,YES
441,0.015,0.1657483930211202,NO
442,0.0714,0.29507193143556776,NO
443,0.0698,0.21212121212121204,NO
444,0.035,0.1533516988062441,NO
445,0.0672,0.23063973063973064,YES
446,0.0378,0.23890419344964786,NO
447,0.0637,0.1845730027548209,YES
448,0.3024,0.4614325068870522,YES
449,0.0482,0.5379553106825834,YES
450,0.3634,0.6337618610345883,NO
451,0.1548,0.7341597796143249,NO
452,0.1459,0.6466176920722373,NO
453,0.1506,0.5797367615549434,NO
454,0.2394,0.4380165289256197,YES
455,0.3693,0.4882154882154882,YES
456,0.1404,0.5330578512396693,NO
457,0.0758,0.7467095194367921,NO
458,0.1517,0.6675849403122129,NO
459,0.067,0.6888582797673706,NO
460,0.2131,0.6551882460973368,NO
461,0.16,0.4459749005203549,NO
462,0.1446,0.4866850321395776,NO
463,0.0844,0.4770431588613405,YES
464,0.095,0.5523415977961432,NO
465,0.2419,0.5048974594429141,YES
466,0.026000000000000002,0.5514233241505968,NO
467,0.2985,0.4173553719008264,YES
468,0.0377,0.6707988980716253,NO
469,0.102,0.6111111111111109,NO
470,0.0927,0.5644322007958371,NO
471,0.1259,0.6880930517294153,NO
472,0.1193,0.5902969084787266,NO
473,0.2177,0.7191613100704008,NO
474,0.15,0.6409550045913681,NO
475,0.0996,0.6424854606672787,NO
476,0.0839,0.6111111111111109,NO
477,0.0672,0.448270584634221,NO
478,0.3068,0.35751453933272104,YES
479,0.1154,0.3988368533823079,YES
480,0.0802,0.3351698806244261,YES
481,0.3166,0.5413223140495866,YES
482,0.0868,0.5122436486072848,NO
483,0.0677,0.4302112029384756,NO
484,0.5456,0.3288950107131924,YES
485,0.0938,0.2269666360575451,NO
486,0.3771,0.4921946740128557,YES
487,0.0765,0.20752984389348014,NO
488,0.3042,0.3414447505356596,NO
489,0.1867,0.4126109580655035,NO
490,0.2024,0.2516069788797061,NO
491,0.084,0.42102846648301184,NO
492,0.1127,0.4715335169880624,YES
493,0.0773,0.4502601775329047,NO
494,0.3002,0.2656871747780837,YES
495,0.0821,0.13621059075604525,NO
496,0.1969,0.35261707988980706,YES
497,0.1353,0.3091521273339455,NO
498,0.0942,0.3480257116620752,NO
499,0.3023,0.3653198653198653,NO
500,0.1177,0.37037037037037024,NO
501,0.2966,0.44689317416590135,YES
502,0.2621,0.4993878175696356,NO
503,0.3631,0.33195592286501363,YES
504,0.1178,0.5307621671258034,NO
505,0.0474,0.6075910621365166,NO
506,0.4277,0.7096724823997551,YES
507,0.2214,0.8169574533210897,YES
508,0.2007,0.7235996326905416,YES
509,0.2467,0.6521273339455156,YES
510,0.2192,0.4866850321395776,NO
511,0.1165,0.5544842363024179,NO
512,0.3035,0.6023875114784205,YES
513,0.1886,0.7915518824609733,NO
514,0.2922,0.7457912457912457,YES
515,0.1088,0.6902356902356903,NO
516,0.2277,0.7327823691460054,NO
517,0.1763,0.4799510254055706,NO
518,0.1744,0.5529537802265074,NO
519,0.0948,0.5425466789103153,NO
520,0.152,0.6228956228956228,YES
521,0.0882,0.5723905723905722,NO
522,0.2267,0.6218243036424853,YES
523,0.1968,0.4502601775329047,NO
524,0.1574,0.7493112947658402,YES
525,0.2134,0.6854912764003673,NO
526,0.1846,0.6026936026936027,NO
527,0.3004,0.7678298132843586,NO
528,0.1322,0.6634527089072542,NO
529,0.3039,0.8008876645240279,YES
530,0.2341,0.7174778083868991,NO
531,0.2137,0.7190082644628097,YES
532,0.1342,0.43970003060912144,NO
533,0.1099,0.3853688399142944,NO
534,0.526,0.4150596877869603,YES
535,0.1623,0.4961738598102234,YES
536,0.1996,0.4256198347107437,YES
537,0.3297,0.37144168962350776,YES
538,0.22699999999999998,0.4450566268748086,NO
539,0.1622,0.4256198347107437,NO
540,0.3372,0.3337924701561065,YES
541,0.1102,0.3056320783593509,NO
542,0.3901,0.4424548515457606,YES
543,0.1022,0.28420569329660217,NO
544,0.1483,0.4325068870523415,NO
545,0.0862,0.352157943067034,NO
546,0.0629,0.29629629629629617,NO
547,0.2034,0.3599632690541781,NO
548,0.1682,0.3494031221303948,YES
549,0.1975,0.3872053872053871,NO
550,0.3422,0.3484848484848484,YES
551,0.1773,0.20523415977961426,NO
552,0.2514,0.4450566268748086,YES
553,0.1754,0.396847260483624,NO
554,0.1301,0.2917049280685643,NO
555,0.3619,0.4589837771655954,NO
556,0.1715,0.4314355677992041,NO
557,0.3452,0.4840832568105294,YES
558,0.3259,0.4208754208754208,NO
559,0.258,0.4220997857361493,YES
560,0.0709,0.5763697581879399,NO
561,0.0732,0.3640955004591368,NO
562,0.3094,0.27854300581573305,YES
563,0.1091,0.23676155494337306,YES
564,0.0665,0.26186103458830723,YES
565,0.2941,0.43403734312825215,YES
566,0.0664,0.4222528313437404,NO
567,0.0556,0.4011325374961737,NO
568,0.5229,0.20752984389348014,YES
569,0.1003,0.0956535047444138,NO
570,0.3604,0.3899602081420263,YES
571,0.08800000000000001,0.07973676155494325,NO
572,0.2859,0.25084175084175075,NO
573,0.1263,0.33164983164983153,NO
574,0.1497,0.1847260483624119,NO
575,0.1047,0.33930211202938465,NO
576,0.1031,0.4412304866850321,YES
577,0.1016,0.36593204775022936,NO
578,0.3066,0.1273339455157636,YES
579,0.0639,0.021273339455157525,NO
580,0.2147,0.19880624426078966,YES
581,0.1277,0.2301805938169573,NO
582,0.0813,0.2725742271196816,NO
583,0.3135,0.2092133455769819,NO
584,0.1095,0.2811447811447809,NO
585,0.302,0.3498622589531679,YES
586,0.2369,0.4179675543311906,NO
587,0.4263,0.21166207529843886,YES
588,0.1151,0.4964799510254054,NO
589,0.0905,0.4389348025711661,NO
590,0.1028,0.4173553719008264,YES
591,0.3566,0.4986225895316802,YES
592,0.2651,0.4629629629629628,YES
593,0.1542,0.4519436792164063,YES
594,0.094,0.5021426385062748,NO
595,0.0554,0.34618916437098257,NO
596,0.2037,0.34649525558616456,YES
597,0.1971,0.307774716865626,NO
598,0.1126,0.4447505356596265,YES
599,0.1418,0.2861952861952861,NO
600,0.2488,0.43480257116620746,NO
601,0.2731,0.42822161003979176,NO
602,0.2523,0.2982858891949801,NO
603,0.1698,0.4119987756351391,NO
604,0.2266,0.6029996939087847,YES
605,0.1648,0.44092439546985,NO
606,0.2745,0.3506274869911233,YES
607,0.1508,0.20707070707070696,NO
608,0.2653,0.4473523109886745,YES
609,0.1206,0.3989898989898989,NO
610,0.1613,0.5315273951637587,NO
611,0.1611,0.4614325068870522,NO
612,0.1018,0.382154882154882,NO
613,0.152,0.4865319865319865,YES
614,0.1186,0.4664830119375574,NO
615,0.1207,0.4243954698500152,YES
616,0.1201,0.4383226201408018,NO
617,0.10300000000000001,0.38414447505356586,NO
618,0.254,0.3477196204468932,YES
619,0.3285,0.21747780838689912,YES
620,0.3624,0.2578818487909397,YES
621,0.2593,0.3564432200795836,YES
622,0.0981,0.4537802265074991,NO
623,0.0792,0.3409856137128863,NO
624,0.2917,0.14891337618610345,YES
625,0.1836,0.08004285277012535,NO
626,0.3039,0.3318028772574225,YES
627,0.1342,0.06458524640342811,NO
628,0.1448,0.26828895010713183,NO
629,0.1036,0.35093357820630544,NO
630,0.0702,0.2006427915518824,NO
631,0.1825,0.3587389041934496,NO
632,0.2937,0.3556779920416283,YES
633,0.1772,0.3859810223446586,NO
634,0.5728,0.11095806550351994,YES
635,0.0892,0.007652280379553011,NO
636,0.4594,0.1804407713498621,YES
637,0.1677,0.3373125191307009,NO
638,0.1461,0.2904805632078359,NO
639,0.2985,0.1906948270584633,NO
640,0.1348,0.3757269666360576,NO
641,0.2479,0.2918579736761553,YES
642,0.2298,0.4995408631772267,NO
643,0.2345,0.16406489133761848,YES
644,0.08900000000000001,0.2929292929292928,NO
645,0.0394,0.32598714416896235,NO
646,0.1381,0.4023569023569023,NO
647,0.2108,0.4823997551270278,NO
648,0.0676,0.4126109580655035,NO
649,0.0957,0.3907254361799817,NO
650,0.0963,0.2975206611570247,NO
651,0.0435,0.2865013774104682,NO
652,0.2592,0.3221610039791857,NO
653,0.1291,0.4423018059381695,NO
654,0.0785,0.4292929292929293,NO
655,0.1052,0.41643709825528,NO
656,0.4225,0.4194980104071012,YES
657,0.3368,0.31343740434649514,YES
658,0.3938,0.2852770125497397,YES
659,0.0766,0.2774716865625956,NO
660,0.0711,0.3374655647382919,NO
661,0.0797,0.29981634527089074,NO
662,0.0531,0.3367003367003367,NO
663,0.1551,0.19543924089378628,NO
664,0.077,0.4318947046219772,NO
665,0.0463,0.3842975206611569,NO
666,0.0745,0.2803795531068257,NO
667,0.1014,0.4456688093051728,NO
668,0.0541,0.3677685950413223,NO
669,0.1685,0.4703091521273338,NO
670,0.0541,0.4080195898377717,NO
671,0.2105,0.40924395469850017,NO
672,0.1239,0.3842975206611569,YES
673,0.289,0.4546985001530455,YES
674,0.2752,0.5426997245179062,NO
675,0.1653,0.6351392715029078,NO
676,0.0814,0.5547903275176003,NO
677,0.0623,0.4931129476584022,NO
678,0.32899999999999996,0.3504744413835321,YES
679,0.1249,0.40893786348331773,YES
680,0.0968,0.4502601775329047,NO
681,0.1519,0.6291704928068564,NO
682,0.0533,0.5739210284664829,NO
683,0.1784,0.5982552800734617,NO
684,0.1661,0.5625956535047443,NO
685,0.1504,0.33884297520661155,NO
686,0.1562,0.4075604530149983,NO
687,0.3075,0.3985307621671258,YES
688,0.0597,0.46786042240587705,NO
689,0.1815,0.4242424242424241,YES
690,0.0336,0.4669421487603305,NO
691,0.3735,0.3037955310682582,YES
692,0.0877,0.576828895010713,NO
693,0.1163,0.5218855218855218,NO
694,0.0418,0.4248546066727885,NO
695,0.1354,0.5928986838077748,NO
696,0.0948,0.5029078665442301,NO
697,0.1407,0.6213651668197122,NO
698,0.0821,0.5494337312519129,NO
699,0.0894,0.5508111417202326,NO
700,0.0416,0.4565350474441382,NO
701,0.0131,0.3588919498010407,NO
702,0.1203,0.4785736149372512,YES
703,0.2886,0.5214263850627485,YES
704,0.2879,0.4488827670645851,YES
705,0.1294,0.6331496786042241,YES
706,0.0498,0.5224977043158859,NO
707,0.0139,0.3177226813590449,NO
708,0.1999,0.4093970003060912,YES
709,0.1109,0.32598714416896235,NO
710,0.1389,0.5944291398836854,YES
711,0.0996,0.3041016222834403,NO
712,0.1977,0.4560759106213651,NO
713,0.1726,0.32506887052341593,NO
714,0.1805,0.3164983164983164,NO
715,0.0204,0.4242424242424241,NO
716,0.2123,0.5875420875420874,YES
717,0.0198,0.34450566268748084,NO
718,0.3536,0.37006427915518814,YES
719,0.1039,0.22314049586776846,NO
720,0.2827,0.4689317416590143,YES
721,0.0426,0.4194980104071012,NO
722,0.0387,0.4759718396082032,NO
723,0.1228,0.4833180287725742,NO
724,0.0373,0.4932659932659932,NO
725,0.1359,0.5806550352004898,YES
726,0.0808,0.6008570554025099,NO
727,0.1119,0.4453627180899907,YES
728,0.3458,0.4626568717477807,YES
729,0.0264,0.5393327211509029,YES
730,0.3473,0.6352923171104989,NO
731,0.1555,0.7358432812978266,NO
732,0.0906,0.648301193755739,NO
