,DIRECT_NA_NA_VSM,NONETRACED_SUM_SINGLE_VSM,Associated
73,0.1268,0.7523,NO
74,0.1947,2.1974,NO
75,0.1755,1.2484,NO
76,0.2202,1.9938,NO
77,0.4465,3.0289,YES
78,0.4252,3.2117,YES
79,0.3653,3.3547,YES
80,0.1771,2.5537,YES
81,0.1659,1.8696,NO
82,0.1927,2.5271,YES
83,0.1251,1.9788,NO
84,0.1303,2.3695,YES
85,0.1814,2.5269999999999997,YES
86,0.3356,3.1293,NO
87,0.1662,2.7189,NO
88,0.1507,2.4446,NO
89,0.1441,3.6264,NO
90,0.3435,3.4583,YES
91,0.1243,1.7932,YES
92,0.1731,3.6572,NO
93,0.0952,1.6913,NO
94,0.1364,3.4760000000000004,NO
95,0.0887,1.8409,NO
96,0.2289,2.7221,NO
97,0.2088,2.9064,NO
98,0.2075,2.8089999999999997,NO
99,0.1923,1.9659,YES
100,0.0927,3.6927,NO
101,0.0821,1.9519,YES
102,0.0311,3.1397,NO
103,0.3081,3.9139,YES
104,0.0406,2.4492,NO
105,0.1251,2.3726,NO
106,0.091,2.5925,NO
107,0.11800000000000001,3.2438,NO
108,0.1053,2.6056,NO
109,0.2201,3.4835,NO
110,0.1351,3.0105,NO
111,0.1328,3.7617,NO
112,0.0724,1.1824,NO
113,0.0244,1.3868,NO
114,0.1404,2.5121,YES
115,0.3348,3.6956,YES
116,0.2937,3.8154,YES
117,0.14300000000000002,3.2318,YES
118,0.0826,1.9556,NO
119,0.013000000000000001,0.6611,NO
120,0.2103,3.1512,YES
121,0.1395,1.0123,NO
122,0.1325,3.2704,YES
123,0.1443,1.0795,NO
124,0.2165,1.8358,NO
125,0.1934,2.0008,NO
126,0.1934,2.0234,NO
127,0.0572,0.7818,NO
128,0.2318,5.0242,YES
129,0.0556,0.7743,NO
130,0.3609,4.6518,YES
131,0.1417,1.8757,NO
132,0.255,3.7784,YES
133,0.0522,1.6586,NO
134,0.0677,1.9479,NO
135,0.1439,2.7913,NO
136,0.0494,1.7162,NO
137,0.1715,3.0113,YES
138,0.0964,2.5657,NO
139,0.1343,3.0392,YES
140,0.1544,1.4141,NO
141,0.0732,1.2626,NO
142,0.1975,1.7724,NO
143,0.2582,2.5389,NO
144,0.1977,2.0731,NO
145,0.1701,2.278,NO
146,0.1684,1.9341,NO
147,0.1225,1.0241,NO
148,0.1458,1.9663,NO
149,0.4028,2.8317,YES
150,0.1577,2.1681,NO
151,0.2904,2.4337,YES
152,0.1987,1.3147,NO
153,0.1756,1.624,NO
154,0.1689,1.3877,NO
155,0.054000000000000006,1.0185,NO
156,0.1469,2.9474,NO
157,0.0547,1.1555,NO
158,0.1082,2.1776,NO
159,0.2019,1.9262,NO
160,0.1293,1.9680000000000002,NO
161,0.3897,3.0505,YES
162,0.3612,3.2789,YES
163,0.2791,3.3445,YES
164,0.2894,2.763,YES
165,0.2226,2.0903,NO
166,0.1753,2.5475,YES
167,0.0979,2.0983,NO
168,0.0985,1.1982,NO
169,0.0774,1.4732,NO
170,0.1069,1.7604,YES
171,0.3647,4.2319,YES
172,0.2531,3.91,YES
173,0.1331,2.5463,YES
174,0.0885,2.0023,NO
175,0.0604,0.6596,NO
176,0.2068,2.4973,YES
177,0.2598,2.5580000000000003,NO
178,0.106,2.4214,YES
179,0.1459,2.1686,NO
180,0.2252,1.6946,NO
181,0.2571,2.1481,NO
182,0.2375,2.0686,NO
183,0.1453,0.9275,NO
184,0.2245,5.0469,YES
185,0.141,0.845,NO
186,0.2623,3.9953,YES
187,0.142,1.7333,NO
188,0.2555,3.5884,YES
189,0.2049,2.8267,NO
190,0.2206,3.2884,NO
191,0.2228,3.2802,NO
192,0.1032,2.4236,NO
193,0.1461,2.276,YES
194,0.1116,2.4962,NO
195,0.1326,2.5309,YES
196,0.1415,1.3433,NO
197,0.0745,1.2687,NO
198,0.2381,2.0178,NO
199,0.19,1.8616,NO
200,0.1547,1.5973,NO
201,0.1997,2.5383,NO
202,0.1653,1.8935,NO
203,0.1536,0.9887,NO
204,0.1999,2.4213,NO
205,0.1989,1.8875,YES
206,0.2045,2.487,NO
207,0.2447,1.9754,YES
208,0.2519,1.7387,NO
209,0.2036,1.827,NO
210,0.2033,1.7007,NO
211,0.0533,0.8691,NO
212,0.105,2.448,NO
213,0.055999999999999994,0.9944,NO
214,0.1113,2.0021,NO
215,0.2256,1.9831,NO
216,0.0989,1.6037,NO
217,0.1879,2.2059,YES
218,0.1445,2.3493,YES
219,0.1901,2.7806,YES
220,0.3108,2.5194,YES
221,0.2405,2.3699,NO
222,0.1657,2.3712,YES
223,0.1331,2.5034,NO
224,0.0949,1.2142,NO
225,0.1339,1.4861,NO
226,0.22399999999999998,2.6897,NO
227,0.1967,2.3816,NO
228,0.1436,2.2192,NO
229,0.2079,3.3179,NO
230,0.1339,2.1035,NO
231,0.0967,0.79,NO
232,0.2198,2.8618,NO
233,0.3428,2.6137,YES
234,0.2344,3.4206,NO
235,0.1736,2.0856,YES
236,0.1331,1.3012,NO
237,0.0735,1.4805,NO
238,0.0647,1.0445,NO
239,0.204,1.1082,NO
240,0.1327,3.4248,NO
241,0.1655,0.9954,NO
242,0.31,3.1445,NO
243,0.1309,1.5118,NO
244,0.2819,2.5541,NO
245,0.4042,3.2054,YES
246,0.3296,3.2499,YES
247,0.4941,4.1976,YES
248,0.1783,2.8421,YES
249,0.193,2.9556,NO
250,0.2673,3.5335,YES
251,0.1726,2.8828,NO
252,0.1439,1.2836,NO
253,0.0769,1.2112,NO
254,0.1953,1.7341,NO
255,0.2342,2.4157,NO
256,0.2047,1.9702,NO
257,0.1823,2.3008,NO
258,0.1684,1.8381,NO
259,0.1204,0.9077,NO
260,0.1751,2.0331,NO
261,0.3579,2.7588,YES
262,0.1828,2.1876,NO
263,0.2083,2.346,YES
264,0.2252,1.3832,NO
265,0.2041,1.6428,NO
266,0.2007,1.4111,NO
267,0.0498,0.8891,NO
268,0.1415,2.8204,NO
269,0.0515,0.9879,NO
270,0.1207,2.0783,NO
271,0.1912,1.7243,NO
272,0.14,1.8387,NO
273,0.4038,2.9805,YES
274,0.3494,3.1931,YES
275,0.2799,3.2874,YES
276,0.2675,2.7007,YES
277,0.2206,2.0913,NO
278,0.2003,2.5222,YES
279,0.1168,2.162,NO
280,0.0727,0.9777,NO
281,0.0714,1.0537,NO
282,0.10800000000000001,1.1458,NO
283,0.2886,2.3502,NO
284,0.1427,1.8607,NO
285,0.0855,1.5207,NO
286,0.0605,1.5283,NO
287,0.0532,0.6417,NO
288,0.1421,1.3656,NO
289,0.4397,2.6228,YES
290,0.0607,1.4145,NO
291,0.2347,2.1094,YES
292,0.2118,1.0529,NO
293,0.2048,1.3967,NO
294,0.2045,1.1917,NO
295,0.0849,0.8486,NO
296,0.1035,2.5922,NO
297,0.0824,0.8107,NO
298,0.0975,1.7558,NO
299,0.1702,1.3373,NO
300,0.1518,1.7604,NO
301,0.3372,2.6842,YES
302,0.3303,2.9357,YES
303,0.314,2.7489999999999997,YES
304,0.1257,2.2297,YES
305,0.1375,1.3388,NO
306,0.1128,1.936,YES
307,0.099,1.5019999999999998,NO
308,0.1069,1.7164,NO
309,0.0451,1.954,NO
310,0.5095,4.7299,YES
311,0.1431,2.0046,YES
312,0.1227,2.3152,YES
313,0.2847,5.5628,YES
314,0.2237,2.8542,NO
315,0.1065,1.18,NO
316,0.3266,5.1794,YES
317,0.0974,0.9378,NO
318,0.3289,5.8015,YES
319,0.1059,1.1257,NO
320,0.2131,2.7445,NO
321,0.1496,2.3947,NO
322,0.1474,2.1319999999999997,NO
323,0.0902,1.148,NO
324,0.0993,3.9011,YES
325,0.0875,1.1854,NO
326,0.2369,4.4673,YES
327,0.2129,2.6394,NO
328,0.1321,2.9376,YES
329,0.1271,2.2251,NO
330,0.08,2.0596,NO
331,0.3025,4.4615,NO
332,0.12,2.7105,NO
333,0.3399,5.2197,YES
334,0.2516,4.534,NO
335,0.2081,5.072,YES
336,0.1799,1.3502,NO
337,0.1547,1.8529,NO
338,0.3595,4.1106,YES
339,0.2156,2.0429,NO
340,0.1535,2.3596,NO
341,0.4159,5.2064,YES
342,0.1827,2.5233,NO
343,0.1097,0.8008,NO
344,0.5448,5.1518,YES
345,0.191,1.0325,NO
346,0.4381,5.415,YES
347,0.1528,1.1577,NO
348,0.3264,2.7972,NO
349,0.3203,2.4975,NO
350,0.2648,2.2086,NO
351,0.171,0.9046,NO
352,0.21899999999999997,4.0552,NO
353,0.1398,0.7813,NO
354,0.3673,4.3771,NO
355,0.1451,1.8247,NO
356,0.2637,3.073,NO
357,0.1991,2.1403,NO
358,0.1784,2.0476,NO
359,0.3767,4.19,NO
360,0.1917,2.5881,NO
361,0.3794,4.7307,YES
362,0.3359,4.2322,NO
363,0.2874,4.9595,YES
364,0.0798,2.1202,NO
365,0.0364,2.5478,NO
366,0.2475,5.1101,YES
367,0.2794,4.809,YES
368,0.2232,4.8168,YES
369,0.2213,6.5379,YES
370,0.1233,3.6546,NO
371,0.0474,1.2914,NO
372,0.2799,6.2331,YES
373,0.2328,3.1761,NO
374,0.2608,6.702999999999999,YES
375,0.1095,2.8383,NO
376,0.2365,3.4035,NO
377,0.2061,3.4252,NO
378,0.2048,3.0342,NO
379,0.0456,1.4188,NO
380,0.1795,7.0724,YES
381,0.0442,1.3769999999999998,NO
382,0.27,6.6856,YES
383,0.1224,2.8793,NO
384,0.1913,5.212000000000001,YES
385,0.2397,4.4166,NO
386,0.2111,4.5792,NO
387,0.2935,6.5492,NO
388,0.1155,4.3996,NO
389,0.243,5.936,YES
390,0.1959,5.8635,NO
391,0.198,6.196000000000001,YES
392,0.1636,1.2871,NO
393,0.1646,1.8222,NO
394,0.3881,4.2458,YES
395,0.1762,1.9774,NO
396,0.1649,2.34,NO
397,0.4197,5.2251,YES
398,0.1681,2.4482,NO
399,0.153,0.8025,NO
400,0.4738,5.0365,YES
401,0.159,1.1832,NO
402,0.493,5.5786,YES
403,0.1456,1.2022,NO
404,0.2244,2.4924,NO
405,0.1542,2.1163,NO
406,0.1277,1.8332,NO
407,0.1775,0.9092,NO
408,0.2106,3.9333,NO
409,0.1654,0.7893,NO
410,0.3557,4.4101,NO
411,0.0902,1.7292,NO
412,0.2663,3.0263,NO
413,0.2218,2.3669,NO
414,0.1764,2.1925,NO
415,0.3901,4.4624,NO
416,0.21600000000000003,2.7054,NO
417,0.402,4.7674,YES
418,0.3584,4.4284,NO
419,0.3239,4.9401,YES
420,0.0467,1.5516,NO
421,0.0184,1.6542,NO
422,0.0544,2.1228,YES
423,0.1967,3.9785,YES
424,0.1251,3.8213,YES
425,0.0526,2.8332,YES
426,0.0389,2.2965,NO
427,0.0098,0.9043,NO
428,0.1204,3.0449,YES
429,0.1152,1.5835,NO
430,0.0434,2.6756,YES
431,0.0994,1.6344,NO
432,0.171,2.2894,NO
433,0.1733,2.7672,NO
434,0.1785,2.6821,NO
435,0.0632,1.1085,NO
436,0.1652,5.2041,YES
437,0.0614,1.158,NO
438,0.1533,4.3455,YES
439,0.1347,2.2739,NO
440,0.1212,3.799,YES
441,0.015,1.9397,NO
442,0.0714,2.4525,NO
443,0.0698,2.7398,NO
444,0.035,2.0085,NO
445,0.0672,2.5556,YES
446,0.0378,2.3433,NO
447,0.0637,2.9751,YES
448,0.3024,2.8214,YES
449,0.0482,1.6113,YES
450,0.3634,2.6126,NO
451,0.1548,1.9795,NO
452,0.1459,1.8145,NO
453,0.1506,2.8835,NO
454,0.2394,2.5205,YES
455,0.3693,2.3837,YES
456,0.1404,2.9348,NO
457,0.0758,1.2913,NO
458,0.1517,2.8507,NO
459,0.067,1.4295,NO
460,0.2131,2.2175,NO
461,0.16,2.3487,NO
462,0.1446,2.3196,NO
463,0.0844,1.3384,YES
464,0.095,2.8015,NO
465,0.2419,2.4233,YES
466,0.026000000000000002,2.4049,NO
467,0.2985,3.6841,YES
468,0.0377,1.8259,NO
469,0.102,1.8089,NO
470,0.0927,2.0446,NO
471,0.1259,2.555,NO
472,0.1193,2.0281,NO
473,0.2177,2.8208,NO
474,0.15,2.3828,NO
475,0.0996,3.0599,NO
476,0.0839,1.3836,NO
477,0.0672,1.984,NO
478,0.3068,4.2102,YES
479,0.1154,1.9937,YES
480,0.0802,2.3227,YES
481,0.3166,5.4138,YES
482,0.0868,2.6123,NO
483,0.0677,0.8584,NO
484,0.5456,5.5108,YES
485,0.0938,1.0590000000000002,NO
486,0.3771,5.6756,YES
487,0.0765,1.2016,NO
488,0.3042,3.0725,NO
489,0.1867,2.6067,NO
490,0.2024,2.4130000000000003,NO
491,0.084,0.8703,NO
492,0.1127,3.9862,YES
493,0.0773,0.7353,NO
494,0.3002,4.2886,YES
495,0.0821,1.8839,NO
496,0.1969,2.9259,YES
497,0.1353,2.2249,NO
498,0.0942,2.1019,NO
499,0.3023,4.2778,NO
500,0.1177,2.7118,NO
501,0.2966,4.9288,YES
502,0.2621,4.3536,NO
503,0.3631,5.4111,YES
504,0.1178,1.6232,NO
505,0.0474,1.8461,NO
506,0.4277,3.9927,YES
507,0.2214,2.9349,YES
508,0.2007,2.9412,YES
509,0.2467,5.0098,YES
510,0.2192,2.6936,NO
511,0.1165,1.1179,NO
512,0.3035,4.6578,YES
513,0.1886,2.1955,NO
514,0.2922,5.1452,YES
515,0.1088,2.0038,NO
516,0.2277,2.5403,NO
517,0.1763,2.3262,NO
518,0.1744,2.127,NO
519,0.0948,0.9553,NO
520,0.152,4.3792,YES
521,0.0882,1.0122,NO
522,0.2267,4.2633,YES
523,0.1968,2.3339,NO
524,0.1574,3.0769,YES
525,0.2134,3.1911,NO
526,0.1846,3.1907,NO
527,0.3004,4.7969,NO
528,0.1322,3.2871,NO
529,0.3039,4.6495,YES
530,0.2341,4.3941,NO
531,0.2137,4.6985,YES
532,0.1342,1.3637,NO
533,0.1099,1.7555,NO
534,0.526,4.3306,YES
535,0.1623,1.9174,YES
536,0.1996,2.2840000000000003,YES
537,0.3297,5.1385,YES
538,0.22699999999999998,2.4475,NO
539,0.1622,0.8975,NO
540,0.3372,4.7101,YES
541,0.1102,1.1879,NO
542,0.3901,5.4733,YES
543,0.1022,1.1713,NO
544,0.1483,2.0913,NO
545,0.0862,1.8212,NO
546,0.0629,1.4503,NO
547,0.2034,1.0468,NO
548,0.1682,3.8371,YES
549,0.1975,0.985,NO
550,0.3422,4.4118,YES
551,0.1773,1.8681,NO
552,0.2514,3.0215,YES
553,0.1754,2.3796,NO
554,0.1301,2.1921,NO
555,0.3619,4.5092,NO
556,0.1715,2.6619,NO
557,0.3452,4.7226,YES
558,0.3259,4.4546,NO
559,0.258,4.5982,YES
560,0.0709,1.2618,NO
561,0.0732,1.8417,NO
562,0.3094,3.9409,YES
563,0.1091,1.874,YES
564,0.0665,2.2051,YES
565,0.2941,5.0195,YES
566,0.0664,2.4043,NO
567,0.0556,0.7892,NO
568,0.5229,5.1149,YES
569,0.1003,0.9768,NO
570,0.3604,5.3174,YES
571,0.08800000000000001,1.0883,NO
572,0.2859,2.798,NO
573,0.1263,2.3379,NO
574,0.1497,2.1745,NO
575,0.1047,0.8007,NO
576,0.1031,3.7284,YES
577,0.1016,0.675,NO
578,0.3066,4.0523,YES
579,0.0639,1.7209999999999999,NO
580,0.2147,2.7586,YES
581,0.1277,2.0883,NO
582,0.0813,1.9533,NO
583,0.3135,4.0062,NO
584,0.1095,2.5152,NO
585,0.302,4.5723,YES
586,0.2369,4.0654,NO
587,0.4263,5.0623,YES
588,0.1151,1.1225,NO
589,0.0905,1.3938,NO
590,0.1028,1.5352,YES
591,0.3566,3.8826,YES
592,0.2651,3.6823,YES
593,0.1542,2.2098,YES
594,0.094,1.8182,NO
595,0.0554,0.6019,NO
596,0.2037,2.3112,YES
597,0.1971,1.8492,NO
598,0.1126,2.1043,YES
599,0.1418,1.7205,NO
600,0.2488,1.6643,NO
601,0.2731,2.1126,NO
602,0.2523,2.0959,NO
603,0.1698,0.9002,NO
604,0.2266,4.7811,YES
605,0.1648,0.8265,NO
606,0.2745,3.8452,YES
607,0.1508,1.6534,NO
608,0.2653,3.4615,YES
609,0.1206,2.0636,NO
610,0.1613,2.5537,NO
611,0.1611,2.5616,NO
612,0.1018,1.9016,NO
613,0.152,1.9759,YES
614,0.1186,2.0133,NO
615,0.1207,2.2916,YES
616,0.1201,1.2581,NO
617,0.10300000000000001,1.5657,NO
618,0.254,3.2786,YES
619,0.3285,3.6529,YES
620,0.3624,3.9023,YES
621,0.2593,4.056,YES
622,0.0981,2.1577,NO
623,0.0792,0.7436,NO
624,0.2917,3.7613,YES
625,0.1836,1.4992,NO
626,0.3039,4.3049,YES
627,0.1342,1.3553,NO
628,0.1448,1.6692,NO
629,0.1036,1.7505,NO
630,0.0702,1.5899,NO
631,0.1825,0.9288,NO
632,0.2937,5.3538,YES
633,0.1772,0.8994,NO
634,0.5728,5.2713,YES
635,0.0892,1.7331,NO
636,0.4594,4.2,YES
637,0.1677,2.3877,NO
638,0.1461,2.5116,NO
639,0.2985,3.9195,NO
640,0.1348,2.3336,NO
641,0.2479,3.7119999999999997,YES
642,0.2298,3.5668,NO
643,0.2345,3.6574,YES
644,0.08900000000000001,1.5394,NO
645,0.0394,1.6323,NO
646,0.1381,2.1289,NO
647,0.2108,2.1786,NO
648,0.0676,1.9744,NO
649,0.0957,2.7194,NO
650,0.0963,2.2049,NO
651,0.0435,1.0385,NO
652,0.2592,3.2283,NO
653,0.1291,1.1048,NO
654,0.0785,2.6731,NO
655,0.1052,1.276,NO
656,0.4225,2.8476,YES
657,0.3368,2.8479,YES
658,0.3938,2.8824,YES
659,0.0766,0.8859,NO
660,0.0711,3.0424,NO
661,0.0797,1.0071,NO
662,0.0531,2.4947,NO
663,0.1551,2.2703,NO
664,0.077,1.9503,NO
665,0.0463,1.4955,NO
666,0.0745,1.7856,NO
667,0.1014,2.2566,NO
668,0.0541,1.8048,NO
669,0.1685,2.4993,NO
670,0.0541,2.1134,NO
671,0.2105,3.2845,NO
672,0.1239,1.2858,YES
673,0.289,1.5309,YES
674,0.2752,1.2457,NO
675,0.1653,1.2054,NO
676,0.0814,0.9957,NO
677,0.0623,1.1225,NO
678,0.32899999999999996,1.9535,YES
679,0.1249,1.0233,YES
680,0.0968,1.1257,NO
681,0.1519,0.7383,NO
682,0.0533,1.0375,NO
683,0.1784,0.8316,NO
684,0.1661,0.9622,NO
685,0.1504,1.2363,NO
686,0.1562,1.1736,NO
687,0.3075,1.4898,YES
688,0.0597,1.4819,NO
689,0.1815,1.2990000000000002,YES
690,0.0336,1.1854,NO
691,0.3735,2.3809,YES
692,0.0877,1.0395,NO
693,0.1163,0.9923,NO
694,0.0418,1.1095,NO
695,0.1354,1.1573,NO
696,0.0948,1.0291,NO
697,0.1407,1.1465,NO
698,0.0821,1.0252,NO
699,0.0894,1.2172,NO
700,0.0416,1.1313,NO
701,0.0131,1.4409999999999998,NO
702,0.1203,2.6313,YES
703,0.2886,3.7974,YES
704,0.2879,3.9529,YES
705,0.1294,3.392,YES
706,0.0498,1.9882,NO
707,0.0139,0.6035,NO
708,0.1999,3.4002,YES
709,0.1109,1.0328,NO
710,0.1389,3.487,YES
711,0.0996,1.0926,NO
712,0.1977,2.0071,NO
713,0.1726,2.1162,NO
714,0.1805,2.1543,NO
715,0.0204,0.7334,NO
716,0.2123,5.2466,YES
717,0.0198,0.6808,NO
718,0.3536,4.8669,YES
719,0.1039,1.7775,NO
720,0.2827,3.9855,YES
721,0.0426,1.7149,NO
722,0.0387,1.9921,NO
723,0.1228,2.9374,NO
724,0.0373,1.8082,NO
725,0.1359,3.1284,YES
726,0.0808,2.7052,NO
727,0.1119,3.2933,YES
728,0.3458,2.4947,YES
729,0.0264,1.064,YES
730,0.3473,1.795,NO
731,0.1555,1.2952,NO
732,0.0906,1.1832,NO
733,0.107,1.7614,NO
734,0.226,1.8034,YES
735,0.4184,2.2067,YES
736,0.1111,1.6728,NO
737,0.1017,0.772,NO
738,0.09699999999999999,1.7232,NO
739,0.1058,0.9005,NO
740,0.1741,1.2456,NO
741,0.1373,1.4553,NO
742,0.132,1.4361,NO
743,0.1138,1.1304,YES
744,0.0766,1.7889,NO
745,0.3242,2.3122,YES
746,0.0297,1.5541,NO
747,0.3407,3.1719,YES
748,0.0387,1.1812,NO
749,0.0621,1.1165,NO
750,0.076,1.3078,NO
751,0.1266,1.5483,NO
752,0.0726,1.229,NO
753,0.192,1.8161,NO
754,0.1128,1.45,NO
755,0.0813,1.7669,NO
756,0.1238,1.3009,NO
757,0.0659,1.1214,NO
758,0.0991,1.1211,NO
759,0.2168,1.975,NO
760,0.0941,1.5748,NO
761,0.1226,1.5136,NO
762,0.0797,1.5908,NO
763,0.0869,0.9113,NO
764,0.1921,1.6356,NO
765,0.2119,1.9481,YES
766,0.0845,1.3486,NO
767,0.1963,1.9881,YES
768,0.24100000000000002,1.5001,NO
769,0.263,1.9029,NO
770,0.2504,1.7258,NO
771,0.1414,0.9125,NO
772,0.0983,2.391,NO
773,0.1658,1.1039,NO
774,0.1333,1.6251,NO
775,0.2072,1.6992,NO
776,0.1519,1.5545,NO
777,0.1227,1.9111,YES
778,0.1324,2.2714,YES
779,0.1581,2.0855,YES
780,0.1927,2.0966,YES
781,0.1378,1.3381,NO
782,0.09699999999999999,1.5842,YES
783,0.11900000000000001,1.7052,NO
784,0.3612,2.3394,YES
785,0.0488,0.8691,YES
786,0.2823,1.2816,NO
787,0.1584,1.0938,NO
788,0.065,0.9786,NO
789,0.0678,1.1176,NO
790,0.1652,1.4919,YES
791,0.4499,2.1189,YES
792,0.0947,1.0596,NO
793,0.1079,0.6376,NO
794,0.0645,1.0761,NO
795,0.1095,0.7427,NO
796,0.1665,0.8507,NO
797,0.1472,1.1191,NO
798,0.1463,1.128,NO
799,0.1261,1.0618,YES
800,0.0528,1.4329,NO
801,0.3791,2.2553,YES
802,0.0329,1.1482,NO
803,0.3577,2.9122,YES
804,0.062,0.9752,NO
805,0.0477,0.8473,NO
806,0.0457,1.0503,NO
807,0.1274,1.0471,NO
808,0.0681,0.8957,NO
809,0.1427,1.2128,NO
810,0.0804,0.9404,NO
811,0.0769,1.1539,NO
812,0.1422,1.4037,NO
813,0.0613,1.1027,NO
814,0.1484,1.5034,NO
815,0.1778,1.5201,NO
816,0.1025,1.2673,NO
817,0.1545,1.9459,NO
818,0.1529,1.6829,NO
819,0.1098,1.0776,NO
820,0.1753,1.8443,NO
821,0.1807,1.4641,YES
822,0.134,1.7655,NO
823,0.2818,1.7179,YES
824,0.2438,1.4136,NO
825,0.2385,1.6332,NO
826,0.2176,1.5212,NO
827,0.0807,0.9215,NO
828,0.0972,1.9936,NO
829,0.0862,1.1623,NO
830,0.0815,1.5068,NO
831,0.2286,2.0668,NO
832,0.0804,1.2793,NO
833,0.0972,1.6374,YES
834,0.105,1.8335,YES
835,0.1237,1.9869,YES
836,0.2731,2.0439,YES
837,0.1937,1.8516,NO
838,0.1151,1.7177,YES
839,0.1052,1.8648,NO
