,DIRECT_NA_NA_VSM,UPPERTRACED_SUM_MULTI_VSM,Associated
180,0.2252,1.1911,NO
181,0.2571,1.7311,NO
182,0.2375,0.5885,NO
183,0.1453,0.7020000000000001,NO
184,0.2245,2.7074,YES
185,0.141,0.662,NO
186,0.2623,3.1932,YES
187,0.142,0.6286,NO
188,0.2555,2.8987,YES
189,0.2049,1.0282,NO
190,0.2206,1.8482,NO
191,0.2228,1.6406,NO
192,0.1032,0.7398,NO
193,0.1461,1.7046,YES
194,0.1116,1.5477,NO
195,0.1326,1.2302,YES
196,0.1415,1.2714,NO
197,0.0745,0.3661,NO
198,0.2381,1.2447,NO
199,0.19,1.7824,NO
200,0.1547,1.1269,NO
201,0.1997,1.5726,NO
202,0.1653,1.3309,NO
203,0.1536,0.4382,NO
204,0.1999,1.1558,NO
205,0.1989,2.9288,YES
206,0.2045,1.0193,NO
207,0.2447,1.5345,YES
208,0.2519,0.9746,NO
209,0.2036,1.4528,NO
210,0.2033,0.2129,NO
211,0.0533,0.8029,NO
212,0.105,1.5015,NO
213,0.055999999999999994,0.7766,NO
214,0.1113,1.0671,NO
215,0.2256,0.3988,NO
216,0.0989,1.3312,NO
217,0.1879,2.4708,YES
218,0.1445,3.21,YES
219,0.1901,2.5988,YES
220,0.3108,1.4129,YES
221,0.2405,1.2751,NO
222,0.1657,1.9703,YES
223,0.1331,0.9469,NO
224,0.0949,1.2714,NO
225,0.1339,0.3661,NO
226,0.22399999999999998,1.2447,NO
227,0.1967,1.7824,NO
228,0.1436,1.1269,NO
229,0.2079,1.5726,NO
230,0.1339,1.3309,NO
231,0.0967,0.4382,NO
232,0.2198,1.1558,NO
233,0.3428,2.9288,YES
234,0.2344,1.0193,NO
235,0.1736,1.5345,YES
236,0.1331,0.9746,NO
237,0.0735,1.4528,NO
238,0.0647,0.2129,NO
239,0.204,0.8029,NO
240,0.1327,1.5015,NO
241,0.1655,0.7766,NO
242,0.31,1.0671,NO
243,0.1309,0.3988,NO
244,0.2819,1.3312,NO
245,0.4042,2.4708,YES
246,0.3296,3.21,YES
247,0.4941,2.5988,YES
248,0.1783,1.4129,YES
249,0.193,1.2751,NO
250,0.2673,1.9703,YES
251,0.1726,0.9469,NO
252,0.1439,1.2714,NO
253,0.0769,0.3661,NO
254,0.1953,1.2447,NO
255,0.2342,1.7824,NO
256,0.2047,1.1269,NO
257,0.1823,1.5726,NO
258,0.1684,1.3309,NO
259,0.1204,0.4382,NO
260,0.1751,1.1558,NO
261,0.3579,2.9288,YES
262,0.1828,1.0193,NO
263,0.2083,1.5345,YES
264,0.2252,0.9746,NO
265,0.2041,1.4528,NO
266,0.2007,0.2129,NO
267,0.0498,0.8029,NO
268,0.1415,1.5015,NO
269,0.0515,0.7766,NO
270,0.1207,1.0671,NO
271,0.1912,0.3988,NO
272,0.14,1.3312,NO
273,0.4038,2.4708,YES
274,0.3494,3.21,YES
275,0.2799,2.5988,YES
276,0.2675,1.4129,YES
277,0.2206,1.2751,NO
278,0.2003,1.9703,YES
279,0.1168,0.9469,NO
280,0.0727,1.2714,NO
281,0.0714,0.3661,NO
282,0.10800000000000001,1.2447,NO
283,0.2886,1.7824,NO
284,0.1427,1.1269,NO
285,0.0855,1.5726,NO
286,0.0605,1.3309,NO
287,0.0532,0.4382,NO
288,0.1421,1.1558,NO
289,0.4397,2.9288,YES
290,0.0607,1.0193,NO
291,0.2347,1.5345,YES
292,0.2118,0.9746,NO
293,0.2048,1.4528,NO
294,0.2045,0.2129,NO
295,0.0849,0.8029,NO
296,0.1035,1.5015,NO
297,0.0824,0.7766,NO
298,0.0975,1.0671,NO
299,0.1702,0.3988,NO
300,0.1518,1.3312,NO
301,0.3372,2.4708,YES
302,0.3303,3.21,YES
303,0.314,2.5988,YES
304,0.1257,1.4129,YES
305,0.1375,1.2751,NO
306,0.1128,1.9703,YES
307,0.099,0.9469,NO
308,0.1069,2.1945,NO
309,0.0451,0.8517,NO
310,0.5095,3.8348,YES
311,0.1431,2.1981,YES
312,0.1227,1.8305,YES
313,0.2847,4.9681,YES
314,0.2237,2.4973,NO
315,0.1065,0.8185,NO
316,0.3266,5.0181,YES
317,0.0974,1.3613,NO
318,0.3289,3.9154,YES
319,0.1059,0.9976,NO
320,0.2131,2.6866,NO
321,0.1496,2.655,NO
322,0.1474,0.9829,NO
323,0.0902,1.2123,NO
324,0.0993,2.5901,YES
325,0.0875,1.0975,NO
326,0.2369,3.2745,YES
327,0.2129,1.3035,NO
328,0.1321,2.4204,YES
329,0.1271,1.7167,NO
330,0.08,2.2402,NO
331,0.3025,3.4781,NO
332,0.12,1.5557,NO
333,0.3399,4.2775,YES
334,0.2516,3.5928,NO
335,0.2081,3.6309,YES
336,0.1799,0.7145,NO
337,0.1547,0.2991,NO
338,0.3595,0.8671,YES
339,0.2156,0.5529,NO
340,0.1535,0.4514,NO
341,0.4159,1.5922,YES
342,0.1827,0.7991,NO
343,0.1097,0.2616,NO
344,0.5448,1.8324,YES
345,0.191,0.4482,NO
346,0.4381,1.0762,YES
347,0.1528,0.3291,NO
348,0.3264,0.8937,NO
349,0.3203,0.9196,NO
350,0.2648,0.3649,NO
351,0.171,0.3587,NO
352,0.21899999999999997,0.8062,NO
353,0.1398,0.2782,NO
354,0.3673,0.7569,NO
355,0.1451,0.2253,NO
356,0.2637,0.6758,NO
357,0.1991,0.4816,NO
358,0.1784,0.7005,NO
359,0.3767,0.8849,NO
360,0.1917,0.4644,NO
361,0.3794,1.2591,YES
362,0.3359,1.048,NO
363,0.2874,1.1740000000000002,YES
364,0.0798,1.338,NO
365,0.0364,0.3989,NO
366,0.2475,1.5111,YES
367,0.2794,3.1085,YES
368,0.2232,2.7194,YES
369,0.2213,1.9311,YES
370,0.1233,1.3737,NO
371,0.0474,0.32799999999999996,NO
372,0.2799,1.6641,YES
373,0.2328,1.2383,NO
374,0.2608,1.2931,YES
375,0.1095,0.7444,NO
376,0.2365,1.1911,NO
377,0.2061,1.7311,NO
378,0.2048,0.5885,NO
379,0.0456,0.7020000000000001,NO
380,0.1795,2.7074,YES
381,0.0442,0.662,NO
382,0.27,3.1932,YES
383,0.1224,0.6286,NO
384,0.1913,2.8987,YES
385,0.2397,1.0282,NO
386,0.2111,1.8482,NO
387,0.2935,1.6406,NO
388,0.1155,0.7398,NO
389,0.243,1.7046,YES
390,0.1959,1.5477,NO
391,0.198,1.2302,YES
392,0.1636,0.5931,NO
393,0.1646,0.2795,NO
394,0.3881,1.1464,YES
395,0.1762,0.5094,NO
396,0.1649,0.46,NO
397,0.4197,1.2594,YES
398,0.1681,0.6449,NO
399,0.153,0.26,NO
400,0.4738,1.5956,YES
401,0.159,0.3109,NO
402,0.493,1.3136,YES
403,0.1456,0.2567,NO
404,0.2244,0.9578,NO
405,0.1542,0.7047,NO
406,0.1277,0.3702,NO
407,0.1775,0.2287,NO
408,0.2106,0.6431,NO
409,0.1654,0.2204,NO
410,0.3557,0.9769,NO
411,0.0902,0.2229,NO
412,0.2663,0.6424,NO
413,0.2218,0.4869,NO
414,0.1764,0.5306,NO
415,0.3901,1.0476,NO
416,0.21600000000000003,0.4758,NO
417,0.402,1.0966,YES
418,0.3584,1.0273,NO
419,0.3239,1.2815,YES
420,0.0467,1.338,NO
421,0.0184,0.3989,NO
422,0.0544,1.5111,YES
423,0.1967,3.1085,YES
424,0.1251,2.7194,YES
425,0.0526,1.9311,YES
426,0.0389,1.3737,NO
427,0.0098,0.32799999999999996,NO
428,0.1204,1.6641,YES
429,0.1152,1.2383,NO
430,0.0434,1.2931,YES
431,0.0994,0.7444,NO
432,0.171,1.1911,NO
433,0.1733,1.7311,NO
434,0.1785,0.5885,NO
435,0.0632,0.7020000000000001,NO
436,0.1652,2.7074,YES
437,0.0614,0.662,NO
438,0.1533,3.1932,YES
439,0.1347,0.6286,NO
440,0.1212,2.8987,YES
441,0.015,1.0282,NO
442,0.0714,1.8482,NO
443,0.0698,1.6406,NO
444,0.035,0.7398,NO
445,0.0672,1.7046,YES
446,0.0378,1.5477,NO
447,0.0637,1.2302,YES
448,0.3024,2.1355,YES
449,0.0482,0.5055,YES
450,0.3634,0.89,NO
451,0.1548,0.6924,NO
452,0.1459,0.3858,NO
453,0.1506,0.628,NO
454,0.2394,1.3684,YES
455,0.3693,1.4797,YES
456,0.1404,0.3682,NO
457,0.0758,0.4649,NO
458,0.1517,0.2887,NO
459,0.067,0.3507,NO
460,0.2131,0.5473,NO
461,0.16,0.9639,NO
462,0.1446,0.2169,NO
463,0.0844,1.3578,YES
464,0.095,0.6244,NO
465,0.2419,2.0647,YES
466,0.026000000000000002,0.2691,NO
467,0.2985,1.6558,YES
468,0.0377,0.4261,NO
469,0.102,0.3318,NO
470,0.0927,0.6849,NO
471,0.1259,0.3887,NO
472,0.1193,0.3018,NO
473,0.2177,0.7142,NO
474,0.15,0.5644,NO
475,0.0996,0.3773,NO
476,0.0839,2.1945,NO
477,0.0672,0.8517,NO
478,0.3068,3.8348,YES
479,0.1154,2.1981,YES
480,0.0802,1.8305,YES
481,0.3166,4.9681,YES
482,0.0868,2.4973,NO
483,0.0677,0.8185,NO
484,0.5456,5.0181,YES
485,0.0938,1.3613,NO
486,0.3771,3.9154,YES
487,0.0765,0.9976,NO
488,0.3042,2.6866,NO
489,0.1867,2.655,NO
490,0.2024,0.9829,NO
491,0.084,1.2123,NO
492,0.1127,2.5901,YES
493,0.0773,1.0975,NO
494,0.3002,3.2745,YES
495,0.0821,1.3035,NO
496,0.1969,2.4204,YES
497,0.1353,1.7167,NO
498,0.0942,2.2402,NO
499,0.3023,3.4781,NO
500,0.1177,1.5557,NO
501,0.2966,4.2775,YES
502,0.2621,3.5928,NO
503,0.3631,3.6309,YES
504,0.1178,2.1945,NO
505,0.0474,0.8517,NO
506,0.4277,3.8348,YES
507,0.2214,2.1981,YES
508,0.2007,1.8305,YES
509,0.2467,4.9681,YES
510,0.2192,2.4973,NO
511,0.1165,0.8185,NO
512,0.3035,5.0181,YES
513,0.1886,1.3613,NO
514,0.2922,3.9154,YES
515,0.1088,0.9976,NO
516,0.2277,2.6866,NO
517,0.1763,2.655,NO
518,0.1744,0.9829,NO
519,0.0948,1.2123,NO
520,0.152,2.5901,YES
521,0.0882,1.0975,NO
522,0.2267,3.2745,YES
523,0.1968,1.3035,NO
524,0.1574,2.4204,YES
525,0.2134,1.7167,NO
526,0.1846,2.2402,NO
527,0.3004,3.4781,NO
528,0.1322,1.5557,NO
529,0.3039,4.2775,YES
530,0.2341,3.5928,NO
531,0.2137,3.6309,YES
532,0.1342,2.1945,NO
533,0.1099,0.8517,NO
534,0.526,3.8348,YES
535,0.1623,2.1981,YES
536,0.1996,1.8305,YES
537,0.3297,4.9681,YES
538,0.22699999999999998,2.4973,NO
539,0.1622,0.8185,NO
540,0.3372,5.0181,YES
541,0.1102,1.3613,NO
542,0.3901,3.9154,YES
543,0.1022,0.9976,NO
544,0.1483,2.6866,NO
545,0.0862,2.655,NO
546,0.0629,0.9829,NO
547,0.2034,1.2123,NO
548,0.1682,2.5901,YES
549,0.1975,1.0975,NO
550,0.3422,3.2745,YES
551,0.1773,1.3035,NO
552,0.2514,2.4204,YES
553,0.1754,1.7167,NO
554,0.1301,2.2402,NO
555,0.3619,3.4781,NO
556,0.1715,1.5557,NO
557,0.3452,4.2775,YES
558,0.3259,3.5928,NO
559,0.258,3.6309,YES
560,0.0709,2.1945,NO
561,0.0732,0.8517,NO
562,0.3094,3.8348,YES
563,0.1091,2.1981,YES
564,0.0665,1.8305,YES
565,0.2941,4.9681,YES
566,0.0664,2.4973,NO
567,0.0556,0.8185,NO
568,0.5229,5.0181,YES
569,0.1003,1.3613,NO
570,0.3604,3.9154,YES
571,0.08800000000000001,0.9976,NO
572,0.2859,2.6866,NO
573,0.1263,2.655,NO
574,0.1497,0.9829,NO
575,0.1047,1.2123,NO
576,0.1031,2.5901,YES
577,0.1016,1.0975,NO
578,0.3066,3.2745,YES
579,0.0639,1.3035,NO
580,0.2147,2.4204,YES
581,0.1277,1.7167,NO
582,0.0813,2.2402,NO
583,0.3135,3.4781,NO
584,0.1095,1.5557,NO
585,0.302,4.2775,YES
586,0.2369,3.5928,NO
587,0.4263,3.6309,YES
588,0.1151,1.338,NO
589,0.0905,0.3989,NO
590,0.1028,1.5111,YES
591,0.3566,3.1085,YES
592,0.2651,2.7194,YES
593,0.1542,1.9311,YES
594,0.094,1.3737,NO
595,0.0554,0.32799999999999996,NO
596,0.2037,1.6641,YES
597,0.1971,1.2383,NO
598,0.1126,1.2931,YES
599,0.1418,0.7444,NO
600,0.2488,1.1911,NO
601,0.2731,1.7311,NO
602,0.2523,0.5885,NO
603,0.1698,0.7020000000000001,NO
604,0.2266,2.7074,YES
605,0.1648,0.662,NO
606,0.2745,3.1932,YES
607,0.1508,0.6286,NO
608,0.2653,2.8987,YES
609,0.1206,1.0282,NO
610,0.1613,1.8482,NO
611,0.1611,1.6406,NO
612,0.1018,0.7398,NO
613,0.152,1.7046,YES
614,0.1186,1.5477,NO
615,0.1207,1.2302,YES
616,0.1201,1.338,NO
617,0.10300000000000001,0.3989,NO
618,0.254,1.5111,YES
619,0.3285,3.1085,YES
620,0.3624,2.7194,YES
621,0.2593,1.9311,YES
622,0.0981,1.3737,NO
623,0.0792,0.32799999999999996,NO
624,0.2917,1.6641,YES
625,0.1836,1.2383,NO
626,0.3039,1.2931,YES
627,0.1342,0.7444,NO
628,0.1448,1.1911,NO
629,0.1036,1.7311,NO
630,0.0702,0.5885,NO
631,0.1825,0.7020000000000001,NO
632,0.2937,2.7074,YES
633,0.1772,0.662,NO
634,0.5728,3.1932,YES
635,0.0892,0.6286,NO
636,0.4594,2.8987,YES
637,0.1677,1.0282,NO
638,0.1461,1.8482,NO
639,0.2985,1.6406,NO
640,0.1348,0.7398,NO
641,0.2479,1.7046,YES
642,0.2298,1.5477,NO
643,0.2345,1.2302,YES
644,0.08900000000000001,0.7513,NO
645,0.0394,0.3022,NO
646,0.1381,0.6214,NO
647,0.2108,0.7665,NO
648,0.0676,0.4374,NO
649,0.0957,0.7949,NO
650,0.0963,0.8172,NO
651,0.0435,0.2184,NO
652,0.2592,1.2395,NO
653,0.1291,0.5014,NO
654,0.0785,0.4658,NO
655,0.1052,0.3811,NO
656,0.4225,1.5909,YES
657,0.3368,1.4991,YES
658,0.3938,1.2424,YES
659,0.0766,0.3113,NO
660,0.0711,0.7031,NO
661,0.0797,0.3009,NO
662,0.0531,0.3977,NO
663,0.1551,0.4642,NO
664,0.077,0.4495,NO
665,0.0463,0.2574,NO
666,0.0745,0.698,NO
667,0.1014,0.5242,NO
668,0.0541,0.3474,NO
669,0.1685,0.6459999999999999,NO
670,0.0541,0.5785,NO
671,0.2105,0.9486,NO
672,0.1239,2.1355,YES
673,0.289,0.5055,YES
674,0.2752,0.89,NO
675,0.1653,0.6924,NO
676,0.0814,0.3858,NO
677,0.0623,0.628,NO
678,0.32899999999999996,1.3684,YES
679,0.1249,1.4797,YES
680,0.0968,0.3682,NO
681,0.1519,0.4649,NO
682,0.0533,0.2887,NO
683,0.1784,0.3507,NO
684,0.1661,0.5473,NO
685,0.1504,0.9639,NO
686,0.1562,0.2169,NO
687,0.3075,1.3578,YES
688,0.0597,0.6244,NO
689,0.1815,2.0647,YES
690,0.0336,0.2691,NO
691,0.3735,1.6558,YES
692,0.0877,0.4261,NO
693,0.1163,0.3318,NO
694,0.0418,0.6849,NO
695,0.1354,0.3887,NO
696,0.0948,0.3018,NO
697,0.1407,0.7142,NO
698,0.0821,0.5644,NO
699,0.0894,0.3773,NO
700,0.0416,1.338,NO
701,0.0131,0.3989,NO
702,0.1203,1.5111,YES
703,0.2886,3.1085,YES
704,0.2879,2.7194,YES
705,0.1294,1.9311,YES
706,0.0498,1.3737,NO
707,0.0139,0.32799999999999996,NO
708,0.1999,1.6641,YES
709,0.1109,1.2383,NO
710,0.1389,1.2931,YES
711,0.0996,0.7444,NO
712,0.1977,1.1911,NO
713,0.1726,1.7311,NO
714,0.1805,0.5885,NO
715,0.0204,0.7020000000000001,NO
716,0.2123,2.7074,YES
717,0.0198,0.662,NO
718,0.3536,3.1932,YES
719,0.1039,0.6286,NO
720,0.2827,2.8987,YES
721,0.0426,1.0282,NO
722,0.0387,1.8482,NO
723,0.1228,1.6406,NO
724,0.0373,0.7398,NO
725,0.1359,1.7046,YES
726,0.0808,1.5477,NO
727,0.1119,1.2302,YES
728,0.3458,2.1355,YES
729,0.0264,0.5055,YES
730,0.3473,0.89,NO
731,0.1555,0.6924,NO
732,0.0906,0.3858,NO
733,0.107,0.628,NO
734,0.226,1.3684,YES
735,0.4184,1.4797,YES
736,0.1111,0.3682,NO
737,0.1017,0.4649,NO
738,0.09699999999999999,0.2887,NO
739,0.1058,0.3507,NO
740,0.1741,0.5473,NO
741,0.1373,0.9639,NO
742,0.132,0.2169,NO
743,0.1138,1.3578,YES
744,0.0766,0.6244,NO
745,0.3242,2.0647,YES
746,0.0297,0.2691,NO
747,0.3407,1.6558,YES
748,0.0387,0.4261,NO
749,0.0621,0.3318,NO
750,0.076,0.6849,NO
751,0.1266,0.3887,NO
752,0.0726,0.3018,NO
753,0.192,0.7142,NO
754,0.1128,0.5644,NO
755,0.0813,0.3773,NO
756,0.1238,1.2714,NO
757,0.0659,0.3661,NO
758,0.0991,1.2447,NO
759,0.2168,1.7824,NO
760,0.0941,1.1269,NO
761,0.1226,1.5726,NO
762,0.0797,1.3309,NO
763,0.0869,0.4382,NO
764,0.1921,1.1558,NO
765,0.2119,2.9288,YES
766,0.0845,1.0193,NO
767,0.1963,1.5345,YES
768,0.24100000000000002,0.9746,NO
769,0.263,1.4528,NO
770,0.2504,0.2129,NO
771,0.1414,0.8029,NO
772,0.0983,1.5015,NO
773,0.1658,0.7766,NO
774,0.1333,1.0671,NO
775,0.2072,0.3988,NO
776,0.1519,1.3312,NO
777,0.1227,2.4708,YES
778,0.1324,3.21,YES
779,0.1581,2.5988,YES
780,0.1927,1.4129,YES
781,0.1378,1.2751,NO
782,0.09699999999999999,1.9703,YES
783,0.11900000000000001,0.9469,NO
784,0.3612,2.1355,YES
785,0.0488,0.5055,YES
786,0.2823,0.89,NO
787,0.1584,0.6924,NO
788,0.065,0.3858,NO
789,0.0678,0.628,NO
790,0.1652,1.3684,YES
791,0.4499,1.4797,YES
792,0.0947,0.3682,NO
793,0.1079,0.4649,NO
794,0.0645,0.2887,NO
795,0.1095,0.3507,NO
796,0.1665,0.5473,NO
797,0.1472,0.9639,NO
798,0.1463,0.2169,NO
799,0.1261,1.3578,YES
800,0.0528,0.6244,NO
801,0.3791,2.0647,YES
802,0.0329,0.2691,NO
803,0.3577,1.6558,YES
804,0.062,0.4261,NO
805,0.0477,0.3318,NO
806,0.0457,0.6849,NO
807,0.1274,0.3887,NO
808,0.0681,0.3018,NO
809,0.1427,0.7142,NO
810,0.0804,0.5644,NO
811,0.0769,0.3773,NO
812,0.1422,1.2714,NO
813,0.0613,0.3661,NO
814,0.1484,1.2447,NO
815,0.1778,1.7824,NO
816,0.1025,1.1269,NO
817,0.1545,1.5726,NO
818,0.1529,1.3309,NO
819,0.1098,0.4382,NO
820,0.1753,1.1558,NO
821,0.1807,2.9288,YES
822,0.134,1.0193,NO
823,0.2818,1.5345,YES
824,0.2438,0.9746,NO
825,0.2385,1.4528,NO
826,0.2176,0.2129,NO
827,0.0807,0.8029,NO
828,0.0972,1.5015,NO
829,0.0862,0.7766,NO
830,0.0815,1.0671,NO
831,0.2286,0.3988,NO
832,0.0804,1.3312,NO
833,0.0972,2.4708,YES
834,0.105,3.21,YES
835,0.1237,2.5988,YES
836,0.2731,1.4129,YES
837,0.1937,1.2751,NO
838,0.1151,1.9703,YES
839,0.1052,0.9469,NO
