,DIRECT_NA_NA_VSM,NONETRACED_SUM_RAW_VSM,Associated
110,0.1351,0.5273,NO
111,0.1328,0.4815,NO
112,0.0724,0.7193,NO
113,0.0244,0.2621,NO
114,0.1404,0.7916,YES
115,0.3348,0.9403,YES
116,0.2937,0.7604,YES
117,0.14300000000000002,0.9751,YES
118,0.0826,0.7129,NO
119,0.013000000000000001,0.299,NO
120,0.2103,0.9415,YES
121,0.1395,0.5934,NO
122,0.1325,0.7032,YES
123,0.1443,0.3967,NO
124,0.2165,0.7082,NO
125,0.1934,0.8370000000000001,NO
126,0.1934,0.3678,NO
127,0.0572,0.4174,NO
128,0.2318,0.8931,YES
129,0.0556,0.4399,NO
130,0.3609,0.9525,YES
131,0.1417,0.4124,NO
132,0.255,0.8646,YES
133,0.0522,0.528,NO
134,0.0677,0.8126,NO
135,0.1439,0.8189,NO
136,0.0494,0.4266,NO
137,0.1715,0.8534,YES
138,0.0964,0.8004,NO
139,0.1343,0.7076,YES
140,0.1544,0.7507,NO
141,0.0732,0.2586,NO
142,0.1975,0.725,NO
143,0.2582,0.861,NO
144,0.1977,0.6267,NO
145,0.1701,0.8903,NO
146,0.1684,0.7190000000000001,NO
147,0.1225,0.3433,NO
148,0.1458,0.8062,NO
149,0.4028,0.8701,YES
150,0.1577,0.6154,NO
151,0.2904,0.5267,YES
152,0.1987,0.6576,NO
153,0.1756,0.8063,NO
154,0.1689,0.3203,NO
155,0.054000000000000006,0.4483,NO
156,0.1469,0.7783,NO
157,0.0547,0.4948,NO
158,0.1082,0.7004,NO
159,0.2019,0.4296,NO
160,0.1293,0.6991,NO
161,0.3897,0.7498,YES
162,0.3612,1.0468,YES
163,0.2791,0.9231,YES
164,0.2894,0.5203,YES
165,0.2226,0.7804,NO
166,0.1753,0.8179,YES
167,0.0979,0.6337,NO
168,0.0985,0.5884,NO
169,0.0774,0.2168,NO
170,0.1069,0.5902,YES
171,0.3647,0.7929999999999999,YES
172,0.2531,0.6169,YES
173,0.1331,0.7398,YES
174,0.0885,0.5831,NO
175,0.0604,0.2453,NO
176,0.2068,0.7026,YES
177,0.2598,0.6242,NO
178,0.106,0.5124,YES
179,0.1459,0.3851,NO
180,0.2252,0.5648,NO
181,0.2571,0.6883,NO
182,0.2375,0.2999,NO
183,0.1453,0.3532,NO
184,0.2245,0.7215,YES
185,0.141,0.3669,NO
186,0.2623,0.7104,YES
187,0.142,0.3269,NO
188,0.2555,0.6814,YES
189,0.2049,0.5328,NO
190,0.2206,0.7889,NO
191,0.2228,0.7038,NO
192,0.1032,0.3824,NO
193,0.1461,0.6457,YES
194,0.1116,0.6454,NO
195,0.1326,0.5407,YES
196,0.1415,0.7073,NO
197,0.0745,0.2501,NO
198,0.2381,0.7246,NO
199,0.19,0.7517,NO
200,0.1547,0.5592,NO
201,0.1997,0.8835,NO
202,0.1653,0.6821,NO
203,0.1536,0.3269,NO
204,0.1999,0.8473,NO
205,0.1989,0.6694,YES
206,0.2045,0.6309,NO
207,0.2447,0.4421,YES
208,0.2519,0.669,NO
209,0.2036,0.7763,NO
210,0.2033,0.3407,NO
211,0.0533,0.4143,NO
212,0.105,0.7139,NO
213,0.055999999999999994,0.4572,NO
214,0.1113,0.6763,NO
215,0.2256,0.4217,NO
216,0.0989,0.6432,NO
217,0.1879,0.586,YES
218,0.1445,0.8406,YES
219,0.1901,0.8065,YES
220,0.3108,0.4626,YES
221,0.2405,0.7737,NO
222,0.1657,0.7601,YES
223,0.1331,0.6528,NO
224,0.0949,0.6269,NO
225,0.1339,0.24,NO
226,0.22399999999999998,0.7386,NO
227,0.1967,0.7473,NO
228,0.1436,0.5654,NO
229,0.2079,0.9057,NO
230,0.1339,0.649,NO
231,0.0967,0.2639,NO
232,0.2198,0.8257,NO
233,0.3428,0.7683,YES
234,0.2344,0.6711,NO
235,0.1736,0.4467,YES
236,0.1331,0.5697,NO
237,0.0735,0.6979,NO
238,0.0647,0.2272,NO
239,0.204,0.4049,NO
240,0.1327,0.7212,NO
241,0.1655,0.4026,NO
242,0.31,0.7307,NO
243,0.1309,0.3205,NO
244,0.2819,0.6816,NO
245,0.4042,0.7069,YES
246,0.3296,0.9459,YES
247,0.4941,0.9404,YES
248,0.1783,0.4753,YES
249,0.193,0.7738,NO
250,0.2673,0.8402,YES
251,0.1726,0.6308,NO
252,0.1439,0.75,NO
253,0.0769,0.2633,NO
254,0.1953,0.7451,NO
255,0.2342,0.8594,NO
256,0.2047,0.6306,NO
257,0.1823,0.9205,NO
258,0.1684,0.7256,NO
259,0.1204,0.34,NO
260,0.1751,0.8523,NO
261,0.3579,0.8488,YES
262,0.1828,0.6432,NO
263,0.2083,0.5156,YES
264,0.2252,0.6827,NO
265,0.2041,0.8214,NO
266,0.2007,0.3368,NO
267,0.0498,0.4434,NO
268,0.1415,0.7864,NO
269,0.0515,0.4855,NO
270,0.1207,0.7205,NO
271,0.1912,0.4266,NO
272,0.14,0.7062,NO
273,0.4038,0.7381,YES
274,0.3494,1.0326,YES
275,0.2799,0.9287,YES
276,0.2675,0.5176,YES
277,0.2206,0.8033,NO
278,0.2003,0.8319,YES
279,0.1168,0.6653,NO
280,0.0727,0.6341,NO
281,0.0714,0.2298,NO
282,0.10800000000000001,0.6051,NO
283,0.2886,0.7838,NO
284,0.1427,0.5691,NO
285,0.0855,0.7438,NO
286,0.0605,0.6264,NO
287,0.0532,0.27699999999999997,NO
288,0.1421,0.6793,NO
289,0.4397,0.7982,YES
290,0.0607,0.5054,NO
291,0.2347,0.4676,YES
292,0.2118,0.5770000000000001,NO
293,0.2048,0.7143,NO
294,0.2045,0.2909,NO
295,0.0849,0.3972,NO
296,0.1035,0.6981,NO
297,0.0824,0.4152,NO
298,0.0975,0.6188,NO
299,0.1702,0.3544,NO
300,0.1518,0.6359,NO
301,0.3372,0.6779999999999999,YES
302,0.3303,0.9497,YES
303,0.314,0.8091,YES
304,0.1257,0.4505,YES
305,0.1375,0.6491,NO
306,0.1128,0.701,YES
307,0.099,0.5383,NO
308,0.1069,0.7513,NO
309,0.0451,0.2773,NO
310,0.5095,0.9209,YES
311,0.1431,0.7722,YES
312,0.1227,0.6065,YES
313,0.2847,1.1099,YES
314,0.2237,0.7527,NO
315,0.1065,0.3361,NO
316,0.3266,1.083,YES
317,0.0974,0.5736,NO
318,0.3289,0.8409,YES
319,0.1059,0.3897,NO
320,0.2131,0.7517,NO
321,0.1496,0.8364,NO
322,0.1474,0.3508,NO
323,0.0902,0.4404,NO
324,0.0993,0.7925,YES
325,0.0875,0.4716,NO
326,0.2369,0.861,YES
327,0.2129,0.4454,NO
328,0.1321,0.742,YES
329,0.1271,0.5593,NO
330,0.08,0.7936,NO
331,0.3025,0.9215,NO
332,0.12,0.4648,NO
333,0.3399,0.9631,YES
334,0.2516,0.9109,NO
335,0.2081,0.8111,YES
336,0.1799,0.7494,NO
337,0.1547,0.2965,NO
338,0.3595,0.9931,YES
339,0.2156,0.8140000000000001,NO
340,0.1535,0.6526,NO
341,0.4159,1.2411,YES
342,0.1827,0.7864,NO
343,0.1097,0.3078,NO
344,0.5448,1.2621,YES
345,0.191,0.5953,NO
346,0.4381,0.9544,YES
347,0.1528,0.4074,NO
348,0.3264,0.8437,NO
349,0.3203,0.9116,NO
350,0.2648,0.3971,NO
351,0.171,0.4331,NO
352,0.21899999999999997,0.8672,NO
353,0.1398,0.4315,NO
354,0.3673,0.9681,NO
355,0.1451,0.4009,NO
356,0.2637,0.8256,NO
357,0.1991,0.5908,NO
358,0.1784,0.8335,NO
359,0.3767,1.0104,NO
360,0.1917,0.5011,NO
361,0.3794,1.058,YES
362,0.3359,1.005,NO
363,0.2874,0.9278,YES
364,0.0798,0.9488,NO
365,0.0364,0.3492,NO
366,0.2475,1.0792,YES
367,0.2794,1.1176,YES
368,0.2232,0.8726,YES
369,0.2213,1.3309,YES
370,0.1233,0.948,NO
371,0.0474,0.4079,NO
372,0.2799,1.291,YES
373,0.2328,0.8958,NO
374,0.2608,0.9789,YES
375,0.1095,0.5691,NO
376,0.2365,0.9362,NO
377,0.2061,1.0849,NO
378,0.2048,0.4503,NO
379,0.0456,0.5546,NO
380,0.1795,1.0863,YES
381,0.0442,0.5863,NO
382,0.27,1.1264,YES
383,0.1224,0.5245,NO
384,0.1913,1.0249,YES
385,0.2397,0.8191,NO
386,0.2111,1.1686,NO
387,0.2935,1.196,NO
388,0.1155,0.6228,NO
389,0.243,1.151,YES
390,0.1959,1.1329,NO
391,0.198,0.9782,YES
392,0.1636,0.62,NO
393,0.1646,0.253,NO
394,0.3881,0.8942,YES
395,0.1762,0.6787,NO
396,0.1649,0.5546,NO
397,0.4197,1.1064,YES
398,0.1681,0.6656,NO
399,0.153,0.2521,NO
400,0.4738,1.1158,YES
401,0.159,0.5158,NO
402,0.493,0.8779,YES
403,0.1456,0.3454,NO
404,0.2244,0.7013,NO
405,0.1542,0.7491,NO
406,0.1277,0.3016,NO
407,0.1775,0.3615,NO
408,0.2106,0.7373,NO
409,0.1654,0.3513,NO
410,0.3557,0.8592,NO
411,0.0902,0.3206,NO
412,0.2663,0.7092,NO
413,0.2218,0.5373,NO
414,0.1764,0.7267,NO
415,0.3901,0.925,NO
416,0.21600000000000003,0.4431,NO
417,0.402,0.9409,YES
418,0.3584,0.9096,NO
419,0.3239,0.8256,YES
420,0.0467,0.3954,NO
421,0.0184,0.1426,NO
422,0.0544,0.3916,YES
423,0.1967,0.4971,YES
424,0.1251,0.3896,YES
425,0.0526,0.4839,YES
426,0.0389,0.3845,NO
427,0.0098,0.1672,NO
428,0.1204,0.4758,YES
429,0.1152,0.3416,NO
430,0.0434,0.3343,YES
431,0.0994,0.2266,NO
432,0.171,0.3887,NO
433,0.1733,0.4649,NO
434,0.1785,0.2161,NO
435,0.0632,0.2345,NO
436,0.1652,0.4661,YES
437,0.0614,0.2511,NO
438,0.1533,0.4674,YES
439,0.1347,0.2269,NO
440,0.1212,0.4434,YES
441,0.015,0.2866,NO
442,0.0714,0.4504,NO
443,0.0698,0.4179,NO
444,0.035,0.2302,NO
445,0.0672,0.4228,YES
446,0.0378,0.4037,NO
447,0.0637,0.3605,YES
448,0.3024,0.6856,YES
449,0.0482,0.1959,YES
450,0.3634,0.5744,NO
451,0.1548,0.5584,NO
452,0.1459,0.4102,NO
453,0.1506,0.6682,NO
454,0.2394,0.5513,YES
455,0.3693,0.3732,YES
456,0.1404,0.6508,NO
457,0.0758,0.4388,NO
458,0.1517,0.4686,NO
459,0.067,0.3015,NO
460,0.2131,0.5447,NO
461,0.16,0.6277,NO
462,0.1446,0.295,NO
463,0.0844,0.3455,YES
464,0.095,0.5347,NO
465,0.2419,0.4941,YES
466,0.026000000000000002,0.4843,NO
467,0.2985,0.431,YES
468,0.0377,0.4621,NO
469,0.102,0.3767,NO
470,0.0927,0.5797,NO
471,0.1259,0.5505,NO
472,0.1193,0.3171,NO
473,0.2177,0.5992,NO
474,0.15,0.551,NO
475,0.0996,0.5076,NO
476,0.0839,0.7619,NO
477,0.0672,0.3081,NO
478,0.3068,1.0118,YES
479,0.1154,0.8165,YES
480,0.0802,0.6538,YES
481,0.3166,1.2745,YES
482,0.0868,0.8029999999999999,NO
483,0.0677,0.318,NO
484,0.5456,1.3227,YES
485,0.0938,0.6048,NO
486,0.3771,0.9878,YES
487,0.0765,0.4154,NO
488,0.3042,0.8836,NO
489,0.1867,0.9309999999999999,NO
490,0.2024,0.4224,NO
491,0.084,0.4325,NO
492,0.1127,0.8697,YES
493,0.0773,0.4287,NO
494,0.3002,0.9613,YES
495,0.0821,0.4098,NO
496,0.1969,0.8137,YES
497,0.1353,0.6067,NO
498,0.0942,0.8489,NO
499,0.3023,1.0281,NO
500,0.1177,0.5151,NO
501,0.2966,1.0865,YES
502,0.2621,1.0257,NO
503,0.3631,0.9812,YES
504,0.1178,0.8039,NO
505,0.0474,0.2921,NO
506,0.4277,0.9051,YES
507,0.2214,0.8904,YES
508,0.2007,0.6882,YES
509,0.2467,1.1071,YES
510,0.2192,0.7923,NO
511,0.1165,0.3617,NO
512,0.3035,1.0709,YES
513,0.1886,0.7290000000000001,NO
514,0.2922,0.8173,YES
515,0.1088,0.4671,NO
516,0.2277,0.7778,NO
517,0.1763,0.8896,NO
518,0.1744,0.3738,NO
519,0.0948,0.4648,NO
520,0.152,0.8662,YES
521,0.0882,0.5043,NO
522,0.2267,0.8856,YES
523,0.1968,0.4631,NO
524,0.1574,0.8012,YES
525,0.2134,0.6729999999999999,NO
526,0.1846,0.9529,NO
527,0.3004,0.983,NO
528,0.1322,0.5163,NO
529,0.3039,0.9627,YES
530,0.2341,0.9368,NO
531,0.2137,0.8151,YES
532,0.1342,0.6692,NO
533,0.1099,0.2555,NO
534,0.526,0.8737,YES
535,0.1623,0.7125,YES
536,0.1996,0.5705,YES
537,0.3297,1.0574,YES
538,0.22699999999999998,0.685,NO
539,0.1622,0.2901,NO
540,0.3372,1.0269,YES
541,0.1102,0.5539999999999999,NO
542,0.3901,0.8182,YES
543,0.1022,0.3644,NO
544,0.1483,0.6653,NO
545,0.0862,0.7489,NO
546,0.0629,0.2823,NO
547,0.2034,0.4032,NO
548,0.1682,0.7475,YES
549,0.1975,0.4185,NO
550,0.3422,0.8423,YES
551,0.1773,0.3686,NO
552,0.2514,0.7177,YES
553,0.1754,0.5521,NO
554,0.1301,0.7612,NO
555,0.3619,0.9088,NO
556,0.1715,0.4432,NO
557,0.3452,0.9086,YES
558,0.3259,0.8856,NO
559,0.258,0.7655,YES
560,0.0709,0.7026,NO
561,0.0732,0.29,NO
562,0.3094,0.9699,YES
563,0.1091,0.7604,YES
564,0.0665,0.6162,YES
565,0.2941,1.2207,YES
566,0.0664,0.7512,NO
567,0.0556,0.2894,NO
568,0.5229,1.2759,YES
569,0.1003,0.5549,NO
570,0.3604,0.9592,YES
571,0.08800000000000001,0.3818,NO
572,0.2859,0.8346,NO
573,0.1263,0.8687,NO
574,0.1497,0.3924,NO
575,0.1047,0.3969,NO
576,0.1031,0.8190000000000001,YES
577,0.1016,0.3866,NO
578,0.3066,0.9234,YES
579,0.0639,0.3722,NO
580,0.2147,0.7701,YES
581,0.1277,0.5697,NO
582,0.0813,0.7885,NO
583,0.3135,0.9816,NO
584,0.1095,0.4855,NO
585,0.302,1.0386,YES
586,0.2369,0.9811,NO
587,0.4263,0.9492,YES
588,0.1151,0.5776,NO
589,0.0905,0.2128,NO
590,0.1028,0.5741,YES
591,0.3566,0.7564,YES
592,0.2651,0.5934,YES
593,0.1542,0.7139,YES
594,0.094,0.5672,NO
595,0.0554,0.2428,NO
596,0.2037,0.6891,YES
597,0.1971,0.5538,NO
598,0.1126,0.4957,YES
599,0.1418,0.3553,NO
600,0.2488,0.5569,NO
601,0.2731,0.6741,NO
602,0.2523,0.3021,NO
603,0.1698,0.3492,NO
604,0.2266,0.6987,YES
605,0.1648,0.3663,NO
606,0.2745,0.6963,YES
607,0.1508,0.3258,NO
608,0.2653,0.6645,YES
609,0.1206,0.4673,NO
610,0.1613,0.7139,NO
611,0.1611,0.6483,NO
612,0.1018,0.3551,NO
613,0.152,0.624,YES
614,0.1186,0.6104,NO
615,0.1207,0.5264,YES
616,0.1201,0.6637,NO
617,0.10300000000000001,0.248,NO
618,0.254,0.8068,YES
619,0.3285,0.8915,YES
620,0.3624,0.7354,YES
621,0.2593,0.9892,YES
622,0.0981,0.6719,NO
623,0.0792,0.2686,NO
624,0.2917,0.9420000000000001,YES
625,0.1836,0.5984,NO
626,0.3039,0.7444,YES
627,0.1342,0.3835,NO
628,0.1448,0.6382,NO
629,0.1036,0.7638,NO
630,0.0702,0.2893,NO
631,0.1825,0.392,NO
632,0.2937,0.8685,YES
633,0.1772,0.40299999999999997,NO
634,0.5728,0.9740000000000001,YES
635,0.0892,0.3484,NO
636,0.4594,0.8657,YES
637,0.1677,0.5595,NO
638,0.1461,0.8137,NO
639,0.2985,0.8726,NO
640,0.1348,0.4311,NO
641,0.2479,0.8563,YES
642,0.2298,0.8348,NO
643,0.2345,0.7051,YES
644,0.08900000000000001,0.5456,NO
645,0.0394,0.2041,NO
646,0.1381,0.5393,NO
647,0.2108,0.583,NO
648,0.0676,0.434,NO
649,0.0957,0.6687,NO
650,0.0963,0.5342,NO
651,0.0435,0.2421,NO
652,0.2592,0.7246,NO
653,0.1291,0.4195,NO
654,0.0785,0.4727,NO
655,0.1052,0.2935,NO
656,0.4225,0.6299,YES
657,0.3368,0.6743,YES
658,0.3938,0.3809,YES
659,0.0766,0.2988,NO
660,0.0711,0.5562,NO
661,0.0797,0.3263,NO
662,0.0531,0.5166,NO
663,0.1551,0.3321,NO
664,0.077,0.4853,NO
665,0.0463,0.3529,NO
666,0.0745,0.5604,NO
667,0.1014,0.5348,NO
668,0.0541,0.3093,NO
669,0.1685,0.5829,NO
670,0.0541,0.5351,NO
671,0.2105,0.5537,NO
672,0.1239,0.4692,YES
673,0.289,0.1859,YES
674,0.2752,0.426,NO
675,0.1653,0.4504,NO
676,0.0814,0.3272,NO
677,0.0623,0.4778,NO
678,0.32899999999999996,0.4688,YES
679,0.1249,0.2305,YES
680,0.0968,0.44799999999999995,NO
681,0.1519,0.3504,NO
682,0.0533,0.3225,NO
683,0.1784,0.2375,NO
684,0.1661,0.3886,NO
685,0.1504,0.4756,NO
686,0.1562,0.2065,NO
687,0.3075,0.34299999999999997,YES
688,0.0597,0.4204,NO
689,0.1815,0.3461,YES
690,0.0336,0.3789,NO
691,0.3735,0.3334,YES
692,0.0877,0.3776,NO
693,0.1163,0.2997,NO
694,0.0418,0.4536,NO
695,0.1354,0.4131,NO
696,0.0948,0.2419,NO
697,0.1407,0.4316,NO
698,0.0821,0.4093,NO
699,0.0894,0.3526,NO
700,0.0416,0.6769,NO
701,0.0131,0.2512,NO
702,0.1203,0.7634,YES
703,0.2886,0.91,YES
704,0.2879,0.7408,YES
705,0.1294,0.9433,YES
706,0.0498,0.6801,NO
707,0.0139,0.2751,NO
708,0.1999,0.9232,YES
709,0.1109,0.5637,NO
710,0.1389,0.6862,YES
711,0.0996,0.3773,NO
712,0.1977,0.6913,NO
713,0.1726,0.8079,NO
714,0.1805,0.361,NO
715,0.0204,0.3899,NO
716,0.2123,0.8678,YES
717,0.0198,0.40299999999999997,NO
718,0.3536,0.9332,YES
719,0.1039,0.3802,NO
720,0.2827,0.8474,YES
721,0.0426,0.5036,NO
722,0.0387,0.775,NO
723,0.1228,0.7908,NO
724,0.0373,0.4103,NO
725,0.1359,0.8225,YES
726,0.0808,0.7729,NO
727,0.1119,0.6933,YES
728,0.3458,0.7014,YES
729,0.0264,0.1825,YES
730,0.3473,0.5429999999999999,NO
731,0.1555,0.5293,NO
732,0.0906,0.3889,NO
733,0.107,0.6106,NO
734,0.226,0.5267,YES
735,0.4184,0.4001,YES
736,0.1111,0.5666,NO
737,0.1017,0.4051,NO
738,0.09699999999999999,0.4211,NO
739,0.1058,0.2799,NO
740,0.1741,0.4801,NO
741,0.1373,0.5804,NO
742,0.132,0.2523,NO
743,0.1138,0.3517,YES
744,0.0766,0.5047,NO
745,0.3242,0.5365,YES
746,0.0297,0.4556,NO
747,0.3407,0.4484,YES
748,0.0387,0.4398,NO
749,0.0621,0.3437,NO
750,0.076,0.5386,NO
751,0.1266,0.5026,NO
752,0.0726,0.2893,NO
753,0.192,0.5564,NO
754,0.1128,0.5075,NO
755,0.0813,0.445,NO
756,0.1238,0.5442,NO
757,0.0659,0.1904,NO
758,0.0991,0.5157,NO
759,0.2168,0.5868,NO
760,0.0941,0.4361,NO
761,0.1226,0.6285,NO
762,0.0797,0.5123,NO
763,0.0869,0.2505,NO
764,0.1921,0.6081,NO
765,0.2119,0.5132,YES
766,0.0845,0.4364,NO
767,0.1963,0.3353,YES
768,0.24100000000000002,0.5009,NO
769,0.263,0.5972,NO
770,0.2504,0.266,NO
771,0.1414,0.325,NO
772,0.0983,0.5525,NO
773,0.1658,0.3652,NO
774,0.1333,0.5144,NO
775,0.2072,0.3164,NO
776,0.1519,0.5024,NO
777,0.1227,0.4318,YES
778,0.1324,0.64,YES
779,0.1581,0.5836,YES
780,0.1927,0.3369,YES
781,0.1378,0.5496,NO
782,0.09699999999999999,0.5474,YES
783,0.11900000000000001,0.4693,NO
784,0.3612,0.6416,YES
785,0.0488,0.1552,YES
786,0.2823,0.44299999999999995,NO
787,0.1584,0.4564,NO
788,0.065,0.3324,NO
789,0.0678,0.4832,NO
790,0.1652,0.4519,YES
791,0.4499,0.3803,YES
792,0.0947,0.4369,NO
793,0.1079,0.3469,NO
794,0.0645,0.3222,NO
795,0.1095,0.2397,NO
796,0.1665,0.3913,NO
797,0.1472,0.4918,NO
798,0.1463,0.2089,NO
799,0.1261,0.3185,YES
800,0.0528,0.4293,NO
801,0.3791,0.5118,YES
802,0.0329,0.37,NO
803,0.3577,0.4134,YES
804,0.062,0.3755,NO
805,0.0477,0.2821,NO
806,0.0457,0.4558,NO
807,0.1274,0.39899999999999997,NO
808,0.0681,0.2381,NO
809,0.1427,0.4478,NO
810,0.0804,0.406,NO
811,0.0769,0.3484,NO
812,0.1422,0.6267,NO
813,0.0613,0.2136,NO
814,0.1484,0.5992,NO
815,0.1778,0.6347,NO
816,0.1025,0.4692,NO
817,0.1545,0.7324,NO
818,0.1529,0.5848,NO
819,0.1098,0.298,NO
820,0.1753,0.6968,NO
821,0.1807,0.551,YES
822,0.134,0.5088,NO
823,0.2818,0.3756,YES
824,0.2438,0.5628,NO
825,0.2385,0.6655,NO
826,0.2176,0.2929,NO
827,0.0807,0.3691,NO
828,0.0972,0.6032,NO
829,0.0862,0.4214,NO
830,0.0815,0.5575,NO
831,0.2286,0.3831,NO
832,0.0804,0.5405,NO
833,0.0972,0.4708,YES
834,0.105,0.6931,YES
835,0.1237,0.6488,YES
836,0.2731,0.3851,YES
837,0.1937,0.6457,NO
838,0.1151,0.6221,YES
839,0.1052,0.5339,NO
