,DIRECT_NA_NA_VSM,NONETRACED_MAX_SINGLE_VSM,Associated
231,0.0967,0.1016,NO
232,0.2198,0.3809,NO
233,0.3428,0.8445,YES
234,0.2344,0.551,NO
235,0.1736,0.5379999999999999,YES
236,0.1331,0.18899999999999997,NO
237,0.0735,0.1861,NO
238,0.0647,0.1176,NO
239,0.204,0.3249,NO
240,0.1327,0.5985,NO
241,0.1655,0.2886,NO
242,0.31,0.4374,NO
243,0.1309,0.1709,NO
244,0.2819,0.4715,NO
245,0.4042,0.8156,YES
246,0.3296,0.8945,YES
247,0.4941,0.9091,YES
248,0.1783,0.5297,YES
249,0.193,0.4039,NO
250,0.2673,0.7786,YES
251,0.1726,0.3531,NO
252,0.1439,0.2093,NO
253,0.0769,0.2036,NO
254,0.1953,0.3916,NO
255,0.2342,0.6139,NO
256,0.2047,0.3384,NO
257,0.1823,0.4023,NO
258,0.1684,0.2687,NO
259,0.1204,0.2093,NO
260,0.1751,0.2637,NO
261,0.3579,1.0,YES
262,0.1828,0.4203,NO
263,0.2083,0.8982,YES
264,0.2252,0.2729,NO
265,0.2041,0.2866,NO
266,0.2007,0.2866,NO
267,0.0498,0.2111,NO
268,0.1415,0.4176,NO
269,0.0515,0.2011,NO
270,0.1207,0.3246,NO
271,0.1912,0.2253,NO
272,0.14,0.3064,NO
273,0.4038,1.0,YES
274,0.3494,1.0,YES
275,0.2799,0.7522,YES
276,0.2675,0.8982,YES
277,0.2206,0.3119,NO
278,0.2003,0.594,YES
279,0.1168,0.2586,NO
280,0.0727,0.1503,NO
281,0.0714,0.2365,NO
282,0.10800000000000001,0.2898,NO
283,0.2886,0.6139,NO
284,0.1427,0.3369,NO
285,0.0855,0.2977,NO
286,0.0605,0.2687,NO
287,0.0532,0.1244,NO
288,0.1421,0.1951,NO
289,0.4397,1.0,YES
290,0.0607,0.311,NO
291,0.2347,0.7443,YES
292,0.2118,0.2846,NO
293,0.2048,0.2749,NO
294,0.2045,0.2839,NO
295,0.0849,0.2453,NO
296,0.1035,0.4518,NO
297,0.0824,0.2179,NO
298,0.0975,0.2952,NO
299,0.1702,0.1867,NO
300,0.1518,0.35600000000000004,NO
301,0.3372,1.0,YES
302,0.3303,1.0,YES
303,0.314,0.7522,YES
304,0.1257,0.7443,YES
305,0.1375,0.228,NO
306,0.1128,0.5006,YES
307,0.099,0.2054,NO
308,0.1069,0.2069,NO
309,0.0451,0.2698,NO
310,0.5095,1.0,YES
311,0.1431,0.4964,YES
312,0.1227,0.5116,YES
313,0.2847,0.8963,YES
314,0.2237,0.3986,NO
315,0.1065,0.2018,NO
316,0.3266,0.7872,YES
317,0.0974,0.2963,NO
318,0.3289,0.8751,YES
319,0.1059,0.196,NO
320,0.2131,0.5121,NO
321,0.1496,0.441,NO
322,0.1474,0.441,NO
323,0.0902,0.2557,NO
324,0.0993,0.5016,YES
325,0.0875,0.2282,NO
326,0.2369,0.6649,YES
327,0.2129,0.4826,NO
328,0.1321,0.3571,YES
329,0.1271,0.4243,NO
330,0.08,0.4261,NO
331,0.3025,0.7244,NO
332,0.12,0.3976,NO
333,0.3399,0.9537,YES
334,0.2516,0.7244,NO
335,0.2081,0.9179,YES
336,0.1799,0.2097,NO
337,0.1547,0.3233,NO
338,0.3595,0.7653,YES
339,0.2156,0.2937,NO
340,0.1535,0.3646,NO
341,0.4159,1.0,YES
342,0.1827,0.3772,NO
343,0.1097,0.134,NO
344,0.5448,0.9727,YES
345,0.191,0.2219,NO
346,0.4381,0.8915,YES
347,0.1528,0.1629,NO
348,0.3264,0.4978,NO
349,0.3203,0.5402,NO
350,0.2648,0.5402,NO
351,0.171,0.1957,NO
352,0.21899999999999997,0.5205,NO
353,0.1398,0.1747,NO
354,0.3673,0.6811,NO
355,0.1451,0.3122,NO
356,0.2637,0.4971,NO
357,0.1991,0.2975,NO
358,0.1784,0.2987,NO
359,0.3767,0.5719,NO
360,0.1917,0.3693,NO
361,0.3794,0.8926,YES
362,0.3359,0.6436,NO
363,0.2874,0.7929999999999999,YES
364,0.0798,0.1805,NO
365,0.0364,0.2716,NO
366,0.2475,0.7876,YES
367,0.2794,0.8408,YES
368,0.2232,0.8408,YES
369,0.2213,0.8399,YES
370,0.1233,0.3708,NO
371,0.0474,0.1537,NO
372,0.2799,0.8170000000000001,YES
373,0.2328,0.8445,NO
374,0.2608,0.8193,YES
375,0.1095,0.6271,NO
376,0.2365,0.4811,NO
377,0.2061,0.5221,NO
378,0.2048,0.5221,NO
379,0.0456,0.2307,NO
380,0.1795,0.8408,YES
381,0.0442,0.205,NO
382,0.27,1.0,YES
383,0.1224,0.4898,NO
384,0.1913,0.7299,YES
385,0.2397,0.8445,NO
386,0.2111,0.8445,NO
387,0.2935,0.8778,NO
388,0.1155,0.6271,NO
389,0.243,0.7497,YES
390,0.1959,0.8778,NO
391,0.198,0.8593,YES
392,0.1636,0.1636,NO
393,0.1646,0.3162,NO
394,0.3881,0.7986,YES
395,0.1762,0.3813,NO
396,0.1649,0.39299999999999996,NO
397,0.4197,0.7803,YES
398,0.1681,0.3184,NO
399,0.153,0.1258,NO
400,0.4738,0.8237,YES
401,0.159,0.3707,NO
402,0.493,1.0,YES
403,0.1456,0.2362,NO
404,0.2244,0.5082,NO
405,0.1542,0.3363,NO
406,0.1277,0.3363,NO
407,0.1775,0.2042,NO
408,0.2106,0.4877,NO
409,0.1654,0.1823,NO
410,0.3557,0.6479,NO
411,0.0902,0.3116,NO
412,0.2663,0.4729,NO
413,0.2218,0.3581,NO
414,0.1764,0.3927,NO
415,0.3901,0.6038,NO
416,0.21600000000000003,0.3738,NO
417,0.402,0.6964,YES
418,0.3584,0.6038,NO
419,0.3239,0.9109,YES
420,0.0467,0.2091,NO
421,0.0184,0.2956,NO
422,0.0544,0.3613,YES
423,0.1967,0.9216,YES
424,0.1251,0.8452,YES
425,0.0526,0.4202,YES
426,0.0389,0.3191,NO
427,0.0098,0.2091,NO
428,0.1204,0.4713,YES
429,0.1152,0.2895,NO
430,0.0434,0.498,YES
431,0.0994,0.4207,NO
432,0.171,0.7871,NO
433,0.1733,0.7602,NO
434,0.1785,0.7852,NO
435,0.0632,0.2203,NO
436,0.1652,0.9773,YES
437,0.0614,0.221,NO
438,0.1533,0.877,YES
439,0.1347,0.3061,NO
440,0.1212,0.8689,YES
441,0.015,0.2878,NO
442,0.0714,0.3862,NO
443,0.0698,0.4145,NO
444,0.035,0.4207,NO
445,0.0672,0.4337,YES
446,0.0378,0.3962,NO
447,0.0637,0.5177,YES
448,0.3024,1.0,YES
449,0.0482,0.345,YES
450,0.3634,0.2798,NO
451,0.1548,0.3683,NO
452,0.1459,0.3796,NO
453,0.1506,0.3748,NO
454,0.2394,0.345,YES
455,0.3693,1.0,YES
456,0.1404,0.3813,NO
457,0.0758,0.3269,NO
458,0.1517,0.3868,NO
459,0.067,0.4076,NO
460,0.2131,0.6218,NO
461,0.16,0.6005,NO
462,0.1446,0.6202,NO
463,0.0844,0.345,YES
464,0.095,0.3722,NO
465,0.2419,0.9606,YES
466,0.026000000000000002,0.3642,NO
467,0.2985,0.9717,YES
468,0.0377,0.2458,NO
469,0.102,0.3269,NO
470,0.0927,0.3269,NO
471,0.1259,0.3547,NO
472,0.1193,0.4076,NO
473,0.2177,0.3988,NO
474,0.15,0.3547,NO
475,0.0996,0.409,NO
476,0.0839,0.2003,NO
477,0.0672,0.3141,NO
478,0.3068,0.6768,YES
479,0.1154,0.4247,YES
480,0.0802,0.4378,YES
481,0.3166,0.9284,YES
482,0.0868,0.3709,NO
483,0.0677,0.1381,NO
484,0.5456,0.9039,YES
485,0.0938,0.2266,NO
486,0.3771,0.9932,YES
487,0.0765,0.1513,NO
488,0.3042,0.5579,NO
489,0.1867,0.5147,NO
490,0.2024,0.5147,NO
491,0.084,0.1612,NO
492,0.1127,0.4832,YES
493,0.0773,0.1439,NO
494,0.3002,0.611,YES
495,0.0821,0.2848,NO
496,0.1969,0.3611,YES
497,0.1353,0.2831,NO
498,0.0942,0.2843,NO
499,0.3023,0.5832,NO
500,0.1177,0.3713,NO
501,0.2966,0.8287,YES
502,0.2621,0.5975,NO
503,0.3631,1.0,YES
504,0.1178,0.2339,NO
505,0.0474,0.2248,NO
506,0.4277,0.5811,YES
507,0.2214,0.7438,YES
508,0.2007,0.7667,YES
509,0.2467,0.6920000000000001,YES
510,0.2192,0.3368,NO
511,0.1165,0.2339,NO
512,0.3035,0.6985,YES
513,0.1886,0.6074,NO
514,0.2922,0.7766,YES
515,0.1088,0.4814,NO
516,0.2277,0.4544,NO
517,0.1763,0.3659,NO
518,0.1744,0.3659,NO
519,0.0948,0.1486,NO
520,0.152,0.7517,YES
521,0.0882,0.2247,NO
522,0.2267,0.7355,YES
523,0.1968,0.4988,NO
524,0.1574,0.4963,YES
525,0.2134,0.6074,NO
526,0.1846,0.6074,NO
527,0.3004,0.7974,NO
528,0.1322,0.4814,NO
529,0.3039,0.7068,YES
530,0.2341,0.7974,NO
531,0.2137,0.8145,YES
532,0.1342,0.162,NO
533,0.1099,0.2768,NO
534,0.526,1.0,YES
535,0.1623,0.4102,YES
536,0.1996,0.4228,YES
537,0.3297,0.7724,YES
538,0.22699999999999998,0.3986,NO
539,0.1622,0.1237,NO
540,0.3372,0.7512,YES
541,0.1102,0.4412,NO
542,0.3901,0.8754,YES
543,0.1022,0.2811,NO
544,0.1483,0.4503,NO
545,0.0862,0.2834,NO
546,0.0629,0.2803,NO
547,0.2034,0.2557,NO
548,0.1682,0.5051,YES
549,0.1975,0.2282,NO
550,0.3422,0.6709999999999999,YES
551,0.1773,0.3901,NO
552,0.2514,0.4897,YES
553,0.1754,0.4261,NO
554,0.1301,0.4673,NO
555,0.3619,0.6965,NO
556,0.1715,0.3727,NO
557,0.3452,0.7249,YES
558,0.3259,0.679,NO
559,0.258,0.8072,YES
560,0.0709,0.1943,NO
561,0.0732,0.3162,NO
562,0.3094,0.6519,YES
563,0.1091,0.4235,YES
564,0.0665,0.4365,YES
565,0.2941,0.7504,YES
566,0.0664,0.3598,NO
567,0.0556,0.1331,NO
568,0.5229,0.8768,YES
569,0.1003,0.2242,NO
570,0.3604,1.0,YES
571,0.08800000000000001,0.1429,NO
572,0.2859,0.5374,NO
573,0.1263,0.43799999999999994,NO
574,0.1497,0.43799999999999994,NO
575,0.1047,0.1529,NO
576,0.1031,0.4641,YES
577,0.1016,0.1365,NO
578,0.3066,0.6151,YES
579,0.0639,0.284,NO
580,0.2147,0.3448,YES
581,0.1277,0.2597,NO
582,0.0813,0.2608,NO
583,0.3135,0.5872,NO
584,0.1095,0.3738,NO
585,0.302,0.6698,YES
586,0.2369,0.5796,NO
587,0.4263,0.9632,YES
588,0.1151,0.1709,NO
589,0.0905,0.2054,NO
590,0.1028,0.368,YES
591,0.3566,0.9338,YES
592,0.2651,0.9338,YES
593,0.1542,0.4595,YES
594,0.094,0.257,NO
595,0.0554,0.1139,NO
596,0.2037,0.337,YES
597,0.1971,0.5159,NO
598,0.1126,0.4216,YES
599,0.1418,0.4755,NO
600,0.2488,0.4862,NO
601,0.2731,0.4875,NO
602,0.2523,0.4875,NO
603,0.1698,0.1985,NO
604,0.2266,0.9773,YES
605,0.1648,0.1763,NO
606,0.2745,0.7685,YES
607,0.1508,0.3348,NO
608,0.2653,0.7519,YES
609,0.1206,0.4983,NO
610,0.1613,0.5464,NO
611,0.1611,0.5554,NO
612,0.1018,0.4755,NO
613,0.152,0.4743,YES
614,0.1186,0.4051,NO
615,0.1207,0.3932,YES
616,0.1201,0.1352,NO
617,0.10300000000000001,0.1855,NO
618,0.254,0.5615,YES
619,0.3285,0.8229,YES
620,0.3624,0.8229,YES
621,0.2593,0.5094,YES
622,0.0981,0.2238,NO
623,0.0792,0.1131,NO
624,0.2917,0.4912,YES
625,0.1836,0.3871,NO
626,0.3039,0.5865,YES
627,0.1342,0.2466,NO
628,0.1448,0.2807,NO
629,0.1036,0.2493,NO
630,0.0702,0.2331,NO
631,0.1825,0.1489,NO
632,0.2937,0.8229,YES
633,0.1772,0.1323,NO
634,0.5728,1.0,YES
635,0.0892,0.3711,NO
636,0.4594,0.7957,YES
637,0.1677,0.3739,NO
638,0.1461,0.41,NO
639,0.2985,0.4726,NO
640,0.1348,0.2464,NO
641,0.2479,0.5259,YES
642,0.2298,0.4518,NO
643,0.2345,0.5127,YES
644,0.08900000000000001,0.2581,NO
645,0.0394,0.3926,NO
646,0.1381,0.294,NO
647,0.2108,0.3776,NO
648,0.0676,0.3776,NO
649,0.0957,0.3914,NO
650,0.0963,0.4239,NO
651,0.0435,0.2552,NO
652,0.2592,0.6008,NO
653,0.1291,0.2128,NO
654,0.0785,0.4141,NO
655,0.1052,0.3073,NO
656,0.4225,1.0,YES
657,0.3368,0.9658,YES
658,0.3938,0.9975,YES
659,0.0766,0.243,NO
660,0.0711,0.4495,NO
661,0.0797,0.2526,NO
662,0.0531,0.2843,NO
663,0.1551,0.3599,NO
664,0.077,0.2417,NO
665,0.0463,0.2128,NO
666,0.0745,0.2552,NO
667,0.1014,0.2731,NO
668,0.0541,0.3073,NO
669,0.1685,0.3494,NO
670,0.0541,0.272,NO
671,0.2105,0.6577,NO
672,0.1239,0.3934,YES
673,0.289,1.0,YES
674,0.2752,0.2452,NO
675,0.1653,0.1742,NO
676,0.0814,0.1739,NO
677,0.0623,0.1656,NO
678,0.32899999999999996,1.0,YES
679,0.1249,0.3838,YES
680,0.0968,0.1931,NO
681,0.1519,0.2238,NO
682,0.0533,0.1707,NO
683,0.1784,0.3252,NO
684,0.1661,0.3226,NO
685,0.1504,0.3116,NO
686,0.1562,0.3218,NO
687,0.3075,1.0,YES
688,0.0597,0.1868,NO
689,0.1815,0.4171,YES
690,0.0336,0.1668,NO
691,0.3735,0.8571,YES
692,0.0877,0.21600000000000003,NO
693,0.1163,0.1688,NO
694,0.0418,0.1936,NO
695,0.1354,0.1474,NO
696,0.0948,0.3252,NO
697,0.1407,0.1763,NO
698,0.0821,0.1437,NO
699,0.0894,0.2122,NO
700,0.0416,0.1584,NO
701,0.0131,0.2059,NO
702,0.1203,0.425,YES
703,0.2886,1.0,YES
704,0.2879,1.0,YES
705,0.1294,0.5308,YES
706,0.0498,0.2382,NO
707,0.0139,0.1036,NO
708,0.1999,0.3903,YES
709,0.1109,0.3019,NO
710,0.1389,0.48700000000000004,YES
711,0.0996,0.22399999999999998,NO
712,0.1977,0.3922,NO
713,0.1726,0.4256,NO
714,0.1805,0.4256,NO
715,0.0204,0.0949,NO
716,0.2123,1.0,YES
717,0.0198,0.0871,NO
718,0.3536,0.8275,YES
719,0.1039,0.3867,NO
720,0.2827,0.9541,YES
721,0.0426,0.3405,NO
722,0.0387,0.457,NO
723,0.1228,0.4081,NO
724,0.0373,0.2563,NO
725,0.1359,0.5479,YES
726,0.0808,0.3739,NO
727,0.1119,0.4541,YES
728,0.3458,0.9740000000000001,YES
729,0.0264,0.316,YES
730,0.3473,0.245,NO
731,0.1555,0.2287,NO
732,0.0906,0.2357,NO
733,0.107,0.3139,NO
734,0.226,0.316,YES
735,0.4184,0.9740000000000001,YES
736,0.1111,0.2143,NO
737,0.1017,0.1844,NO
738,0.09699999999999999,0.2501,NO
739,0.1058,0.2506,NO
740,0.1741,0.3489,NO
741,0.1373,0.337,NO
742,0.132,0.3481,NO
743,0.1138,0.316,YES
744,0.0766,0.2311,NO
745,0.3242,1.0,YES
746,0.0297,0.2261,NO
747,0.3407,1.0,YES
748,0.0387,0.1526,NO
749,0.0621,0.1844,NO
750,0.076,0.1844,NO
751,0.1266,0.2094,NO
752,0.0726,0.2506,NO
753,0.192,0.33399999999999996,NO
754,0.1128,0.2094,NO
755,0.0813,0.2295,NO
756,0.1238,0.267,NO
757,0.0659,0.22899999999999998,NO
758,0.0991,0.1706,NO
759,0.2168,0.3384,NO
760,0.0941,0.2804,NO
761,0.1226,0.2268,NO
762,0.0797,0.2472,NO
763,0.0869,0.2605,NO
764,0.1921,0.3504,NO
765,0.2119,0.6882,YES
766,0.0845,0.2166,NO
767,0.1963,1.0,YES
768,0.24100000000000002,0.564,NO
769,0.263,0.5447,NO
770,0.2504,0.5626,NO
771,0.1414,0.196,NO
772,0.0983,0.3611,NO
773,0.1658,0.2831,NO
774,0.1333,0.2668,NO
775,0.2072,0.2831,NO
776,0.1519,0.2845,NO
777,0.1227,0.5181,YES
778,0.1324,0.5954,YES
779,0.1581,0.5485,YES
780,0.1927,1.0,YES
781,0.1378,0.175,NO
782,0.09699999999999999,0.4,YES
783,0.11900000000000001,0.371,NO
784,0.3612,0.9863,YES
785,0.0488,0.3287,YES
786,0.2823,0.2009,NO
787,0.1584,0.1748,NO
788,0.065,0.1755,NO
789,0.0678,0.1837,NO
790,0.1652,0.3287,YES
791,0.4499,0.9863,YES
792,0.0947,0.1657,NO
793,0.1079,0.153,NO
794,0.0645,0.1464,NO
795,0.1095,0.2223,NO
796,0.1665,0.2636,NO
797,0.1472,0.257,NO
798,0.1463,0.263,NO
799,0.1261,0.3287,YES
800,0.0528,0.1972,NO
801,0.3791,1.0,YES
802,0.0329,0.1684,NO
803,0.3577,1.0,YES
804,0.062,0.2282,NO
805,0.0477,0.1431,NO
806,0.0457,0.1431,NO
807,0.1274,0.1205,NO
808,0.0681,0.2223,NO
809,0.1427,0.1955,NO
810,0.0804,0.1107,NO
811,0.0769,0.1734,NO
812,0.1422,0.3943,NO
813,0.0613,0.2677,NO
814,0.1484,0.2904,NO
815,0.1778,0.3384,NO
816,0.1025,0.1992,NO
817,0.1545,0.4563,NO
818,0.1529,0.2677,NO
819,0.1098,0.3846,NO
820,0.1753,0.2625,NO
821,0.1807,0.6882,YES
822,0.134,0.3635,NO
823,0.2818,1.0,YES
824,0.2438,0.3884,NO
825,0.2385,0.4072,NO
826,0.2176,0.4072,NO
827,0.0807,0.2677,NO
828,0.0972,0.2942,NO
829,0.0862,0.418,NO
830,0.0815,0.2112,NO
831,0.2286,0.418,NO
832,0.0804,0.1755,NO
833,0.0972,0.5181,YES
834,0.105,0.5954,YES
835,0.1237,0.3643,YES
836,0.2731,1.0,YES
837,0.1937,0.4855,NO
838,0.1151,0.3024,YES
839,0.1052,0.262,NO
