,DIRECT_NA_NA_VSM,NONETRACED_MEDIAN_RAW_VSM,Associated
226,0.22399999999999998,0.0364,NO
227,0.1967,0.0278,NO
228,0.1436,0.023,NO
229,0.2079,0.0538,NO
230,0.1339,0.0314,NO
231,0.0967,0.0122,NO
232,0.2198,0.0406,NO
233,0.3428,0.0174,YES
234,0.2344,0.0316,NO
235,0.1736,0.0134,YES
236,0.1331,0.0282,NO
237,0.0735,0.0329,NO
238,0.0647,0.0111,NO
239,0.204,0.015,NO
240,0.1327,0.0323,NO
241,0.1655,0.0162,NO
242,0.31,0.038,NO
243,0.1309,0.0132,NO
244,0.2819,0.0316,NO
245,0.4042,0.022000000000000002,YES
246,0.3296,0.0278,YES
247,0.4941,0.042,YES
248,0.1783,0.0196,YES
249,0.193,0.0434,NO
250,0.2673,0.0386,YES
251,0.1726,0.0315,NO
252,0.1439,0.03,NO
253,0.0769,0.0127,NO
254,0.1953,0.0364,NO
255,0.2342,0.0242,NO
256,0.2047,0.0206,NO
257,0.1823,0.0454,NO
258,0.1684,0.0324,NO
259,0.1204,0.0119,NO
260,0.1751,0.0479,NO
261,0.3579,0.0191,YES
262,0.1828,0.031,NO
263,0.2083,0.0148,YES
264,0.2252,0.0318,NO
265,0.2041,0.0339,NO
266,0.2007,0.0123,NO
267,0.0498,0.0171,NO
268,0.1415,0.032,NO
269,0.0515,0.0164,NO
270,0.1207,0.0372,NO
271,0.1912,0.0156,NO
272,0.14,0.0297,NO
273,0.4038,0.0186,YES
274,0.3494,0.0288,YES
275,0.2799,0.0329,YES
276,0.2675,0.0184,YES
277,0.2206,0.0377,NO
278,0.2003,0.0356,YES
279,0.1168,0.0392,NO
280,0.0727,0.026000000000000002,NO
281,0.0714,0.0082,NO
282,0.10800000000000001,0.0256,NO
283,0.2886,0.0274,NO
284,0.1427,0.0182,NO
285,0.0855,0.0314,NO
286,0.0605,0.0222,NO
287,0.0532,0.0086,NO
288,0.1421,0.0324,NO
289,0.4397,0.0127,YES
290,0.0607,0.0226,NO
291,0.2347,0.0094,YES
292,0.2118,0.0221,NO
293,0.2048,0.0241,NO
294,0.2045,0.0094,NO
295,0.0849,0.013000000000000001,NO
296,0.1035,0.0255,NO
297,0.0824,0.0132,NO
298,0.0975,0.0236,NO
299,0.1702,0.0142,NO
300,0.1518,0.0216,NO
301,0.3372,0.0128,YES
302,0.3303,0.0178,YES
303,0.314,0.0244,YES
304,0.1257,0.0116,YES
305,0.1375,0.0272,NO
306,0.1128,0.0238,YES
307,0.099,0.0239,NO
308,0.1069,0.0406,NO
309,0.0451,0.0122,NO
310,0.5095,0.0309,YES
311,0.1431,0.0378,YES
312,0.1227,0.0313,YES
313,0.2847,0.039,YES
314,0.2237,0.0393,NO
315,0.1065,0.016,NO
316,0.3266,0.0516,YES
317,0.0974,0.0266,NO
318,0.3289,0.0252,YES
319,0.1059,0.02,NO
320,0.2131,0.0328,NO
321,0.1496,0.0437,NO
322,0.1474,0.0096,NO
323,0.0902,0.02,NO
324,0.0993,0.0413,YES
325,0.0875,0.0194,NO
326,0.2369,0.0372,YES
327,0.2129,0.0183,NO
328,0.1321,0.0355,YES
329,0.1271,0.0264,NO
330,0.08,0.0396,NO
331,0.3025,0.0374,NO
332,0.12,0.023,NO
333,0.3399,0.032,YES
334,0.2516,0.0343,NO
335,0.2081,0.0388,YES
336,0.1799,0.0338,NO
337,0.1547,0.0126,NO
338,0.3595,0.038,YES
339,0.2156,0.0458,NO
340,0.1535,0.0366,NO
341,0.4159,0.0488,YES
342,0.1827,0.0376,NO
343,0.1097,0.0162,NO
344,0.5448,0.0568,YES
345,0.191,0.0292,NO
346,0.4381,0.0339,YES
347,0.1528,0.0218,NO
348,0.3264,0.0349,NO
349,0.3203,0.0431,NO
350,0.2648,0.0094,NO
351,0.171,0.0213,NO
352,0.21899999999999997,0.0454,NO
353,0.1398,0.0236,NO
354,0.3673,0.043,NO
355,0.1451,0.0198,NO
356,0.2637,0.0404,NO
357,0.1991,0.0306,NO
358,0.1784,0.0438,NO
359,0.3767,0.0484,NO
360,0.1917,0.025,NO
361,0.3794,0.0393,YES
362,0.3359,0.0467,NO
363,0.2874,0.0442,YES
364,0.0798,0.0475,NO
365,0.0364,0.0173,NO
366,0.2475,0.0429,YES
367,0.2794,0.0478,YES
368,0.2232,0.0367,YES
369,0.2213,0.0582,YES
370,0.1233,0.048,NO
371,0.0474,0.0182,NO
372,0.2799,0.0673,YES
373,0.2328,0.0315,NO
374,0.2608,0.0406,YES
375,0.1095,0.024,NO
376,0.2365,0.0406,NO
377,0.2061,0.0551,NO
378,0.2048,0.0162,NO
379,0.0456,0.0248,NO
380,0.1795,0.055,YES
381,0.0442,0.024,NO
382,0.27,0.0578,YES
383,0.1224,0.0238,NO
384,0.1913,0.0504,YES
385,0.2397,0.0363,NO
386,0.2111,0.0484,NO
387,0.2935,0.0594,NO
388,0.1155,0.0344,NO
389,0.243,0.0456,YES
390,0.1959,0.0623,NO
391,0.198,0.0471,YES
392,0.1636,0.0332,NO
393,0.1646,0.0118,NO
394,0.3881,0.0296,YES
395,0.1762,0.0335,NO
396,0.1649,0.0287,NO
397,0.4197,0.04,YES
398,0.1681,0.0336,NO
399,0.153,0.0125,NO
400,0.4738,0.0419,YES
401,0.159,0.0224,NO
402,0.493,0.027999999999999997,YES
403,0.1456,0.0182,NO
404,0.2244,0.0326,NO
405,0.1542,0.039,NO
406,0.1277,0.0066,NO
407,0.1775,0.0167,NO
408,0.2106,0.0365,NO
409,0.1654,0.0166,NO
410,0.3557,0.032,NO
411,0.0902,0.01,NO
412,0.2663,0.0372,NO
413,0.2218,0.024,NO
414,0.1764,0.0332,NO
415,0.3901,0.0404,NO
416,0.21600000000000003,0.022000000000000002,NO
417,0.402,0.0314,YES
418,0.3584,0.04,NO
419,0.3239,0.0322,YES
420,0.0467,0.0175,NO
421,0.0184,0.0065,NO
422,0.0544,0.0168,YES
423,0.1967,0.0173,YES
424,0.1251,0.0118,YES
425,0.0526,0.0234,YES
426,0.0389,0.0168,NO
427,0.0098,0.0062,NO
428,0.1204,0.0204,YES
429,0.1152,0.0132,NO
430,0.0434,0.0151,YES
431,0.0994,0.0096,NO
432,0.171,0.0142,NO
433,0.1733,0.0191,NO
434,0.1785,0.0053,NO
435,0.0632,0.0118,NO
436,0.1652,0.0183,YES
437,0.0614,0.0118,NO
438,0.1533,0.0147,YES
439,0.1347,0.0104,NO
440,0.1212,0.0148,YES
441,0.015,0.0118,NO
442,0.0714,0.0172,NO
443,0.0698,0.0204,NO
444,0.035,0.0107,NO
445,0.0672,0.021,YES
446,0.0378,0.02,NO
447,0.0637,0.015,YES
448,0.3024,0.023,YES
449,0.0482,0.0079,YES
450,0.3634,0.0316,NO
451,0.1548,0.0253,NO
452,0.1459,0.0196,NO
453,0.1506,0.0386,NO
454,0.2394,0.025,YES
455,0.3693,0.0092,YES
456,0.1404,0.028999999999999998,NO
457,0.0758,0.016,NO
458,0.1517,0.0222,NO
459,0.067,0.0119,NO
460,0.2131,0.021,NO
461,0.16,0.0258,NO
462,0.1446,0.0096,NO
463,0.0844,0.0131,YES
464,0.095,0.0263,NO
465,0.2419,0.0112,YES
466,0.026000000000000002,0.0257,NO
467,0.2985,0.0106,YES
468,0.0377,0.0233,NO
469,0.102,0.0164,NO
470,0.0927,0.0241,NO
471,0.1259,0.0278,NO
472,0.1193,0.0162,NO
473,0.2177,0.0335,NO
474,0.15,0.0308,NO
475,0.0996,0.0233,NO
476,0.0839,0.0372,NO
477,0.0672,0.0127,NO
478,0.3068,0.0393,YES
479,0.1154,0.043,YES
480,0.0802,0.0302,YES
481,0.3166,0.0494,YES
482,0.0868,0.0395,NO
483,0.0677,0.0148,NO
484,0.5456,0.0588,YES
485,0.0938,0.0284,NO
486,0.3771,0.0334,YES
487,0.0765,0.021,NO
488,0.3042,0.031,NO
489,0.1867,0.0442,NO
490,0.2024,0.0077,NO
491,0.084,0.0236,NO
492,0.1127,0.0396,YES
493,0.0773,0.0237,NO
494,0.3002,0.0359,YES
495,0.0821,0.0188,NO
496,0.1969,0.0388,YES
497,0.1353,0.0264,NO
498,0.0942,0.0368,NO
499,0.3023,0.0494,NO
500,0.1177,0.025,NO
501,0.2966,0.0406,YES
502,0.2621,0.0464,NO
503,0.3631,0.040999999999999995,YES
504,0.1178,0.0387,NO
505,0.0474,0.0136,NO
506,0.4277,0.0335,YES
507,0.2214,0.0392,YES
508,0.2007,0.0322,YES
509,0.2467,0.043,YES
510,0.2192,0.0405,NO
511,0.1165,0.0148,NO
512,0.3035,0.0468,YES
513,0.1886,0.0246,NO
514,0.2922,0.0316,YES
515,0.1088,0.02,NO
516,0.2277,0.0322,NO
517,0.1763,0.0434,NO
518,0.1744,0.0135,NO
519,0.0948,0.0214,NO
520,0.152,0.0436,YES
521,0.0882,0.02,NO
522,0.2267,0.0459,YES
523,0.1968,0.0196,NO
524,0.1574,0.0451,YES
525,0.2134,0.0284,NO
526,0.1846,0.039,NO
527,0.3004,0.0438,NO
528,0.1322,0.0262,NO
529,0.3039,0.0336,YES
530,0.2341,0.042,NO
531,0.2137,0.033,YES
532,0.1342,0.0379,NO
533,0.1099,0.0128,NO
534,0.526,0.027999999999999997,YES
535,0.1623,0.0357,YES
536,0.1996,0.0308,YES
537,0.3297,0.0386,YES
538,0.22699999999999998,0.0357,NO
539,0.1622,0.0144,NO
540,0.3372,0.0383,YES
541,0.1102,0.024,NO
542,0.3901,0.0271,YES
543,0.1022,0.0186,NO
544,0.1483,0.0306,NO
545,0.0862,0.040999999999999995,NO
546,0.0629,0.0088,NO
547,0.2034,0.0196,NO
548,0.1682,0.0374,YES
549,0.1975,0.019,NO
550,0.3422,0.0357,YES
551,0.1773,0.0154,NO
552,0.2514,0.0364,YES
553,0.1754,0.0279,NO
554,0.1301,0.0358,NO
555,0.3619,0.0332,NO
556,0.1715,0.0248,NO
557,0.3452,0.03,YES
558,0.3259,0.0374,NO
559,0.258,0.0295,YES
560,0.0709,0.0342,NO
561,0.0732,0.0117,NO
562,0.3094,0.0342,YES
563,0.1091,0.0387,YES
564,0.0665,0.027000000000000003,YES
565,0.2941,0.0436,YES
566,0.0664,0.0363,NO
567,0.0556,0.0138,NO
568,0.5229,0.0563,YES
569,0.1003,0.0222,NO
570,0.3604,0.0303,YES
571,0.08800000000000001,0.0185,NO
572,0.2859,0.0295,NO
573,0.1263,0.0424,NO
574,0.1497,0.0066,NO
575,0.1047,0.0188,NO
576,0.1031,0.0368,YES
577,0.1016,0.0195,NO
578,0.3066,0.0319,YES
579,0.0639,0.0122,NO
580,0.2147,0.036000000000000004,YES
581,0.1277,0.0241,NO
582,0.0813,0.0348,NO
583,0.3135,0.047,NO
584,0.1095,0.024,NO
585,0.302,0.0354,YES
586,0.2369,0.0424,NO
587,0.4263,0.0384,YES
588,0.1151,0.0276,NO
589,0.0905,0.0095,NO
590,0.1028,0.0275,YES
591,0.3566,0.027999999999999997,YES
592,0.2651,0.0178,YES
593,0.1542,0.032,YES
594,0.094,0.0261,NO
595,0.0554,0.0093,NO
596,0.2037,0.035,YES
597,0.1971,0.019,NO
598,0.1126,0.0264,YES
599,0.1418,0.0132,NO
600,0.2488,0.0234,NO
601,0.2731,0.0298,NO
602,0.2523,0.0098,NO
603,0.1698,0.0158,NO
604,0.2266,0.0264,YES
605,0.1648,0.0162,NO
606,0.2745,0.0241,YES
607,0.1508,0.0142,NO
608,0.2653,0.021,YES
609,0.1206,0.0164,NO
610,0.1613,0.0256,NO
611,0.1611,0.0298,NO
612,0.1018,0.0146,NO
613,0.152,0.0278,YES
614,0.1186,0.0268,NO
615,0.1207,0.0274,YES
616,0.1201,0.0348,NO
617,0.10300000000000001,0.0131,NO
618,0.254,0.0322,YES
619,0.3285,0.0319,YES
620,0.3624,0.0256,YES
621,0.2593,0.0514,YES
622,0.0981,0.0341,NO
623,0.0792,0.0126,NO
624,0.2917,0.0412,YES
625,0.1836,0.0247,NO
626,0.3039,0.0331,YES
627,0.1342,0.0184,NO
628,0.1448,0.0353,NO
629,0.1036,0.039,NO
630,0.0702,0.0121,NO
631,0.1825,0.0178,NO
632,0.2937,0.0387,YES
633,0.1772,0.0171,NO
634,0.5728,0.038,YES
635,0.0892,0.0147,NO
636,0.4594,0.035,YES
637,0.1677,0.026000000000000002,NO
638,0.1461,0.0336,NO
639,0.2985,0.0412,NO
640,0.1348,0.0227,NO
641,0.2479,0.0461,YES
642,0.2298,0.0436,NO
643,0.2345,0.0292,YES
644,0.08900000000000001,0.0211,NO
645,0.0394,0.0058,NO
646,0.1381,0.02,NO
647,0.2108,0.0232,NO
648,0.0676,0.0167,NO
649,0.0957,0.0242,NO
650,0.0963,0.0208,NO
651,0.0435,0.0082,NO
652,0.2592,0.0187,NO
653,0.1291,0.016,NO
654,0.0785,0.0176,NO
655,0.1052,0.0116,NO
656,0.4225,0.015,YES
657,0.3368,0.0212,YES
658,0.3938,0.0071,YES
659,0.0766,0.0117,NO
660,0.0711,0.0222,NO
661,0.0797,0.0112,NO
662,0.0531,0.0253,NO
663,0.1551,0.0116,NO
664,0.077,0.022000000000000002,NO
665,0.0463,0.0182,NO
666,0.0745,0.0251,NO
667,0.1014,0.0256,NO
668,0.0541,0.0134,NO
669,0.1685,0.0208,NO
670,0.0541,0.0214,NO
671,0.2105,0.0139,NO
672,0.1239,0.0151,YES
673,0.289,0.0059,YES
674,0.2752,0.0196,NO
675,0.1653,0.0196,NO
676,0.0814,0.0127,NO
677,0.0623,0.0218,NO
678,0.32899999999999996,0.0168,YES
679,0.1249,0.0056,YES
680,0.0968,0.0196,NO
681,0.1519,0.0146,NO
682,0.0533,0.0146,NO
683,0.1784,0.01,NO
684,0.1661,0.0162,NO
685,0.1504,0.0173,NO
686,0.1562,0.0076,NO
687,0.3075,0.0096,YES
688,0.0597,0.019,NO
689,0.1815,0.0092,YES
690,0.0336,0.0173,NO
691,0.3735,0.006999999999999999,YES
692,0.0877,0.0158,NO
693,0.1163,0.011000000000000001,NO
694,0.0418,0.0222,NO
695,0.1354,0.0194,NO
696,0.0948,0.0102,NO
697,0.1407,0.0207,NO
698,0.0821,0.0186,NO
699,0.0894,0.0145,NO
700,0.0416,0.0332,NO
701,0.0131,0.0132,NO
702,0.1203,0.0374,YES
703,0.2886,0.0268,YES
704,0.2879,0.0202,YES
705,0.1294,0.0529,YES
706,0.0498,0.0349,NO
707,0.0139,0.0114,NO
708,0.1999,0.046,YES
709,0.1109,0.0269,NO
710,0.1389,0.0343,YES
711,0.0996,0.0173,NO
712,0.1977,0.0369,NO
713,0.1726,0.0368,NO
714,0.1805,0.0117,NO
715,0.0204,0.0174,NO
716,0.2123,0.0318,YES
717,0.0198,0.0166,NO
718,0.3536,0.032,YES
719,0.1039,0.0188,NO
720,0.2827,0.0275,YES
721,0.0426,0.0248,NO
722,0.0387,0.0336,NO
723,0.1228,0.0387,NO
724,0.0373,0.021,NO
725,0.1359,0.0434,YES
726,0.0808,0.0433,NO
727,0.1119,0.0346,YES
728,0.3458,0.0203,YES
729,0.0264,0.0074,YES
730,0.3473,0.0248,NO
731,0.1555,0.0234,NO
732,0.0906,0.0168,NO
733,0.107,0.0324,NO
734,0.226,0.0207,YES
735,0.4184,0.0074,YES
736,0.1111,0.0282,NO
737,0.1017,0.0174,NO
738,0.09699999999999999,0.0222,NO
739,0.1058,0.0109,NO
740,0.1741,0.0196,NO
741,0.1373,0.0242,NO
742,0.132,0.0088,NO
743,0.1138,0.0102,YES
744,0.0766,0.0237,NO
745,0.3242,0.0095,YES
746,0.0297,0.0228,NO
747,0.3407,0.0084,YES
748,0.0387,0.0205,NO
749,0.0621,0.0152,NO
750,0.076,0.0238,NO
751,0.1266,0.0253,NO
752,0.0726,0.0138,NO
753,0.192,0.0263,NO
754,0.1128,0.0232,NO
755,0.0813,0.0238,NO
756,0.1238,0.0212,NO
757,0.0659,0.0076,NO
758,0.0991,0.0268,NO
759,0.2168,0.0253,NO
760,0.0941,0.0186,NO
761,0.1226,0.0325,NO
762,0.0797,0.0238,NO
763,0.0869,0.0083,NO
764,0.1921,0.028999999999999998,NO
765,0.2119,0.0146,YES
766,0.0845,0.0268,NO
767,0.1963,0.0111,YES
768,0.24100000000000002,0.0206,NO
769,0.263,0.0232,NO
770,0.2504,0.0081,NO
771,0.1414,0.013000000000000001,NO
772,0.0983,0.0277,NO
773,0.1658,0.012,NO
774,0.1333,0.0241,NO
775,0.2072,0.0107,NO
776,0.1519,0.0229,NO
777,0.1227,0.0131,YES
778,0.1324,0.0218,YES
779,0.1581,0.0259,YES
780,0.1927,0.0125,YES
781,0.1378,0.027999999999999997,NO
782,0.09699999999999999,0.027999999999999997,YES
783,0.11900000000000001,0.0224,NO
784,0.3612,0.0148,YES
785,0.0488,0.0054,YES
786,0.2823,0.0182,NO
787,0.1584,0.0229,NO
788,0.065,0.0125,NO
789,0.0678,0.0227,NO
790,0.1652,0.0169,YES
791,0.4499,0.0053,YES
792,0.0947,0.0226,NO
793,0.1079,0.0156,NO
794,0.0645,0.0146,NO
795,0.1095,0.0095,NO
796,0.1665,0.0146,NO
797,0.1472,0.017,NO
798,0.1463,0.0072,NO
799,0.1261,0.0091,YES
800,0.0528,0.0173,NO
801,0.3791,0.0086,YES
802,0.0329,0.0165,NO
803,0.3577,0.0066,YES
804,0.062,0.0148,NO
805,0.0477,0.0124,NO
806,0.0457,0.0225,NO
807,0.1274,0.0192,NO
808,0.0681,0.0102,NO
809,0.1427,0.0186,NO
810,0.0804,0.0176,NO
811,0.0769,0.0147,NO
812,0.1422,0.0251,NO
813,0.0613,0.0094,NO
814,0.1484,0.0287,NO
815,0.1778,0.0272,NO
816,0.1025,0.0206,NO
817,0.1545,0.0332,NO
818,0.1529,0.027999999999999997,NO
819,0.1098,0.0103,NO
820,0.1753,0.0316,NO
821,0.1807,0.0184,YES
822,0.134,0.0209,NO
823,0.2818,0.013999999999999999,YES
824,0.2438,0.0225,NO
825,0.2385,0.0288,NO
826,0.2176,0.0095,NO
827,0.0807,0.0142,NO
828,0.0972,0.0304,NO
829,0.0862,0.0134,NO
830,0.0815,0.0288,NO
831,0.2286,0.0107,NO
832,0.0804,0.0273,NO
833,0.0972,0.0176,YES
834,0.105,0.027999999999999997,YES
835,0.1237,0.0304,YES
836,0.2731,0.0161,YES
837,0.1937,0.028999999999999998,NO
838,0.1151,0.0294,YES
839,0.1052,0.0257,NO
