,DIRECT_NA_NA_VSM,UPPERTRACED_RFNONE_RAW_VSM,Associated
188,0.2555,0.42,YES
189,0.2049,0.36,NO
190,0.2206,0.41,NO
191,0.2228,0.43,NO
192,0.1032,0.21,NO
193,0.1461,0.29,YES
194,0.1116,0.31,NO
195,0.1326,0.21,YES
196,0.1415,0.35,NO
197,0.0745,0.07,NO
198,0.2381,0.2,NO
199,0.19,0.36,NO
200,0.1547,0.55,NO
201,0.1997,0.27,NO
202,0.1653,0.35,NO
203,0.1536,0.53,NO
204,0.1999,0.39,NO
205,0.1989,0.26,YES
206,0.2045,0.08,NO
207,0.2447,0.2,YES
208,0.2519,0.46,NO
209,0.2036,0.37,NO
210,0.2033,0.45,NO
211,0.0533,0.22,NO
212,0.105,0.31,NO
213,0.055999999999999994,0.3,NO
214,0.1113,0.26,NO
215,0.2256,0.14,NO
216,0.0989,0.47,NO
217,0.1879,0.36,YES
218,0.1445,0.26,YES
219,0.1901,0.32,YES
220,0.3108,0.41,YES
221,0.2405,0.45,NO
222,0.1657,0.35,YES
223,0.1331,0.38,NO
224,0.0949,0.35,NO
225,0.1339,0.07,NO
226,0.22399999999999998,0.2,NO
227,0.1967,0.36,NO
228,0.1436,0.55,NO
229,0.2079,0.27,NO
230,0.1339,0.35,NO
231,0.0967,0.53,NO
232,0.2198,0.39,NO
233,0.3428,0.26,YES
234,0.2344,0.08,NO
235,0.1736,0.2,YES
236,0.1331,0.46,NO
237,0.0735,0.37,NO
238,0.0647,0.45,NO
239,0.204,0.22,NO
240,0.1327,0.31,NO
241,0.1655,0.3,NO
242,0.31,0.26,NO
243,0.1309,0.14,NO
244,0.2819,0.47,NO
245,0.4042,0.36,YES
246,0.3296,0.26,YES
247,0.4941,0.32,YES
248,0.1783,0.41,YES
249,0.193,0.45,NO
250,0.2673,0.35,YES
251,0.1726,0.38,NO
252,0.1439,0.35,NO
253,0.0769,0.07,NO
254,0.1953,0.2,NO
255,0.2342,0.36,NO
256,0.2047,0.55,NO
257,0.1823,0.27,NO
258,0.1684,0.35,NO
259,0.1204,0.53,NO
260,0.1751,0.39,NO
261,0.3579,0.26,YES
262,0.1828,0.08,NO
263,0.2083,0.2,YES
264,0.2252,0.46,NO
265,0.2041,0.37,NO
266,0.2007,0.45,NO
267,0.0498,0.22,NO
268,0.1415,0.31,NO
269,0.0515,0.3,NO
270,0.1207,0.26,NO
271,0.1912,0.14,NO
272,0.14,0.47,NO
273,0.4038,0.36,YES
274,0.3494,0.26,YES
275,0.2799,0.32,YES
276,0.2675,0.41,YES
277,0.2206,0.45,NO
278,0.2003,0.35,YES
279,0.1168,0.38,NO
280,0.0727,0.35,NO
281,0.0714,0.07,NO
282,0.10800000000000001,0.2,NO
283,0.2886,0.36,NO
284,0.1427,0.55,NO
285,0.0855,0.27,NO
286,0.0605,0.35,NO
287,0.0532,0.53,NO
288,0.1421,0.39,NO
289,0.4397,0.26,YES
290,0.0607,0.08,NO
291,0.2347,0.2,YES
292,0.2118,0.46,NO
293,0.2048,0.37,NO
294,0.2045,0.45,NO
295,0.0849,0.22,NO
296,0.1035,0.31,NO
297,0.0824,0.3,NO
298,0.0975,0.26,NO
299,0.1702,0.14,NO
300,0.1518,0.47,NO
301,0.3372,0.36,YES
302,0.3303,0.26,YES
303,0.314,0.32,YES
304,0.1257,0.41,YES
305,0.1375,0.45,NO
306,0.1128,0.35,YES
307,0.099,0.38,NO
308,0.1069,0.34,NO
309,0.0451,0.59,NO
310,0.5095,0.44,YES
311,0.1431,0.25,YES
312,0.1227,0.21,YES
313,0.2847,0.31,YES
314,0.2237,0.37,NO
315,0.1065,0.58,NO
316,0.3266,0.37,YES
317,0.0974,0.47,NO
318,0.3289,0.92,YES
319,0.1059,0.38,NO
320,0.2131,0.42,NO
321,0.1496,0.38,NO
322,0.1474,0.26,NO
323,0.0902,0.33,NO
324,0.0993,0.38,YES
325,0.0875,0.21,NO
326,0.2369,0.53,YES
327,0.2129,0.55,NO
328,0.1321,0.32,YES
329,0.1271,0.32,NO
330,0.08,0.41,NO
331,0.3025,0.46,NO
332,0.12,0.48,NO
333,0.3399,0.68,YES
334,0.2516,0.53,NO
335,0.2081,0.88,YES
336,0.1799,0.15,NO
337,0.1547,0.02,NO
338,0.3595,0.03,YES
339,0.2156,0.07,NO
340,0.1535,0.03,NO
341,0.4159,0.09,YES
342,0.1827,0.03,NO
343,0.1097,0.0,NO
344,0.5448,0.2,YES
345,0.191,0.01,NO
346,0.4381,0.15,YES
347,0.1528,0.11,NO
348,0.3264,0.07,NO
349,0.3203,0.12,NO
350,0.2648,0.04,NO
351,0.171,0.06,NO
352,0.21899999999999997,0.09,NO
353,0.1398,0.08,NO
354,0.3673,0.24,NO
355,0.1451,0.0,NO
356,0.2637,0.01,NO
357,0.1991,0.03,NO
358,0.1784,0.12,NO
359,0.3767,0.05,NO
360,0.1917,0.01,NO
361,0.3794,0.38,YES
362,0.3359,0.14,NO
363,0.2874,0.2,YES
364,0.0798,0.55,NO
365,0.0364,0.14,NO
366,0.2475,0.22,YES
367,0.2794,0.33,YES
368,0.2232,0.82,YES
369,0.2213,0.4,YES
370,0.1233,0.36,NO
371,0.0474,0.06,NO
372,0.2799,0.3,YES
373,0.2328,0.27,NO
374,0.2608,0.09,YES
375,0.1095,0.25,NO
376,0.2365,0.47,NO
377,0.2061,0.36,NO
378,0.2048,0.42,NO
379,0.0456,0.52,NO
380,0.1795,0.91,YES
381,0.0442,0.56,NO
382,0.27,0.43,YES
383,0.1224,0.49,NO
384,0.1913,0.42,YES
385,0.2397,0.36,NO
386,0.2111,0.41,NO
387,0.2935,0.43,NO
388,0.1155,0.21,NO
389,0.243,0.29,YES
390,0.1959,0.31,NO
391,0.198,0.21,YES
392,0.1636,0.02,NO
393,0.1646,0.0,NO
394,0.3881,0.36,YES
395,0.1762,0.05,NO
396,0.1649,0.02,NO
397,0.4197,0.9,YES
398,0.1681,0.04,NO
399,0.153,0.11,NO
400,0.4738,0.03,YES
401,0.159,0.31,NO
402,0.493,0.87,YES
403,0.1456,0.0,NO
404,0.2244,0.0,NO
405,0.1542,0.01,NO
406,0.1277,0.04,NO
407,0.1775,0.0,NO
408,0.2106,0.0,NO
409,0.1654,0.0,NO
410,0.3557,0.16,NO
411,0.0902,0.0,NO
412,0.2663,0.06,NO
413,0.2218,0.19,NO
414,0.1764,0.42,NO
415,0.3901,0.05,NO
416,0.21600000000000003,0.01,NO
417,0.402,0.08,YES
418,0.3584,0.14,NO
419,0.3239,0.81,YES
420,0.0467,0.55,NO
421,0.0184,0.14,NO
422,0.0544,0.22,YES
423,0.1967,0.33,YES
424,0.1251,0.82,YES
425,0.0526,0.4,YES
426,0.0389,0.36,NO
427,0.0098,0.06,NO
428,0.1204,0.3,YES
429,0.1152,0.27,NO
430,0.0434,0.09,YES
431,0.0994,0.25,NO
432,0.171,0.47,NO
433,0.1733,0.36,NO
434,0.1785,0.42,NO
435,0.0632,0.52,NO
436,0.1652,0.91,YES
437,0.0614,0.56,NO
438,0.1533,0.43,YES
439,0.1347,0.49,NO
440,0.1212,0.42,YES
441,0.015,0.36,NO
442,0.0714,0.41,NO
443,0.0698,0.43,NO
444,0.035,0.21,NO
445,0.0672,0.29,YES
446,0.0378,0.31,NO
447,0.0637,0.21,YES
448,0.3024,0.16,YES
449,0.0482,0.12,YES
450,0.3634,0.51,NO
451,0.1548,0.47,NO
452,0.1459,0.48,NO
453,0.1506,0.29,NO
454,0.2394,0.36,YES
455,0.3693,0.54,YES
456,0.1404,0.48,NO
457,0.0758,0.59,NO
458,0.1517,0.01,NO
459,0.067,0.47,NO
460,0.2131,0.25,NO
461,0.16,0.27,NO
462,0.1446,0.02,NO
463,0.0844,0.3,YES
464,0.095,0.54,NO
465,0.2419,0.16,YES
466,0.026000000000000002,0.11,NO
467,0.2985,0.46,YES
468,0.0377,0.52,NO
469,0.102,0.11,NO
470,0.0927,0.4,NO
471,0.1259,0.48,NO
472,0.1193,0.09,NO
473,0.2177,0.46,NO
474,0.15,0.24,NO
475,0.0996,0.49,NO
476,0.0839,0.34,NO
477,0.0672,0.59,NO
478,0.3068,0.44,YES
479,0.1154,0.25,YES
480,0.0802,0.21,YES
481,0.3166,0.31,YES
482,0.0868,0.37,NO
483,0.0677,0.58,NO
484,0.5456,0.37,YES
485,0.0938,0.47,NO
486,0.3771,0.92,YES
487,0.0765,0.38,NO
488,0.3042,0.42,NO
489,0.1867,0.38,NO
490,0.2024,0.26,NO
491,0.084,0.33,NO
492,0.1127,0.38,YES
493,0.0773,0.21,NO
494,0.3002,0.53,YES
495,0.0821,0.55,NO
496,0.1969,0.32,YES
497,0.1353,0.32,NO
498,0.0942,0.41,NO
499,0.3023,0.46,NO
500,0.1177,0.48,NO
501,0.2966,0.68,YES
502,0.2621,0.53,NO
503,0.3631,0.88,YES
504,0.1178,0.34,NO
505,0.0474,0.59,NO
506,0.4277,0.44,YES
507,0.2214,0.25,YES
508,0.2007,0.21,YES
509,0.2467,0.31,YES
510,0.2192,0.37,NO
511,0.1165,0.58,NO
512,0.3035,0.37,YES
513,0.1886,0.47,NO
514,0.2922,0.92,YES
515,0.1088,0.38,NO
516,0.2277,0.42,NO
517,0.1763,0.38,NO
518,0.1744,0.26,NO
519,0.0948,0.33,NO
520,0.152,0.38,YES
521,0.0882,0.21,NO
522,0.2267,0.53,YES
523,0.1968,0.55,NO
524,0.1574,0.32,YES
525,0.2134,0.32,NO
526,0.1846,0.41,NO
527,0.3004,0.46,NO
528,0.1322,0.48,NO
529,0.3039,0.68,YES
530,0.2341,0.53,NO
531,0.2137,0.88,YES
532,0.1342,0.34,NO
533,0.1099,0.59,NO
534,0.526,0.44,YES
535,0.1623,0.25,YES
536,0.1996,0.21,YES
537,0.3297,0.31,YES
538,0.22699999999999998,0.37,NO
539,0.1622,0.58,NO
540,0.3372,0.37,YES
541,0.1102,0.47,NO
542,0.3901,0.92,YES
543,0.1022,0.38,NO
544,0.1483,0.42,NO
545,0.0862,0.38,NO
546,0.0629,0.26,NO
547,0.2034,0.33,NO
548,0.1682,0.38,YES
549,0.1975,0.21,NO
550,0.3422,0.53,YES
551,0.1773,0.55,NO
552,0.2514,0.32,YES
553,0.1754,0.32,NO
554,0.1301,0.41,NO
555,0.3619,0.46,NO
556,0.1715,0.48,NO
557,0.3452,0.68,YES
558,0.3259,0.53,NO
559,0.258,0.88,YES
560,0.0709,0.34,NO
561,0.0732,0.59,NO
562,0.3094,0.44,YES
563,0.1091,0.25,YES
564,0.0665,0.21,YES
565,0.2941,0.31,YES
566,0.0664,0.37,NO
567,0.0556,0.58,NO
568,0.5229,0.37,YES
569,0.1003,0.47,NO
570,0.3604,0.92,YES
571,0.08800000000000001,0.38,NO
572,0.2859,0.42,NO
573,0.1263,0.38,NO
574,0.1497,0.26,NO
575,0.1047,0.33,NO
576,0.1031,0.38,YES
577,0.1016,0.21,NO
578,0.3066,0.53,YES
579,0.0639,0.55,NO
580,0.2147,0.32,YES
581,0.1277,0.32,NO
582,0.0813,0.41,NO
583,0.3135,0.46,NO
584,0.1095,0.48,NO
585,0.302,0.68,YES
586,0.2369,0.53,NO
587,0.4263,0.88,YES
588,0.1151,0.55,NO
589,0.0905,0.14,NO
590,0.1028,0.22,YES
591,0.3566,0.33,YES
592,0.2651,0.82,YES
593,0.1542,0.4,YES
594,0.094,0.36,NO
595,0.0554,0.06,NO
596,0.2037,0.3,YES
597,0.1971,0.27,NO
598,0.1126,0.09,YES
599,0.1418,0.25,NO
600,0.2488,0.47,NO
601,0.2731,0.36,NO
602,0.2523,0.42,NO
603,0.1698,0.52,NO
604,0.2266,0.91,YES
605,0.1648,0.56,NO
606,0.2745,0.43,YES
607,0.1508,0.49,NO
608,0.2653,0.42,YES
609,0.1206,0.36,NO
610,0.1613,0.41,NO
611,0.1611,0.43,NO
612,0.1018,0.21,NO
613,0.152,0.29,YES
614,0.1186,0.31,NO
615,0.1207,0.21,YES
616,0.1201,0.55,NO
617,0.10300000000000001,0.14,NO
618,0.254,0.22,YES
619,0.3285,0.33,YES
620,0.3624,0.82,YES
621,0.2593,0.4,YES
622,0.0981,0.36,NO
623,0.0792,0.06,NO
624,0.2917,0.3,YES
625,0.1836,0.27,NO
626,0.3039,0.09,YES
627,0.1342,0.25,NO
628,0.1448,0.47,NO
629,0.1036,0.36,NO
630,0.0702,0.42,NO
631,0.1825,0.52,NO
632,0.2937,0.91,YES
633,0.1772,0.56,NO
634,0.5728,0.43,YES
635,0.0892,0.49,NO
636,0.4594,0.42,YES
637,0.1677,0.36,NO
638,0.1461,0.41,NO
639,0.2985,0.43,NO
640,0.1348,0.21,NO
641,0.2479,0.29,YES
642,0.2298,0.31,NO
643,0.2345,0.21,YES
644,0.08900000000000001,0.39,NO
645,0.0394,0.11,NO
646,0.1381,0.15,NO
647,0.2108,0.49,NO
648,0.0676,0.07,NO
649,0.0957,0.75,NO
650,0.0963,0.06,NO
651,0.0435,0.0,NO
652,0.2592,0.83,NO
653,0.1291,0.34,NO
654,0.0785,0.0,NO
655,0.1052,0.0,NO
656,0.4225,0.03,YES
657,0.3368,0.51,YES
658,0.3938,0.91,YES
659,0.0766,0.03,NO
660,0.0711,0.01,NO
661,0.0797,0.28,NO
662,0.0531,0.37,NO
663,0.1551,0.0,NO
664,0.077,0.1,NO
665,0.0463,0.02,NO
666,0.0745,0.0,NO
667,0.1014,0.53,NO
668,0.0541,0.05,NO
669,0.1685,0.01,NO
670,0.0541,0.06,NO
671,0.2105,0.61,NO
672,0.1239,0.16,YES
673,0.289,0.12,YES
674,0.2752,0.51,NO
675,0.1653,0.47,NO
676,0.0814,0.48,NO
677,0.0623,0.29,NO
678,0.32899999999999996,0.36,YES
679,0.1249,0.54,YES
680,0.0968,0.48,NO
681,0.1519,0.59,NO
682,0.0533,0.01,NO
683,0.1784,0.47,NO
684,0.1661,0.25,NO
685,0.1504,0.27,NO
686,0.1562,0.02,NO
687,0.3075,0.3,YES
688,0.0597,0.54,NO
689,0.1815,0.16,YES
690,0.0336,0.11,NO
691,0.3735,0.46,YES
692,0.0877,0.52,NO
693,0.1163,0.11,NO
694,0.0418,0.4,NO
695,0.1354,0.48,NO
696,0.0948,0.09,NO
697,0.1407,0.46,NO
698,0.0821,0.24,NO
699,0.0894,0.49,NO
700,0.0416,0.55,NO
701,0.0131,0.14,NO
702,0.1203,0.22,YES
703,0.2886,0.33,YES
704,0.2879,0.82,YES
705,0.1294,0.4,YES
706,0.0498,0.36,NO
707,0.0139,0.06,NO
708,0.1999,0.3,YES
709,0.1109,0.27,NO
710,0.1389,0.09,YES
711,0.0996,0.25,NO
712,0.1977,0.47,NO
713,0.1726,0.36,NO
714,0.1805,0.42,NO
715,0.0204,0.52,NO
716,0.2123,0.91,YES
717,0.0198,0.56,NO
718,0.3536,0.43,YES
719,0.1039,0.49,NO
720,0.2827,0.42,YES
721,0.0426,0.36,NO
722,0.0387,0.41,NO
723,0.1228,0.43,NO
724,0.0373,0.21,NO
725,0.1359,0.29,YES
726,0.0808,0.31,NO
727,0.1119,0.21,YES
728,0.3458,0.16,YES
729,0.0264,0.12,YES
730,0.3473,0.51,NO
731,0.1555,0.47,NO
732,0.0906,0.48,NO
733,0.107,0.29,NO
734,0.226,0.36,YES
735,0.4184,0.54,YES
736,0.1111,0.48,NO
737,0.1017,0.59,NO
738,0.09699999999999999,0.01,NO
739,0.1058,0.47,NO
740,0.1741,0.25,NO
741,0.1373,0.27,NO
742,0.132,0.02,NO
743,0.1138,0.3,YES
744,0.0766,0.54,NO
745,0.3242,0.16,YES
746,0.0297,0.11,NO
747,0.3407,0.46,YES
748,0.0387,0.52,NO
749,0.0621,0.11,NO
750,0.076,0.4,NO
751,0.1266,0.48,NO
752,0.0726,0.09,NO
753,0.192,0.46,NO
754,0.1128,0.24,NO
755,0.0813,0.49,NO
756,0.1238,0.35,NO
757,0.0659,0.07,NO
758,0.0991,0.2,NO
759,0.2168,0.36,NO
760,0.0941,0.55,NO
761,0.1226,0.27,NO
762,0.0797,0.35,NO
763,0.0869,0.53,NO
764,0.1921,0.39,NO
765,0.2119,0.26,YES
766,0.0845,0.08,NO
767,0.1963,0.2,YES
768,0.24100000000000002,0.46,NO
769,0.263,0.37,NO
770,0.2504,0.45,NO
771,0.1414,0.22,NO
772,0.0983,0.31,NO
773,0.1658,0.3,NO
774,0.1333,0.26,NO
775,0.2072,0.14,NO
776,0.1519,0.47,NO
777,0.1227,0.36,YES
778,0.1324,0.26,YES
779,0.1581,0.32,YES
780,0.1927,0.41,YES
781,0.1378,0.45,NO
782,0.09699999999999999,0.35,YES
783,0.11900000000000001,0.38,NO
784,0.3612,0.16,YES
785,0.0488,0.12,YES
786,0.2823,0.51,NO
787,0.1584,0.47,NO
788,0.065,0.48,NO
789,0.0678,0.29,NO
790,0.1652,0.36,YES
791,0.4499,0.54,YES
792,0.0947,0.48,NO
793,0.1079,0.59,NO
794,0.0645,0.01,NO
795,0.1095,0.47,NO
796,0.1665,0.25,NO
797,0.1472,0.27,NO
798,0.1463,0.02,NO
799,0.1261,0.3,YES
800,0.0528,0.54,NO
801,0.3791,0.16,YES
802,0.0329,0.11,NO
803,0.3577,0.46,YES
804,0.062,0.52,NO
805,0.0477,0.11,NO
806,0.0457,0.4,NO
807,0.1274,0.48,NO
808,0.0681,0.09,NO
809,0.1427,0.46,NO
810,0.0804,0.24,NO
811,0.0769,0.49,NO
812,0.1422,0.35,NO
813,0.0613,0.07,NO
814,0.1484,0.2,NO
815,0.1778,0.36,NO
816,0.1025,0.55,NO
817,0.1545,0.27,NO
818,0.1529,0.35,NO
819,0.1098,0.53,NO
820,0.1753,0.39,NO
821,0.1807,0.26,YES
822,0.134,0.08,NO
823,0.2818,0.2,YES
824,0.2438,0.46,NO
825,0.2385,0.37,NO
826,0.2176,0.45,NO
827,0.0807,0.22,NO
828,0.0972,0.31,NO
829,0.0862,0.3,NO
830,0.0815,0.26,NO
831,0.2286,0.14,NO
832,0.0804,0.47,NO
833,0.0972,0.36,YES
834,0.105,0.26,YES
835,0.1237,0.32,YES
836,0.2731,0.41,YES
837,0.1937,0.45,NO
838,0.1151,0.35,YES
839,0.1052,0.38,NO
