,DIRECT_NA_NA_VSM,NONETRACED_SUM_MULTI_LSA,Associated
53,0.1903,0.4748787933201653,NO
54,0.1119,0.5126354222780871,NO
55,0.1008,0.2560363919315257,NO
56,0.0886,0.7680493206440413,NO
57,0.1534,0.7309630693721194,NO
58,0.1331,0.4947507032980187,NO
59,0.2865,0.5255761058239061,NO
60,0.1512,0.6459807266415276,NO
61,0.1666,0.8242652780271744,NO
62,0.1465,0.8099718680792483,NO
63,0.0509,0.5046148321063028,NO
64,0.2187,0.3908661040282516,NO
65,0.4574,0.4826958759801281,YES
66,0.1603,0.7526904890165798,NO
67,0.2015,0.4736098641288082,YES
68,0.205,0.4916621775303766,NO
69,0.2168,0.7024839887472316,NO
70,0.2136,0.4594840486023822,NO
71,0.1919,0.5244628000239421,NO
72,0.1533,0.8549350571616687,NO
73,0.1268,0.4912072783863052,NO
74,0.1947,0.253929490632669,NO
75,0.1755,0.19923385407314295,NO
76,0.2202,0.5696414676482912,NO
77,0.4465,0.6398276171664571,YES
78,0.4252,0.7807505835877178,YES
79,0.3653,0.4229963488358174,YES
80,0.1771,0.7231100736218352,YES
81,0.1659,0.7337403483569759,NO
82,0.1927,0.8414317352008142,YES
83,0.1251,0.3755551565212187,NO
84,0.1303,0.5469922786855809,YES
85,0.1814,0.5293948644280839,YES
86,0.3356,0.3909379302088945,NO
87,0.1662,0.3979649248817861,NO
88,0.1507,0.4467349015382773,NO
89,0.1441,0.6222780870293889,NO
90,0.3435,0.5874423894176094,YES
91,0.1243,0.3479858741844736,YES
92,0.1731,0.3528221703477584,NO
93,0.0952,0.3937990064045012,NO
94,0.1364,0.5676542766505057,NO
95,0.0887,0.39729454719578616,NO
96,0.2289,0.4150715269048901,NO
97,0.2088,0.5213503321960854,NO
98,0.2075,0.359334410726043,NO
99,0.1923,0.3840186748069672,YES
100,0.0927,0.6110732028491052,NO
101,0.0821,0.34887173041240205,YES
102,0.0311,0.18373137008439575,NO
103,0.3081,0.17492069192554022,YES
104,0.0406,0.4306817501646016,NO
105,0.1251,0.4676722331956665,NO
106,0.091,0.5607589633087927,NO
107,0.11800000000000001,0.34451427545340274,NO
108,0.1053,0.5325671874064762,NO
109,0.2201,0.5828933979768959,NO
110,0.1351,0.6287903274076734,NO
111,0.1328,0.33621835158915425,NO
112,0.0724,0.7024241335966959,NO
113,0.0244,0.6747351409588795,NO
114,0.1404,0.5261866283593702,YES
115,0.3348,0.4574010893637398,YES
116,0.2937,0.5539354761477225,YES
117,0.14300000000000002,0.8070030526126772,YES
118,0.0826,0.7733165738911834,NO
119,0.013000000000000001,0.4325252888011013,NO
120,0.2103,0.4135033219608547,YES
121,0.1395,0.4025977135332495,NO
122,0.1325,0.7308912431914765,YES
123,0.1443,0.4201951277907464,NO
124,0.2165,0.4836655294188065,NO
125,0.1934,0.6571137846411684,NO
126,0.1934,0.42410965463578143,NO
127,0.0572,0.5147423235769438,NO
128,0.2318,0.7785479140480038,YES
129,0.0556,0.4609804273657748,NO
130,0.3609,0.2510325013467408,YES
131,0.1417,0.1787155084695038,NO
132,0.255,0.5284611240797271,YES
133,0.0522,0.5507631531693302,NO
134,0.0677,0.6878913030466272,NO
135,0.1439,0.4293170527323876,NO
136,0.0494,0.6564074938648471,NO
137,0.1715,0.7261387442389418,YES
138,0.0964,0.8175255880768542,NO
139,0.1343,0.3981804034237145,YES
140,0.1544,0.8820973244747711,NO
141,0.0732,0.8245765248099599,NO
142,0.1975,0.6080565032621057,NO
143,0.2582,0.6389417609385287,NO
144,0.1977,0.7255521637636919,NO
145,0.1701,0.9522355898725086,NO
146,0.1684,0.9352247560902616,NO
147,0.1225,0.5702160770934339,NO
148,0.1458,0.4981025917280182,NO
149,0.4028,0.6074100676363201,YES
150,0.1577,0.8564074938648472,NO
151,0.2904,0.6032920332794638,YES
152,0.1987,0.6137666846232118,NO
153,0.1756,0.8282276889926379,NO
154,0.1689,0.5553001735799366,NO
155,0.054000000000000006,0.6303944454420303,NO
156,0.1469,0.9801759741425748,NO
157,0.0547,0.5895133776261448,NO
158,0.1082,0.32305021847129944,NO
159,0.2019,0.2897587837433411,NO
160,0.1293,0.6794756688813073,NO
161,0.3897,0.7269288322260129,YES
162,0.3612,0.9024001915364817,YES
163,0.2791,0.5412102711438319,YES
164,0.2894,0.8209014185670678,YES
165,0.2226,0.8702819177590231,NO
166,0.1753,0.9751361704674686,YES
167,0.0979,0.4868977075477344,NO
168,0.0985,0.6443885796372777,NO
169,0.0774,0.6224097683605675,NO
170,0.1069,0.4330280720656012,YES
171,0.3647,0.4273178907044951,YES
172,0.2531,0.531609504997905,YES
173,0.1331,0.7236008858562281,YES
174,0.0885,0.7011911174956607,NO
175,0.0604,0.3985275632968217,NO
176,0.2068,0.33813371640629675,YES
177,0.2598,0.3745256479320045,NO
178,0.106,0.6554857245465973,YES
179,0.1459,0.3701681929730054,NO
180,0.2252,0.4210570419584605,NO
181,0.2571,0.6038067875740708,NO
182,0.2375,0.3836715149338601,NO
183,0.1453,0.4462081762135631,NO
184,0.2245,0.731860896630155,YES
185,0.141,0.4008858562279284,NO
186,0.2623,0.2021787274794996,YES
187,0.142,0.13188483869036932,NO
188,0.2555,0.4788052911953074,YES
189,0.2049,0.5276470940324415,NO
190,0.2206,0.6555096666068115,NO
191,0.2228,0.3592984976357215,NO
192,0.1032,0.6067037768599988,NO
193,0.1461,0.638367151493386,YES
194,0.1116,0.7362542646794756,NO
195,0.1326,0.3204046208176213,YES
196,0.1415,0.8396839648051715,NO
197,0.0745,0.7953911534087508,NO
198,0.2381,0.5939306877356796,NO
199,0.19,0.6017238283354283,NO
200,0.1547,0.6828036152510923,NO
201,0.1997,0.9241156401508349,NO
202,0.1653,0.8977674028850182,NO
203,0.1536,0.5427186209373317,NO
204,0.1999,0.5161309630693721,NO
205,0.1989,0.5700005985515054,YES
206,0.2045,0.8342132040462082,NO
207,0.2447,0.573376429041719,YES
208,0.2519,0.6119470880469264,NO
209,0.2036,0.8008020590171783,NO
210,0.2033,0.5483330340575807,NO
211,0.0533,0.6065122403782846,NO
212,0.105,0.9292990961872271,NO
213,0.055999999999999994,0.5592865266056144,NO
214,0.1113,0.31220446519422995,NO
215,0.2256,0.2802059017178429,NO
216,0.0989,0.6507212545639554,NO
217,0.1879,0.6881187526186627,YES
218,0.1445,0.8469144669898845,YES
219,0.1901,0.5175914287424432,YES
220,0.3108,0.7843658346800741,YES
221,0.2405,0.8471658586221344,NO
222,0.1657,0.9359549889267972,YES
223,0.1331,0.4945471957861974,NO
224,0.0949,0.5279942539055485,NO
225,0.1339,0.4902256539175196,NO
226,0.22399999999999998,0.2830310648231281,NO
227,0.1967,0.31410785898126536,NO
228,0.1436,0.429089603160352,NO
229,0.2079,0.5267851798647274,NO
230,0.1339,0.5397857185610823,NO
231,0.0967,0.34493326150715264,NO
232,0.2198,0.17028790327407672,NO
233,0.3428,0.2868857365176274,YES
234,0.2344,0.4842281678338422,NO
235,0.1736,0.2787095229544503,YES
236,0.1331,0.2661519123720597,NO
237,0.0735,0.4447357395103848,NO
238,0.0647,0.2617226312324176,NO
239,0.204,0.3288441970431556,NO
240,0.1327,0.5728137906266834,NO
241,0.1655,0.32239181181540666,NO
242,0.31,0.1041838750224457,NO
243,0.1309,0.07930807445980725,NO
244,0.2819,0.35121805231340153,NO
245,0.4042,0.4236188424013886,YES
246,0.3296,0.5240916980906207,YES
247,0.4941,0.22837134135392345,YES
248,0.1783,0.4875920272939486,YES
249,0.193,0.4545998683186688,NO
250,0.2673,0.5552762315197223,YES
251,0.1726,0.17146106422457652,NO
252,0.1439,0.9066499072245168,NO
253,0.0769,0.847213742742563,NO
254,0.1953,0.6204225773627821,NO
255,0.2342,0.6485425270844557,NO
256,0.2047,0.7441671155802958,NO
257,0.1823,0.9742862273298618,NO
258,0.1684,0.9544981145627579,NO
259,0.1204,0.5971868079248219,NO
260,0.1751,0.5192314598671216,NO
261,0.3579,0.6209971868079248,YES
262,0.1828,0.8810079607350212,NO
263,0.2083,0.6151912372059615,YES
264,0.2252,0.6297240677560304,NO
265,0.2041,0.8462680313640989,NO
266,0.2007,0.5720476446998265,NO
267,0.0498,0.6413000538696355,NO
268,0.1415,1.0,NO
269,0.0515,0.6042736577482493,NO
270,0.1207,0.3339079427784761,NO
271,0.1912,0.2978751421559825,NO
272,0.14,0.6953851678936973,NO
273,0.4038,0.7506554138983659,YES
274,0.3494,0.922930508170228,YES
275,0.2799,0.5510265158316873,YES
276,0.2675,0.8439576225534207,YES
277,0.2206,0.8881546657089843,NO
278,0.2003,0.9957981684323938,YES
279,0.1168,0.5041599329622315,NO
280,0.0727,0.729466690608727,NO
281,0.0714,0.6825761656790568,NO
282,0.10800000000000001,0.4750224456814509,NO
283,0.2886,0.5193631411983001,NO
284,0.1427,0.6115879571437122,NO
285,0.0855,0.7942060214281439,NO
286,0.0605,0.7745615610223259,NO
287,0.0532,0.4530436344047405,NO
288,0.1421,0.37828455138564665,NO
289,0.4397,0.4754055186448794,YES
290,0.0607,0.7109475070329803,NO
291,0.2347,0.4701622074579517,YES
292,0.2118,0.484635182857485,NO
293,0.2048,0.6871490991799845,NO
294,0.2045,0.44382594122224217,NO
295,0.0849,0.497408271981804,NO
296,0.1035,0.8322260130484229,NO
297,0.0824,0.4614353265098462,NO
298,0.0975,0.2496318908242053,NO
299,0.1702,0.19106961154007307,NO
300,0.1518,0.5605075716765427,NO
301,0.3372,0.5964446040581791,YES
302,0.3303,0.7508349793499731,YES
303,0.314,0.411145029029748,YES
304,0.1257,0.6816903094511283,YES
305,0.1375,0.7120847548931586,NO
306,0.1128,0.8093374034835699,YES
307,0.099,0.3659424193451847,NO
308,0.1069,0.6392649787514215,NO
309,0.0451,0.6076255461782487,NO
310,0.5095,0.4589812653378823,YES
311,0.1431,0.4311845334291016,YES
312,0.1227,0.4981265337882325,YES
313,0.2847,0.7026635541988389,YES
314,0.2237,0.6713712814987729,NO
315,0.1065,0.4320703896570299,NO
316,0.3266,0.3918357574669301,YES
317,0.0974,0.4186867779972466,NO
318,0.3289,0.6461483210630273,YES
319,0.1059,0.4391572394804573,NO
320,0.2131,0.4628119949721673,NO
321,0.1496,0.5859220685940025,NO
322,0.1474,0.4102831148620337,NO
323,0.0902,0.4559286526605614,NO
324,0.0993,0.6758125336685222,YES
325,0.0875,0.4311007362183515,NO
326,0.2369,0.2078410247201772,YES
327,0.2129,0.2210809840186748,NO
328,0.1321,0.4738253426707368,YES
329,0.1271,0.5152211647812294,NO
330,0.08,0.6127730891243189,NO
331,0.3025,0.3867959537918237,NO
332,0.12,0.6066918058298917,NO
333,0.3399,0.6568384509487042,YES
334,0.2516,0.7101574190459088,NO
335,0.2081,0.3755790985814329,YES
336,0.1799,0.6029688154665709,NO
337,0.1547,0.5736038786137547,NO
338,0.3595,0.4051116298557491,YES
339,0.2156,0.3486083677500449,NO
340,0.1535,0.454276650505776,NO
341,0.4159,0.662776081881846,YES
342,0.1827,0.6412880828395283,NO
343,0.1097,0.3970192135033219,NO
344,0.5448,0.3339079427784761,YES
345,0.191,0.3151134255102652,NO
346,0.4381,0.6065361824384988,YES
347,0.1528,0.3428862153588317,NO
348,0.3264,0.3932962231400012,NO
349,0.3203,0.54410726042976,NO
350,0.2648,0.35852038067875736,NO
351,0.171,0.4095648530556054,NO
352,0.21899999999999997,0.6369425989106362,NO
353,0.1398,0.3807625546178249,NO
354,0.3673,0.1516130963069372,NO
355,0.1451,0.14638175615011673,NO
356,0.2637,0.4091338959717484,NO
357,0.1991,0.44988328245645537,NO
358,0.1784,0.5518405458789729,NO
359,0.3767,0.3024001915364817,NO
360,0.1917,0.5541030705692225,NO
361,0.3794,0.5927575267851799,YES
362,0.3359,0.6626803136409889,NO
363,0.2874,0.3059555874783025,YES
364,0.0798,0.8505057760220267,NO
365,0.0364,0.8035434249117135,NO
366,0.2475,0.6044292811396421,YES
367,0.2794,0.5715927455557551,YES
368,0.2232,0.6820494403543425,YES
369,0.2213,0.9380738612557612,YES
370,0.1233,0.9012629436763032,NO
371,0.0474,0.5618483270485425,NO
372,0.2799,0.501406596037589,YES
373,0.2328,0.5298138504818339,NO
374,0.2608,0.8556892320584186,YES
375,0.1095,0.5411145029029748,NO
376,0.2365,0.5874064763272879,NO
377,0.2061,0.7860178368348596,NO
378,0.2048,0.5307595618602982,NO
379,0.0456,0.6023942060214281,NO
380,0.1795,0.9246782785658704,YES
381,0.0442,0.564015083497935,NO
382,0.27,0.31626264440055063,YES
383,0.1224,0.2621296462560603,NO
384,0.1913,0.6401149218890286,YES
385,0.2397,0.6841563416531993,NO
386,0.2111,0.8334949422397797,NO
387,0.2935,0.5094511282695876,NO
388,0.1155,0.7921589752798228,NO
389,0.243,0.8491530496199198,YES
390,0.1959,0.9473992937092236,NO
391,0.198,0.4814389178188784,YES
392,0.1636,0.4541569402047047,NO
393,0.1646,0.4236308134314958,NO
394,0.3881,0.2718740647632729,YES
395,0.1762,0.21522715029628287,NO
396,0.1649,0.3136290177769797,NO
397,0.4197,0.4805410905608428,YES
398,0.1681,0.4665828694559167,NO
399,0.153,0.3015981325193033,NO
400,0.4738,0.20860717064703416,YES
401,0.159,0.1960375890345365,NO
402,0.493,0.44374214401149215,YES
403,0.1456,0.2258933381217454,NO
404,0.2244,0.2574010893637397,NO
405,0.1542,0.3824384988328247,NO
406,0.1277,0.2387741665170288,NO
407,0.1775,0.2852217633327349,NO
408,0.2106,0.4534865625187048,NO
409,0.1654,0.2779553480577004,NO
410,0.3557,0.056215957383132835,NO
411,0.0902,0.07552522894595083,NO
412,0.2663,0.2682229005805949,NO
413,0.2218,0.3148021787274795,NO
414,0.1764,0.3880289698928593,NO
415,0.3901,0.18422218231878856,NO
416,0.21600000000000003,0.4093493745136768,NO
417,0.402,0.4224456814508888,YES
418,0.3584,0.4838450948704136,NO
419,0.3239,0.18418626922846715,YES
420,0.0467,0.3898246244089304,NO
421,0.0184,0.3733764290417191,NO
422,0.0544,0.2540013168133117,YES
423,0.1967,0.23388998623331536,YES
424,0.1251,0.3043993535643742,YES
425,0.0526,0.4560723050218472,YES
426,0.0389,0.4393368049320644,NO
427,0.0098,0.20233435087089247,NO
428,0.1204,0.17682408571257566,YES
429,0.1152,0.18786137547135928,NO
430,0.0434,0.40611719638474897,YES
431,0.0994,0.18782546238103792,NO
432,0.171,0.23494343688274374,NO
433,0.1733,0.3640031124678278,NO
434,0.1785,0.19722272101514335,NO
435,0.0632,0.2467229305081703,NO
436,0.1652,0.4552702460046687,YES
437,0.0614,0.2091817800921769,NO
438,0.1533,0.07940384270066436,YES
439,0.1347,0.01465254085114026,NO
440,0.1212,0.2717184413718801,YES
441,0.015,0.3002094930268749,NO
442,0.0714,0.39762973603878615,NO
443,0.0698,0.19679176393128628,NO
444,0.035,0.3635242712635423,NO
445,0.0672,0.3922427724905728,YES
446,0.0378,0.4699467289160233,NO
447,0.0637,0.17047943975579094,YES
448,0.3024,0.4080086191416772,YES
449,0.0482,0.37064703417729095,YES
450,0.3634,0.2720775722750942,NO
451,0.1548,0.3072604297599809,NO
452,0.1459,0.3155443825941222,NO
453,0.1506,0.44616029209313457,NO
454,0.2394,0.4303106482312803,YES
455,0.3693,0.2381277308912432,YES
456,0.1404,0.2267193391991381,NO
457,0.0758,0.2915664092895194,NO
458,0.1517,0.3949242832345723,NO
459,0.067,0.28042138025977137,NO
460,0.2131,0.2921529897647693,NO
461,0.16,0.375830490213683,NO
462,0.1446,0.2316154905129587,NO
463,0.0844,0.2743161549051296,YES
464,0.095,0.4532351708864547,NO
465,0.2419,0.2568384509487041,YES
466,0.026000000000000002,0.10505776022026696,NO
467,0.2985,0.10002992757526792,YES
468,0.0377,0.30881666367390914,NO
469,0.102,0.33409947926019035,NO
470,0.0927,0.4270545280421381,NO
471,0.1259,0.2555096666068115,NO
472,0.1193,0.37234692045250495,NO
473,0.2177,0.4220985215777818,NO
474,0.15,0.4638055904710601,NO
475,0.0996,0.2328604776441013,NO
476,0.0839,0.6172023702639612,NO
477,0.0672,0.5771113904351469,NO
478,0.3068,0.414796193212426,YES
479,0.1154,0.35395941820793675,YES
480,0.0802,0.4537020410606333,YES
481,0.3166,0.6690489016579876,YES
482,0.0868,0.6431435925061353,NO
483,0.0677,0.4125336685221763,NO
484,0.5456,0.3445501885437242,YES
485,0.0938,0.3271802238582629,NO
486,0.3771,0.6134314957802119,YES
487,0.0765,0.3625187047345424,NO
488,0.3042,0.40833183695457004,NO
489,0.1867,0.5538756209971868,NO
490,0.2024,0.3709463099299695,NO
491,0.084,0.4168671814209613,NO
492,0.1127,0.6365714969773149,YES
493,0.0773,0.39898246244089297,NO
494,0.3002,0.15765846651104332,YES
495,0.0821,0.1629257197581852,NO
496,0.1969,0.4153588316274616,YES
497,0.1353,0.4523852277488478,NO
498,0.0942,0.5545459986831867,NO
499,0.3023,0.3133656551146225,NO
500,0.1177,0.5675465373795415,NO
501,0.2966,0.6027533369246424,YES
502,0.2621,0.6702100915783803,NO
503,0.3631,0.32094331717244273,YES
504,0.1178,0.7393068773567963,NO
505,0.0474,0.6967618363560184,NO
506,0.4277,0.5238403064583708,YES
507,0.2214,0.5084096486502664,YES
508,0.2007,0.5861974022864668,YES
509,0.2467,0.8078410247201773,YES
510,0.2192,0.7717842820374692,NO
511,0.1165,0.5008678996827677,NO
512,0.3035,0.453678099000419,YES
513,0.1886,0.4975279822828754,NO
514,0.2922,0.7411743580535106,YES
515,0.1088,0.5098461722631232,NO
516,0.2277,0.5336086670257976,NO
517,0.1763,0.6836056742682708,NO
518,0.1744,0.4787693781049859,NO
519,0.0948,0.5219608547315496,NO
520,0.152,0.7904590890046088,YES
521,0.0882,0.4967498653259113,NO
522,0.2267,0.2579876698389897,YES
523,0.1968,0.2553181301250973,NO
524,0.1574,0.5572275094271862,YES
525,0.2134,0.6060094571137846,NO
526,0.1846,0.7248339019572634,NO
527,0.3004,0.452229604357455,NO
528,0.1322,0.6994194050398037,NO
529,0.3039,0.7482492368468305,YES
530,0.2341,0.8179565451607109,NO
531,0.2137,0.4337104207817082,YES
532,0.1342,0.42525887352606695,NO
533,0.1099,0.4066439217094631,NO
534,0.526,0.2607649488238464,YES
535,0.1623,0.2367271203687078,YES
536,0.1996,0.3163344705811936,YES
537,0.3297,0.449595977733884,YES
538,0.22699999999999998,0.4328125935236728,NO
539,0.1622,0.2924881786077692,NO
540,0.3372,0.2012689291913569,YES
541,0.1102,0.2294128209732448,NO
542,0.3901,0.42346321900999584,YES
543,0.1022,0.2434069551684922,NO
544,0.1483,0.2567666247680613,NO
545,0.0862,0.35915484527443586,NO
546,0.0629,0.23689471479020766,NO
547,0.2034,0.2751062428922009,NO
548,0.1682,0.4302507930807447,YES
549,0.1975,0.2698749027353804,NO
550,0.3422,0.07007841024720174,YES
551,0.1773,0.09124319147662656,NO
552,0.2514,0.27311905189441554,YES
553,0.1754,0.3340875082300833,NO
554,0.1301,0.3897887113186089,NO
555,0.3619,0.20222661159992816,NO
556,0.1715,0.404513078350392,NO
557,0.3452,0.4069551684922488,YES
558,0.3259,0.46048961513138204,NO
559,0.258,0.18547914048003836,YES
560,0.0709,0.492045250493805,NO
561,0.0732,0.4537259831208476,NO
562,0.3094,0.311103130424373,YES
563,0.1091,0.24888968695756264,YES
564,0.0665,0.3412342132040461,YES
565,0.2941,0.5286287185012271,YES
566,0.0664,0.5083258514395164,NO
567,0.0556,0.3209074040821213,NO
568,0.5229,0.24718980068234875,YES
569,0.1003,0.22636020829592385,NO
570,0.3604,0.4833183695456994,YES
571,0.08800000000000001,0.26258454540013165,NO
572,0.2859,0.3015263063386604,NO
573,0.1263,0.4287304722571377,NO
574,0.1497,0.27279583408152275,NO
575,0.1047,0.3145747291554438,NO
576,0.1031,0.4974681271323398,YES
577,0.1016,0.3049260788890885,NO
578,0.3066,0.08418028371341357,YES
579,0.0639,0.09643861854312563,NO
580,0.2147,0.30552463039444544,YES
581,0.1277,0.3388759202729396,NO
582,0.0813,0.4243610462680313,NO
583,0.3135,0.21782486382953248,NO
584,0.1095,0.4452744358652062,NO
585,0.302,0.4698988447955947,YES
586,0.2369,0.5301370682947267,NO
587,0.4263,0.22649188962710246,YES
588,0.1151,0.6407972706051356,NO
589,0.0905,0.6267791943496738,NO
590,0.1028,0.4425809540910995,YES
591,0.3566,0.4254264679475669,YES
592,0.2651,0.5328904052193689,YES
593,0.1542,0.7258514395163704,YES
594,0.094,0.702675525228946,NO
595,0.0554,0.3973663733764291,NO
596,0.2037,0.3458550308254026,YES
597,0.1971,0.3631172562398994,NO
598,0.1126,0.6627641108517389,YES
599,0.1418,0.3585323517088645,NO
600,0.2488,0.4218950140659603,NO
601,0.2731,0.5987190997785359,NO
602,0.2523,0.38114562758125337,NO
603,0.1698,0.4531513736757048,NO
604,0.2266,0.7245585682647993,YES
605,0.1648,0.4037708744837493,NO
606,0.2745,0.209947926019034,YES
607,0.1508,0.12825761656790569,NO
608,0.2653,0.4766505057760221,YES
609,0.1206,0.5267971508948345,NO
610,0.1613,0.6496797749446339,NO
611,0.1611,0.3620757766205782,NO
612,0.1018,0.6068474292212844,NO
613,0.152,0.6401508349793499,YES
614,0.1186,0.7369725264859042,NO
615,0.1207,0.3301370682947268,YES
616,0.1201,0.4593763093314179,NO
617,0.10300000000000001,0.4387741665170287,NO
618,0.254,0.2890884060573412,YES
619,0.3285,0.23058598192374455,YES
620,0.3624,0.3393068773567965,YES
621,0.2593,0.5033099898246244,YES
622,0.0981,0.490931944693841,NO
623,0.0792,0.2838929789908421,NO
624,0.2917,0.18866343448853773,YES
625,0.1836,0.19208714909917998,NO
626,0.3039,0.4642365475549172,YES
627,0.1342,0.2047524989525349,NO
628,0.1448,0.24434069551684925,NO
629,0.1036,0.3919913808583229,NO
630,0.0702,0.22603699048303105,NO
631,0.1825,0.3027952355300174,NO
632,0.2937,0.4878314478960914,YES
633,0.1772,0.28109175794577124,NO
634,0.5728,0.08160651224037829,YES
635,0.0892,0.04092895193631413,NO
636,0.4594,0.29150655413898363,YES
637,0.1677,0.3398096606212965,NO
638,0.1461,0.4265876578679595,NO
639,0.2985,0.21094152151792656,NO
640,0.1348,0.4224337104207817,NO
641,0.2479,0.4299994014484947,YES
642,0.2298,0.5203088525767643,NO
643,0.2345,0.17342431316214765,YES
644,0.08900000000000001,0.5863171125875382,NO
645,0.0394,0.5553839707906865,NO
646,0.1381,0.4085712575567128,NO
647,0.2108,0.3902316394325731,NO
648,0.0676,0.4616627760818819,NO
649,0.0957,0.6680193930687736,NO
650,0.0963,0.6385706590052074,NO
651,0.0435,0.3499730651822589,NO
652,0.2592,0.3475309750404022,NO
653,0.1291,0.353803794816544,NO
654,0.0785,0.5967199377506435,NO
655,0.1052,0.36765427665050576,NO
656,0.4225,0.42045849045310346,YES
657,0.3368,0.5642305620398634,YES
658,0.3938,0.3664691446698989,YES
659,0.0766,0.4021547854192854,NO
660,0.0711,0.6592087149099181,NO
661,0.0797,0.36095049979050703,NO
662,0.0531,0.17668043335128986,NO
663,0.1551,0.14367630334590292,NO
664,0.077,0.4375411504159933,NO
665,0.0463,0.4567666247680613,NO
666,0.0745,0.5792422337942179,NO
667,0.1014,0.3291315017657269,NO
668,0.0541,0.5465852636619382,NO
669,0.1685,0.6053031663374634,NO
670,0.0541,0.6693840905009876,NO
671,0.2105,0.33177709941940503,NO
672,0.1239,0.3349973065182259,YES
673,0.289,0.33163344705811937,YES
674,0.2752,0.21136050757167654,NO
675,0.1653,0.2501466451188125,NO
676,0.0814,0.29096785778416234,NO
677,0.0623,0.39158436583468,NO
678,0.32899999999999996,0.3704674687256838,YES
679,0.1249,0.18079846770814634,YES
680,0.0968,0.16684024660322022,NO
681,0.1519,0.21880648829831809,NO
682,0.0533,0.35302567785957983,NO
683,0.1784,0.21693900760160406,NO
684,0.1661,0.22627641108517396,NO
685,0.1504,0.31785479140480044,NO
686,0.1562,0.18950140659603756,NO
687,0.3075,0.21556233913928305,YES
688,0.0597,0.40824803974382,NO
689,0.1815,0.1833482971209673,YES
690,0.0336,0.08693362063805588,NO
691,0.3735,0.04588495840067042,YES
692,0.0877,0.2692284671095948,NO
693,0.1163,0.2850182558209133,NO
694,0.0418,0.35727539354761473,NO
695,0.1354,0.18000837972107495,NO
696,0.0948,0.33262704255701203,NO
697,0.1407,0.3572155383970791,NO
698,0.0821,0.3994972167355001,NO
699,0.0894,0.16255461782486386,NO
700,0.0416,0.6595678458131323,NO
701,0.0131,0.6310049679774945,NO
702,0.1203,0.4874842880229844,YES
703,0.2886,0.4155982522296043,YES
704,0.2879,0.5134255102651584,YES
705,0.1294,0.7613216017238285,YES
706,0.0498,0.7255521637636919,NO
707,0.0139,0.4020949302687496,NO
708,0.1999,0.3883043035853235,YES
709,0.1109,0.3648530556054348,NO
710,0.1389,0.6878553899563058,YES
711,0.0996,0.383324355060753,NO
712,0.1977,0.44865026635542,NO
713,0.1726,0.6163284850661399,NO
714,0.1805,0.3922667145507871,NO
715,0.0204,0.4749027353803794,NO
716,0.2123,0.7305321122882624,YES
717,0.0198,0.42451666965942425,NO
718,0.3536,0.22548632309810254,YES
719,0.1039,0.1495061950080805,NO
720,0.2827,0.4899503202250554,YES
721,0.0426,0.5110432752738374,NO
722,0.0387,0.6423415334889567,NO
723,0.1228,0.3929251212066798,NO
724,0.0373,0.6147842221823188,NO
725,0.1359,0.6799664811157,YES
726,0.0808,0.7694858442568981,NO
727,0.1119,0.3686598431795056,YES
728,0.3458,0.33397976895911885,YES
729,0.0264,0.30147842221823185,YES
730,0.3473,0.22135631771113906,NO
731,0.1555,0.2621296462560603,NO
732,0.0906,0.25865804752498944,NO
