,DIRECT_NA_NA_VSM,NONETRACED_SUM_MULTI_VSM,Associated
414,0.1764,2.6019,NO
415,0.3901,3.4882,NO
416,0.21600000000000003,1.5549,NO
417,0.402,3.5653,YES
418,0.3584,3.4384,NO
419,0.3239,3.123,YES
420,0.0467,1.2519,NO
421,0.0184,0.3945,NO
422,0.0544,1.2252,YES
423,0.1967,1.6778,YES
424,0.1251,1.3035,YES
425,0.0526,1.5479,YES
426,0.0389,1.2223,NO
427,0.0098,0.4594,NO
428,0.1204,1.5286,YES
429,0.1152,1.0771,NO
430,0.0434,1.0246,YES
431,0.0994,0.6882,NO
432,0.171,1.2599,NO
433,0.1733,1.5312,NO
434,0.1785,0.6818,NO
435,0.0632,0.7025,NO
436,0.1652,1.5539,YES
437,0.0614,0.7491,NO
438,0.1533,1.5615,YES
439,0.1347,0.6739,NO
440,0.1212,1.4835,YES
441,0.015,0.8688,NO
442,0.0714,1.4526,NO
443,0.0698,1.3119999999999998,NO
444,0.035,0.6894,NO
445,0.0672,1.3399,YES
446,0.0378,1.2676,NO
447,0.0637,1.1340000000000001,YES
448,0.3024,2.5007,YES
449,0.0482,0.5882,YES
450,0.3634,1.9948,NO
451,0.1548,1.9064,NO
452,0.1459,1.3513,NO
453,0.1506,2.3255,NO
454,0.2394,1.9222,YES
455,0.3693,1.3352,YES
456,0.1404,2.2657,NO
457,0.0758,1.4655,NO
458,0.1517,1.5802,NO
459,0.067,0.9782,NO
460,0.2131,1.9106,NO
461,0.16,2.2147,NO
462,0.1446,0.9890000000000001,NO
463,0.0844,1.1546,YES
464,0.095,1.8172,NO
465,0.2419,1.787,YES
466,0.026000000000000002,1.5933,NO
467,0.2985,1.5389,YES
468,0.0377,1.5232,NO
469,0.102,1.228,NO
470,0.0927,1.9858,NO
471,0.1259,1.8605,NO
472,0.1193,1.0331,NO
473,0.2177,2.0829,NO
474,0.15,1.8801,NO
475,0.0996,1.7455,NO
476,0.0839,2.7641,NO
477,0.0672,1.012,NO
478,0.3068,3.8656,YES
479,0.1154,2.98,YES
480,0.0802,2.3606,YES
481,0.3166,4.9478,YES
482,0.0868,2.9661,NO
483,0.0677,1.012,NO
484,0.5456,5.1803,YES
485,0.0938,2.1302,NO
486,0.3771,3.8153,YES
487,0.0765,1.4097,NO
488,0.3042,3.3437,NO
489,0.1867,3.4887,NO
490,0.2024,1.4812,NO
491,0.084,1.4648,NO
492,0.1127,3.2321,YES
493,0.0773,1.4202,NO
494,0.3002,3.6409,YES
495,0.0821,1.3691,NO
496,0.1969,3.0114,YES
497,0.1353,2.1755,NO
498,0.0942,3.1088,NO
499,0.3023,3.9096,NO
500,0.1177,1.8376,NO
501,0.2966,4.1757,YES
502,0.2621,3.9175,NO
503,0.3631,3.7785,YES
504,0.1178,2.9519,NO
505,0.0474,0.9432,NO
506,0.4277,3.3909,YES
507,0.2214,3.3106,YES
508,0.2007,2.5138,YES
509,0.2467,4.2035,YES
510,0.2192,2.9191,NO
511,0.1165,1.2083,NO
512,0.3035,4.0593,YES
513,0.1886,2.6824,NO
514,0.2922,3.0569,YES
515,0.1088,1.6415,NO
516,0.2277,2.8734,NO
517,0.1763,3.3044,NO
518,0.1744,1.2663,NO
519,0.0948,1.611,NO
520,0.152,3.2164,YES
521,0.0882,1.7588,NO
522,0.2267,3.3057,YES
523,0.1968,1.6074,NO
524,0.1574,2.9569,YES
525,0.2134,2.4706,NO
526,0.1846,3.5724,NO
527,0.3004,3.7111,NO
528,0.1322,1.8447,NO
529,0.3039,3.6248,YES
530,0.2341,3.5219,NO
531,0.2137,3.0387,YES
532,0.1342,2.385,NO
533,0.1099,0.8125,NO
534,0.526,3.2849,YES
535,0.1623,2.5518,YES
536,0.1996,2.0235,YES
537,0.3297,4.0146,YES
538,0.22699999999999998,2.4743,NO
539,0.1622,0.9215,NO
540,0.3372,3.8971,YES
541,0.1102,1.9363,NO
542,0.3901,3.0932,YES
543,0.1022,1.2166,NO
544,0.1483,2.4054,NO
545,0.0862,2.71,NO
546,0.0629,0.8905,NO
547,0.2034,1.3677,NO
548,0.1682,2.7207,YES
549,0.1975,1.4081,NO
550,0.3422,3.1451,YES
551,0.1773,1.2189,NO
552,0.2514,2.6185,YES
553,0.1754,1.9656,NO
554,0.1301,2.7523,NO
555,0.3619,3.412,NO
556,0.1715,1.5514,NO
557,0.3452,3.4164,YES
558,0.3259,3.3269,NO
559,0.258,2.8507,YES
560,0.0709,2.516,NO
561,0.0732,0.9465,NO
562,0.3094,3.6941,YES
563,0.1091,2.7452,YES
564,0.0665,2.2067,YES
565,0.2941,4.7236,YES
566,0.0664,2.7489999999999997,NO
567,0.0556,0.9,NO
568,0.5229,4.9865,YES
569,0.1003,1.9219,NO
570,0.3604,3.7022,YES
571,0.08800000000000001,1.2748,NO
572,0.2859,3.1408,NO
573,0.1263,3.2257,NO
574,0.1497,1.3619999999999999,NO
575,0.1047,1.321,NO
576,0.1031,3.0206,YES
577,0.1016,1.2483,NO
578,0.3066,3.4872,YES
579,0.0639,1.2153,NO
580,0.2147,2.8327,YES
581,0.1277,2.0257,NO
582,0.0813,2.8535,NO
583,0.3135,3.718,NO
584,0.1095,1.7205,NO
585,0.302,3.9771,YES
586,0.2369,3.7333,NO
587,0.4263,3.6496,YES
588,0.1151,2.0049,NO
589,0.0905,0.6504,NO
590,0.1028,1.9789,YES
591,0.3566,2.7743,YES
592,0.2651,2.1517,YES
593,0.1542,2.5131,YES
594,0.094,1.9766,NO
595,0.0554,0.7388,NO
596,0.2037,2.4207,YES
597,0.1971,1.9626,NO
598,0.1126,1.6856,YES
599,0.1418,1.2027,NO
600,0.2488,1.9496,NO
601,0.2731,2.4054,NO
602,0.2523,1.0078,NO
603,0.1698,1.1556,NO
604,0.2266,2.5317,YES
605,0.1648,1.2044,NO
606,0.2745,2.5226,YES
607,0.1508,1.056,NO
608,0.2653,2.4090000000000003,YES
609,0.1206,1.6161,NO
610,0.1613,2.569,NO
611,0.1611,2.2801,NO
612,0.1018,1.1867,NO
613,0.152,2.1782,YES
614,0.1186,2.1302,NO
615,0.1207,1.8151,YES
616,0.1201,2.3515,NO
617,0.10300000000000001,0.7688,NO
618,0.254,2.9775,YES
619,0.3285,3.3367,YES
620,0.3624,2.7467,YES
621,0.2593,3.7023,YES
622,0.0981,2.4064,NO
623,0.0792,0.8162,NO
624,0.2917,3.5082,YES
625,0.1836,2.1234,NO
626,0.3039,2.7541,YES
627,0.1342,1.291,NO
628,0.1448,2.2743,NO
629,0.1036,2.7666,NO
630,0.0702,0.912,NO
631,0.1825,1.3094,NO
632,0.2937,3.2505,YES
633,0.1772,1.3295,NO
634,0.5728,3.7204,YES
635,0.0892,1.1187,NO
636,0.4594,3.2666,YES
637,0.1677,1.9881,NO
638,0.1461,2.975,NO
639,0.2985,3.2405,NO
640,0.1348,1.4881,NO
641,0.2479,3.1737,YES
642,0.2298,3.0911,NO
643,0.2345,2.5721,YES
644,0.08900000000000001,1.8847,NO
645,0.0394,0.6324,NO
646,0.1381,1.8463,NO
647,0.2108,2.0239,NO
648,0.0676,1.4643,NO
649,0.0957,2.3344,NO
650,0.0963,1.8523,NO
651,0.0435,0.7574,NO
652,0.2592,2.6010000000000004,NO
653,0.1291,1.3865,NO
654,0.0785,1.6056,NO
655,0.1052,0.9493,NO
656,0.4225,2.2969,YES
657,0.3368,2.4278,YES
658,0.3938,1.3791,YES
659,0.0766,0.9525,NO
660,0.0711,1.9191,NO
661,0.0797,1.0467,NO
662,0.0531,1.7445,NO
663,0.1551,1.1049,NO
664,0.077,1.6327,NO
665,0.0463,1.129,NO
666,0.0745,1.9057,NO
667,0.1014,1.7978,NO
668,0.0541,1.0042,NO
669,0.1685,2.0168,NO
670,0.0541,1.8161,NO
671,0.2105,1.9582,NO
672,0.1239,1.574,YES
673,0.289,0.5805,YES
674,0.2752,1.3707,NO
675,0.1653,1.4628,NO
676,0.0814,1.0189,NO
677,0.0623,1.5135,NO
678,0.32899999999999996,1.5902,YES
679,0.1249,0.7359,YES
680,0.0968,1.3978,NO
681,0.1519,1.1093,NO
682,0.0533,0.9656,NO
683,0.1784,0.7301,NO
684,0.1661,1.2512,NO
685,0.1504,1.5730000000000002,NO
686,0.1562,0.6317,NO
687,0.3075,1.1778,YES
688,0.0597,1.3428,NO
689,0.1815,1.1653,YES
690,0.0336,1.1613,NO
691,0.3735,1.1409,YES
692,0.0877,1.1824,NO
693,0.1163,0.9217,NO
694,0.0418,1.4615,NO
695,0.1354,1.2853,NO
696,0.0948,0.7335,NO
697,0.1407,1.3719,NO
698,0.0821,1.2853,NO
699,0.0894,1.091,NO
700,0.0416,2.4096,NO
701,0.0131,0.7828,NO
702,0.1203,2.7839,YES
703,0.2886,3.4189999999999996,YES
704,0.2879,2.7705,YES
705,0.1294,3.4958,YES
706,0.0498,2.4422,NO
707,0.0139,0.8447,NO
708,0.1999,3.4247,YES
709,0.1109,1.9698,NO
710,0.1389,2.496,YES
711,0.0996,1.2631,NO
712,0.1977,2.5088,NO
713,0.1726,2.963,NO
714,0.1805,1.2296,NO
715,0.0204,1.2982,NO
716,0.2123,3.2467,YES
717,0.0198,1.3299,NO
718,0.3536,3.5397,YES
719,0.1039,1.2595,NO
720,0.2827,3.1848,YES
721,0.0426,1.7404,NO
722,0.0387,2.8023,NO
723,0.1228,2.8762,NO
724,0.0373,1.3949,NO
725,0.1359,3.0239999999999996,YES
726,0.0808,2.8148,NO
727,0.1119,2.5192,YES
728,0.3458,2.5776,YES
729,0.0264,0.5353,YES
730,0.3473,1.8617,NO
731,0.1555,1.7843,NO
732,0.0906,1.2624,NO
733,0.107,2.0751,NO
734,0.226,1.8179,YES
735,0.4184,1.4598,YES
736,0.1111,1.8977,NO
737,0.1017,1.3229,NO
738,0.09699999999999999,1.3743,NO
739,0.1058,0.8874,NO
740,0.1741,1.6302,NO
741,0.1373,2.0104,NO
742,0.132,0.8063,NO
743,0.1138,1.1875,YES
744,0.0766,1.6896,NO
745,0.3242,1.982,YES
746,0.0297,1.4723,NO
747,0.3407,1.6225,YES
748,0.0387,1.4296,NO
749,0.0621,1.0859,NO
750,0.076,1.8091,NO
751,0.1266,1.6522,NO
752,0.0726,0.9147,NO
753,0.192,1.8986,NO
754,0.1128,1.6918,NO
755,0.0813,1.473,NO
756,0.1238,1.8793,NO
757,0.0659,0.5719,NO
758,0.0991,1.7419,NO
759,0.2168,2.0432,NO
760,0.0941,1.474,NO
761,0.1226,2.1571,NO
762,0.0797,1.7562,NO
763,0.0869,0.7954,NO
764,0.1921,2.0842,NO
765,0.2119,1.8039,YES
766,0.0845,1.4447,NO
767,0.1963,1.1364,YES
768,0.24100000000000002,1.7238,NO
769,0.263,2.0866,NO
770,0.2504,0.8688,NO
771,0.1414,1.0714,NO
772,0.0983,1.9033,NO
773,0.1658,1.2225,NO
774,0.1333,1.7366,NO
775,0.2072,1.0371,NO
776,0.1519,1.7116,NO
777,0.1227,1.4815,YES
778,0.1324,2.2628,YES
779,0.1581,2.0154,YES
780,0.1927,1.1282,YES
781,0.1378,1.8702,NO
782,0.09699999999999999,1.8729,YES
783,0.11900000000000001,1.5819,NO
784,0.3612,2.3312,YES
785,0.0488,0.4361,YES
786,0.2823,1.4376,NO
787,0.1584,1.4803,NO
788,0.065,1.0332,NO
789,0.0678,1.5290000000000001,NO
790,0.1652,1.5066,YES
791,0.4499,1.3933,YES
792,0.0947,1.3411,NO
793,0.1079,1.0838,NO
794,0.0645,0.956,NO
795,0.1095,0.7305,NO
796,0.1665,1.2559,NO
797,0.1472,1.6367,NO
798,0.1463,0.6339,NO
799,0.1261,1.061,YES
800,0.0528,1.375,NO
801,0.3791,1.8935,YES
802,0.0329,1.1134,NO
803,0.3577,1.4881,YES
804,0.062,1.165,NO
805,0.0477,0.8333,NO
806,0.0457,1.4616,NO
807,0.1274,1.2135,NO
808,0.0681,0.7078,NO
809,0.1427,1.4365,NO
810,0.0804,1.2614,NO
811,0.0769,1.0644,NO
812,0.1422,2.2274,NO
813,0.0613,0.6559999999999999,NO
814,0.1484,2.0938,NO
815,0.1778,2.2365,NO
816,0.1025,1.6026,NO
817,0.1545,2.5999,NO
818,0.1529,2.0589,NO
819,0.1098,0.9873,NO
820,0.1753,2.4576,NO
821,0.1807,1.9542,YES
822,0.134,1.7475,NO
823,0.2818,1.2973,YES
824,0.2438,1.9793,NO
825,0.2385,2.3707,NO
826,0.2176,0.9694,NO
827,0.0807,1.2476,NO
828,0.0972,2.1109,NO
829,0.0862,1.4528,NO
830,0.0815,1.9080000000000001,NO
831,0.2286,1.3147,NO
832,0.0804,1.8608,NO
833,0.0972,1.6343,YES
834,0.105,2.4792,YES
835,0.1237,2.286,YES
836,0.2731,1.3239,YES
837,0.1937,2.2778,NO
838,0.1151,2.1849,YES
839,0.1052,1.8518,NO
