,DIRECT_NA_NA_VSM,DIRECT_NA_NA_VSM,Associated
125,0.1934,0.1934,NO
126,0.1934,0.1934,NO
127,0.0572,0.0572,NO
128,0.2318,0.2318,YES
129,0.0556,0.0556,NO
130,0.3609,0.3609,YES
131,0.1417,0.1417,NO
132,0.255,0.255,YES
133,0.0522,0.0522,NO
134,0.0677,0.0677,NO
135,0.1439,0.1439,NO
136,0.0494,0.0494,NO
137,0.1715,0.1715,YES
138,0.0964,0.0964,NO
139,0.1343,0.1343,YES
140,0.1544,0.1544,NO
141,0.0732,0.0732,NO
142,0.1975,0.1975,NO
143,0.2582,0.2582,NO
144,0.1977,0.1977,NO
145,0.1701,0.1701,NO
146,0.1684,0.1684,NO
147,0.1225,0.1225,NO
148,0.1458,0.1458,NO
149,0.4028,0.4028,YES
150,0.1577,0.1577,NO
151,0.2904,0.2904,YES
152,0.1987,0.1987,NO
153,0.1756,0.1756,NO
154,0.1689,0.1689,NO
155,0.054000000000000006,0.054000000000000006,NO
156,0.1469,0.1469,NO
157,0.0547,0.0547,NO
158,0.1082,0.1082,NO
159,0.2019,0.2019,NO
160,0.1293,0.1293,NO
161,0.3897,0.3897,YES
162,0.3612,0.3612,YES
163,0.2791,0.2791,YES
164,0.2894,0.2894,YES
165,0.2226,0.2226,NO
166,0.1753,0.1753,YES
167,0.0979,0.0979,NO
168,0.0985,0.0985,NO
169,0.0774,0.0774,NO
170,0.1069,0.1069,YES
171,0.3647,0.3647,YES
172,0.2531,0.2531,YES
173,0.1331,0.1331,YES
174,0.0885,0.0885,NO
175,0.0604,0.0604,NO
176,0.2068,0.2068,YES
177,0.2598,0.2598,NO
178,0.106,0.106,YES
179,0.1459,0.1459,NO
180,0.2252,0.2252,NO
181,0.2571,0.2571,NO
182,0.2375,0.2375,NO
183,0.1453,0.1453,NO
184,0.2245,0.2245,YES
185,0.141,0.141,NO
186,0.2623,0.2623,YES
187,0.142,0.142,NO
188,0.2555,0.2555,YES
189,0.2049,0.2049,NO
190,0.2206,0.2206,NO
191,0.2228,0.2228,NO
192,0.1032,0.1032,NO
193,0.1461,0.1461,YES
194,0.1116,0.1116,NO
195,0.1326,0.1326,YES
196,0.1415,0.1415,NO
197,0.0745,0.0745,NO
198,0.2381,0.2381,NO
199,0.19,0.19,NO
200,0.1547,0.1547,NO
201,0.1997,0.1997,NO
202,0.1653,0.1653,NO
203,0.1536,0.1536,NO
204,0.1999,0.1999,NO
205,0.1989,0.1989,YES
206,0.2045,0.2045,NO
207,0.2447,0.2447,YES
208,0.2519,0.2519,NO
209,0.2036,0.2036,NO
210,0.2033,0.2033,NO
211,0.0533,0.0533,NO
212,0.105,0.105,NO
213,0.055999999999999994,0.055999999999999994,NO
214,0.1113,0.1113,NO
215,0.2256,0.2256,NO
216,0.0989,0.0989,NO
217,0.1879,0.1879,YES
218,0.1445,0.1445,YES
219,0.1901,0.1901,YES
220,0.3108,0.3108,YES
221,0.2405,0.2405,NO
222,0.1657,0.1657,YES
223,0.1331,0.1331,NO
224,0.0949,0.0949,NO
225,0.1339,0.1339,NO
226,0.22399999999999998,0.22399999999999998,NO
227,0.1967,0.1967,NO
228,0.1436,0.1436,NO
229,0.2079,0.2079,NO
230,0.1339,0.1339,NO
231,0.0967,0.0967,NO
232,0.2198,0.2198,NO
233,0.3428,0.3428,YES
234,0.2344,0.2344,NO
235,0.1736,0.1736,YES
236,0.1331,0.1331,NO
237,0.0735,0.0735,NO
238,0.0647,0.0647,NO
239,0.204,0.204,NO
240,0.1327,0.1327,NO
241,0.1655,0.1655,NO
242,0.31,0.31,NO
243,0.1309,0.1309,NO
244,0.2819,0.2819,NO
245,0.4042,0.4042,YES
246,0.3296,0.3296,YES
247,0.4941,0.4941,YES
248,0.1783,0.1783,YES
249,0.193,0.193,NO
250,0.2673,0.2673,YES
251,0.1726,0.1726,NO
252,0.1439,0.1439,NO
253,0.0769,0.0769,NO
254,0.1953,0.1953,NO
255,0.2342,0.2342,NO
256,0.2047,0.2047,NO
257,0.1823,0.1823,NO
258,0.1684,0.1684,NO
259,0.1204,0.1204,NO
260,0.1751,0.1751,NO
261,0.3579,0.3579,YES
262,0.1828,0.1828,NO
263,0.2083,0.2083,YES
264,0.2252,0.2252,NO
265,0.2041,0.2041,NO
266,0.2007,0.2007,NO
267,0.0498,0.0498,NO
268,0.1415,0.1415,NO
269,0.0515,0.0515,NO
270,0.1207,0.1207,NO
271,0.1912,0.1912,NO
272,0.14,0.14,NO
273,0.4038,0.4038,YES
274,0.3494,0.3494,YES
275,0.2799,0.2799,YES
276,0.2675,0.2675,YES
277,0.2206,0.2206,NO
278,0.2003,0.2003,YES
279,0.1168,0.1168,NO
280,0.0727,0.0727,NO
281,0.0714,0.0714,NO
282,0.10800000000000001,0.10800000000000001,NO
283,0.2886,0.2886,NO
284,0.1427,0.1427,NO
285,0.0855,0.0855,NO
286,0.0605,0.0605,NO
287,0.0532,0.0532,NO
288,0.1421,0.1421,NO
289,0.4397,0.4397,YES
290,0.0607,0.0607,NO
291,0.2347,0.2347,YES
292,0.2118,0.2118,NO
293,0.2048,0.2048,NO
294,0.2045,0.2045,NO
295,0.0849,0.0849,NO
296,0.1035,0.1035,NO
297,0.0824,0.0824,NO
298,0.0975,0.0975,NO
299,0.1702,0.1702,NO
300,0.1518,0.1518,NO
301,0.3372,0.3372,YES
302,0.3303,0.3303,YES
303,0.314,0.314,YES
304,0.1257,0.1257,YES
305,0.1375,0.1375,NO
306,0.1128,0.1128,YES
307,0.099,0.099,NO
308,0.1069,0.1069,NO
309,0.0451,0.0451,NO
310,0.5095,0.5095,YES
311,0.1431,0.1431,YES
312,0.1227,0.1227,YES
313,0.2847,0.2847,YES
314,0.2237,0.2237,NO
315,0.1065,0.1065,NO
316,0.3266,0.3266,YES
317,0.0974,0.0974,NO
318,0.3289,0.3289,YES
319,0.1059,0.1059,NO
320,0.2131,0.2131,NO
321,0.1496,0.1496,NO
322,0.1474,0.1474,NO
323,0.0902,0.0902,NO
324,0.0993,0.0993,YES
325,0.0875,0.0875,NO
326,0.2369,0.2369,YES
327,0.2129,0.2129,NO
328,0.1321,0.1321,YES
329,0.1271,0.1271,NO
330,0.08,0.08,NO
331,0.3025,0.3025,NO
332,0.12,0.12,NO
333,0.3399,0.3399,YES
334,0.2516,0.2516,NO
335,0.2081,0.2081,YES
336,0.1799,0.1799,NO
337,0.1547,0.1547,NO
338,0.3595,0.3595,YES
339,0.2156,0.2156,NO
340,0.1535,0.1535,NO
341,0.4159,0.4159,YES
342,0.1827,0.1827,NO
343,0.1097,0.1097,NO
344,0.5448,0.5448,YES
345,0.191,0.191,NO
346,0.4381,0.4381,YES
347,0.1528,0.1528,NO
348,0.3264,0.3264,NO
349,0.3203,0.3203,NO
350,0.2648,0.2648,NO
351,0.171,0.171,NO
352,0.21899999999999997,0.21899999999999997,NO
353,0.1398,0.1398,NO
354,0.3673,0.3673,NO
355,0.1451,0.1451,NO
356,0.2637,0.2637,NO
357,0.1991,0.1991,NO
358,0.1784,0.1784,NO
359,0.3767,0.3767,NO
360,0.1917,0.1917,NO
361,0.3794,0.3794,YES
362,0.3359,0.3359,NO
363,0.2874,0.2874,YES
364,0.0798,0.0798,NO
365,0.0364,0.0364,NO
366,0.2475,0.2475,YES
367,0.2794,0.2794,YES
368,0.2232,0.2232,YES
369,0.2213,0.2213,YES
370,0.1233,0.1233,NO
371,0.0474,0.0474,NO
372,0.2799,0.2799,YES
373,0.2328,0.2328,NO
374,0.2608,0.2608,YES
375,0.1095,0.1095,NO
376,0.2365,0.2365,NO
377,0.2061,0.2061,NO
378,0.2048,0.2048,NO
379,0.0456,0.0456,NO
380,0.1795,0.1795,YES
381,0.0442,0.0442,NO
382,0.27,0.27,YES
383,0.1224,0.1224,NO
384,0.1913,0.1913,YES
385,0.2397,0.2397,NO
386,0.2111,0.2111,NO
387,0.2935,0.2935,NO
388,0.1155,0.1155,NO
389,0.243,0.243,YES
390,0.1959,0.1959,NO
391,0.198,0.198,YES
392,0.1636,0.1636,NO
393,0.1646,0.1646,NO
394,0.3881,0.3881,YES
395,0.1762,0.1762,NO
396,0.1649,0.1649,NO
397,0.4197,0.4197,YES
398,0.1681,0.1681,NO
399,0.153,0.153,NO
400,0.4738,0.4738,YES
401,0.159,0.159,NO
402,0.493,0.493,YES
403,0.1456,0.1456,NO
404,0.2244,0.2244,NO
405,0.1542,0.1542,NO
406,0.1277,0.1277,NO
407,0.1775,0.1775,NO
408,0.2106,0.2106,NO
409,0.1654,0.1654,NO
410,0.3557,0.3557,NO
411,0.0902,0.0902,NO
412,0.2663,0.2663,NO
413,0.2218,0.2218,NO
414,0.1764,0.1764,NO
415,0.3901,0.3901,NO
416,0.21600000000000003,0.21600000000000003,NO
417,0.402,0.402,YES
418,0.3584,0.3584,NO
419,0.3239,0.3239,YES
420,0.0467,0.0467,NO
421,0.0184,0.0184,NO
422,0.0544,0.0544,YES
423,0.1967,0.1967,YES
424,0.1251,0.1251,YES
425,0.0526,0.0526,YES
426,0.0389,0.0389,NO
427,0.0098,0.0098,NO
428,0.1204,0.1204,YES
429,0.1152,0.1152,NO
430,0.0434,0.0434,YES
431,0.0994,0.0994,NO
432,0.171,0.171,NO
433,0.1733,0.1733,NO
434,0.1785,0.1785,NO
435,0.0632,0.0632,NO
436,0.1652,0.1652,YES
437,0.0614,0.0614,NO
438,0.1533,0.1533,YES
439,0.1347,0.1347,NO
440,0.1212,0.1212,YES
441,0.015,0.015,NO
442,0.0714,0.0714,NO
443,0.0698,0.0698,NO
444,0.035,0.035,NO
445,0.0672,0.0672,YES
446,0.0378,0.0378,NO
447,0.0637,0.0637,YES
448,0.3024,0.3024,YES
449,0.0482,0.0482,YES
450,0.3634,0.3634,NO
451,0.1548,0.1548,NO
452,0.1459,0.1459,NO
453,0.1506,0.1506,NO
454,0.2394,0.2394,YES
455,0.3693,0.3693,YES
456,0.1404,0.1404,NO
457,0.0758,0.0758,NO
458,0.1517,0.1517,NO
459,0.067,0.067,NO
460,0.2131,0.2131,NO
461,0.16,0.16,NO
462,0.1446,0.1446,NO
463,0.0844,0.0844,YES
464,0.095,0.095,NO
465,0.2419,0.2419,YES
466,0.026000000000000002,0.026000000000000002,NO
467,0.2985,0.2985,YES
468,0.0377,0.0377,NO
469,0.102,0.102,NO
470,0.0927,0.0927,NO
471,0.1259,0.1259,NO
472,0.1193,0.1193,NO
473,0.2177,0.2177,NO
474,0.15,0.15,NO
475,0.0996,0.0996,NO
476,0.0839,0.0839,NO
477,0.0672,0.0672,NO
478,0.3068,0.3068,YES
479,0.1154,0.1154,YES
480,0.0802,0.0802,YES
481,0.3166,0.3166,YES
482,0.0868,0.0868,NO
483,0.0677,0.0677,NO
484,0.5456,0.5456,YES
485,0.0938,0.0938,NO
486,0.3771,0.3771,YES
487,0.0765,0.0765,NO
488,0.3042,0.3042,NO
489,0.1867,0.1867,NO
490,0.2024,0.2024,NO
491,0.084,0.084,NO
492,0.1127,0.1127,YES
493,0.0773,0.0773,NO
494,0.3002,0.3002,YES
495,0.0821,0.0821,NO
496,0.1969,0.1969,YES
497,0.1353,0.1353,NO
498,0.0942,0.0942,NO
499,0.3023,0.3023,NO
500,0.1177,0.1177,NO
501,0.2966,0.2966,YES
502,0.2621,0.2621,NO
503,0.3631,0.3631,YES
504,0.1178,0.1178,NO
505,0.0474,0.0474,NO
506,0.4277,0.4277,YES
507,0.2214,0.2214,YES
508,0.2007,0.2007,YES
509,0.2467,0.2467,YES
510,0.2192,0.2192,NO
511,0.1165,0.1165,NO
512,0.3035,0.3035,YES
513,0.1886,0.1886,NO
514,0.2922,0.2922,YES
515,0.1088,0.1088,NO
516,0.2277,0.2277,NO
517,0.1763,0.1763,NO
518,0.1744,0.1744,NO
519,0.0948,0.0948,NO
520,0.152,0.152,YES
521,0.0882,0.0882,NO
522,0.2267,0.2267,YES
523,0.1968,0.1968,NO
524,0.1574,0.1574,YES
525,0.2134,0.2134,NO
526,0.1846,0.1846,NO
527,0.3004,0.3004,NO
528,0.1322,0.1322,NO
529,0.3039,0.3039,YES
530,0.2341,0.2341,NO
531,0.2137,0.2137,YES
532,0.1342,0.1342,NO
533,0.1099,0.1099,NO
534,0.526,0.526,YES
535,0.1623,0.1623,YES
536,0.1996,0.1996,YES
537,0.3297,0.3297,YES
538,0.22699999999999998,0.22699999999999998,NO
539,0.1622,0.1622,NO
540,0.3372,0.3372,YES
541,0.1102,0.1102,NO
542,0.3901,0.3901,YES
543,0.1022,0.1022,NO
544,0.1483,0.1483,NO
545,0.0862,0.0862,NO
546,0.0629,0.0629,NO
547,0.2034,0.2034,NO
548,0.1682,0.1682,YES
549,0.1975,0.1975,NO
550,0.3422,0.3422,YES
551,0.1773,0.1773,NO
552,0.2514,0.2514,YES
553,0.1754,0.1754,NO
554,0.1301,0.1301,NO
555,0.3619,0.3619,NO
556,0.1715,0.1715,NO
557,0.3452,0.3452,YES
558,0.3259,0.3259,NO
559,0.258,0.258,YES
560,0.0709,0.0709,NO
561,0.0732,0.0732,NO
562,0.3094,0.3094,YES
563,0.1091,0.1091,YES
564,0.0665,0.0665,YES
565,0.2941,0.2941,YES
566,0.0664,0.0664,NO
567,0.0556,0.0556,NO
568,0.5229,0.5229,YES
569,0.1003,0.1003,NO
570,0.3604,0.3604,YES
571,0.08800000000000001,0.08800000000000001,NO
572,0.2859,0.2859,NO
573,0.1263,0.1263,NO
574,0.1497,0.1497,NO
575,0.1047,0.1047,NO
576,0.1031,0.1031,YES
577,0.1016,0.1016,NO
578,0.3066,0.3066,YES
579,0.0639,0.0639,NO
580,0.2147,0.2147,YES
581,0.1277,0.1277,NO
582,0.0813,0.0813,NO
583,0.3135,0.3135,NO
584,0.1095,0.1095,NO
585,0.302,0.302,YES
586,0.2369,0.2369,NO
587,0.4263,0.4263,YES
588,0.1151,0.1151,NO
589,0.0905,0.0905,NO
590,0.1028,0.1028,YES
591,0.3566,0.3566,YES
592,0.2651,0.2651,YES
593,0.1542,0.1542,YES
594,0.094,0.094,NO
595,0.0554,0.0554,NO
596,0.2037,0.2037,YES
597,0.1971,0.1971,NO
598,0.1126,0.1126,YES
599,0.1418,0.1418,NO
600,0.2488,0.2488,NO
601,0.2731,0.2731,NO
602,0.2523,0.2523,NO
603,0.1698,0.1698,NO
604,0.2266,0.2266,YES
605,0.1648,0.1648,NO
606,0.2745,0.2745,YES
607,0.1508,0.1508,NO
608,0.2653,0.2653,YES
609,0.1206,0.1206,NO
610,0.1613,0.1613,NO
611,0.1611,0.1611,NO
612,0.1018,0.1018,NO
613,0.152,0.152,YES
614,0.1186,0.1186,NO
615,0.1207,0.1207,YES
616,0.1201,0.1201,NO
617,0.10300000000000001,0.10300000000000001,NO
618,0.254,0.254,YES
619,0.3285,0.3285,YES
620,0.3624,0.3624,YES
621,0.2593,0.2593,YES
622,0.0981,0.0981,NO
623,0.0792,0.0792,NO
624,0.2917,0.2917,YES
625,0.1836,0.1836,NO
626,0.3039,0.3039,YES
627,0.1342,0.1342,NO
628,0.1448,0.1448,NO
629,0.1036,0.1036,NO
630,0.0702,0.0702,NO
631,0.1825,0.1825,NO
632,0.2937,0.2937,YES
633,0.1772,0.1772,NO
634,0.5728,0.5728,YES
635,0.0892,0.0892,NO
636,0.4594,0.4594,YES
637,0.1677,0.1677,NO
638,0.1461,0.1461,NO
639,0.2985,0.2985,NO
640,0.1348,0.1348,NO
641,0.2479,0.2479,YES
642,0.2298,0.2298,NO
643,0.2345,0.2345,YES
644,0.08900000000000001,0.08900000000000001,NO
645,0.0394,0.0394,NO
646,0.1381,0.1381,NO
647,0.2108,0.2108,NO
648,0.0676,0.0676,NO
649,0.0957,0.0957,NO
650,0.0963,0.0963,NO
651,0.0435,0.0435,NO
652,0.2592,0.2592,NO
653,0.1291,0.1291,NO
654,0.0785,0.0785,NO
655,0.1052,0.1052,NO
656,0.4225,0.4225,YES
657,0.3368,0.3368,YES
658,0.3938,0.3938,YES
659,0.0766,0.0766,NO
660,0.0711,0.0711,NO
661,0.0797,0.0797,NO
662,0.0531,0.0531,NO
663,0.1551,0.1551,NO
664,0.077,0.077,NO
665,0.0463,0.0463,NO
666,0.0745,0.0745,NO
667,0.1014,0.1014,NO
668,0.0541,0.0541,NO
669,0.1685,0.1685,NO
670,0.0541,0.0541,NO
671,0.2105,0.2105,NO
672,0.1239,0.1239,YES
673,0.289,0.289,YES
674,0.2752,0.2752,NO
675,0.1653,0.1653,NO
676,0.0814,0.0814,NO
677,0.0623,0.0623,NO
678,0.32899999999999996,0.32899999999999996,YES
679,0.1249,0.1249,YES
680,0.0968,0.0968,NO
681,0.1519,0.1519,NO
682,0.0533,0.0533,NO
683,0.1784,0.1784,NO
684,0.1661,0.1661,NO
685,0.1504,0.1504,NO
686,0.1562,0.1562,NO
687,0.3075,0.3075,YES
688,0.0597,0.0597,NO
689,0.1815,0.1815,YES
690,0.0336,0.0336,NO
691,0.3735,0.3735,YES
692,0.0877,0.0877,NO
693,0.1163,0.1163,NO
694,0.0418,0.0418,NO
695,0.1354,0.1354,NO
696,0.0948,0.0948,NO
697,0.1407,0.1407,NO
698,0.0821,0.0821,NO
699,0.0894,0.0894,NO
700,0.0416,0.0416,NO
701,0.0131,0.0131,NO
702,0.1203,0.1203,YES
703,0.2886,0.2886,YES
704,0.2879,0.2879,YES
705,0.1294,0.1294,YES
706,0.0498,0.0498,NO
707,0.0139,0.0139,NO
708,0.1999,0.1999,YES
709,0.1109,0.1109,NO
710,0.1389,0.1389,YES
711,0.0996,0.0996,NO
712,0.1977,0.1977,NO
713,0.1726,0.1726,NO
714,0.1805,0.1805,NO
715,0.0204,0.0204,NO
716,0.2123,0.2123,YES
717,0.0198,0.0198,NO
718,0.3536,0.3536,YES
719,0.1039,0.1039,NO
720,0.2827,0.2827,YES
721,0.0426,0.0426,NO
722,0.0387,0.0387,NO
723,0.1228,0.1228,NO
724,0.0373,0.0373,NO
725,0.1359,0.1359,YES
726,0.0808,0.0808,NO
727,0.1119,0.1119,YES
728,0.3458,0.3458,YES
729,0.0264,0.0264,YES
730,0.3473,0.3473,NO
731,0.1555,0.1555,NO
732,0.0906,0.0906,NO
733,0.107,0.107,NO
734,0.226,0.226,YES
735,0.4184,0.4184,YES
736,0.1111,0.1111,NO
737,0.1017,0.1017,NO
738,0.09699999999999999,0.09699999999999999,NO
739,0.1058,0.1058,NO
740,0.1741,0.1741,NO
741,0.1373,0.1373,NO
742,0.132,0.132,NO
743,0.1138,0.1138,YES
744,0.0766,0.0766,NO
745,0.3242,0.3242,YES
746,0.0297,0.0297,NO
747,0.3407,0.3407,YES
748,0.0387,0.0387,NO
749,0.0621,0.0621,NO
750,0.076,0.076,NO
751,0.1266,0.1266,NO
752,0.0726,0.0726,NO
753,0.192,0.192,NO
754,0.1128,0.1128,NO
755,0.0813,0.0813,NO
756,0.1238,0.1238,NO
757,0.0659,0.0659,NO
758,0.0991,0.0991,NO
759,0.2168,0.2168,NO
760,0.0941,0.0941,NO
761,0.1226,0.1226,NO
762,0.0797,0.0797,NO
763,0.0869,0.0869,NO
764,0.1921,0.1921,NO
765,0.2119,0.2119,YES
766,0.0845,0.0845,NO
767,0.1963,0.1963,YES
768,0.24100000000000002,0.24100000000000002,NO
769,0.263,0.263,NO
770,0.2504,0.2504,NO
771,0.1414,0.1414,NO
772,0.0983,0.0983,NO
773,0.1658,0.1658,NO
774,0.1333,0.1333,NO
775,0.2072,0.2072,NO
776,0.1519,0.1519,NO
777,0.1227,0.1227,YES
778,0.1324,0.1324,YES
779,0.1581,0.1581,YES
780,0.1927,0.1927,YES
781,0.1378,0.1378,NO
782,0.09699999999999999,0.09699999999999999,YES
783,0.11900000000000001,0.11900000000000001,NO
784,0.3612,0.3612,YES
785,0.0488,0.0488,YES
786,0.2823,0.2823,NO
787,0.1584,0.1584,NO
788,0.065,0.065,NO
789,0.0678,0.0678,NO
790,0.1652,0.1652,YES
791,0.4499,0.4499,YES
792,0.0947,0.0947,NO
793,0.1079,0.1079,NO
794,0.0645,0.0645,NO
795,0.1095,0.1095,NO
796,0.1665,0.1665,NO
797,0.1472,0.1472,NO
798,0.1463,0.1463,NO
799,0.1261,0.1261,YES
800,0.0528,0.0528,NO
801,0.3791,0.3791,YES
802,0.0329,0.0329,NO
803,0.3577,0.3577,YES
804,0.062,0.062,NO
805,0.0477,0.0477,NO
806,0.0457,0.0457,NO
807,0.1274,0.1274,NO
808,0.0681,0.0681,NO
809,0.1427,0.1427,NO
810,0.0804,0.0804,NO
811,0.0769,0.0769,NO
812,0.1422,0.1422,NO
813,0.0613,0.0613,NO
814,0.1484,0.1484,NO
815,0.1778,0.1778,NO
816,0.1025,0.1025,NO
817,0.1545,0.1545,NO
818,0.1529,0.1529,NO
819,0.1098,0.1098,NO
820,0.1753,0.1753,NO
821,0.1807,0.1807,YES
822,0.134,0.134,NO
823,0.2818,0.2818,YES
824,0.2438,0.2438,NO
825,0.2385,0.2385,NO
826,0.2176,0.2176,NO
827,0.0807,0.0807,NO
828,0.0972,0.0972,NO
829,0.0862,0.0862,NO
830,0.0815,0.0815,NO
831,0.2286,0.2286,NO
832,0.0804,0.0804,NO
833,0.0972,0.0972,YES
834,0.105,0.105,YES
835,0.1237,0.1237,YES
836,0.2731,0.2731,YES
837,0.1937,0.1937,NO
838,0.1151,0.1151,YES
839,0.1052,0.1052,NO
