,DIRECT_NA_NA_VSM,LOWERTRACED_MAX_SINGLE_VSM,Associated
538,0.22699999999999998,0.1237,NO
539,0.1622,0.1237,NO
540,0.3372,1.0,YES
541,0.1102,0.679,NO
542,0.3901,1.0,YES
543,0.1022,0.679,NO
544,0.1483,0.1692,NO
545,0.0862,0.1692,NO
546,0.0629,0.1692,NO
547,0.2034,0.1237,NO
548,0.1682,0.6709999999999999,YES
549,0.1975,0.1237,NO
550,0.3422,0.6709999999999999,YES
551,0.1773,0.1237,NO
552,0.2514,0.6709999999999999,YES
553,0.1754,0.679,NO
554,0.1301,0.679,NO
555,0.3619,0.679,NO
556,0.1715,0.679,NO
557,0.3452,1.0,YES
558,0.3259,0.679,NO
559,0.258,1.0,YES
560,0.0709,0.006,NO
561,0.0732,0.006,NO
562,0.3094,1.0,YES
563,0.1091,0.5693,YES
564,0.0665,0.5693,YES
565,0.2941,1.0,YES
566,0.0664,0.006,NO
567,0.0556,0.006,NO
568,0.5229,1.0,YES
569,0.1003,0.4433,NO
570,0.3604,1.0,YES
571,0.08800000000000001,0.4433,NO
572,0.2859,0.43799999999999994,NO
573,0.1263,0.43799999999999994,NO
574,0.1497,0.43799999999999994,NO
575,0.1047,0.006,NO
576,0.1031,0.5693,YES
577,0.1016,0.006,NO
578,0.3066,0.5693,YES
579,0.0639,0.006,NO
580,0.2147,0.5693,YES
581,0.1277,0.4433,NO
582,0.0813,0.4433,NO
583,0.3135,0.4433,NO
584,0.1095,0.4433,NO
585,0.302,1.0,YES
586,0.2369,0.4433,NO
587,0.4263,1.0,YES
588,0.1151,0.1483,NO
589,0.0905,0.1483,NO
590,0.1028,0.6711,YES
591,0.3566,1.0,YES
592,0.2651,1.0,YES
593,0.1542,0.6711,YES
594,0.094,0.1483,NO
595,0.0554,0.1483,NO
596,0.2037,0.6711,YES
597,0.1971,0.6109,NO
598,0.1126,0.6711,YES
599,0.1418,0.6109,NO
600,0.2488,0.4875,NO
601,0.2731,0.4875,NO
602,0.2523,0.4875,NO
603,0.1698,0.1483,NO
604,0.2266,1.0,YES
605,0.1648,0.1483,NO
606,0.2745,1.0,YES
607,0.1508,0.1483,NO
608,0.2653,1.0,YES
609,0.1206,0.6109,NO
610,0.1613,0.6109,NO
611,0.1611,0.6109,NO
612,0.1018,0.6109,NO
613,0.152,0.6711,YES
614,0.1186,0.6109,NO
615,0.1207,0.6711,YES
616,0.1201,0.1131,NO
617,0.10300000000000001,0.1131,NO
618,0.254,0.7440000000000001,YES
619,0.3285,1.0,YES
620,0.3624,1.0,YES
621,0.2593,0.7440000000000001,YES
622,0.0981,0.1131,NO
623,0.0792,0.1131,NO
624,0.2917,0.7440000000000001,YES
625,0.1836,0.4584,NO
626,0.3039,0.7440000000000001,YES
627,0.1342,0.4584,NO
628,0.1448,0.1397,NO
629,0.1036,0.1397,NO
630,0.0702,0.1397,NO
631,0.1825,0.1131,NO
632,0.2937,1.0,YES
633,0.1772,0.1131,NO
634,0.5728,1.0,YES
635,0.0892,0.1131,NO
636,0.4594,1.0,YES
637,0.1677,0.4584,NO
638,0.1461,0.4584,NO
639,0.2985,0.4584,NO
640,0.1348,0.4584,NO
641,0.2479,0.7440000000000001,YES
642,0.2298,0.4584,NO
643,0.2345,0.7440000000000001,YES
644,0.08900000000000001,0.2552,NO
645,0.0394,0.2552,NO
646,0.1381,0.4344,NO
647,0.2108,0.3776,NO
648,0.0676,0.3776,NO
649,0.0957,0.4344,NO
650,0.0963,0.2552,NO
651,0.0435,0.2552,NO
652,0.2592,0.4344,NO
653,0.1291,0.3073,NO
654,0.0785,0.4344,NO
655,0.1052,0.3073,NO
656,0.4225,1.0,YES
657,0.3368,1.0,YES
658,0.3938,1.0,YES
659,0.0766,0.2552,NO
660,0.0711,0.3776,NO
661,0.0797,0.2552,NO
662,0.0531,0.3776,NO
663,0.1551,0.2552,NO
664,0.077,0.3776,NO
665,0.0463,0.3073,NO
666,0.0745,0.3073,NO
667,0.1014,0.3073,NO
668,0.0541,0.3073,NO
669,0.1685,0.4344,NO
670,0.0541,0.3073,NO
671,0.2105,0.4344,NO
672,0.1239,1.0,YES
673,0.289,1.0,YES
674,0.2752,0.2269,NO
675,0.1653,0.2269,NO
676,0.0814,0.2269,NO
677,0.0623,0.2269,NO
678,0.32899999999999996,1.0,YES
679,0.1249,1.0,YES
680,0.0968,0.2269,NO
681,0.1519,0.3252,NO
682,0.0533,0.2269,NO
683,0.1784,0.3252,NO
684,0.1661,0.3226,NO
685,0.1504,0.3226,NO
686,0.1562,0.3226,NO
687,0.3075,1.0,YES
688,0.0597,0.2269,NO
689,0.1815,1.0,YES
690,0.0336,0.2269,NO
691,0.3735,1.0,YES
692,0.0877,0.2269,NO
693,0.1163,0.3252,NO
694,0.0418,0.3252,NO
695,0.1354,0.3252,NO
696,0.0948,0.3252,NO
697,0.1407,0.2269,NO
698,0.0821,0.3252,NO
699,0.0894,0.2269,NO
700,0.0416,0.0554,NO
701,0.0131,0.0554,NO
702,0.1203,0.7752,YES
703,0.2886,1.0,YES
704,0.2879,1.0,YES
705,0.1294,0.7752,YES
706,0.0498,0.0554,NO
707,0.0139,0.0554,NO
708,0.1999,0.7752,YES
709,0.1109,0.2002,NO
710,0.1389,0.7752,YES
711,0.0996,0.2002,NO
712,0.1977,0.4256,NO
713,0.1726,0.4256,NO
714,0.1805,0.4256,NO
715,0.0204,0.0554,NO
716,0.2123,1.0,YES
717,0.0198,0.0554,NO
718,0.3536,1.0,YES
719,0.1039,0.0554,NO
720,0.2827,1.0,YES
721,0.0426,0.2002,NO
722,0.0387,0.2002,NO
723,0.1228,0.2002,NO
724,0.0373,0.2002,NO
725,0.1359,0.7752,YES
726,0.0808,0.2002,NO
727,0.1119,0.7752,YES
728,0.3458,1.0,YES
729,0.0264,1.0,YES
730,0.3473,0.33399999999999996,NO
731,0.1555,0.3075,NO
732,0.0906,0.3075,NO
733,0.107,0.33399999999999996,NO
734,0.226,1.0,YES
735,0.4184,1.0,YES
736,0.1111,0.33399999999999996,NO
737,0.1017,0.2506,NO
738,0.09699999999999999,0.33399999999999996,NO
739,0.1058,0.2506,NO
740,0.1741,0.3489,NO
741,0.1373,0.3489,NO
742,0.132,0.3489,NO
743,0.1138,1.0,YES
744,0.0766,0.3075,NO
745,0.3242,1.0,YES
746,0.0297,0.3075,NO
747,0.3407,1.0,YES
748,0.0387,0.3075,NO
749,0.0621,0.2506,NO
750,0.076,0.2506,NO
751,0.1266,0.2506,NO
752,0.0726,0.2506,NO
753,0.192,0.33399999999999996,NO
754,0.1128,0.2506,NO
755,0.0813,0.33399999999999996,NO
756,0.1238,0.2831,NO
757,0.0659,0.2831,NO
758,0.0991,0.1991,NO
759,0.2168,0.3471,NO
760,0.0941,0.3471,NO
761,0.1226,0.1991,NO
762,0.0797,0.2831,NO
763,0.0869,0.2831,NO
764,0.1921,0.1991,NO
765,0.2119,1.0,YES
766,0.0845,0.1991,NO
767,0.1963,1.0,YES
768,0.24100000000000002,0.564,NO
769,0.263,0.564,NO
770,0.2504,0.564,NO
771,0.1414,0.2831,NO
772,0.0983,0.3471,NO
773,0.1658,0.2831,NO
774,0.1333,0.3471,NO
775,0.2072,0.2831,NO
776,0.1519,0.3471,NO
777,0.1227,1.0,YES
778,0.1324,1.0,YES
779,0.1581,1.0,YES
780,0.1927,1.0,YES
781,0.1378,0.1991,NO
782,0.09699999999999999,1.0,YES
783,0.11900000000000001,0.1991,NO
784,0.3612,1.0,YES
785,0.0488,1.0,YES
786,0.2823,0.2289,NO
787,0.1584,0.2289,NO
788,0.065,0.2289,NO
789,0.0678,0.2289,NO
790,0.1652,1.0,YES
791,0.4499,1.0,YES
792,0.0947,0.2289,NO
793,0.1079,0.2223,NO
794,0.0645,0.2289,NO
795,0.1095,0.2223,NO
796,0.1665,0.2636,NO
797,0.1472,0.2636,NO
798,0.1463,0.2636,NO
799,0.1261,1.0,YES
800,0.0528,0.2289,NO
801,0.3791,1.0,YES
802,0.0329,0.2289,NO
803,0.3577,1.0,YES
804,0.062,0.2289,NO
805,0.0477,0.2223,NO
806,0.0457,0.2223,NO
807,0.1274,0.2223,NO
808,0.0681,0.2223,NO
809,0.1427,0.2289,NO
810,0.0804,0.2223,NO
811,0.0769,0.2289,NO
812,0.1422,0.418,NO
813,0.0613,0.418,NO
814,0.1484,0.4855,NO
815,0.1778,0.2598,NO
816,0.1025,0.2598,NO
817,0.1545,0.4855,NO
818,0.1529,0.418,NO
819,0.1098,0.418,NO
820,0.1753,0.4855,NO
821,0.1807,1.0,YES
822,0.134,0.4855,NO
823,0.2818,1.0,YES
824,0.2438,0.4072,NO
825,0.2385,0.4072,NO
826,0.2176,0.4072,NO
827,0.0807,0.418,NO
828,0.0972,0.2598,NO
829,0.0862,0.418,NO
830,0.0815,0.2598,NO
831,0.2286,0.418,NO
832,0.0804,0.2598,NO
833,0.0972,1.0,YES
834,0.105,1.0,YES
835,0.1237,1.0,YES
836,0.2731,1.0,YES
837,0.1937,0.4855,NO
838,0.1151,1.0,YES
839,0.1052,0.4855,NO
