,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_MULTI_VSM,Associated
277,0.2206,2.1697,NO
278,0.2003,2.955,YES
279,0.1168,2.1697,NO
280,0.0727,0.6447,NO
281,0.0714,0.6447,NO
282,0.10800000000000001,1.2495,NO
283,0.2886,1.3948,NO
284,0.1427,1.3948,NO
285,0.0855,1.2495,NO
286,0.0605,0.6447,NO
287,0.0532,0.6447,NO
288,0.1421,1.2495,NO
289,0.4397,2.8939999999999997,YES
290,0.0607,1.2495,NO
291,0.2347,2.8939999999999997,YES
292,0.2118,0.6656,NO
293,0.2048,0.6656,NO
294,0.2045,0.6656,NO
295,0.0849,0.6447,NO
296,0.1035,1.3948,NO
297,0.0824,0.6447,NO
298,0.0975,1.3948,NO
299,0.1702,0.6447,NO
300,0.1518,1.3948,NO
301,0.3372,2.8939999999999997,YES
302,0.3303,2.8939999999999997,YES
303,0.314,2.8939999999999997,YES
304,0.1257,2.8939999999999997,YES
305,0.1375,1.2495,NO
306,0.1128,2.8939999999999997,YES
307,0.099,1.2495,NO
308,0.1069,0.7737,NO
309,0.0451,0.7737,NO
310,0.5095,4.0663,YES
311,0.1431,1.6111,YES
312,0.1227,1.6111,YES
313,0.2847,4.0663,YES
314,0.2237,0.7737,NO
315,0.1065,0.7737,NO
316,0.3266,4.0663,YES
317,0.0974,1.084,NO
318,0.3289,4.0663,YES
319,0.1059,1.084,NO
320,0.2131,0.7031,NO
321,0.1496,0.7031,NO
322,0.1474,0.7031,NO
323,0.0902,0.7737,NO
324,0.0993,1.6111,YES
325,0.0875,0.7737,NO
326,0.2369,1.6111,YES
327,0.2129,0.7737,NO
328,0.1321,1.6111,YES
329,0.1271,1.084,NO
330,0.08,1.084,NO
331,0.3025,1.084,NO
332,0.12,1.084,NO
333,0.3399,4.0663,YES
334,0.2516,1.084,NO
335,0.2081,4.0663,YES
336,0.1799,0.2643,NO
337,0.1547,0.2643,NO
338,0.3595,4.7236,YES
339,0.2156,1.7847,NO
340,0.1535,1.7847,NO
341,0.4159,4.7236,YES
342,0.1827,0.2643,NO
343,0.1097,0.2643,NO
344,0.5448,4.7236,YES
345,0.191,1.0046,NO
346,0.4381,4.7236,YES
347,0.1528,1.0046,NO
348,0.3264,0.8798,NO
349,0.3203,0.8798,NO
350,0.2648,0.8798,NO
351,0.171,0.2643,NO
352,0.21899999999999997,1.7847,NO
353,0.1398,0.2643,NO
354,0.3673,1.7847,NO
355,0.1451,0.2643,NO
356,0.2637,1.7847,NO
357,0.1991,1.0046,NO
358,0.1784,1.0046,NO
359,0.3767,1.0046,NO
360,0.1917,1.0046,NO
361,0.3794,4.7236,YES
362,0.3359,1.0046,NO
363,0.2874,4.7236,YES
364,0.0798,0.7889,NO
365,0.0364,0.7889,NO
366,0.2475,4.1643,YES
367,0.2794,2.9306,YES
368,0.2232,2.9306,YES
369,0.2213,4.1643,YES
370,0.1233,0.7889,NO
371,0.0474,0.7889,NO
372,0.2799,4.1643,YES
373,0.2328,2.2917,NO
374,0.2608,4.1643,YES
375,0.1095,2.2917,NO
376,0.2365,0.8959,NO
377,0.2061,0.8959,NO
378,0.2048,0.8959,NO
379,0.0456,0.7889,NO
380,0.1795,2.9306,YES
381,0.0442,0.7889,NO
382,0.27,2.9306,YES
383,0.1224,0.7889,NO
384,0.1913,2.9306,YES
385,0.2397,2.2917,NO
386,0.2111,2.2917,NO
387,0.2935,2.2917,NO
388,0.1155,2.2917,NO
389,0.243,4.1643,YES
390,0.1959,2.2917,NO
391,0.198,4.1643,YES
392,0.1636,0.0328,NO
393,0.1646,0.0328,NO
394,0.3881,4.5017,YES
395,0.1762,1.3743,NO
396,0.1649,1.3743,NO
397,0.4197,4.5017,YES
398,0.1681,0.0328,NO
399,0.153,0.0328,NO
400,0.4738,4.5017,YES
401,0.159,0.9904,NO
402,0.493,4.5017,YES
403,0.1456,0.9904,NO
404,0.2244,0.4148,NO
405,0.1542,0.4148,NO
406,0.1277,0.4148,NO
407,0.1775,0.0328,NO
408,0.2106,1.3743,NO
409,0.1654,0.0328,NO
410,0.3557,1.3743,NO
411,0.0902,0.0328,NO
412,0.2663,1.3743,NO
413,0.2218,0.9904,NO
414,0.1764,0.9904,NO
415,0.3901,0.9904,NO
416,0.21600000000000003,0.9904,NO
417,0.402,4.5017,YES
418,0.3584,0.9904,NO
419,0.3239,4.5017,YES
420,0.0467,0.3518,NO
421,0.0184,0.3518,NO
422,0.0544,0.8999,YES
423,0.1967,1.5874,YES
424,0.1251,1.5874,YES
425,0.0526,0.8999,YES
426,0.0389,0.3518,NO
427,0.0098,0.3518,NO
428,0.1204,0.8999,YES
429,0.1152,0.4869,NO
430,0.0434,0.8999,YES
431,0.0994,0.4869,NO
432,0.171,0.573,NO
433,0.1733,0.573,NO
434,0.1785,0.573,NO
435,0.0632,0.3518,NO
436,0.1652,1.5874,YES
437,0.0614,0.3518,NO
438,0.1533,1.5874,YES
439,0.1347,0.3518,NO
440,0.1212,1.5874,YES
441,0.015,0.4869,NO
442,0.0714,0.4869,NO
443,0.0698,0.4869,NO
444,0.035,0.4869,NO
445,0.0672,0.8999,YES
446,0.0378,0.4869,NO
447,0.0637,0.8999,YES
448,0.3024,1.5273,YES
449,0.0482,1.5273,YES
450,0.3634,1.7655,NO
451,0.1548,0.7985,NO
452,0.1459,0.7985,NO
453,0.1506,1.7655,NO
454,0.2394,1.5273,YES
455,0.3693,1.5273,YES
456,0.1404,1.7655,NO
457,0.0758,0.7842,NO
458,0.1517,1.7655,NO
459,0.067,0.7842,NO
460,0.2131,0.8256,NO
461,0.16,0.8256,NO
462,0.1446,0.8256,NO
463,0.0844,1.5273,YES
464,0.095,0.7985,NO
465,0.2419,1.5273,YES
466,0.026000000000000002,0.7985,NO
467,0.2985,1.5273,YES
468,0.0377,0.7985,NO
469,0.102,0.7842,NO
470,0.0927,0.7842,NO
471,0.1259,0.7842,NO
472,0.1193,0.7842,NO
473,0.2177,1.7655,NO
474,0.15,0.7842,NO
475,0.0996,1.7655,NO
476,0.0839,0.2519,NO
477,0.0672,0.2519,NO
478,0.3068,5.1543,YES
479,0.1154,1.6071,YES
480,0.0802,1.6071,YES
481,0.3166,5.1543,YES
482,0.0868,0.2519,NO
483,0.0677,0.2519,NO
484,0.5456,5.1543,YES
485,0.0938,0.996,NO
486,0.3771,5.1543,YES
487,0.0765,0.996,NO
488,0.3042,0.9237,NO
489,0.1867,0.9237,NO
490,0.2024,0.9237,NO
491,0.084,0.2519,NO
492,0.1127,1.6071,YES
493,0.0773,0.2519,NO
494,0.3002,1.6071,YES
495,0.0821,0.2519,NO
496,0.1969,1.6071,YES
497,0.1353,0.996,NO
498,0.0942,0.996,NO
499,0.3023,0.996,NO
500,0.1177,0.996,NO
501,0.2966,5.1543,YES
502,0.2621,0.996,NO
503,0.3631,5.1543,YES
504,0.1178,0.8217,NO
505,0.0474,0.8217,NO
506,0.4277,3.6363,YES
507,0.2214,1.9636,YES
508,0.2007,1.9636,YES
509,0.2467,3.6363,YES
510,0.2192,0.8217,NO
511,0.1165,0.8217,NO
512,0.3035,3.6363,YES
513,0.1886,1.8498,NO
514,0.2922,3.6363,YES
515,0.1088,1.8498,NO
516,0.2277,0.7112,NO
517,0.1763,0.7112,NO
518,0.1744,0.7112,NO
519,0.0948,0.8217,NO
520,0.152,1.9636,YES
521,0.0882,0.8217,NO
522,0.2267,1.9636,YES
523,0.1968,0.8217,NO
524,0.1574,1.9636,YES
525,0.2134,1.8498,NO
526,0.1846,1.8498,NO
527,0.3004,1.8498,NO
528,0.1322,1.8498,NO
529,0.3039,3.6363,YES
530,0.2341,1.8498,NO
531,0.2137,3.6363,YES
532,0.1342,0.4731,NO
533,0.1099,0.4731,NO
534,0.526,3.9477,YES
535,0.1623,1.5449,YES
536,0.1996,1.5449,YES
537,0.3297,3.9477,YES
538,0.22699999999999998,0.4731,NO
539,0.1622,0.4731,NO
540,0.3372,3.9477,YES
541,0.1102,1.2173,NO
542,0.3901,3.9477,YES
543,0.1022,1.2173,NO
544,0.1483,0.3227,NO
545,0.0862,0.3227,NO
546,0.0629,0.3227,NO
547,0.2034,0.4731,NO
548,0.1682,1.5449,YES
549,0.1975,0.4731,NO
550,0.3422,1.5449,YES
551,0.1773,0.4731,NO
552,0.2514,1.5449,YES
553,0.1754,1.2173,NO
554,0.1301,1.2173,NO
555,0.3619,1.2173,NO
556,0.1715,1.2173,NO
557,0.3452,3.9477,YES
558,0.3259,1.2173,NO
559,0.258,3.9477,YES
560,0.0709,0.1086,NO
561,0.0732,0.1086,NO
562,0.3094,5.1118,YES
563,0.1091,1.5133,YES
564,0.0665,1.5133,YES
565,0.2941,5.1118,YES
566,0.0664,0.1086,NO
567,0.0556,0.1086,NO
568,0.5229,5.1118,YES
569,0.1003,0.8398,NO
570,0.3604,5.1118,YES
571,0.08800000000000001,0.8398,NO
572,0.2859,0.7901,NO
573,0.1263,0.7901,NO
574,0.1497,0.7901,NO
575,0.1047,0.1086,NO
576,0.1031,1.5133,YES
577,0.1016,0.1086,NO
578,0.3066,1.5133,YES
579,0.0639,0.1086,NO
580,0.2147,1.5133,YES
581,0.1277,0.8398,NO
582,0.0813,0.8398,NO
583,0.3135,0.8398,NO
584,0.1095,0.8398,NO
585,0.302,5.1118,YES
586,0.2369,0.8398,NO
587,0.4263,5.1118,YES
588,0.1151,0.5388,NO
589,0.0905,0.5388,NO
590,0.1028,1.5106,YES
591,0.3566,2.4913,YES
592,0.2651,2.4913,YES
593,0.1542,1.5106,YES
594,0.094,0.5388,NO
595,0.0554,0.5388,NO
596,0.2037,1.5106,YES
597,0.1971,1.135,NO
598,0.1126,1.5106,YES
599,0.1418,1.135,NO
600,0.2488,0.7144,NO
601,0.2731,0.7144,NO
602,0.2523,0.7144,NO
603,0.1698,0.5388,NO
604,0.2266,2.4913,YES
605,0.1648,0.5388,NO
606,0.2745,2.4913,YES
607,0.1508,0.5388,NO
608,0.2653,2.4913,YES
609,0.1206,1.135,NO
610,0.1613,1.135,NO
611,0.1611,1.135,NO
612,0.1018,1.135,NO
613,0.152,1.5106,YES
614,0.1186,1.135,NO
615,0.1207,1.5106,YES
616,0.1201,0.3232,NO
617,0.10300000000000001,0.3232,NO
618,0.254,3.0667,YES
619,0.3285,3.3769,YES
620,0.3624,3.3769,YES
621,0.2593,3.0667,YES
622,0.0981,0.3232,NO
623,0.0792,0.3232,NO
624,0.2917,3.0667,YES
625,0.1836,1.0805,NO
626,0.3039,3.0667,YES
627,0.1342,1.0805,NO
628,0.1448,0.2185,NO
629,0.1036,0.2185,NO
630,0.0702,0.2185,NO
631,0.1825,0.3232,NO
632,0.2937,3.3769,YES
633,0.1772,0.3232,NO
634,0.5728,3.3769,YES
635,0.0892,0.3232,NO
636,0.4594,3.3769,YES
637,0.1677,1.0805,NO
638,0.1461,1.0805,NO
639,0.2985,1.0805,NO
640,0.1348,1.0805,NO
641,0.2479,3.0667,YES
642,0.2298,1.0805,NO
643,0.2345,3.0667,YES
644,0.08900000000000001,0.5775,NO
645,0.0394,0.5775,NO
646,0.1381,1.7098,NO
647,0.2108,1.0763,NO
648,0.0676,1.0763,NO
649,0.0957,1.7098,NO
650,0.0963,0.5775,NO
651,0.0435,0.5775,NO
652,0.2592,1.7098,NO
653,0.1291,0.5087,NO
654,0.0785,1.7098,NO
655,0.1052,0.5087,NO
656,0.4225,1.4859,YES
657,0.3368,1.4859,YES
658,0.3938,1.4859,YES
659,0.0766,0.5775,NO
660,0.0711,1.0763,NO
661,0.0797,0.5775,NO
662,0.0531,1.0763,NO
663,0.1551,0.5775,NO
664,0.077,1.0763,NO
665,0.0463,0.5087,NO
666,0.0745,0.5087,NO
667,0.1014,0.5087,NO
668,0.0541,0.5087,NO
669,0.1685,1.7098,NO
670,0.0541,0.5087,NO
671,0.2105,1.7098,NO
672,0.1239,1.3002,YES
673,0.289,1.3002,YES
674,0.2752,0.9275,NO
675,0.1653,0.7695,NO
676,0.0814,0.7695,NO
677,0.0623,0.9275,NO
678,0.32899999999999996,1.3002,YES
679,0.1249,1.3002,YES
680,0.0968,0.9275,NO
681,0.1519,0.6299,NO
682,0.0533,0.9275,NO
683,0.1784,0.6299,NO
684,0.1661,0.5029,NO
685,0.1504,0.5029,NO
686,0.1562,0.5029,NO
687,0.3075,1.3002,YES
688,0.0597,0.7695,NO
689,0.1815,1.3002,YES
690,0.0336,0.7695,NO
691,0.3735,1.3002,YES
692,0.0877,0.7695,NO
693,0.1163,0.6299,NO
694,0.0418,0.6299,NO
695,0.1354,0.6299,NO
696,0.0948,0.6299,NO
697,0.1407,0.9275,NO
698,0.0821,0.6299,NO
699,0.0894,0.9275,NO
700,0.0416,0.4476,NO
701,0.0131,0.4476,NO
702,0.1203,2.6928,YES
703,0.2886,3.4987,YES
704,0.2879,3.4987,YES
705,0.1294,2.6928,YES
706,0.0498,0.4476,NO
707,0.0139,0.4476,NO
708,0.1999,2.6928,YES
709,0.1109,0.6942,NO
710,0.1389,2.6928,YES
711,0.0996,0.6942,NO
712,0.1977,0.7499,NO
713,0.1726,0.7499,NO
714,0.1805,0.7499,NO
715,0.0204,0.4476,NO
716,0.2123,3.4987,YES
717,0.0198,0.4476,NO
718,0.3536,3.4987,YES
719,0.1039,0.4476,NO
720,0.2827,3.4987,YES
721,0.0426,0.6942,NO
722,0.0387,0.6942,NO
723,0.1228,0.6942,NO
724,0.0373,0.6942,NO
725,0.1359,2.6928,YES
726,0.0808,0.6942,NO
727,0.1119,2.6928,YES
728,0.3458,1.8556,YES
729,0.0264,1.8556,YES
730,0.3473,1.4474,NO
731,0.1555,0.833,NO
732,0.0906,0.833,NO
733,0.107,1.4474,NO
734,0.226,1.8556,YES
735,0.4184,1.8556,YES
736,0.1111,1.4474,NO
737,0.1017,0.6588,NO
738,0.09699999999999999,1.4474,NO
739,0.1058,0.6588,NO
740,0.1741,0.6,NO
741,0.1373,0.6,NO
742,0.132,0.6,NO
743,0.1138,1.8556,YES
744,0.0766,0.833,NO
745,0.3242,1.8556,YES
746,0.0297,0.833,NO
747,0.3407,1.8556,YES
748,0.0387,0.833,NO
749,0.0621,0.6588,NO
750,0.076,0.6588,NO
751,0.1266,0.6588,NO
752,0.0726,0.6588,NO
753,0.192,1.4474,NO
754,0.1128,0.6588,NO
755,0.0813,1.4474,NO
756,0.1238,0.7162,NO
757,0.0659,0.7162,NO
758,0.0991,1.311,NO
759,0.2168,1.1262,NO
760,0.0941,1.1262,NO
761,0.1226,1.311,NO
762,0.0797,0.7162,NO
763,0.0869,0.7162,NO
764,0.1921,1.311,NO
765,0.2119,1.3867,YES
766,0.0845,1.311,NO
767,0.1963,1.3867,YES
768,0.24100000000000002,0.7178,NO
769,0.263,0.7178,NO
770,0.2504,0.7178,NO
771,0.1414,0.7162,NO
772,0.0983,1.1262,NO
773,0.1658,0.7162,NO
774,0.1333,1.1262,NO
775,0.2072,0.7162,NO
776,0.1519,1.1262,NO
777,0.1227,1.3867,YES
778,0.1324,1.3867,YES
779,0.1581,1.3867,YES
780,0.1927,1.3867,YES
781,0.1378,1.311,NO
782,0.09699999999999999,1.3867,YES
783,0.11900000000000001,1.311,NO
784,0.3612,1.9078,YES
785,0.0488,1.9078,YES
786,0.2823,0.861,NO
787,0.1584,0.742,NO
788,0.065,0.742,NO
789,0.0678,0.861,NO
790,0.1652,1.9078,YES
791,0.4499,1.9078,YES
792,0.0947,0.861,NO
793,0.1079,0.5124,NO
794,0.0645,0.861,NO
795,0.1095,0.5124,NO
796,0.1665,0.46299999999999997,NO
797,0.1472,0.46299999999999997,NO
798,0.1463,0.46299999999999997,NO
799,0.1261,1.9078,YES
800,0.0528,0.742,NO
801,0.3791,1.9078,YES
802,0.0329,0.742,NO
803,0.3577,1.9078,YES
804,0.062,0.742,NO
805,0.0477,0.5124,NO
806,0.0457,0.5124,NO
807,0.1274,0.5124,NO
808,0.0681,0.5124,NO
809,0.1427,0.861,NO
810,0.0804,0.5124,NO
811,0.0769,0.861,NO
812,0.1422,0.9603,NO
813,0.0613,0.9603,NO
814,0.1484,1.8288,NO
815,0.1778,1.075,NO
816,0.1025,1.075,NO
817,0.1545,1.8288,NO
818,0.1529,0.9603,NO
819,0.1098,0.9603,NO
820,0.1753,1.8288,NO
821,0.1807,1.5121,YES
822,0.134,1.8288,NO
823,0.2818,1.5121,YES
824,0.2438,0.7306,NO
825,0.2385,0.7306,NO
826,0.2176,0.7306,NO
827,0.0807,0.9603,NO
828,0.0972,1.075,NO
829,0.0862,0.9603,NO
830,0.0815,1.075,NO
831,0.2286,0.9603,NO
832,0.0804,1.075,NO
833,0.0972,1.5121,YES
834,0.105,1.5121,YES
835,0.1237,1.5121,YES
836,0.2731,1.5121,YES
837,0.1937,1.8288,NO
838,0.1151,1.5121,YES
839,0.1052,1.8288,NO
