,DIRECT_NA_NA_VSM,NONETRACED_MEDIAN_RAW_LSA,Associated
162,0.3612,0.8652214891611688,YES
163,0.2791,0.5110744580584354,YES
164,0.2894,0.7728557964184732,YES
165,0.2226,0.8016022620169652,NO
166,0.1753,0.9288407163053723,YES
167,0.0979,0.5080113100848257,NO
168,0.0985,0.6069745523091423,NO
169,0.0774,0.6048539114043355,NO
170,0.1069,0.4670122525918945,YES
171,0.3647,0.3737040527803959,YES
172,0.2531,0.4571159283694628,YES
173,0.1331,0.6941564561734214,YES
174,0.0885,0.6569274269557022,NO
175,0.0604,0.3675777568331762,NO
176,0.2068,0.3942035815268615,YES
177,0.2598,0.40056550424128173,NO
178,0.106,0.6446748350612629,YES
179,0.1459,0.3852497643732328,NO
180,0.2252,0.4455702167766259,NO
181,0.2571,0.614043355325165,NO
182,0.2375,0.3866635249764373,NO
183,0.1453,0.4425070688030161,NO
184,0.2245,0.6182846371347785,YES
185,0.141,0.3814797360980208,NO
186,0.2623,0.2655513666352498,YES
187,0.142,0.23562676720075404,NO
188,0.2555,0.4505183788878418,YES
189,0.2049,0.4901036757775684,NO
190,0.2206,0.6046182846371347,NO
191,0.2228,0.4015080113100848,NO
192,0.1032,0.5711592836946278,NO
193,0.1461,0.5984919886899152,YES
194,0.1116,0.6750706880301603,NO
195,0.1326,0.37841658812441104,YES
196,0.1415,0.8091423185673893,NO
197,0.0745,0.7615457115928369,NO
198,0.2381,0.6298303487276155,NO
199,0.19,0.5442978322337417,NO
200,0.1547,0.6057964184731386,NO
201,0.1997,0.9547596606974552,NO
202,0.1653,0.8807728557964185,NO
203,0.1536,0.5673892554194157,NO
204,0.1999,0.6079170593779454,NO
205,0.1989,0.4038642789820924,YES
206,0.2045,0.8461357210179077,NO
207,0.2447,0.4858623939679548,YES
208,0.2519,0.647502356267672,NO
209,0.2036,0.7957115928369463,NO
210,0.2033,0.5395852968897268,NO
211,0.0533,0.5617342130065975,NO
212,0.105,0.8741753063147973,NO
213,0.055999999999999994,0.5956644674835062,NO
214,0.1113,0.2827521206409049,NO
215,0.2256,0.3308199811498586,NO
216,0.0989,0.5923656927426956,NO
217,0.1879,0.5991988689915175,YES
218,0.1445,0.7926484448633366,YES
219,0.1901,0.5202639019792649,YES
220,0.3108,0.7424599434495759,YES
221,0.2405,0.8755890669180019,NO
222,0.1657,0.933081998114986,YES
223,0.1331,0.529688972667295,NO
224,0.0949,0.44792648444863337,NO
225,0.1339,0.452167766258247,NO
226,0.22399999999999998,0.3089066918001885,NO
227,0.1967,0.4191800188501414,NO
228,0.1436,0.42247879359095203,NO
229,0.2079,0.5084825636192272,NO
230,0.1339,0.4882186616399624,NO
231,0.0967,0.22808671065032995,NO
232,0.2198,0.2417530631479736,NO
233,0.3428,0.30042412818096137,YES
234,0.2344,0.4359095193213949,NO
235,0.1736,0.2862865221489161,YES
236,0.1331,0.27073515551366634,NO
237,0.0735,0.4580584354382658,NO
238,0.0647,0.291234684260132,NO
239,0.204,0.3376531573986805,NO
240,0.1327,0.5235626767200754,NO
241,0.1655,0.29877474081055605,NO
242,0.31,0.2071159283694628,NO
243,0.1309,0.12629594721960413,NO
244,0.2819,0.4344957587181904,NO
245,0.4042,0.4010367577756834,YES
246,0.3296,0.543119698397738,YES
247,0.4941,0.3322337417530632,YES
248,0.1783,0.4175306314797361,YES
249,0.193,0.4625353440150801,NO
250,0.2673,0.5442978322337417,YES
251,0.1726,0.21913289349670126,NO
252,0.1439,0.9128180961357212,NO
253,0.0769,0.7818096135721018,NO
254,0.1953,0.6173421300659755,NO
255,0.2342,0.6196983977379831,NO
256,0.2047,0.6894439208294063,NO
257,0.1823,0.9613572101790764,NO
258,0.1684,0.9005655042412818,NO
259,0.1204,0.5794062205466541,NO
260,0.1751,0.5702167766258247,NO
261,0.3579,0.4773798303487277,YES
262,0.1828,0.8496701225259191,NO
263,0.2083,0.5080113100848257,YES
264,0.2252,0.5874175306314798,NO
265,0.2041,0.8178605089538172,NO
266,0.2007,0.57186616399623,NO
267,0.0498,0.5862393967954761,NO
268,0.1415,0.9872761545711594,NO
269,0.0515,0.6734213006597549,NO
270,0.1207,0.2945334590009425,NO
271,0.1912,0.3459000942507069,NO
272,0.14,0.5772855796418473,NO
273,0.4038,0.7148916116870877,YES
274,0.3494,0.8996229971724788,YES
275,0.2799,0.467483506126296,YES
276,0.2675,0.8298774740810557,YES
277,0.2206,0.8006597549481621,NO
278,0.2003,0.9481621112158342,YES
279,0.1168,0.5070688030160226,NO
280,0.0727,0.7115928369462771,NO
281,0.0714,0.7153628652214893,NO
282,0.10800000000000001,0.5334590009425071,NO
283,0.2886,0.3951460885956645,NO
284,0.1427,0.6611687087653157,NO
285,0.0855,0.7403393025447692,NO
286,0.0605,0.7759189443920831,NO
287,0.0532,0.4307257304429784,NO
288,0.1421,0.3901979264844486,NO
289,0.4397,0.44415645617342137,YES
290,0.0607,0.6670593779453347,NO
291,0.2347,0.4175306314797361,YES
292,0.2118,0.5073044297832234,NO
293,0.2048,0.7094721960414704,NO
294,0.2045,0.4528746465598492,NO
295,0.0849,0.5122525918944393,NO
296,0.1035,0.8011310084825637,NO
297,0.0824,0.5127238454288408,NO
298,0.0975,0.2092365692742696,NO
299,0.1702,0.2525918944392083,NO
300,0.1518,0.5344015080113101,NO
301,0.3372,0.6168708765315741,YES
302,0.3303,0.6776625824693686,YES
303,0.314,0.4528746465598492,YES
304,0.1257,0.671536286522149,YES
305,0.1375,0.6672950047125353,NO
306,0.1128,0.7961828463713478,YES
307,0.099,0.3984448633364751,NO
308,0.1069,0.6885014137606033,NO
309,0.0451,0.6451460885956645,NO
310,0.5095,0.4931668237511782,YES
311,0.1431,0.3374175306314798,YES
312,0.1227,0.4660697455230914,YES
313,0.2847,0.7351555136663526,YES
314,0.2237,0.682139491046183,NO
315,0.1065,0.5098963242224317,NO
316,0.3266,0.4648916116870877,YES
317,0.0974,0.3477851083883129,NO
318,0.3289,0.6413760603204525,YES
319,0.1059,0.3831291234684261,NO
320,0.2131,0.4929311969839774,NO
321,0.1496,0.6159283694627711,NO
322,0.1474,0.4151743638077286,NO
323,0.0902,0.4778510838831291,NO
324,0.0993,0.6437323279924599,YES
325,0.0875,0.4604147031102733,NO
326,0.2369,0.1564561734213007,YES
327,0.2129,0.2537700282752121,NO
328,0.1321,0.43967954759660705,YES
329,0.1271,0.4710179076343073,NO
330,0.08,0.5777568331762489,NO
331,0.3025,0.39915174363807737,NO
332,0.12,0.6135721017907635,NO
333,0.3399,0.6710650329877474,YES
334,0.2516,0.6778982092365693,NO
335,0.2081,0.41093308199811496,YES
336,0.1799,0.630301602262017,NO
337,0.1547,0.6347785108388314,NO
338,0.3595,0.3475494816211122,YES
339,0.2156,0.32092365692742697,NO
340,0.1535,0.4717247879359096,NO
341,0.4159,0.6286522148916118,YES
342,0.1827,0.614043355325165,NO
343,0.1097,0.4241281809613573,NO
344,0.5448,0.3451932139491047,YES
345,0.191,0.3854853911404336,NO
346,0.4381,0.6020263901979265,YES
347,0.1528,0.40669180018850143,NO
348,0.3264,0.4747879359095194,NO
349,0.3203,0.5857681432610744,NO
350,0.2648,0.39231856738925547,NO
351,0.171,0.42742695570216777,NO
352,0.21899999999999997,0.6262959472196042,NO
353,0.1398,0.4085768143261074,NO
354,0.3673,0.18850141376060325,NO
355,0.1451,0.2514137606032046,NO
356,0.2637,0.3934967012252592,NO
357,0.1991,0.4187087653157399,NO
358,0.1784,0.5282752120640906,NO
359,0.3767,0.2954759660697456,NO
360,0.1917,0.6804901036757776,NO
361,0.3794,0.5772855796418473,YES
362,0.3359,0.633129123468426,NO
363,0.2874,0.3133836003770029,YES
364,0.0798,0.7935909519321395,NO
365,0.0364,0.751885014137606,NO
366,0.2475,0.6008482563619227,YES
367,0.2794,0.5636192271442036,YES
368,0.2232,0.7068803016022621,YES
369,0.2213,0.8713477851083884,YES
370,0.1233,0.8204524033930255,NO
371,0.0474,0.5951932139491046,NO
372,0.2799,0.5214420358152686,YES
373,0.2328,0.4580584354382658,NO
374,0.2608,0.7233741753063148,YES
375,0.1095,0.4835061262959473,NO
376,0.2365,0.6333647502356268,NO
377,0.2061,0.7891140433553253,NO
378,0.2048,0.5579641847313855,NO
379,0.0456,0.5959000942507069,NO
380,0.1795,0.8444863336475024,YES
381,0.0442,0.6006126295947221,NO
382,0.27,0.31196983977379833,YES
383,0.1224,0.3110273327049953,NO
384,0.1913,0.6305372290292177,YES
385,0.2397,0.6804901036757776,NO
386,0.2111,0.7978322337417532,NO
387,0.2935,0.5937794533459001,NO
388,0.1155,0.7160697455230914,NO
389,0.243,0.8223374175306316,YES
390,0.1959,0.8562676720075401,NO
391,0.198,0.5,YES
392,0.1636,0.4806786050895382,NO
393,0.1646,0.44156456173421293,NO
394,0.3881,0.29877474081055605,YES
395,0.1762,0.2636663524976437,NO
396,0.1649,0.33930254476908583,NO
397,0.4197,0.5494816211121584,YES
398,0.1681,0.5240339302544771,NO
399,0.153,0.3145617342130066,NO
400,0.4738,0.2813383600377003,YES
401,0.159,0.2879359095193214,NO
402,0.493,0.5282752120640906,YES
403,0.1456,0.32469368520263897,NO
404,0.2244,0.3428369462770971,NO
405,0.1542,0.4561734213006599,NO
406,0.1277,0.3522620169651273,NO
407,0.1775,0.35273327049952874,NO
408,0.2106,0.5098963242224317,NO
409,0.1654,0.2846371347785109,NO
410,0.3557,0.12865221489161172,NO
411,0.0902,0.18732327992459946,NO
412,0.2663,0.308435438265787,NO
413,0.2218,0.3131479736098021,NO
414,0.1764,0.36192271442035817,NO
415,0.3901,0.22384542884071634,NO
416,0.21600000000000003,0.4665409990574929,NO
417,0.402,0.4651272384542885,YES
418,0.3584,0.6187558906691801,NO
419,0.3239,0.20311027332704998,YES
420,0.0467,0.3204524033930255,NO
421,0.0184,0.38878416588124415,NO
422,0.0544,0.2700282752120641,YES
423,0.1967,0.2568331762488219,YES
424,0.1251,0.27568331762488224,YES
425,0.0526,0.4608859566446748,YES
426,0.0389,0.4123468426013195,NO
427,0.0098,0.22054665409990576,NO
428,0.1204,0.22172478793590955,YES
429,0.1152,0.24057492931196986,NO
430,0.0434,0.3899622997172479,YES
431,0.0994,0.2172478793590952,NO
432,0.171,0.3096135721017908,NO
433,0.1733,0.3261074458058436,NO
434,0.1785,0.2563619227144204,NO
435,0.0632,0.3070216776625825,NO
436,0.1652,0.35273327049952874,YES
437,0.0614,0.22596606974552316,NO
438,0.1533,0.16941564561734213,YES
439,0.1347,0.08812441093308197,NO
440,0.1212,0.3039585296889727,YES
441,0.015,0.3206880301602262,NO
442,0.0714,0.3543826578699341,NO
443,0.0698,0.25589066918001885,NO
444,0.035,0.3317624882186617,NO
445,0.0672,0.3666352497643733,YES
446,0.0378,0.4003298774740811,NO
447,0.0637,0.2467012252591895,YES
448,0.3024,0.2822808671065033,YES
449,0.0482,0.25777568331762485,YES
450,0.3634,0.2196041470311028,NO
451,0.1548,0.17389255419415645,NO
452,0.1459,0.2092365692742696,NO
453,0.1506,0.3385956644674836,NO
454,0.2394,0.2973609802073516,YES
455,0.3693,0.2200754005655043,YES
456,0.1404,0.1767200754005655,NO
457,0.0758,0.1065032987747408,NO
458,0.1517,0.3171536286522149,NO
459,0.067,0.13030160226201698,NO
460,0.2131,0.21630537229029215,NO
461,0.16,0.2262016965127239,NO
462,0.1446,0.1814326107445806,NO
463,0.0844,0.20546654099905756,YES
464,0.095,0.3270499528746465,NO
465,0.2419,0.19368520263901984,YES
466,0.026000000000000002,0.11969839773798305,NO
467,0.2985,0.08576814326107447,YES
468,0.0377,0.1993402450518379,NO
469,0.102,0.20735155513666356,NO
470,0.0927,0.2829877474081056,NO
471,0.1259,0.1649387370405278,NO
472,0.1193,0.2554194156456173,NO
473,0.2177,0.2975966069745524,NO
474,0.15,0.3180961357210179,NO
475,0.0996,0.1776625824693685,NO
476,0.0839,0.6347785108388314,NO
477,0.0672,0.6578699340245052,NO
478,0.3068,0.3402450518378888,YES
479,0.1154,0.3791234684260133,YES
480,0.0802,0.4820923656927427,YES
481,0.3166,0.6267672007540057,YES
482,0.0868,0.6477379830348728,NO
483,0.0677,0.4363807728557965,NO
484,0.5456,0.3970311027332705,YES
485,0.0938,0.4147031102733271,NO
486,0.3771,0.5914231856738926,YES
487,0.0765,0.44816211121583416,NO
488,0.3042,0.457822808671065,NO
489,0.1867,0.5537229029217718,NO
490,0.2024,0.4213006597549482,NO
491,0.084,0.4566446748350613,NO
492,0.1127,0.5883600377002829,YES
493,0.0773,0.4038642789820924,NO
494,0.3002,0.1875589066918002,YES
495,0.0821,0.2507068803016023,NO
496,0.1969,0.3951460885956645,YES
497,0.1353,0.4750235626767201,NO
498,0.0942,0.6345428840716305,NO
499,0.3023,0.348727615457116,NO
500,0.1177,0.5822337417530631,NO
501,0.2966,0.5763430725730443,YES
502,0.2621,0.6606974552309142,NO
503,0.3631,0.3836003770028275,YES
504,0.1178,0.7452874646559849,NO
505,0.0474,0.7163053722902922,NO
506,0.4277,0.5325164938737041,YES
507,0.2214,0.36804901036757776,YES
508,0.2007,0.5490103675777568,YES
509,0.2467,0.8190386427898209,YES
510,0.2192,0.7891140433553253,NO
511,0.1165,0.5424128180961357,NO
512,0.3035,0.509660697455231,YES
513,0.1886,0.38454288407163056,NO
514,0.2922,0.7370405278039586,YES
515,0.1088,0.4594721960414704,NO
516,0.2277,0.5572573044297832,NO
517,0.1763,0.6936852026390198,NO
518,0.1744,0.5009425070688031,NO
519,0.0948,0.5193213949104619,NO
520,0.152,0.7219604147031103,YES
521,0.0882,0.5073044297832234,NO
522,0.2267,0.249057492931197,YES
523,0.1968,0.28204524033930256,NO
524,0.1574,0.4858623939679548,YES
525,0.2134,0.5263901979264844,NO
526,0.1846,0.6178133836003771,NO
527,0.3004,0.4257775683317625,NO
528,0.1322,0.7514137606032046,NO
529,0.3039,0.7379830348727616,YES
530,0.2341,0.7353911404335532,NO
531,0.2137,0.4705466540999058,YES
532,0.1342,0.36427898209236576,NO
533,0.1099,0.4144674835061263,NO
534,0.526,0.3463713477851084,YES
535,0.1623,0.2309142318567389,YES
536,0.1996,0.2917059377945335,YES
537,0.3297,0.4406220546654101,YES
538,0.22699999999999998,0.4394439208294062,NO
539,0.1622,0.25589066918001885,NO
540,0.3372,0.2200754005655043,YES
541,0.1102,0.2233741753063148,NO
542,0.3901,0.4189443920829407,YES
543,0.1022,0.2789820923656928,NO
544,0.1483,0.27097078228086713,NO
545,0.0862,0.3951460885956645,NO
546,0.0629,0.29406220546654105,NO
547,0.2034,0.3152686145146089,NO
548,0.1682,0.39066918001885015,YES
549,0.1975,0.2846371347785109,NO
550,0.3422,0.11451460885956645,YES
551,0.1773,0.1434967012252592,NO
552,0.2514,0.2874646559849199,YES
553,0.1754,0.2643732327992461,NO
554,0.1301,0.35768143261074464,NO
555,0.3619,0.2860508953817154,NO
556,0.1715,0.3694627709707824,NO
557,0.3452,0.4436852026390199,YES
558,0.3259,0.4326107445805844,NO
559,0.258,0.20640904806786053,YES
560,0.0709,0.5136663524976437,NO
561,0.0732,0.5511310084825636,NO
562,0.3094,0.2886427898209237,YES
563,0.1091,0.28510838831291235,YES
564,0.0665,0.3885485391140434,YES
565,0.2941,0.5438265786993403,YES
566,0.0664,0.5483034872761546,NO
567,0.0556,0.3470782280867107,NO
568,0.5229,0.29901036757775684,YES
569,0.1003,0.3308199811498586,NO
570,0.3604,0.5409990574929313,YES
571,0.08800000000000001,0.32304429783223376,NO
572,0.2859,0.3847785108388313,NO
573,0.1263,0.4434495758718191,NO
574,0.1497,0.36003770028275217,NO
575,0.1047,0.3859566446748351,NO
576,0.1031,0.4976437323279924,YES
577,0.1016,0.33930254476908583,NO
578,0.3066,0.11592836946277098,YES
579,0.0639,0.19557021677662584,NO
580,0.2147,0.3268143261074459,YES
581,0.1277,0.4161168708765316,NO
582,0.0813,0.499057492931197,NO
583,0.3135,0.2290292177191329,NO
584,0.1095,0.4915174363807728,NO
585,0.302,0.4868049010367578,YES
586,0.2369,0.5640904806786051,NO
587,0.4263,0.3049010367577757,YES
588,0.1151,0.6328934967012253,NO
589,0.0905,0.647502356267672,NO
590,0.1028,0.4547596606974552,YES
591,0.3566,0.38218661639962304,YES
592,0.2651,0.4766729500471254,YES
593,0.1542,0.7733270499528746,YES
594,0.094,0.6489161168708766,NO
595,0.0554,0.3751178133836004,NO
596,0.2037,0.3270499528746465,YES
597,0.1971,0.4043355325164939,NO
598,0.1126,0.6870876531573987,YES
599,0.1418,0.3708765315739868,NO
600,0.2488,0.4995287464655985,NO
601,0.2731,0.5841187558906692,NO
602,0.2523,0.3979736098020736,NO
603,0.1698,0.4010367577756834,NO
604,0.2266,0.6109802073515552,YES
605,0.1648,0.37582469368520266,NO
606,0.2745,0.2799245994344958,YES
607,0.1508,0.22808671065032995,NO
608,0.2653,0.4868049010367578,YES
609,0.1206,0.5346371347785108,NO
610,0.1613,0.5702167766258247,NO
611,0.1611,0.4227144203581527,NO
612,0.1018,0.6159283694627711,NO
613,0.152,0.6357210179076342,YES
614,0.1186,0.7485862393967955,NO
615,0.1207,0.35344015080113106,YES
616,0.1201,0.4811498586239398,NO
617,0.10300000000000001,0.4114043355325165,NO
618,0.254,0.3213949104618285,YES
619,0.3285,0.31008482563619233,YES
620,0.3624,0.35108388312912353,YES
621,0.2593,0.5532516493873705,YES
622,0.0981,0.4806786050895382,NO
623,0.0792,0.29688972667295005,NO
624,0.2917,0.1866163996229972,YES
625,0.1836,0.2153628652214892,NO
626,0.3039,0.4712535344015081,YES
627,0.1342,0.26248821866164,NO
628,0.1448,0.2434024505183789,NO
629,0.1036,0.3909048067860509,NO
630,0.0702,0.2598963242224317,NO
631,0.1825,0.3188030160226202,NO
632,0.2937,0.4721960414703111,YES
633,0.1772,0.3143261074458059,NO
634,0.5728,0.1691800188501414,YES
635,0.0892,0.14797360980207352,NO
636,0.4594,0.33930254476908583,YES
637,0.1677,0.34660697455230915,NO
638,0.1461,0.4321394910461829,NO
639,0.2985,0.2841658812441093,NO
640,0.1348,0.4222431668237512,NO
641,0.2479,0.4988218661639962,YES
642,0.2298,0.5157869934024506,NO
643,0.2345,0.14278982092365694,YES
644,0.08900000000000001,0.5951932139491046,NO
645,0.0394,0.5657398680490104,NO
646,0.1381,0.4434495758718191,NO
647,0.2108,0.3727615457115929,NO
648,0.0676,0.4594721960414704,NO
649,0.0957,0.6632893496701227,NO
650,0.0963,0.647502356267672,NO
651,0.0435,0.38454288407163056,NO
652,0.2592,0.4476908576814326,NO
653,0.1291,0.3336475023562677,NO
654,0.0785,0.5954288407163054,NO
655,0.1052,0.38124410933082,NO
656,0.4225,0.4844486333647503,YES
657,0.3368,0.614985862393968,YES
658,0.3938,0.4078699340245052,YES
659,0.0766,0.42813383600377,NO
660,0.0711,0.6797832233741754,NO
661,0.0797,0.4147031102733271,NO
662,0.0531,0.2207822808671065,NO
663,0.1551,0.2587181903864279,NO
664,0.077,0.4566446748350613,NO
665,0.0463,0.4639491046182847,NO
666,0.0745,0.5911875589066918,NO
667,0.1014,0.3894910461828464,NO
668,0.0541,0.4957587181903864,NO
669,0.1685,0.6171065032987748,NO
670,0.0541,0.6710650329877474,NO
671,0.2105,0.4085768143261074,NO
672,0.1239,0.2782752120640905,YES
673,0.289,0.30937794533459007,YES
674,0.2752,0.1748350612629595,NO
675,0.1653,0.1649387370405278,NO
676,0.0814,0.260603204524034,NO
677,0.0623,0.3503770028275212,NO
678,0.32899999999999996,0.34000942507068804,YES
679,0.1249,0.1804901036757776,YES
680,0.0968,0.09189443920829406,NO
681,0.1519,0.14703110273327052,NO
682,0.0533,0.289349670122526,NO
683,0.1784,0.15362865221489164,NO
684,0.1661,0.1927426955702168,NO
685,0.1504,0.2563619227144204,NO
686,0.1562,0.2210179076343073,NO
687,0.3075,0.2170122525918945,YES
688,0.0597,0.3461357210179076,NO
689,0.1815,0.15174363807728558,YES
690,0.0336,0.1112158341187559,NO
691,0.3735,0.07021677662582469,YES
692,0.0877,0.2292648444863337,NO
693,0.1163,0.247172478793591,NO
694,0.0418,0.26248821866164,NO
695,0.1354,0.16211121583411875,NO
696,0.0948,0.2813383600377003,NO
697,0.1407,0.289349670122526,NO
698,0.0821,0.3364750235626767,NO
699,0.0894,0.09707822808671067,NO
700,0.0416,0.5730442978322339,NO
701,0.0131,0.6147502356267672,NO
702,0.1203,0.4592365692742696,YES
703,0.2886,0.470311027332705,YES
704,0.2879,0.5735155513666352,YES
705,0.1294,0.7401036757775683,YES
706,0.0498,0.7507068803016023,NO
707,0.0139,0.42978322337417535,NO
708,0.1999,0.33930254476908583,YES
709,0.1109,0.41328934967012254,NO
710,0.1389,0.6057964184731386,YES
711,0.0996,0.39278982092365705,NO
712,0.1977,0.4151743638077286,NO
713,0.1726,0.6635249764373233,NO
714,0.1805,0.42318567389255424,NO
715,0.0204,0.4387370405278039,NO
716,0.2123,0.7172478793590952,YES
717,0.0198,0.3298774740810557,NO
718,0.3536,0.2478793590951933,YES
719,0.1039,0.2742695570216777,NO
720,0.2827,0.5065975494816212,YES
721,0.0426,0.5367577756833176,NO
722,0.0387,0.6548067860508955,NO
723,0.1228,0.4045711592836947,NO
724,0.0373,0.6050895381715363,NO
725,0.1359,0.6550424128180962,YES
726,0.0808,0.7148916116870877,NO
727,0.1119,0.36192271442035817,YES
728,0.3458,0.2196041470311028,YES
729,0.0264,0.23044297832233746,YES
730,0.3473,0.18284637134778514,NO
731,0.1555,0.18873704052780396,NO
732,0.0906,0.21866163996229976,NO
