,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_SINGLE_VSM,Associated
88,0.1507,1.6673,NO
89,0.1441,3.2328,NO
90,0.3435,2.1222,YES
91,0.1243,2.1222,YES
92,0.1731,3.2328,NO
93,0.0952,1.452,NO
94,0.1364,3.2328,NO
95,0.0887,1.452,NO
96,0.2289,1.4397,NO
97,0.2088,1.4397,NO
98,0.2075,1.4397,NO
99,0.1923,2.1222,YES
100,0.0927,1.6673,NO
101,0.0821,2.1222,YES
102,0.0311,1.6673,NO
103,0.3081,2.1222,YES
104,0.0406,1.6673,NO
105,0.1251,1.452,NO
106,0.091,1.452,NO
107,0.11800000000000001,1.452,NO
108,0.1053,1.452,NO
109,0.2201,3.2328,NO
110,0.1351,1.452,NO
111,0.1328,3.2328,NO
112,0.0724,0.2953,NO
113,0.0244,0.2953,NO
114,0.1404,2.7304,YES
115,0.3348,4.3232,YES
116,0.2937,4.3232,YES
117,0.14300000000000002,2.7304,YES
118,0.0826,0.2953,NO
119,0.013000000000000001,0.2953,NO
120,0.2103,2.7304,YES
121,0.1395,0.3439,NO
122,0.1325,2.7304,YES
123,0.1443,0.3439,NO
124,0.2165,0.7081,NO
125,0.1934,0.7081,NO
126,0.1934,0.7081,NO
127,0.0572,0.2953,NO
128,0.2318,4.3232,YES
129,0.0556,0.2953,NO
130,0.3609,4.3232,YES
131,0.1417,0.2953,NO
132,0.255,4.3232,YES
133,0.0522,0.3439,NO
134,0.0677,0.3439,NO
135,0.1439,0.3439,NO
136,0.0494,0.3439,NO
137,0.1715,2.7304,YES
138,0.0964,0.3439,NO
139,0.1343,2.7304,YES
140,0.1544,0.6884,NO
141,0.0732,0.6884,NO
142,0.1975,1.4287,NO
143,0.2582,1.048,NO
144,0.1977,1.048,NO
145,0.1701,1.4287,NO
146,0.1684,0.6884,NO
147,0.1225,0.6884,NO
148,0.1458,1.4287,NO
149,0.4028,3.2605,YES
150,0.1577,1.4287,NO
151,0.2904,3.2605,YES
152,0.1987,0.4976,NO
153,0.1756,0.4976,NO
154,0.1689,0.4976,NO
155,0.054000000000000006,0.6884,NO
156,0.1469,1.048,NO
157,0.0547,0.6884,NO
158,0.1082,1.048,NO
159,0.2019,0.6884,NO
160,0.1293,1.048,NO
161,0.3897,3.2605,YES
162,0.3612,3.2605,YES
163,0.2791,3.2605,YES
164,0.2894,3.2605,YES
165,0.2226,1.4287,NO
166,0.1753,3.2605,YES
167,0.0979,1.4287,NO
168,0.0985,0.2299,NO
169,0.0774,0.2299,NO
170,0.1069,1.5181,YES
171,0.3647,3.858,YES
172,0.2531,3.858,YES
173,0.1331,1.5181,YES
174,0.0885,0.2299,NO
175,0.0604,0.2299,NO
176,0.2068,1.5181,YES
177,0.2598,2.1831,NO
178,0.106,1.5181,YES
179,0.1459,2.1831,NO
180,0.2252,0.8351,NO
181,0.2571,0.8351,NO
182,0.2375,0.8351,NO
183,0.1453,0.2299,NO
184,0.2245,3.858,YES
185,0.141,0.2299,NO
186,0.2623,3.858,YES
187,0.142,0.2299,NO
188,0.2555,3.858,YES
189,0.2049,2.1831,NO
190,0.2206,2.1831,NO
191,0.2228,2.1831,NO
192,0.1032,2.1831,NO
193,0.1461,1.5181,YES
194,0.1116,2.1831,NO
195,0.1326,1.5181,YES
196,0.1415,0.6336,NO
197,0.0745,0.6336,NO
198,0.2381,2.0569,NO
199,0.19,0.723,NO
200,0.1547,0.723,NO
201,0.1997,2.0569,NO
202,0.1653,0.6336,NO
203,0.1536,0.6336,NO
204,0.1999,2.0569,NO
205,0.1989,2.1914,YES
206,0.2045,2.0569,NO
207,0.2447,2.1914,YES
208,0.2519,0.8305,NO
209,0.2036,0.8305,NO
210,0.2033,0.8305,NO
211,0.0533,0.6336,NO
212,0.105,0.723,NO
213,0.055999999999999994,0.6336,NO
214,0.1113,0.723,NO
215,0.2256,0.6336,NO
216,0.0989,0.723,NO
217,0.1879,2.1914,YES
218,0.1445,2.1914,YES
219,0.1901,2.1914,YES
220,0.3108,2.1914,YES
221,0.2405,2.0569,NO
222,0.1657,2.1914,YES
223,0.1331,2.0569,NO
224,0.0949,0.3642,NO
225,0.1339,0.3642,NO
226,0.22399999999999998,2.491,NO
227,0.1967,1.2565,NO
228,0.1436,1.2565,NO
229,0.2079,2.491,NO
230,0.1339,0.3642,NO
231,0.0967,0.3642,NO
232,0.2198,2.491,NO
233,0.3428,3.0958,YES
234,0.2344,2.491,NO
235,0.1736,3.0958,YES
236,0.1331,0.0932,NO
237,0.0735,0.0932,NO
238,0.0647,0.0932,NO
239,0.204,0.3642,NO
240,0.1327,1.2565,NO
241,0.1655,0.3642,NO
242,0.31,1.2565,NO
243,0.1309,0.3642,NO
244,0.2819,1.2565,NO
245,0.4042,3.0958,YES
246,0.3296,3.0958,YES
247,0.4941,3.0958,YES
248,0.1783,3.0958,YES
249,0.193,2.491,NO
250,0.2673,3.0958,YES
251,0.1726,2.491,NO
252,0.1439,0.4852,NO
253,0.0769,0.4852,NO
254,0.1953,1.4922,NO
255,0.2342,0.9111,NO
256,0.2047,0.9111,NO
257,0.1823,1.4922,NO
258,0.1684,0.4852,NO
259,0.1204,0.4852,NO
260,0.1751,1.4922,NO
261,0.3579,3.142,YES
262,0.1828,1.4922,NO
263,0.2083,3.142,YES
264,0.2252,0.5595,NO
265,0.2041,0.5595,NO
266,0.2007,0.5595,NO
267,0.0498,0.4852,NO
268,0.1415,0.9111,NO
269,0.0515,0.4852,NO
270,0.1207,0.9111,NO
271,0.1912,0.4852,NO
272,0.14,0.9111,NO
273,0.4038,3.142,YES
274,0.3494,3.142,YES
275,0.2799,3.142,YES
276,0.2675,3.142,YES
277,0.2206,1.4922,NO
278,0.2003,3.142,YES
279,0.1168,1.4922,NO
280,0.0727,0.397,NO
281,0.0714,0.397,NO
282,0.10800000000000001,0.6249,NO
283,0.2886,1.0411,NO
284,0.1427,1.0411,NO
285,0.0855,0.6249,NO
286,0.0605,0.397,NO
287,0.0532,0.397,NO
288,0.1421,0.6249,NO
289,0.4397,2.9388,YES
290,0.0607,0.6249,NO
291,0.2347,2.9388,YES
292,0.2118,0.5439,NO
293,0.2048,0.5439,NO
294,0.2045,0.5439,NO
295,0.0849,0.397,NO
296,0.1035,1.0411,NO
297,0.0824,0.397,NO
298,0.0975,1.0411,NO
299,0.1702,0.397,NO
300,0.1518,1.0411,NO
301,0.3372,2.9388,YES
302,0.3303,2.9388,YES
303,0.314,2.9388,YES
304,0.1257,2.9388,YES
305,0.1375,0.6249,NO
306,0.1128,2.9388,YES
307,0.099,0.6249,NO
308,0.1069,0.5687,NO
309,0.0451,0.5687,NO
310,0.5095,5.6788,YES
311,0.1431,1.5667,YES
312,0.1227,1.5667,YES
313,0.2847,5.6788,YES
314,0.2237,0.5687,NO
315,0.1065,0.5687,NO
316,0.3266,5.6788,YES
317,0.0974,0.8590000000000001,NO
318,0.3289,5.6788,YES
319,0.1059,0.8590000000000001,NO
320,0.2131,0.7398,NO
321,0.1496,0.7398,NO
322,0.1474,0.7398,NO
323,0.0902,0.5687,NO
324,0.0993,1.5667,YES
325,0.0875,0.5687,NO
326,0.2369,1.5667,YES
327,0.2129,0.5687,NO
328,0.1321,1.5667,YES
329,0.1271,0.8590000000000001,NO
330,0.08,0.8590000000000001,NO
331,0.3025,0.8590000000000001,NO
332,0.12,0.8590000000000001,NO
333,0.3399,5.6788,YES
334,0.2516,0.8590000000000001,NO
335,0.2081,5.6788,YES
336,0.1799,0.0393,NO
337,0.1547,0.0393,NO
338,0.3595,5.0674,YES
339,0.2156,1.694,NO
340,0.1535,1.694,NO
341,0.4159,5.0674,YES
342,0.1827,0.0393,NO
343,0.1097,0.0393,NO
344,0.5448,5.0674,YES
345,0.191,0.8425,NO
346,0.4381,5.0674,YES
347,0.1528,0.8425,NO
348,0.3264,0.8787,NO
349,0.3203,0.8787,NO
350,0.2648,0.8787,NO
351,0.171,0.0393,NO
352,0.21899999999999997,1.694,NO
353,0.1398,0.0393,NO
354,0.3673,1.694,NO
355,0.1451,0.0393,NO
356,0.2637,1.694,NO
357,0.1991,0.8425,NO
358,0.1784,0.8425,NO
359,0.3767,0.8425,NO
360,0.1917,0.8425,NO
361,0.3794,5.0674,YES
362,0.3359,0.8425,NO
363,0.2874,5.0674,YES
364,0.0798,0.2015,NO
365,0.0364,0.2015,NO
366,0.2475,5.7010000000000005,YES
367,0.2794,3.9733,YES
368,0.2232,3.9733,YES
369,0.2213,5.7010000000000005,YES
370,0.1233,0.2015,NO
371,0.0474,0.2015,NO
372,0.2799,5.7010000000000005,YES
373,0.2328,3.0595,NO
374,0.2608,5.7010000000000005,YES
375,0.1095,3.0595,NO
376,0.2365,0.9671,NO
377,0.2061,0.9671,NO
378,0.2048,0.9671,NO
379,0.0456,0.2015,NO
380,0.1795,3.9733,YES
381,0.0442,0.2015,NO
382,0.27,3.9733,YES
383,0.1224,0.2015,NO
384,0.1913,3.9733,YES
385,0.2397,3.0595,NO
386,0.2111,3.0595,NO
387,0.2935,3.0595,NO
388,0.1155,3.0595,NO
389,0.243,5.7010000000000005,YES
390,0.1959,3.0595,NO
391,0.198,5.7010000000000005,YES
392,0.1636,0.0273,NO
393,0.1646,0.0273,NO
394,0.3881,5.2563,YES
395,0.1762,1.5939,NO
396,0.1649,1.5939,NO
397,0.4197,5.2563,YES
398,0.1681,0.0273,NO
399,0.153,0.0273,NO
400,0.4738,5.2563,YES
401,0.159,1.1472,NO
402,0.493,5.2563,YES
403,0.1456,1.1472,NO
404,0.2244,0.4792,NO
405,0.1542,0.4792,NO
406,0.1277,0.4792,NO
407,0.1775,0.0273,NO
408,0.2106,1.5939,NO
409,0.1654,0.0273,NO
410,0.3557,1.5939,NO
411,0.0902,0.0273,NO
412,0.2663,1.5939,NO
413,0.2218,1.1472,NO
414,0.1764,1.1472,NO
415,0.3901,1.1472,NO
416,0.21600000000000003,1.1472,NO
417,0.402,5.2563,YES
418,0.3584,1.1472,NO
419,0.3239,5.2563,YES
420,0.0467,0.6504,NO
421,0.0184,0.6504,NO
422,0.0544,1.7647,YES
423,0.1967,4.2047,YES
424,0.1251,4.2047,YES
425,0.0526,1.7647,YES
426,0.0389,0.6504,NO
427,0.0098,0.6504,NO
428,0.1204,1.7647,YES
429,0.1152,0.9232,NO
430,0.0434,1.7647,YES
431,0.0994,0.9232,NO
432,0.171,1.4887,NO
433,0.1733,1.4887,NO
434,0.1785,1.4887,NO
435,0.0632,0.6504,NO
436,0.1652,4.2047,YES
437,0.0614,0.6504,NO
438,0.1533,4.2047,YES
439,0.1347,0.6504,NO
440,0.1212,4.2047,YES
441,0.015,0.9232,NO
442,0.0714,0.9232,NO
443,0.0698,0.9232,NO
444,0.035,0.9232,NO
445,0.0672,1.7647,YES
446,0.0378,0.9232,NO
447,0.0637,1.7647,YES
448,0.3024,2.2559,YES
449,0.0482,2.2559,YES
450,0.3634,2.5511,NO
451,0.1548,1.1246,NO
452,0.1459,1.1246,NO
453,0.1506,2.5511,NO
454,0.2394,2.2559,YES
455,0.3693,2.2559,YES
456,0.1404,2.5511,NO
457,0.0758,1.1191,NO
458,0.1517,2.5511,NO
459,0.067,1.1191,NO
460,0.2131,1.2133,NO
461,0.16,1.2133,NO
462,0.1446,1.2133,NO
463,0.0844,2.2559,YES
464,0.095,1.1246,NO
465,0.2419,2.2559,YES
466,0.026000000000000002,1.1246,NO
467,0.2985,2.2559,YES
468,0.0377,1.1246,NO
469,0.102,1.1191,NO
470,0.0927,1.1191,NO
471,0.1259,1.1191,NO
472,0.1193,1.1191,NO
473,0.2177,2.5511,NO
474,0.15,1.1191,NO
475,0.0996,2.5511,NO
476,0.0839,0.0184,NO
477,0.0672,0.0184,NO
478,0.3068,5.5756,YES
479,0.1154,1.4691,YES
480,0.0802,1.4691,YES
481,0.3166,5.5756,YES
482,0.0868,0.0184,NO
483,0.0677,0.0184,NO
484,0.5456,5.5756,YES
485,0.0938,0.8244,NO
486,0.3771,5.5756,YES
487,0.0765,0.8244,NO
488,0.3042,0.9279,NO
489,0.1867,0.9279,NO
490,0.2024,0.9279,NO
491,0.084,0.0184,NO
492,0.1127,1.4691,YES
493,0.0773,0.0184,NO
494,0.3002,1.4691,YES
495,0.0821,0.0184,NO
496,0.1969,1.4691,YES
497,0.1353,0.8244,NO
498,0.0942,0.8244,NO
499,0.3023,0.8244,NO
500,0.1177,0.8244,NO
501,0.2966,5.5756,YES
502,0.2621,0.8244,NO
503,0.3631,5.5756,YES
504,0.1178,0.2475,NO
505,0.0474,0.2475,NO
506,0.4277,4.9031,YES
507,0.2214,1.9072,YES
508,0.2007,1.9072,YES
509,0.2467,4.9031,YES
510,0.2192,0.2475,NO
511,0.1165,0.2475,NO
512,0.3035,4.9031,YES
513,0.1886,2.2279,NO
514,0.2922,4.9031,YES
515,0.1088,2.2279,NO
516,0.2277,0.5761,NO
517,0.1763,0.5761,NO
518,0.1744,0.5761,NO
519,0.0948,0.2475,NO
520,0.152,1.9072,YES
521,0.0882,0.2475,NO
522,0.2267,1.9072,YES
523,0.1968,0.2475,NO
524,0.1574,1.9072,YES
525,0.2134,2.2279,NO
526,0.1846,2.2279,NO
527,0.3004,2.2279,NO
528,0.1322,2.2279,NO
529,0.3039,4.9031,YES
530,0.2341,2.2279,NO
531,0.2137,4.9031,YES
532,0.1342,0.2416,NO
533,0.1099,0.2416,NO
534,0.526,5.1486,YES
535,0.1623,1.6222,YES
536,0.1996,1.6222,YES
537,0.3297,5.1486,YES
538,0.22699999999999998,0.2416,NO
539,0.1622,0.2416,NO
540,0.3372,5.1486,YES
541,0.1102,1.2676,NO
542,0.3901,5.1486,YES
543,0.1022,1.2676,NO
544,0.1483,0.1728,NO
545,0.0862,0.1728,NO
546,0.0629,0.1728,NO
547,0.2034,0.2416,NO
548,0.1682,1.6222,YES
549,0.1975,0.2416,NO
550,0.3422,1.6222,YES
551,0.1773,0.2416,NO
552,0.2514,1.6222,YES
553,0.1754,1.2676,NO
554,0.1301,1.2676,NO
555,0.3619,1.2676,NO
556,0.1715,1.2676,NO
557,0.3452,5.1486,YES
558,0.3259,1.2676,NO
559,0.258,5.1486,YES
560,0.0709,0.0094,NO
561,0.0732,0.0094,NO
562,0.3094,5.2377,YES
563,0.1091,1.4461,YES
564,0.0665,1.4461,YES
565,0.2941,5.2377,YES
566,0.0664,0.0094,NO
567,0.0556,0.0094,NO
568,0.5229,5.2377,YES
569,0.1003,0.7586,NO
570,0.3604,5.2377,YES
571,0.08800000000000001,0.7586,NO
572,0.2859,0.7769,NO
573,0.1263,0.7769,NO
574,0.1497,0.7769,NO
575,0.1047,0.0094,NO
576,0.1031,1.4461,YES
577,0.1016,0.0094,NO
578,0.3066,1.4461,YES
579,0.0639,0.0094,NO
580,0.2147,1.4461,YES
581,0.1277,0.7586,NO
582,0.0813,0.7586,NO
583,0.3135,0.7586,NO
584,0.1095,0.7586,NO
585,0.302,5.2377,YES
586,0.2369,0.7586,NO
587,0.4263,5.2377,YES
588,0.1151,0.3168,NO
589,0.0905,0.3168,NO
590,0.1028,1.2837,YES
591,0.3566,3.9484,YES
592,0.2651,3.9484,YES
593,0.1542,1.2837,YES
594,0.094,0.3168,NO
595,0.0554,0.3168,NO
596,0.2037,1.2837,YES
597,0.1971,1.3168,NO
598,0.1126,1.2837,YES
599,0.1418,1.3168,NO
600,0.2488,0.9737,NO
601,0.2731,0.9737,NO
602,0.2523,0.9737,NO
603,0.1698,0.3168,NO
604,0.2266,3.9484,YES
605,0.1648,0.3168,NO
606,0.2745,3.9484,YES
607,0.1508,0.3168,NO
608,0.2653,3.9484,YES
609,0.1206,1.3168,NO
610,0.1613,1.3168,NO
611,0.1611,1.3168,NO
612,0.1018,1.3168,NO
613,0.152,1.2837,YES
614,0.1186,1.3168,NO
615,0.1207,1.2837,YES
616,0.1201,0.2035,NO
617,0.10300000000000001,0.2035,NO
618,0.254,3.5827,YES
619,0.3285,4.1537,YES
620,0.3624,4.1537,YES
621,0.2593,3.5827,YES
622,0.0981,0.2035,NO
623,0.0792,0.2035,NO
624,0.2917,3.5827,YES
625,0.1836,1.1443,NO
626,0.3039,3.5827,YES
627,0.1342,1.1443,NO
628,0.1448,0.1397,NO
629,0.1036,0.1397,NO
630,0.0702,0.1397,NO
631,0.1825,0.2035,NO
632,0.2937,4.1537,YES
633,0.1772,0.2035,NO
634,0.5728,4.1537,YES
635,0.0892,0.2035,NO
636,0.4594,4.1537,YES
637,0.1677,1.1443,NO
638,0.1461,1.1443,NO
639,0.2985,1.1443,NO
640,0.1348,1.1443,NO
641,0.2479,3.5827,YES
642,0.2298,1.1443,NO
643,0.2345,3.5827,YES
644,0.08900000000000001,0.7508,NO
645,0.0394,0.7508,NO
646,0.1381,2.2232,NO
647,0.2108,1.3995,NO
648,0.0676,1.3995,NO
649,0.0957,2.2232,NO
650,0.0963,0.7508,NO
651,0.0435,0.7508,NO
652,0.2592,2.2232,NO
653,0.1291,0.6615,NO
654,0.0785,2.2232,NO
655,0.1052,0.6615,NO
656,0.4225,1.932,YES
657,0.3368,1.932,YES
658,0.3938,1.932,YES
659,0.0766,0.7508,NO
660,0.0711,1.3995,NO
661,0.0797,0.7508,NO
662,0.0531,1.3995,NO
663,0.1551,0.7508,NO
664,0.077,1.3995,NO
665,0.0463,0.6615,NO
666,0.0745,0.6615,NO
667,0.1014,0.6615,NO
668,0.0541,0.6615,NO
669,0.1685,2.2232,NO
670,0.0541,0.6615,NO
671,0.2105,2.2232,NO
672,0.1239,1.7983,YES
673,0.289,1.7983,YES
674,0.2752,0.8499,NO
675,0.1653,0.777,NO
676,0.0814,0.777,NO
677,0.0623,0.8499,NO
678,0.32899999999999996,1.7983,YES
679,0.1249,1.7983,YES
680,0.0968,0.8499,NO
681,0.1519,0.6442,NO
682,0.0533,0.8499,NO
683,0.1784,0.6442,NO
684,0.1661,0.6207,NO
685,0.1504,0.6207,NO
686,0.1562,0.6207,NO
687,0.3075,1.7983,YES
688,0.0597,0.777,NO
689,0.1815,1.7983,YES
690,0.0336,0.777,NO
691,0.3735,1.7983,YES
692,0.0877,0.777,NO
693,0.1163,0.6442,NO
694,0.0418,0.6442,NO
695,0.1354,0.6442,NO
696,0.0948,0.6442,NO
697,0.1407,0.8499,NO
698,0.0821,0.6442,NO
699,0.0894,0.8499,NO
700,0.0416,0.1505,NO
701,0.0131,0.1505,NO
702,0.1203,2.8861,YES
703,0.2886,4.4838,YES
704,0.2879,4.4838,YES
705,0.1294,2.8861,YES
706,0.0498,0.1505,NO
707,0.0139,0.1505,NO
708,0.1999,2.8861,YES
709,0.1109,0.3505,NO
710,0.1389,2.8861,YES
711,0.0996,0.3505,NO
712,0.1977,0.7946,NO
713,0.1726,0.7946,NO
714,0.1805,0.7946,NO
715,0.0204,0.1505,NO
716,0.2123,4.4838,YES
717,0.0198,0.1505,NO
718,0.3536,4.4838,YES
719,0.1039,0.1505,NO
720,0.2827,4.4838,YES
721,0.0426,0.3505,NO
722,0.0387,0.3505,NO
723,0.1228,0.3505,NO
724,0.0373,0.3505,NO
725,0.1359,2.8861,YES
726,0.0808,0.3505,NO
727,0.1119,2.8861,YES
728,0.3458,2.29,YES
729,0.0264,2.29,YES
730,0.3473,1.5187,NO
731,0.1555,0.8183,NO
732,0.0906,0.8183,NO
733,0.107,1.5187,NO
734,0.226,2.29,YES
735,0.4184,2.29,YES
736,0.1111,1.5187,NO
737,0.1017,0.6444,NO
738,0.09699999999999999,1.5187,NO
739,0.1058,0.6444,NO
740,0.1741,0.6813,NO
741,0.1373,0.6813,NO
742,0.132,0.6813,NO
743,0.1138,2.29,YES
744,0.0766,0.8183,NO
745,0.3242,2.29,YES
746,0.0297,0.8183,NO
747,0.3407,2.29,YES
748,0.0387,0.8183,NO
749,0.0621,0.6444,NO
750,0.076,0.6444,NO
751,0.1266,0.6444,NO
752,0.0726,0.6444,NO
753,0.192,1.5187,NO
754,0.1128,0.6444,NO
755,0.0813,1.5187,NO
756,0.1238,0.6927,NO
757,0.0659,0.6927,NO
758,0.0991,0.6484,NO
759,0.2168,0.973,NO
760,0.0941,0.973,NO
761,0.1226,0.6484,NO
762,0.0797,0.6927,NO
763,0.0869,0.6927,NO
764,0.1921,0.6484,NO
765,0.2119,2.0839,YES
766,0.0845,0.6484,NO
767,0.1963,2.0839,YES
768,0.24100000000000002,1.1076,NO
769,0.263,1.1076,NO
770,0.2504,1.1076,NO
771,0.1414,0.6927,NO
772,0.0983,0.973,NO
773,0.1658,0.6927,NO
774,0.1333,0.973,NO
775,0.2072,0.6927,NO
776,0.1519,0.973,NO
777,0.1227,2.0839,YES
778,0.1324,2.0839,YES
779,0.1581,2.0839,YES
780,0.1927,2.0839,YES
781,0.1378,0.6484,NO
782,0.09699999999999999,2.0839,YES
783,0.11900000000000001,0.6484,NO
784,0.3612,2.315,YES
785,0.0488,2.315,YES
786,0.2823,0.8618,NO
787,0.1584,0.7762,NO
788,0.065,0.7762,NO
789,0.0678,0.8618,NO
790,0.1652,2.315,YES
791,0.4499,2.315,YES
792,0.0947,0.8618,NO
793,0.1079,0.5181,NO
794,0.0645,0.8618,NO
795,0.1095,0.5181,NO
796,0.1665,0.5206,NO
797,0.1472,0.5206,NO
798,0.1463,0.5206,NO
799,0.1261,2.315,YES
800,0.0528,0.7762,NO
801,0.3791,2.315,YES
802,0.0329,0.7762,NO
803,0.3577,2.315,YES
804,0.062,0.7762,NO
805,0.0477,0.5181,NO
806,0.0457,0.5181,NO
807,0.1274,0.5181,NO
808,0.0681,0.5181,NO
809,0.1427,0.8618,NO
810,0.0804,0.5181,NO
811,0.0769,0.8618,NO
812,0.1422,0.9487,NO
813,0.0613,0.9487,NO
814,0.1484,1.4704,NO
815,0.1778,0.6329,NO
816,0.1025,0.6329,NO
817,0.1545,1.4704,NO
818,0.1529,0.9487,NO
819,0.1098,0.9487,NO
820,0.1753,1.4704,NO
821,0.1807,1.6828,YES
822,0.134,1.4704,NO
823,0.2818,1.6828,YES
824,0.2438,0.7956,NO
825,0.2385,0.7956,NO
826,0.2176,0.7956,NO
827,0.0807,0.9487,NO
828,0.0972,0.6329,NO
829,0.0862,0.9487,NO
830,0.0815,0.6329,NO
831,0.2286,0.9487,NO
832,0.0804,0.6329,NO
833,0.0972,1.6828,YES
834,0.105,1.6828,YES
835,0.1237,1.6828,YES
836,0.2731,1.6828,YES
837,0.1937,1.4704,NO
838,0.1151,1.6828,YES
839,0.1052,1.4704,NO
