,DIRECT_NA_NA_VSM,UPPERTRACED_SUM_RAW_VSM,Associated
90,0.3435,0.6497,YES
91,0.1243,0.6998,YES
92,0.1731,0.1996,NO
93,0.0952,0.2431,NO
94,0.1364,0.1638,NO
95,0.0887,0.1917,NO
96,0.2289,0.2802,NO
97,0.2088,0.4677,NO
98,0.2075,0.1315,NO
99,0.1923,0.6449,YES
100,0.0927,0.3149,NO
101,0.0821,0.963,YES
102,0.0311,0.155,NO
103,0.3081,0.779,YES
104,0.0406,0.2256,NO
105,0.1251,0.1832,NO
106,0.091,0.3421,NO
107,0.11800000000000001,0.2088,NO
108,0.1053,0.1697,NO
109,0.2201,0.3553,NO
110,0.1351,0.2879,NO
111,0.1328,0.2037,NO
112,0.0724,0.6586,NO
113,0.0244,0.23600000000000002,NO
114,0.1404,0.7365,YES
115,0.3348,1.4553,YES
116,0.2937,1.2802,YES
117,0.14300000000000002,0.9255,YES
118,0.0826,0.6747,NO
119,0.013000000000000001,0.2041,NO
120,0.2103,0.8053,YES
121,0.1395,0.6137,NO
122,0.1325,0.6384,YES
123,0.1443,0.3915,NO
124,0.2165,0.5925,NO
125,0.1934,0.8355,NO
126,0.1934,0.3213,NO
127,0.0572,0.3724,NO
128,0.2318,1.2748,YES
129,0.0556,0.3544,NO
130,0.3609,1.4934,YES
131,0.1417,0.3394,NO
132,0.255,1.3609,YES
133,0.0522,0.5192,NO
134,0.0677,0.8882,NO
135,0.1439,0.7947,NO
136,0.0494,0.3894,NO
137,0.1715,0.8236,YES
138,0.0964,0.753,NO
139,0.1343,0.6101,YES
140,0.1544,0.6173,NO
141,0.0732,0.21,NO
142,0.1975,0.6053,NO
143,0.2582,0.8473,NO
144,0.1977,0.5523,NO
145,0.1701,0.7529,NO
146,0.1684,0.6441,NO
147,0.1225,0.2424,NO
148,0.1458,0.5653,NO
149,0.4028,1.3632,YES
150,0.1577,0.5039,NO
151,0.2904,0.7357,YES
152,0.1987,0.4838,NO
153,0.1756,0.6990000000000001,NO
154,0.1689,0.141,NO
155,0.054000000000000006,0.4065,NO
156,0.1469,0.7209,NO
157,0.0547,0.3947,NO
158,0.1082,0.5254,NO
159,0.2019,0.2246,NO
160,0.1293,0.6442,NO
161,0.3897,1.1571,YES
162,0.3612,1.4897,YES
163,0.2791,1.2146,YES
164,0.2894,0.6809999999999999,YES
165,0.2226,0.619,NO
166,0.1753,0.9318,YES
167,0.0979,0.4713,NO
168,0.0985,0.6586,NO
169,0.0774,0.23600000000000002,NO
170,0.1069,0.7365,YES
171,0.3647,1.4553,YES
172,0.2531,1.2802,YES
173,0.1331,0.9255,YES
174,0.0885,0.6747,NO
175,0.0604,0.2041,NO
176,0.2068,0.8053,YES
177,0.2598,0.6137,NO
178,0.106,0.6384,YES
179,0.1459,0.3915,NO
180,0.2252,0.5925,NO
181,0.2571,0.8355,NO
182,0.2375,0.3213,NO
183,0.1453,0.3724,NO
184,0.2245,1.2748,YES
185,0.141,0.3544,NO
186,0.2623,1.4934,YES
187,0.142,0.3394,NO
188,0.2555,1.3609,YES
189,0.2049,0.5192,NO
190,0.2206,0.8882,NO
191,0.2228,0.7947,NO
192,0.1032,0.3894,NO
193,0.1461,0.8236,YES
194,0.1116,0.753,NO
195,0.1326,0.6101,YES
196,0.1415,0.6173,NO
197,0.0745,0.21,NO
198,0.2381,0.6053,NO
199,0.19,0.8473,NO
200,0.1547,0.5523,NO
201,0.1997,0.7529,NO
202,0.1653,0.6441,NO
203,0.1536,0.2424,NO
204,0.1999,0.5653,NO
205,0.1989,1.3632,YES
206,0.2045,0.5039,NO
207,0.2447,0.7357,YES
208,0.2519,0.4838,NO
209,0.2036,0.6990000000000001,NO
210,0.2033,0.141,NO
211,0.0533,0.4065,NO
212,0.105,0.7209,NO
213,0.055999999999999994,0.3947,NO
214,0.1113,0.5254,NO
215,0.2256,0.2246,NO
216,0.0989,0.6442,NO
217,0.1879,1.1571,YES
218,0.1445,1.4897,YES
219,0.1901,1.2146,YES
220,0.3108,0.6809999999999999,YES
221,0.2405,0.619,NO
222,0.1657,0.9318,YES
223,0.1331,0.4713,NO
224,0.0949,0.6173,NO
225,0.1339,0.21,NO
226,0.22399999999999998,0.6053,NO
227,0.1967,0.8473,NO
228,0.1436,0.5523,NO
229,0.2079,0.7529,NO
230,0.1339,0.6441,NO
231,0.0967,0.2424,NO
232,0.2198,0.5653,NO
233,0.3428,1.3632,YES
234,0.2344,0.5039,NO
235,0.1736,0.7357,YES
236,0.1331,0.4838,NO
237,0.0735,0.6990000000000001,NO
238,0.0647,0.141,NO
239,0.204,0.4065,NO
240,0.1327,0.7209,NO
241,0.1655,0.3947,NO
242,0.31,0.5254,NO
243,0.1309,0.2246,NO
244,0.2819,0.6442,NO
245,0.4042,1.1571,YES
246,0.3296,1.4897,YES
247,0.4941,1.2146,YES
248,0.1783,0.6809999999999999,YES
249,0.193,0.619,NO
250,0.2673,0.9318,YES
251,0.1726,0.4713,NO
252,0.1439,0.6173,NO
253,0.0769,0.21,NO
254,0.1953,0.6053,NO
255,0.2342,0.8473,NO
256,0.2047,0.5523,NO
257,0.1823,0.7529,NO
258,0.1684,0.6441,NO
259,0.1204,0.2424,NO
260,0.1751,0.5653,NO
261,0.3579,1.3632,YES
262,0.1828,0.5039,NO
263,0.2083,0.7357,YES
264,0.2252,0.4838,NO
265,0.2041,0.6990000000000001,NO
266,0.2007,0.141,NO
267,0.0498,0.4065,NO
268,0.1415,0.7209,NO
269,0.0515,0.3947,NO
270,0.1207,0.5254,NO
271,0.1912,0.2246,NO
272,0.14,0.6442,NO
273,0.4038,1.1571,YES
274,0.3494,1.4897,YES
275,0.2799,1.2146,YES
276,0.2675,0.6809999999999999,YES
277,0.2206,0.619,NO
278,0.2003,0.9318,YES
279,0.1168,0.4713,NO
280,0.0727,0.6173,NO
281,0.0714,0.21,NO
282,0.10800000000000001,0.6053,NO
283,0.2886,0.8473,NO
284,0.1427,0.5523,NO
285,0.0855,0.7529,NO
286,0.0605,0.6441,NO
287,0.0532,0.2424,NO
288,0.1421,0.5653,NO
289,0.4397,1.3632,YES
290,0.0607,0.5039,NO
291,0.2347,0.7357,YES
292,0.2118,0.4838,NO
293,0.2048,0.6990000000000001,NO
294,0.2045,0.141,NO
295,0.0849,0.4065,NO
296,0.1035,0.7209,NO
297,0.0824,0.3947,NO
298,0.0975,0.5254,NO
299,0.1702,0.2246,NO
300,0.1518,0.6442,NO
301,0.3372,1.1571,YES
302,0.3303,1.4897,YES
303,0.314,1.2146,YES
304,0.1257,0.6809999999999999,YES
305,0.1375,0.619,NO
306,0.1128,0.9318,YES
307,0.099,0.4713,NO
308,0.1069,1.0666,NO
309,0.0451,0.4624,NO
310,0.5095,1.8048,YES
311,0.1431,1.0682,YES
312,0.1227,0.9028,YES
313,0.2847,2.3147,YES
314,0.2237,1.2029,NO
315,0.1065,0.4474,NO
316,0.3266,2.3372,YES
317,0.0974,0.6917,NO
318,0.3289,1.841,YES
319,0.1059,0.528,NO
320,0.2131,1.2881,NO
321,0.1496,1.2738,NO
322,0.1474,0.5214,NO
323,0.0902,0.6246,NO
324,0.0993,1.2447,YES
325,0.0875,0.573,NO
326,0.2369,1.5526,YES
327,0.2129,0.6657,NO
328,0.1321,1.1683,YES
329,0.1271,0.8516,NO
330,0.08,1.0872,NO
331,0.3025,1.6442,NO
332,0.12,0.7792,NO
333,0.3399,2.004,YES
334,0.2516,1.6959,NO
335,0.2081,1.713,YES
336,0.1799,0.3441,NO
337,0.1547,0.1572,NO
338,0.3595,0.4128,YES
339,0.2156,0.2714,NO
340,0.1535,0.2257,NO
341,0.4159,0.7391,YES
342,0.1827,0.3822,NO
343,0.1097,0.1403,NO
344,0.5448,0.8472,YES
345,0.191,0.2243,NO
346,0.4381,0.5069,YES
347,0.1528,0.1707,NO
348,0.3264,0.4248,NO
349,0.3203,0.4364,NO
350,0.2648,0.1868,NO
351,0.171,0.184,NO
352,0.21899999999999997,0.3854,NO
353,0.1398,0.1478,NO
354,0.3673,0.3632,NO
355,0.1451,0.124,NO
356,0.2637,0.3267,NO
357,0.1991,0.2393,NO
358,0.1784,0.3378,NO
359,0.3767,0.4208,NO
360,0.1917,0.2316,NO
361,0.3794,0.5892,YES
362,0.3359,0.4942,NO
363,0.2874,0.5509,YES
364,0.0798,0.6586,NO
365,0.0364,0.23600000000000002,NO
366,0.2475,0.7365,YES
367,0.2794,1.4553,YES
368,0.2232,1.2802,YES
369,0.2213,0.9255,YES
370,0.1233,0.6747,NO
371,0.0474,0.2041,NO
372,0.2799,0.8053,YES
373,0.2328,0.6137,NO
374,0.2608,0.6384,YES
375,0.1095,0.3915,NO
376,0.2365,0.5925,NO
377,0.2061,0.8355,NO
378,0.2048,0.3213,NO
379,0.0456,0.3724,NO
380,0.1795,1.2748,YES
381,0.0442,0.3544,NO
382,0.27,1.4934,YES
383,0.1224,0.3394,NO
384,0.1913,1.3609,YES
385,0.2397,0.5192,NO
386,0.2111,0.8882,NO
387,0.2935,0.7947,NO
388,0.1155,0.3894,NO
389,0.243,0.8236,YES
390,0.1959,0.753,NO
391,0.198,0.6101,YES
392,0.1636,0.2895,NO
393,0.1646,0.1484,NO
394,0.3881,0.5385,YES
395,0.1762,0.2518,NO
396,0.1649,0.2296,NO
397,0.4197,0.5893,YES
398,0.1681,0.3128,NO
399,0.153,0.1396,NO
400,0.4738,0.7406,YES
401,0.159,0.1625,NO
402,0.493,0.6137,YES
403,0.1456,0.1381,NO
404,0.2244,0.4536,NO
405,0.1542,0.3397,NO
406,0.1277,0.1892,NO
407,0.1775,0.1255,NO
408,0.2106,0.312,NO
409,0.1654,0.1218,NO
410,0.3557,0.4622,NO
411,0.0902,0.1229,NO
412,0.2663,0.3117,NO
413,0.2218,0.2417,NO
414,0.1764,0.2614,NO
415,0.3901,0.494,NO
416,0.21600000000000003,0.2367,NO
417,0.402,0.5161,YES
418,0.3584,0.4849,NO
419,0.3239,0.5993,YES
420,0.0467,0.6586,NO
421,0.0184,0.23600000000000002,NO
422,0.0544,0.7365,YES
423,0.1967,1.4553,YES
424,0.1251,1.2802,YES
425,0.0526,0.9255,YES
426,0.0389,0.6747,NO
427,0.0098,0.2041,NO
428,0.1204,0.8053,YES
429,0.1152,0.6137,NO
430,0.0434,0.6384,YES
431,0.0994,0.3915,NO
432,0.171,0.5925,NO
433,0.1733,0.8355,NO
434,0.1785,0.3213,NO
435,0.0632,0.3724,NO
436,0.1652,1.2748,YES
437,0.0614,0.3544,NO
438,0.1533,1.4934,YES
439,0.1347,0.3394,NO
440,0.1212,1.3609,YES
441,0.015,0.5192,NO
442,0.0714,0.8882,NO
443,0.0698,0.7947,NO
444,0.035,0.3894,NO
445,0.0672,0.8236,YES
446,0.0378,0.753,NO
447,0.0637,0.6101,YES
448,0.3024,0.9949,YES
449,0.0482,0.2614,YES
450,0.3634,0.4344,NO
451,0.1548,0.3455,NO
452,0.1459,0.2075,NO
453,0.1506,0.3165,NO
454,0.2394,0.6497,YES
455,0.3693,0.6998,YES
456,0.1404,0.1996,NO
457,0.0758,0.2431,NO
458,0.1517,0.1638,NO
459,0.067,0.1917,NO
460,0.2131,0.2802,NO
461,0.16,0.4677,NO
462,0.1446,0.1315,NO
463,0.0844,0.6449,YES
464,0.095,0.3149,NO
465,0.2419,0.963,YES
466,0.026000000000000002,0.155,NO
467,0.2985,0.779,YES
468,0.0377,0.2256,NO
469,0.102,0.1832,NO
470,0.0927,0.3421,NO
471,0.1259,0.2088,NO
472,0.1193,0.1697,NO
473,0.2177,0.3553,NO
474,0.15,0.2879,NO
475,0.0996,0.2037,NO
476,0.0839,1.0666,NO
477,0.0672,0.4624,NO
478,0.3068,1.8048,YES
479,0.1154,1.0682,YES
480,0.0802,0.9028,YES
481,0.3166,2.3147,YES
482,0.0868,1.2029,NO
483,0.0677,0.4474,NO
484,0.5456,2.3372,YES
485,0.0938,0.6917,NO
486,0.3771,1.841,YES
487,0.0765,0.528,NO
488,0.3042,1.2881,NO
489,0.1867,1.2738,NO
490,0.2024,0.5214,NO
491,0.084,0.6246,NO
492,0.1127,1.2447,YES
493,0.0773,0.573,NO
494,0.3002,1.5526,YES
495,0.0821,0.6657,NO
496,0.1969,1.1683,YES
497,0.1353,0.8516,NO
498,0.0942,1.0872,NO
499,0.3023,1.6442,NO
500,0.1177,0.7792,NO
501,0.2966,2.004,YES
502,0.2621,1.6959,NO
503,0.3631,1.713,YES
504,0.1178,1.0666,NO
505,0.0474,0.4624,NO
506,0.4277,1.8048,YES
507,0.2214,1.0682,YES
508,0.2007,0.9028,YES
509,0.2467,2.3147,YES
510,0.2192,1.2029,NO
511,0.1165,0.4474,NO
512,0.3035,2.3372,YES
513,0.1886,0.6917,NO
514,0.2922,1.841,YES
515,0.1088,0.528,NO
516,0.2277,1.2881,NO
517,0.1763,1.2738,NO
518,0.1744,0.5214,NO
519,0.0948,0.6246,NO
520,0.152,1.2447,YES
521,0.0882,0.573,NO
522,0.2267,1.5526,YES
523,0.1968,0.6657,NO
524,0.1574,1.1683,YES
525,0.2134,0.8516,NO
526,0.1846,1.0872,NO
527,0.3004,1.6442,NO
528,0.1322,0.7792,NO
529,0.3039,2.004,YES
530,0.2341,1.6959,NO
531,0.2137,1.713,YES
532,0.1342,1.0666,NO
533,0.1099,0.4624,NO
534,0.526,1.8048,YES
535,0.1623,1.0682,YES
536,0.1996,0.9028,YES
537,0.3297,2.3147,YES
538,0.22699999999999998,1.2029,NO
539,0.1622,0.4474,NO
540,0.3372,2.3372,YES
541,0.1102,0.6917,NO
542,0.3901,1.841,YES
543,0.1022,0.528,NO
544,0.1483,1.2881,NO
545,0.0862,1.2738,NO
546,0.0629,0.5214,NO
547,0.2034,0.6246,NO
548,0.1682,1.2447,YES
549,0.1975,0.573,NO
550,0.3422,1.5526,YES
551,0.1773,0.6657,NO
552,0.2514,1.1683,YES
553,0.1754,0.8516,NO
554,0.1301,1.0872,NO
555,0.3619,1.6442,NO
556,0.1715,0.7792,NO
557,0.3452,2.004,YES
558,0.3259,1.6959,NO
559,0.258,1.713,YES
560,0.0709,1.0666,NO
561,0.0732,0.4624,NO
562,0.3094,1.8048,YES
563,0.1091,1.0682,YES
564,0.0665,0.9028,YES
565,0.2941,2.3147,YES
566,0.0664,1.2029,NO
567,0.0556,0.4474,NO
568,0.5229,2.3372,YES
569,0.1003,0.6917,NO
570,0.3604,1.841,YES
571,0.08800000000000001,0.528,NO
572,0.2859,1.2881,NO
573,0.1263,1.2738,NO
574,0.1497,0.5214,NO
575,0.1047,0.6246,NO
576,0.1031,1.2447,YES
577,0.1016,0.573,NO
578,0.3066,1.5526,YES
579,0.0639,0.6657,NO
580,0.2147,1.1683,YES
581,0.1277,0.8516,NO
582,0.0813,1.0872,NO
583,0.3135,1.6442,NO
584,0.1095,0.7792,NO
585,0.302,2.004,YES
586,0.2369,1.6959,NO
587,0.4263,1.713,YES
588,0.1151,0.6586,NO
589,0.0905,0.23600000000000002,NO
590,0.1028,0.7365,YES
591,0.3566,1.4553,YES
592,0.2651,1.2802,YES
593,0.1542,0.9255,YES
594,0.094,0.6747,NO
595,0.0554,0.2041,NO
596,0.2037,0.8053,YES
597,0.1971,0.6137,NO
598,0.1126,0.6384,YES
599,0.1418,0.3915,NO
600,0.2488,0.5925,NO
601,0.2731,0.8355,NO
602,0.2523,0.3213,NO
603,0.1698,0.3724,NO
604,0.2266,1.2748,YES
605,0.1648,0.3544,NO
606,0.2745,1.4934,YES
607,0.1508,0.3394,NO
608,0.2653,1.3609,YES
609,0.1206,0.5192,NO
610,0.1613,0.8882,NO
611,0.1611,0.7947,NO
612,0.1018,0.3894,NO
613,0.152,0.8236,YES
614,0.1186,0.753,NO
615,0.1207,0.6101,YES
616,0.1201,0.6586,NO
617,0.10300000000000001,0.23600000000000002,NO
618,0.254,0.7365,YES
619,0.3285,1.4553,YES
620,0.3624,1.2802,YES
621,0.2593,0.9255,YES
622,0.0981,0.6747,NO
623,0.0792,0.2041,NO
624,0.2917,0.8053,YES
625,0.1836,0.6137,NO
626,0.3039,0.6384,YES
627,0.1342,0.3915,NO
628,0.1448,0.5925,NO
629,0.1036,0.8355,NO
630,0.0702,0.3213,NO
631,0.1825,0.3724,NO
632,0.2937,1.2748,YES
633,0.1772,0.3544,NO
634,0.5728,1.4934,YES
635,0.0892,0.3394,NO
636,0.4594,1.3609,YES
637,0.1677,0.5192,NO
638,0.1461,0.8882,NO
639,0.2985,0.7947,NO
640,0.1348,0.3894,NO
641,0.2479,0.8236,YES
642,0.2298,0.753,NO
643,0.2345,0.6101,YES
644,0.08900000000000001,0.3607,NO
645,0.0394,0.1586,NO
646,0.1381,0.3022,NO
647,0.2108,0.3675,NO
648,0.0676,0.2194,NO
649,0.0957,0.3803,NO
650,0.0963,0.3903,NO
651,0.0435,0.1209,NO
652,0.2592,0.5804,NO
653,0.1291,0.2482,NO
654,0.0785,0.2322,NO
655,0.1052,0.1941,NO
656,0.4225,0.7385,YES
657,0.3368,0.6972,YES
658,0.3938,0.5817,YES
659,0.0766,0.1627,NO
660,0.0711,0.33899999999999997,NO
661,0.0797,0.158,NO
662,0.0531,0.2016,NO
663,0.1551,0.2315,NO
664,0.077,0.2249,NO
665,0.0463,0.1384,NO
666,0.0745,0.3367,NO
667,0.1014,0.2585,NO
668,0.0541,0.1789,NO
669,0.1685,0.3133,NO
670,0.0541,0.2829,NO
671,0.2105,0.4495,NO
672,0.1239,0.9949,YES
673,0.289,0.2614,YES
674,0.2752,0.4344,NO
675,0.1653,0.3455,NO
676,0.0814,0.2075,NO
677,0.0623,0.3165,NO
678,0.32899999999999996,0.6497,YES
679,0.1249,0.6998,YES
680,0.0968,0.1996,NO
681,0.1519,0.2431,NO
682,0.0533,0.1638,NO
683,0.1784,0.1917,NO
684,0.1661,0.2802,NO
685,0.1504,0.4677,NO
686,0.1562,0.1315,NO
687,0.3075,0.6449,YES
688,0.0597,0.3149,NO
689,0.1815,0.963,YES
690,0.0336,0.155,NO
691,0.3735,0.779,YES
692,0.0877,0.2256,NO
693,0.1163,0.1832,NO
694,0.0418,0.3421,NO
695,0.1354,0.2088,NO
696,0.0948,0.1697,NO
697,0.1407,0.3553,NO
698,0.0821,0.2879,NO
699,0.0894,0.2037,NO
700,0.0416,0.6586,NO
701,0.0131,0.23600000000000002,NO
702,0.1203,0.7365,YES
703,0.2886,1.4553,YES
704,0.2879,1.2802,YES
705,0.1294,0.9255,YES
706,0.0498,0.6747,NO
707,0.0139,0.2041,NO
708,0.1999,0.8053,YES
709,0.1109,0.6137,NO
710,0.1389,0.6384,YES
711,0.0996,0.3915,NO
712,0.1977,0.5925,NO
713,0.1726,0.8355,NO
714,0.1805,0.3213,NO
715,0.0204,0.3724,NO
716,0.2123,1.2748,YES
717,0.0198,0.3544,NO
718,0.3536,1.4934,YES
719,0.1039,0.3394,NO
720,0.2827,1.3609,YES
721,0.0426,0.5192,NO
722,0.0387,0.8882,NO
723,0.1228,0.7947,NO
724,0.0373,0.3894,NO
725,0.1359,0.8236,YES
726,0.0808,0.753,NO
727,0.1119,0.6101,YES
728,0.3458,0.9949,YES
729,0.0264,0.2614,YES
730,0.3473,0.4344,NO
731,0.1555,0.3455,NO
732,0.0906,0.2075,NO
733,0.107,0.3165,NO
734,0.226,0.6497,YES
735,0.4184,0.6998,YES
736,0.1111,0.1996,NO
737,0.1017,0.2431,NO
738,0.09699999999999999,0.1638,NO
739,0.1058,0.1917,NO
740,0.1741,0.2802,NO
741,0.1373,0.4677,NO
742,0.132,0.1315,NO
743,0.1138,0.6449,YES
744,0.0766,0.3149,NO
745,0.3242,0.963,YES
746,0.0297,0.155,NO
747,0.3407,0.779,YES
748,0.0387,0.2256,NO
749,0.0621,0.1832,NO
750,0.076,0.3421,NO
751,0.1266,0.2088,NO
752,0.0726,0.1697,NO
753,0.192,0.3553,NO
754,0.1128,0.2879,NO
755,0.0813,0.2037,NO
756,0.1238,0.6173,NO
757,0.0659,0.21,NO
758,0.0991,0.6053,NO
759,0.2168,0.8473,NO
760,0.0941,0.5523,NO
761,0.1226,0.7529,NO
762,0.0797,0.6441,NO
763,0.0869,0.2424,NO
764,0.1921,0.5653,NO
765,0.2119,1.3632,YES
766,0.0845,0.5039,NO
767,0.1963,0.7357,YES
768,0.24100000000000002,0.4838,NO
769,0.263,0.6990000000000001,NO
770,0.2504,0.141,NO
771,0.1414,0.4065,NO
772,0.0983,0.7209,NO
773,0.1658,0.3947,NO
774,0.1333,0.5254,NO
775,0.2072,0.2246,NO
776,0.1519,0.6442,NO
777,0.1227,1.1571,YES
778,0.1324,1.4897,YES
779,0.1581,1.2146,YES
780,0.1927,0.6809999999999999,YES
781,0.1378,0.619,NO
782,0.09699999999999999,0.9318,YES
783,0.11900000000000001,0.4713,NO
784,0.3612,0.9949,YES
785,0.0488,0.2614,YES
786,0.2823,0.4344,NO
787,0.1584,0.3455,NO
788,0.065,0.2075,NO
789,0.0678,0.3165,NO
790,0.1652,0.6497,YES
791,0.4499,0.6998,YES
792,0.0947,0.1996,NO
793,0.1079,0.2431,NO
794,0.0645,0.1638,NO
795,0.1095,0.1917,NO
796,0.1665,0.2802,NO
797,0.1472,0.4677,NO
798,0.1463,0.1315,NO
799,0.1261,0.6449,YES
800,0.0528,0.3149,NO
801,0.3791,0.963,YES
802,0.0329,0.155,NO
803,0.3577,0.779,YES
804,0.062,0.2256,NO
805,0.0477,0.1832,NO
806,0.0457,0.3421,NO
807,0.1274,0.2088,NO
808,0.0681,0.1697,NO
809,0.1427,0.3553,NO
810,0.0804,0.2879,NO
811,0.0769,0.2037,NO
812,0.1422,0.6173,NO
813,0.0613,0.21,NO
814,0.1484,0.6053,NO
815,0.1778,0.8473,NO
816,0.1025,0.5523,NO
817,0.1545,0.7529,NO
818,0.1529,0.6441,NO
819,0.1098,0.2424,NO
820,0.1753,0.5653,NO
821,0.1807,1.3632,YES
822,0.134,0.5039,NO
823,0.2818,0.7357,YES
824,0.2438,0.4838,NO
825,0.2385,0.6990000000000001,NO
826,0.2176,0.141,NO
827,0.0807,0.4065,NO
828,0.0972,0.7209,NO
829,0.0862,0.3947,NO
830,0.0815,0.5254,NO
831,0.2286,0.2246,NO
832,0.0804,0.6442,NO
833,0.0972,1.1571,YES
834,0.105,1.4897,YES
835,0.1237,1.2146,YES
836,0.2731,0.6809999999999999,YES
837,0.1937,0.619,NO
838,0.1151,0.9318,YES
839,0.1052,0.4713,NO
