UPPERTRACED_RFNONE_MULTI_LSA,Associated
0.19,YES
0.24,NO
0.17,YES
0.02,NO
0.17,NO
0.2,NO
0.02,NO
0.12,NO
0.33,NO
0.17,NO
0.15,NO
0.02,NO
0.01,NO
0.09,YES
0.17,NO
0.07,YES
0.03,NO
0.17,NO
0.02,NO
0.01,NO
0.17,NO
0.03,NO
0.0,NO
0.01,NO
0.2,NO
0.2,YES
0.17,YES
0.03,YES
0.19,YES
0.24,NO
0.17,YES
0.02,NO
0.17,NO
0.2,NO
0.02,NO
0.12,NO
0.33,NO
0.17,NO
0.15,NO
0.02,NO
0.01,NO
0.09,YES
0.17,NO
0.07,YES
0.03,NO
0.17,NO
0.02,NO
0.01,NO
0.17,NO
0.03,NO
0.0,NO
0.01,NO
0.2,NO
0.2,YES
0.17,YES
0.03,YES
0.19,YES
0.24,NO
0.17,YES
0.02,NO
0.17,NO
0.2,NO
0.02,NO
0.12,NO
0.33,NO
0.17,NO
0.15,NO
0.02,NO
0.01,NO
0.09,YES
0.17,NO
0.07,YES
0.03,NO
0.17,NO
0.02,NO
0.01,NO
0.17,NO
0.03,NO
0.0,NO
0.01,NO
0.2,NO
0.2,YES
0.17,YES
0.03,YES
0.19,YES
0.24,NO
0.17,YES
0.02,NO
0.16,NO
0.18,NO
0.16,YES
0.06,YES
0.12,YES
0.17,YES
0.18,NO
0.31,NO
0.16,YES
0.0,NO
0.17,YES
0.05,NO
0.2,NO
0.25,NO
0.18,NO
0.28,NO
0.21,YES
0.17,NO
0.05,YES
0.07,NO
0.27,YES
0.05,NO
0.3,NO
0.3,NO
0.16,NO
0.17,YES
0.17,NO
0.19,YES
0.02,NO
0.04,NO
0.1,YES
0.02,NO
0.0,NO
0.05,YES
0.01,NO
0.035,NO
0.03,YES
0.0,NO
0.03,YES
0.02,NO
0.08,NO
0.03,NO
0.01,NO
0.03,NO
0.18,NO
0.0,NO
0.0,NO
0.01,NO
0.03,NO
0.02,NO
0.06,NO
0.01,NO
0.0,NO
0.07,YES
0.02,NO
0.14,YES
0.16,NO
0.2,NO
0.37,YES
0.17,YES
0.18,YES
0.16,YES
0.17,NO
0.09,NO
0.18,YES
0.17,NO
0.23,YES
0.17,NO
0.18,NO
0.27,NO
0.19,NO
0.19,NO
0.21,YES
0.23,NO
0.07,YES
0.16,NO
0.17,YES
0.17,NO
0.16,NO
0.18,NO
0.16,NO
0.17,YES
0.18,NO
0.17,YES
0.01,NO
0.1,NO
0.05,YES
0.0,NO
0.02,NO
0.03,YES
0.1,NO
0.0,NO
0.06,YES
0.0,NO
0.03,YES
0.01,NO
0.08,NO
0.09,NO
0.02,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.04,NO
0.1,NO
0.0,NO
0.02,NO
0.03,NO
0.07,NO
0.01,YES
0.05,NO
0.03,YES
0.16,NO
0.2,NO
0.37,YES
0.17,YES
0.18,YES
0.16,YES
0.17,NO
0.09,NO
0.18,YES
0.17,NO
0.23,YES
0.17,NO
0.18,NO
0.27,NO
0.19,NO
0.19,NO
0.21,YES
0.23,NO
0.07,YES
0.16,NO
0.17,YES
0.17,NO
0.16,NO
0.18,NO
0.16,NO
0.17,YES
0.18,NO
0.17,YES
0.16,YES
0.17,YES
0.05,NO
0.09,NO
0.26,NO
0.23,NO
0.17,YES
0.14,YES
0.05,NO
0.02,NO
0.05,NO
0.04,NO
0.02,NO
0.03,NO
0.01,NO
0.02,YES
0.16,NO
0.16,YES
0.13,NO
0.06,YES
0.05,NO
0.03,NO
0.17,NO
0.01,NO
0.14,NO
0.01,NO
0.17,NO
0.17,NO
0.16,NO
0.18,NO
0.16,YES
0.06,YES
0.12,YES
0.17,YES
0.18,NO
0.31,NO
0.16,YES
0.0,NO
0.17,YES
0.05,NO
0.2,NO
0.25,NO
0.18,NO
0.28,NO
0.21,YES
0.17,NO
0.05,YES
0.07,NO
0.27,YES
0.05,NO
0.3,NO
0.3,NO
0.16,NO
0.17,YES
0.17,NO
0.19,YES
0.16,NO
0.18,NO
0.16,YES
0.06,YES
0.12,YES
0.17,YES
0.18,NO
0.31,NO
0.16,YES
0.0,NO
0.17,YES
0.05,NO
0.2,NO
0.25,NO
0.18,NO
0.28,NO
0.21,YES
0.17,NO
0.05,YES
0.07,NO
0.27,YES
0.05,NO
0.3,NO
0.3,NO
0.16,NO
0.17,YES
0.17,NO
0.19,YES
0.16,NO
0.18,NO
0.16,YES
0.06,YES
0.12,YES
0.17,YES
0.18,NO
0.31,NO
0.16,YES
0.0,NO
0.17,YES
0.05,NO
0.2,NO
0.25,NO
0.18,NO
0.28,NO
0.21,YES
0.17,NO
0.05,YES
0.07,NO
0.27,YES
0.05,NO
0.3,NO
0.3,NO
0.16,NO
0.17,YES
0.17,NO
0.19,YES
0.16,NO
0.18,NO
0.16,YES
0.06,YES
0.12,YES
0.17,YES
0.18,NO
0.31,NO
0.16,YES
0.0,NO
0.17,YES
0.05,NO
0.2,NO
0.25,NO
0.18,NO
0.28,NO
0.21,YES
0.17,NO
0.05,YES
0.07,NO
0.27,YES
0.05,NO
0.3,NO
0.3,NO
0.16,NO
0.17,YES
0.17,NO
0.19,YES
0.16,NO
0.2,NO
0.37,YES
0.17,YES
0.18,YES
0.16,YES
0.17,NO
0.09,NO
0.18,YES
0.17,NO
0.23,YES
0.17,NO
0.18,NO
0.27,NO
0.19,NO
0.19,NO
0.21,YES
0.23,NO
0.07,YES
0.16,NO
0.17,YES
0.17,NO
0.16,NO
0.18,NO
0.16,NO
0.17,YES
0.18,NO
0.17,YES
0.16,NO
0.2,NO
0.37,YES
0.17,YES
0.18,YES
0.16,YES
0.17,NO
0.09,NO
0.18,YES
0.17,NO
0.23,YES
0.17,NO
0.18,NO
0.27,NO
0.19,NO
0.19,NO
0.21,YES
0.23,NO
0.07,YES
0.16,NO
0.17,YES
0.17,NO
0.16,NO
0.18,NO
0.16,NO
0.17,YES
0.18,NO
0.17,YES
0.01,NO
0.04,NO
0.0,NO
0.01,NO
0.05,NO
0.02,NO
0.02,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.01,NO
0.23,YES
0.15,YES
0.05,YES
0.0,NO
0.05,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.04,NO
0.02,NO
0.04,NO
0.23,NO
0.03,NO
0.18,NO
0.01,NO
0.16,YES
0.17,YES
0.05,NO
0.09,NO
0.26,NO
0.23,NO
0.17,YES
0.14,YES
0.05,NO
0.02,NO
0.05,NO
0.04,NO
0.02,NO
0.03,NO
0.01,NO
0.02,YES
0.16,NO
0.16,YES
0.13,NO
0.06,YES
0.05,NO
0.03,NO
0.17,NO
0.01,NO
0.14,NO
0.01,NO
0.17,NO
0.17,NO
0.16,NO
0.2,NO
0.37,YES
0.17,YES
0.18,YES
0.16,YES
0.17,NO
0.09,NO
0.18,YES
0.17,NO
0.23,YES
0.17,NO
0.18,NO
0.27,NO
0.19,NO
0.19,NO
0.21,YES
0.23,NO
0.07,YES
0.16,NO
0.17,YES
0.17,NO
0.16,NO
0.18,NO
0.16,NO
0.17,YES
0.18,NO
0.17,YES
0.16,YES
0.17,YES
0.05,NO
0.09,NO
0.26,NO
0.23,NO
0.17,YES
0.14,YES
0.05,NO
0.02,NO
0.05,NO
0.04,NO
0.02,NO
0.03,NO
0.01,NO
0.02,YES
0.16,NO
0.16,YES
0.13,NO
0.06,YES
0.05,NO
0.03,NO
0.17,NO
0.01,NO
0.14,NO
0.01,NO
0.17,NO
0.17,NO
0.17,NO
0.2,NO
0.02,NO
0.12,NO
0.33,NO
0.17,NO
0.15,NO
0.02,NO
0.01,NO
0.09,YES
0.17,NO
0.07,YES
0.03,NO
0.17,NO
0.02,NO
0.01,NO
0.17,NO
0.03,NO
0.0,NO
0.01,NO
0.2,NO
0.2,YES
0.17,YES
0.03,YES
0.19,YES
0.24,NO
0.17,YES
0.02,NO
0.16,YES
0.17,YES
0.05,NO
0.09,NO
0.26,NO
0.23,NO
0.17,YES
0.14,YES
0.05,NO
0.02,NO
0.05,NO
0.04,NO
0.02,NO
0.03,NO
0.01,NO
0.02,YES
0.16,NO
0.16,YES
0.13,NO
0.06,YES
0.05,NO
0.03,NO
0.17,NO
0.01,NO
0.14,NO
0.01,NO
0.17,NO
0.17,NO
0.17,NO
0.2,NO
0.02,NO
0.12,NO
0.33,NO
0.17,NO
0.15,NO
0.02,NO
0.01,NO
0.09,YES
0.17,NO
0.07,YES
0.03,NO
0.17,NO
0.02,NO
0.01,NO
0.17,NO
0.03,NO
0.0,NO
0.01,NO
0.2,NO
0.2,YES
0.17,YES
0.03,YES
0.19,YES
0.24,NO
0.17,YES
0.02,NO
