LOWERTRACED_RFNONE_RAW_LSA,Associated
0.09,NO
0.42,NO
0.38,YES
0.38,YES
0.38,YES
0.38,YES
0.33,NO
0.38,YES
0.33,NO
0.07,NO
0.07,NO
0.31,YES
0.01,YES
0.01,YES
0.31,YES
0.07,NO
0.07,NO
0.31,YES
0.31,NO
0.31,YES
0.31,NO
0.0,NO
0.0,NO
0.0,NO
0.07,NO
0.01,YES
0.07,NO
0.01,YES
0.07,NO
0.01,YES
0.31,NO
0.31,NO
0.31,NO
0.31,NO
0.31,YES
0.31,NO
0.31,YES
0.01,NO
0.01,NO
0.52,NO
0.41,NO
0.41,NO
0.52,NO
0.01,NO
0.01,NO
0.52,NO
0.3,YES
0.52,NO
0.3,YES
0.04,NO
0.04,NO
0.04,NO
0.01,NO
0.41,NO
0.01,NO
0.41,NO
0.01,NO
0.41,NO
0.3,YES
0.3,YES
0.3,YES
0.3,YES
0.52,NO
0.3,YES
0.52,NO
0.35,NO
0.35,NO
0.11,NO
0.02,NO
0.02,NO
0.11,NO
0.35,NO
0.35,NO
0.11,NO
0.06,YES
0.11,NO
0.06,YES
0.05,NO
0.05,NO
0.05,NO
0.35,NO
0.02,NO
0.35,NO
0.02,NO
0.35,NO
0.02,NO
0.06,YES
0.06,YES
0.06,YES
0.06,YES
0.11,NO
0.06,YES
0.11,NO
0.17,NO
0.17,NO
0.41,NO
0.42,NO
0.42,NO
0.41,NO
0.17,NO
0.17,NO
0.41,NO
0.4,YES
0.41,NO
0.4,YES
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.42,NO
0.17,NO
0.42,NO
0.17,NO
0.42,NO
0.4,YES
0.4,YES
0.4,YES
0.4,YES
0.41,NO
0.4,YES
0.41,NO
0.08,NO
0.08,NO
0.13,NO
0.25,NO
0.25,NO
0.13,NO
0.08,NO
0.08,NO
0.13,NO
0.4,YES
0.13,NO
0.4,YES
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.25,NO
0.08,NO
0.25,NO
0.08,NO
0.25,NO
0.4,YES
0.4,YES
0.4,YES
0.4,YES
0.13,NO
0.4,YES
0.13,NO
0.05,NO
0.05,NO
0.48,YES
0.4,YES
0.4,YES
0.48,YES
0.05,NO
0.05,NO
0.48,YES
0.05,NO
0.48,YES
0.05,NO
0.03,NO
0.03,NO
0.03,NO
0.05,NO
0.4,YES
0.05,NO
0.4,YES
0.05,NO
0.4,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.48,YES
0.05,NO
0.48,YES
0.11,NO
0.11,NO
0.48,YES
0.02,NO
0.02,NO
0.48,YES
0.11,NO
0.11,NO
0.48,YES
0.01,NO
0.48,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.11,NO
0.02,NO
0.11,NO
0.02,NO
0.11,NO
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.48,YES
0.01,NO
0.48,YES
0.04,NO
0.04,NO
0.58,YES
0.37,YES
0.37,YES
0.58,YES
0.04,NO
0.04,NO
0.58,YES
0.14,NO
0.58,YES
0.14,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.37,YES
0.04,NO
0.37,YES
0.04,NO
0.37,YES
0.14,NO
0.14,NO
0.14,NO
0.14,NO
0.58,YES
0.14,NO
0.58,YES
0.1,NO
0.1,NO
0.23,YES
0.03,NO
0.03,NO
0.23,YES
0.1,NO
0.1,NO
0.23,YES
0.01,NO
0.23,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.03,NO
0.1,NO
0.03,NO
0.1,NO
0.03,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.23,YES
0.01,NO
0.23,YES
0.03,NO
0.03,NO
0.18,YES
0.02,YES
0.02,YES
0.18,YES
0.03,NO
0.03,NO
0.18,YES
0.02,NO
0.18,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.02,YES
0.03,NO
0.02,YES
0.03,NO
0.02,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.18,YES
0.02,NO
0.18,YES
0.04,YES
0.04,YES
0.26,NO
0.41,NO
0.41,NO
0.26,NO
0.04,YES
0.04,YES
0.26,NO
0.05,NO
0.26,NO
0.05,NO
0.04,NO
0.04,NO
0.04,NO
0.04,YES
0.41,NO
0.04,YES
0.41,NO
0.04,YES
0.41,NO
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.26,NO
0.05,NO
0.26,NO
0.17,NO
0.17,NO
0.47,YES
0.0,YES
0.0,YES
0.47,YES
0.17,NO
0.17,NO
0.47,YES
0.05,NO
0.47,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.0,YES
0.17,NO
0.0,YES
0.17,NO
0.0,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.47,YES
0.05,NO
0.47,YES
0.01,NO
0.01,NO
0.51,YES
0.42,YES
0.42,YES
0.51,YES
0.01,NO
0.01,NO
0.51,YES
0.02,NO
0.51,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.42,YES
0.01,NO
0.42,YES
0.01,NO
0.42,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.51,YES
0.02,NO
0.51,YES
0.08,NO
0.08,NO
0.13,YES
0.02,YES
0.02,YES
0.13,YES
0.08,NO
0.08,NO
0.13,YES
0.01,NO
0.13,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.08,NO
0.02,YES
0.08,NO
0.02,YES
0.08,NO
0.02,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.13,YES
0.01,NO
0.13,YES
0.08,NO
0.08,NO
0.37,YES
0.0,YES
0.0,YES
0.37,YES
0.08,NO
0.08,NO
0.37,YES
0.03,NO
0.37,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.0,YES
0.08,NO
0.0,YES
0.08,NO
0.0,YES
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.37,YES
0.03,NO
0.37,YES
0.06,NO
0.06,NO
0.4,YES
0.01,YES
0.01,YES
0.4,YES
0.06,NO
0.06,NO
0.4,YES
0.36,NO
0.4,YES
0.36,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.01,YES
0.06,NO
0.01,YES
0.06,NO
0.01,YES
0.36,NO
0.36,NO
0.36,NO
0.36,NO
0.4,YES
0.36,NO
0.4,YES
0.03,NO
0.03,NO
0.22,YES
0.04,YES
0.04,YES
0.22,YES
0.03,NO
0.03,NO
0.22,YES
0.03,NO
0.22,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.04,YES
0.03,NO
0.04,YES
0.03,NO
0.04,YES
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.22,YES
0.03,NO
0.22,YES
0.07,NO
0.07,NO
0.31,NO
0.05,NO
0.05,NO
0.31,NO
0.07,NO
0.07,NO
0.31,NO
0.02,NO
0.31,NO
0.02,NO
0.0,YES
0.0,YES
0.0,YES
0.07,NO
0.05,NO
0.07,NO
0.05,NO
0.07,NO
0.05,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.31,NO
0.02,NO
0.31,NO
0.02,YES
0.02,YES
0.16,NO
0.18,NO
0.18,NO
0.16,NO
0.02,YES
0.02,YES
0.16,NO
0.01,NO
0.16,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.02,YES
0.18,NO
0.02,YES
0.18,NO
0.02,YES
0.18,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.16,NO
0.01,NO
0.16,NO
0.05,NO
0.05,NO
0.56,YES
0.04,YES
0.04,YES
0.56,YES
0.05,NO
0.05,NO
0.56,YES
0.22,NO
0.56,YES
0.22,NO
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.04,YES
0.05,NO
0.04,YES
0.05,NO
0.04,YES
0.22,NO
0.22,NO
0.22,NO
0.22,NO
0.56,YES
0.22,NO
0.56,YES
0.01,YES
0.01,YES
0.28,NO
0.35,NO
0.35,NO
0.28,NO
0.01,YES
0.01,YES
0.28,NO
0.02,NO
0.28,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.35,NO
0.01,YES
0.35,NO
0.01,YES
0.35,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.28,NO
0.02,NO
0.28,NO
0.03,NO
0.03,NO
0.34,NO
0.01,NO
0.01,NO
0.34,NO
0.03,NO
0.03,NO
0.34,NO
0.36,YES
0.34,NO
0.36,YES
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.01,NO
0.03,NO
0.01,NO
0.03,NO
0.01,NO
0.36,YES
0.36,YES
0.36,YES
0.36,YES
0.34,NO
0.36,YES
0.34,NO
0.02,YES
0.02,YES
0.21,NO
0.22,NO
0.22,NO
0.21,NO
0.02,YES
0.02,YES
0.21,NO
0.06,NO
0.21,NO
0.06,NO
0.009142703622940472,NO
0.009142703622940472,NO
0.009142703622940472,NO
0.02,YES
0.22,NO
0.02,YES
0.22,NO
0.02,YES
0.22,NO
0.06,NO
0.06,NO
0.06,NO
0.06,NO
0.21,NO
0.06,NO
0.21,NO
0.02,NO
0.02,NO
0.53,NO
0.41,NO
0.41,NO
0.53,NO
0.02,NO
0.02,NO
0.53,NO
0.2,YES
0.53,NO
0.2,YES
0.05,NO
0.05,NO
0.05,NO
0.02,NO
0.41,NO
0.02,NO
0.41,NO
0.02,NO
0.41,NO
0.2,YES
0.2,YES
0.2,YES
0.2,YES
0.53,NO
0.2,YES
0.53,NO
