LOWERTRACED_RFUNDER_MULTI_LSA,Associated
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.05,YES
0.17,NO
0.05,YES
0.17,NO
0.05,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.68,YES
0.01,NO
0.68,YES
0.09,NO
0.09,NO
0.04,YES
0.04,NO
0.04,NO
0.04,YES
0.09,NO
0.09,NO
0.04,YES
0.18,NO
0.04,YES
0.18,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.04,NO
0.09,NO
0.04,NO
0.09,NO
0.04,NO
0.18,NO
0.18,NO
0.18,NO
0.18,NO
0.04,YES
0.18,NO
0.04,YES
0.03,NO
0.03,NO
0.12,YES
0.05,YES
0.05,YES
0.12,YES
0.03,NO
0.03,NO
0.12,YES
0.0,NO
0.12,YES
0.0,NO
0.05,NO
0.05,NO
0.05,NO
0.03,NO
0.05,YES
0.03,NO
0.05,YES
0.03,NO
0.05,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,YES
0.0,NO
0.12,YES
0.06,YES
0.06,YES
0.36,NO
0.45,NO
0.45,NO
0.36,NO
0.06,YES
0.06,YES
0.36,NO
0.09,NO
0.36,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.06,YES
0.45,NO
0.06,YES
0.45,NO
0.06,YES
0.45,NO
0.09,NO
0.09,NO
0.09,NO
0.09,NO
0.36,NO
0.09,NO
0.36,NO
0.02,NO
0.02,NO
0.27,YES
0.0,YES
0.0,YES
0.27,YES
0.02,NO
0.02,NO
0.27,YES
0.13,NO
0.27,YES
0.13,NO
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.0,YES
0.02,NO
0.0,YES
0.02,NO
0.0,YES
0.13,NO
0.13,NO
0.13,NO
0.13,NO
0.27,YES
0.13,NO
0.27,YES
0.01,NO
0.01,NO
0.46,YES
0.49,YES
0.49,YES
0.46,YES
0.01,NO
0.01,NO
0.46,YES
0.01,NO
0.46,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.49,YES
0.01,NO
0.49,YES
0.01,NO
0.49,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.46,YES
0.01,NO
0.46,YES
0.01,NO
0.01,NO
0.05,YES
0.05,YES
0.05,YES
0.05,YES
0.01,NO
0.01,NO
0.05,YES
0.05,NO
0.05,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.05,YES
0.01,NO
0.05,YES
0.01,NO
0.05,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.05,YES
0.05,NO
0.05,YES
0.02,NO
0.02,NO
0.09,YES
0.07,YES
0.07,YES
0.09,YES
0.02,NO
0.02,NO
0.09,YES
0.23,NO
0.09,YES
0.23,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.07,YES
0.02,NO
0.07,YES
0.02,NO
0.07,YES
0.23,NO
0.23,NO
0.23,NO
0.23,NO
0.09,YES
0.23,NO
0.09,YES
0.06,NO
0.06,NO
0.15,YES
0.05,YES
0.05,YES
0.15,YES
0.06,NO
0.06,NO
0.15,YES
0.08,NO
0.15,YES
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.05,YES
0.06,NO
0.05,YES
0.06,NO
0.05,YES
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.15,YES
0.08,NO
0.15,YES
0.06,NO
0.06,NO
0.06,YES
0.08,YES
0.08,YES
0.06,YES
0.06,NO
0.06,NO
0.06,YES
0.01,NO
0.06,YES
0.01,NO
0.02,NO
0.02,NO
0.02,NO
0.06,NO
0.08,YES
0.06,NO
0.08,YES
0.06,NO
0.08,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.06,YES
0.01,NO
0.06,YES
0.07,NO
0.07,NO
0.09,NO
0.0,NO
0.0,NO
0.09,NO
0.07,NO
0.07,NO
0.09,NO
0.03,NO
0.09,NO
0.03,NO
0.0,YES
0.0,YES
0.0,YES
0.07,NO
0.0,NO
0.07,NO
0.0,NO
0.07,NO
0.0,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.09,NO
0.03,NO
0.09,NO
0.02,YES
0.02,YES
0.14,NO
0.08,NO
0.08,NO
0.14,NO
0.02,YES
0.02,YES
0.14,NO
0.01,NO
0.14,NO
0.01,NO
0.02,NO
0.02,NO
0.02,NO
0.02,YES
0.08,NO
0.02,YES
0.08,NO
0.02,YES
0.08,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.14,NO
0.01,NO
0.14,NO
0.03,NO
0.03,NO
0.55,YES
0.02,YES
0.02,YES
0.55,YES
0.03,NO
0.03,NO
0.55,YES
0.06,NO
0.55,YES
0.06,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.02,YES
0.03,NO
0.02,YES
0.03,NO
0.02,YES
0.06,NO
0.06,NO
0.06,NO
0.06,NO
0.55,YES
0.06,NO
0.55,YES
0.06,YES
0.06,YES
0.38,NO
0.37,NO
0.37,NO
0.38,NO
0.06,YES
0.06,YES
0.38,NO
0.11,NO
0.38,NO
0.11,NO
0.01,NO
0.01,NO
0.01,NO
0.06,YES
0.37,NO
0.06,YES
0.37,NO
0.06,YES
0.37,NO
0.11,NO
0.11,NO
0.11,NO
0.11,NO
0.38,NO
0.11,NO
0.38,NO
0.0,NO
0.0,NO
0.07,NO
0.0,NO
0.0,NO
0.07,NO
0.0,NO
0.0,NO
0.07,NO
0.03,YES
0.07,NO
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.03,YES
0.03,YES
0.03,YES
0.07,NO
0.03,YES
0.07,NO
0.04,YES
0.04,YES
0.12,NO
0.03,NO
0.03,NO
0.12,NO
0.04,YES
0.04,YES
0.12,NO
0.03,NO
0.12,NO
0.03,NO
0.05,NO
0.05,NO
0.05,NO
0.04,YES
0.03,NO
0.04,YES
0.03,NO
0.04,YES
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.12,NO
0.03,NO
0.12,NO
0.02,NO
0.02,NO
0.26,NO
0.47,NO
0.47,NO
0.26,NO
0.02,NO
0.02,NO
0.26,NO
0.035,YES
0.26,NO
0.035,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.47,NO
0.02,NO
0.47,NO
0.02,NO
0.47,NO
0.035,YES
0.035,YES
0.035,YES
0.035,YES
0.26,NO
0.035,YES
0.26,NO
