UPPERTRACED_RFSMOTE_SINGLE_VSM,Associated
0.87,NO
0.85,YES
0.73,NO
0.63,YES
0.3,NO
0.48,NO
0.79,NO
0.6,NO
0.13,NO
0.93,YES
0.06,NO
0.9596551724137932,YES
0.66,NO
0.9696551724137932,YES
0.8,NO
0.75,NO
0.86,NO
0.8,NO
0.81,YES
0.8,NO
0.95,YES
0.34,NO
0.43,NO
0.78,NO
0.62,NO
0.77,NO
0.51,NO
0.91,NO
0.84,NO
0.68,NO
0.62,NO
0.73,NO
0.29,NO
0.6296551724137931,YES
0.63,YES
0.63,YES
0.09,NO
0.72,NO
0.13,NO
0.52,NO
0.83,NO
0.84,NO
0.85,NO
0.28,NO
0.9,NO
0.76,NO
0.66,NO
0.82,NO
0.62,NO
0.71,YES
0.876614179377103,YES
0.17,NO
0.24,NO
0.38,NO
0.5,NO
0.6803534822296464,YES
0.7196551724137931,YES
0.39,NO
0.335,NO
0.5,NO
0.07,NO
0.49,NO
0.36,NO
0.07,NO
0.6868734112495755,YES
0.35,NO
0.85,YES
0.1,NO
0.88,YES
0.22,NO
0.72,NO
0.1,NO
0.24,NO
0.09,NO
0.53,NO
0.32,NO
0.13,NO
0.13,NO
0.26,NO
0.93,YES
0.9096551724137931,YES
0.9596551724137932,YES
0.85,YES
0.87,NO
0.87,NO
0.85,YES
0.73,NO
0.63,YES
0.3,NO
0.48,NO
0.79,NO
0.6,NO
0.13,NO
0.93,YES
0.06,NO
0.9596551724137932,YES
0.66,NO
0.9696551724137932,YES
0.8,NO
0.75,NO
0.86,NO
0.8,NO
0.81,YES
0.8,NO
0.95,YES
0.71,YES
0.876614179377103,YES
0.17,NO
0.24,NO
0.38,NO
0.5,NO
0.6803534822296464,YES
0.7196551724137931,YES
0.39,NO
0.335,NO
0.5,NO
0.07,NO
0.49,NO
0.36,NO
0.07,NO
0.6868734112495755,YES
0.35,NO
0.85,YES
0.1,NO
0.88,YES
0.22,NO
0.72,NO
0.1,NO
0.24,NO
0.09,NO
0.53,NO
0.32,NO
0.13,NO
0.28,NO
0.56,NO
0.74,NO
0.82,NO
0.67,NO
0.75,NO
0.55,NO
0.1,NO
0.54,NO
0.9496551724137932,YES
0.89,NO
0.6068022326706094,YES
0.51,NO
0.29,NO
0.27,NO
0.63,NO
0.75,NO
0.57,NO
0.97,NO
0.18,NO
0.81,NO
0.9696551724137932,YES
0.9496551724137932,YES
0.8896551724137932,YES
0.6468022326706094,YES
0.69,NO
0.9696551724137932,YES
0.64,NO
0.71,YES
0.876614179377103,YES
0.17,NO
0.24,NO
0.38,NO
0.5,NO
0.6803534822296464,YES
0.7196551724137931,YES
0.39,NO
0.335,NO
0.5,NO
0.07,NO
0.49,NO
0.36,NO
0.07,NO
0.6868734112495755,YES
0.35,NO
0.85,YES
0.1,NO
0.88,YES
0.22,NO
0.72,NO
0.1,NO
0.24,NO
0.09,NO
0.53,NO
0.32,NO
0.13,NO
0.28,NO
0.56,NO
0.74,NO
0.82,NO
0.67,NO
0.75,NO
0.55,NO
0.1,NO
0.54,NO
0.9496551724137932,YES
0.89,NO
0.6068022326706094,YES
0.51,NO
0.29,NO
0.27,NO
0.63,NO
0.75,NO
0.57,NO
0.97,NO
0.18,NO
0.81,NO
0.9696551724137932,YES
0.9496551724137932,YES
0.8896551724137932,YES
0.6468022326706094,YES
0.69,NO
0.9696551724137932,YES
0.64,NO
