LOWERTRACED_RFSMOTE_RAW_VSM,Associated
0.01,NO
0.09,NO
0.0,NO
0.09,NO
0.0,NO
0.09,NO
0.0,NO
0.13,YES
0.13,YES
0.13,YES
0.13,YES
0.0,NO
0.13,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.11,YES
0.0,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.11,YES
0.11,YES
0.11,YES
0.11,YES
0.0,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.14,YES
0.0,NO
0.14,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.14,YES
0.14,YES
0.14,YES
0.14,YES
0.0,NO
0.14,YES
0.0,NO
0.0,NO
0.0,NO
0.13,YES
0.0,YES
0.0,YES
0.13,YES
0.0,NO
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.22,NO
0.22,NO
0.18,YES
0.64,NO
0.64,NO
0.18,YES
0.22,NO
0.22,NO
0.18,YES
0.0,NO
0.18,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.22,NO
0.64,NO
0.22,NO
0.64,NO
0.22,NO
0.64,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.18,YES
0.0,NO
0.18,YES
0.0,NO
0.0,NO
0.19,YES
0.16,YES
0.16,YES
0.19,YES
0.0,NO
0.0,NO
0.19,YES
0.05,NO
0.19,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.16,YES
0.0,NO
0.16,YES
0.0,NO
0.16,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.19,YES
0.05,NO
0.19,YES
0.11,NO
0.11,NO
0.15,YES
0.0,NO
0.0,NO
0.15,YES
0.11,NO
0.11,NO
0.15,YES
0.0,NO
0.15,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.11,NO
0.0,NO
0.11,NO
0.0,NO
0.11,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,YES
0.0,NO
0.15,YES
0.02,NO
0.02,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.02,NO
0.02,NO
0.0,YES
0.01,NO
0.0,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,YES
0.02,NO
0.0,YES
0.02,NO
0.0,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,YES
0.01,NO
0.0,YES
0.36,YES
0.36,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.36,YES
0.36,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.36,YES
0.0,NO
0.36,YES
0.0,NO
0.36,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.14,YES
0.0,YES
0.0,YES
0.14,YES
0.0,NO
0.0,NO
0.14,YES
0.0,NO
0.14,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.14,YES
0.0,NO
0.14,YES
0.0,NO
0.0,NO
0.36,YES
0.43,YES
0.43,YES
0.36,YES
0.0,NO
0.0,NO
0.36,YES
0.0,NO
0.36,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.43,YES
0.0,NO
0.43,YES
0.0,NO
0.43,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.36,YES
0.0,NO
0.36,YES
0.07,NO
0.07,NO
0.1,YES
0.0,YES
0.0,YES
0.1,YES
0.07,NO
0.07,NO
0.1,YES
0.0,NO
0.1,YES
0.0,NO
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.0,YES
0.07,NO
0.0,YES
0.07,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,YES
0.0,NO
0.1,YES
0.0,NO
0.0,NO
0.15,YES
0.0,YES
0.0,YES
0.15,YES
0.0,NO
0.0,NO
0.15,YES
0.0,NO
0.15,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,YES
0.0,NO
0.15,YES
0.12,NO
0.12,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.12,NO
0.12,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,NO
0.0,YES
0.12,NO
0.0,YES
0.12,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.13,YES
0.13,YES
0.01,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.04,NO
0.04,NO
0.04,NO
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.18,YES
0.18,YES
0.18,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.61,YES
0.61,YES
0.09,NO
0.09,NO
0.09,NO
0.09,NO
0.61,YES
0.61,YES
0.09,NO
0.0,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.61,YES
0.09,NO
0.61,YES
0.09,NO
0.61,YES
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.0,NO
0.09,NO
0.02,NO
0.02,NO
0.04,YES
0.09,YES
0.09,YES
0.04,YES
0.02,NO
0.02,NO
0.04,YES
0.0,NO
0.04,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.09,YES
0.02,NO
0.09,YES
0.02,NO
0.09,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.12,YES
0.12,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,YES
0.12,YES
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.12,YES
0.0,NO
0.12,YES
0.0,NO
0.12,YES
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.94,NO
0.0,NO
0.0,NO
0.94,NO
0.0,NO
0.0,NO
0.94,NO
0.0,YES
0.94,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.94,NO
0.0,YES
0.94,NO
0.21,YES
0.21,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.21,YES
0.21,YES
0.01,NO
0.04,NO
0.01,NO
0.04,NO
0.02,NO
0.02,NO
0.02,NO
0.21,YES
0.01,NO
0.21,YES
0.01,NO
0.21,YES
0.01,NO
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.01,NO
0.04,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.56,YES
0.0,NO
0.56,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.56,YES
0.56,YES
0.56,YES
0.56,YES
0.0,NO
0.56,YES
0.0,NO
