LOWERTRACED_RFUNDER_RAW_LSA,Associated
0.13,NO
0.62,NO
0.55,YES
0.55,YES
0.55,YES
0.55,YES
0.69,NO
0.55,YES
0.69,NO
0.06,NO
0.06,NO
0.44,YES
0.04,YES
0.04,YES
0.44,YES
0.06,NO
0.06,NO
0.44,YES
0.55,NO
0.44,YES
0.55,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.04,YES
0.06,NO
0.04,YES
0.06,NO
0.04,YES
0.55,NO
0.55,NO
0.55,NO
0.55,NO
0.44,YES
0.55,NO
0.44,YES
0.03,NO
0.03,NO
0.75,NO
0.62,NO
0.62,NO
0.75,NO
0.03,NO
0.03,NO
0.75,NO
0.4,YES
0.75,NO
0.4,YES
0.07,NO
0.07,NO
0.07,NO
0.03,NO
0.62,NO
0.03,NO
0.62,NO
0.03,NO
0.62,NO
0.4,YES
0.4,YES
0.4,YES
0.4,YES
0.75,NO
0.4,YES
0.75,NO
0.41,NO
0.41,NO
0.08,NO
0.03,NO
0.03,NO
0.08,NO
0.41,NO
0.41,NO
0.08,NO
0.1,YES
0.08,NO
0.1,YES
0.01,NO
0.01,NO
0.01,NO
0.41,NO
0.03,NO
0.41,NO
0.03,NO
0.41,NO
0.03,NO
0.1,YES
0.1,YES
0.1,YES
0.1,YES
0.08,NO
0.1,YES
0.08,NO
0.32,NO
0.32,NO
0.69,NO
0.62,NO
0.62,NO
0.69,NO
0.32,NO
0.32,NO
0.69,NO
0.53,YES
0.69,NO
0.53,YES
0.01,NO
0.01,NO
0.01,NO
0.32,NO
0.62,NO
0.32,NO
0.62,NO
0.32,NO
0.62,NO
0.53,YES
0.53,YES
0.53,YES
0.53,YES
0.69,NO
0.53,YES
0.69,NO
0.15,NO
0.15,NO
0.24,NO
0.45,NO
0.45,NO
0.24,NO
0.15,NO
0.15,NO
0.24,NO
0.51,YES
0.24,NO
0.51,YES
0.01,NO
0.01,NO
0.01,NO
0.15,NO
0.45,NO
0.15,NO
0.45,NO
0.15,NO
0.45,NO
0.51,YES
0.51,YES
0.51,YES
0.51,YES
0.24,NO
0.51,YES
0.24,NO
0.03,NO
0.03,NO
0.71,YES
0.6,YES
0.6,YES
0.71,YES
0.03,NO
0.03,NO
0.71,YES
0.07,NO
0.71,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.6,YES
0.03,NO
0.6,YES
0.03,NO
0.6,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.71,YES
0.07,NO
0.71,YES
0.25,NO
0.25,NO
0.73,YES
0.08,NO
0.08,NO
0.73,YES
0.25,NO
0.25,NO
0.73,YES
0.0,NO
0.73,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.25,NO
0.08,NO
0.25,NO
0.08,NO
0.25,NO
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.73,YES
0.0,NO
0.73,YES
0.08,NO
0.08,NO
0.73,YES
0.61,YES
0.61,YES
0.73,YES
0.08,NO
0.08,NO
0.73,YES
0.47,NO
0.73,YES
0.47,NO
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.61,YES
0.08,NO
0.61,YES
0.08,NO
0.61,YES
0.47,NO
0.47,NO
0.47,NO
0.47,NO
0.73,YES
0.47,NO
0.73,YES
0.24,NO
0.24,NO
0.35,YES
0.06,NO
0.06,NO
0.35,YES
0.24,NO
0.24,NO
0.35,YES
0.07,NO
0.35,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.24,NO
0.06,NO
0.24,NO
0.06,NO
0.24,NO
0.06,NO
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.35,YES
0.07,NO
0.35,YES
0.09,NO
0.09,NO
0.27,YES
0.01,YES
0.01,YES
0.27,YES
0.09,NO
0.09,NO
0.27,YES
0.02,NO
0.27,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.01,YES
0.09,NO
0.01,YES
0.09,NO
0.01,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.27,YES
0.02,NO
0.27,YES
0.06,YES
0.06,YES
0.3,NO
0.6,NO
0.6,NO
0.3,NO
0.06,YES
0.06,YES
0.3,NO
0.01,NO
0.3,NO
0.01,NO
0.02,NO
0.02,NO
0.02,NO
0.06,YES
0.6,NO
0.06,YES
0.6,NO
0.06,YES
0.6,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.3,NO
0.01,NO
0.3,NO
0.25,NO
0.25,NO
0.74,YES
0.01,YES
0.01,YES
0.74,YES
0.25,NO
0.25,NO
0.74,YES
0.02,NO
0.74,YES
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.25,NO
0.01,YES
0.25,NO
0.01,YES
0.25,NO
0.01,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.74,YES
0.02,NO
0.74,YES
0.03,NO
0.03,NO
0.72,YES
0.62,YES
0.62,YES
0.72,YES
0.03,NO
0.03,NO
0.72,YES
0.01,NO
0.72,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.03,NO
0.62,YES
0.03,NO
0.62,YES
0.03,NO
0.62,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.72,YES
0.01,NO
0.72,YES
0.16,NO
0.16,NO
0.31,YES
0.06,YES
0.06,YES
0.31,YES
0.16,NO
0.16,NO
0.31,YES
0.0,NO
0.31,YES
0.0,NO
0.08,NO
0.08,NO
0.08,NO
0.16,NO
0.06,YES
0.16,NO
0.06,YES
0.16,NO
0.06,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.31,YES
0.0,NO
0.31,YES
0.26,NO
0.26,NO
0.48,YES
0.01,YES
0.01,YES
0.48,YES
0.26,NO
0.26,NO
0.48,YES
0.02,NO
0.48,YES
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.26,NO
0.01,YES
0.26,NO
0.01,YES
0.26,NO
0.01,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.48,YES
0.02,NO
0.48,YES
0.03,NO
0.03,NO
0.72,YES
0.02,YES
0.02,YES
0.72,YES
0.03,NO
0.03,NO
0.72,YES
0.52,NO
0.72,YES
0.52,NO
0.01,NO
0.01,NO
0.01,NO
0.03,NO
0.02,YES
0.03,NO
0.02,YES
0.03,NO
0.02,YES
0.52,NO
0.52,NO
0.52,NO
0.52,NO
0.72,YES
0.52,NO
0.72,YES
0.04,NO
0.04,NO
0.41,YES
0.49,YES
0.49,YES
0.41,YES
0.04,NO
0.04,NO
0.41,YES
0.0,NO
0.41,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.49,YES
0.04,NO
0.49,YES
0.04,NO
0.49,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.41,YES
0.0,NO
0.41,YES
0.06,NO
0.06,NO
0.41,NO
0.16,NO
0.16,NO
0.41,NO
0.06,NO
0.06,NO
0.41,NO
0.01,NO
0.41,NO
0.01,NO
0.01,YES
0.01,YES
0.01,YES
0.06,NO
0.16,NO
0.06,NO
0.16,NO
0.06,NO
0.16,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.41,NO
0.01,NO
0.41,NO
0.01,YES
0.01,YES
0.34,NO
0.38,NO
0.38,NO
0.34,NO
0.01,YES
0.01,YES
0.34,NO
0.04,NO
0.34,NO
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.38,NO
0.01,YES
0.38,NO
0.01,YES
0.38,NO
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.34,NO
0.04,NO
0.34,NO
0.02,NO
0.02,NO
0.73,YES
0.11,YES
0.11,YES
0.73,YES
0.02,NO
0.02,NO
0.73,YES
0.29,NO
0.73,YES
0.29,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.11,YES
0.02,NO
0.11,YES
0.02,NO
0.11,YES
0.29,NO
0.29,NO
0.29,NO
0.29,NO
0.73,YES
0.29,NO
0.73,YES
0.0,YES
0.0,YES
0.28,NO
0.5,NO
0.5,NO
0.28,NO
0.0,YES
0.0,YES
0.28,NO
0.02,NO
0.28,NO
0.02,NO
0.006999999999999999,NO
0.006999999999999999,NO
0.006999999999999999,NO
0.0,YES
0.5,NO
0.0,YES
0.5,NO
0.0,YES
0.5,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.28,NO
0.02,NO
0.28,NO
0.02,NO
0.02,NO
0.68,NO
0.05,NO
0.05,NO
0.68,NO
0.02,NO
0.02,NO
0.68,NO
0.5,YES
0.68,NO
0.5,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.05,NO
0.02,NO
0.05,NO
0.02,NO
0.05,NO
0.5,YES
0.5,YES
0.5,YES
0.5,YES
0.68,NO
0.5,YES
0.68,NO
0.06,YES
0.06,YES
0.28,NO
0.4,NO
0.4,NO
0.28,NO
0.06,YES
0.06,YES
0.28,NO
0.0,NO
0.28,NO
0.0,NO
0.00803127297404926,NO
0.00803127297404926,NO
0.00803127297404926,NO
0.06,YES
0.4,NO
0.06,YES
0.4,NO
0.06,YES
0.4,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.28,NO
0.0,NO
0.28,NO
0.01,NO
0.01,NO
0.75,NO
0.61,NO
0.61,NO
0.75,NO
0.01,NO
0.01,NO
0.75,NO
0.43,YES
0.75,NO
0.43,YES
0.12,NO
0.12,NO
0.12,NO
0.01,NO
0.61,NO
0.01,NO
0.61,NO
0.01,NO
0.61,NO
0.43,YES
0.43,YES
0.43,YES
0.43,YES
0.75,NO
0.43,YES
0.75,NO
