LOWERTRACED_RFNONE_SINGLE_VSM,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.89,YES
0.89,YES
0.89,YES
0.89,YES
0.0,NO
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.93,YES
0.93,YES
0.93,YES
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.0,NO
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.89,YES
0.89,YES
0.89,YES
0.0,NO
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.0,YES
0.0,YES
0.72,YES
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0004390498172071736,NO
0.0004390498172071736,NO
0.72,YES
0.0,NO
0.0,NO
0.72,YES
0.0004390498172071736,NO
0.0004390498172071736,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.08,NO
0.08,NO
0.08,NO
0.0004390498172071736,NO
0.0,NO
0.0004390498172071736,NO
0.0,NO
0.0004390498172071736,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.54,YES
0.84,YES
0.84,YES
0.54,YES
0.0,NO
0.0,NO
0.54,YES
0.21,NO
0.54,YES
0.21,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.84,YES
0.0,NO
0.84,YES
0.0,NO
0.84,YES
0.21,NO
0.21,NO
0.21,NO
0.21,NO
0.54,YES
0.21,NO
0.54,YES
5.434782608695652e-05,NO
5.434782608695652e-05,NO
0.72,YES
0.05,NO
0.05,NO
0.72,YES
5.434782608695652e-05,NO
5.434782608695652e-05,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
5.434782608695652e-05,NO
0.05,NO
5.434782608695652e-05,NO
0.05,NO
5.434782608695652e-05,NO
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.06,YES
0.83,YES
0.83,YES
0.06,YES
0.0,NO
0.0,NO
0.06,YES
0.0,NO
0.06,YES
0.0,NO
0.06,NO
0.06,NO
0.06,NO
0.0,NO
0.83,YES
0.0,NO
0.83,YES
0.0,NO
0.83,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,YES
0.0,NO
0.06,YES
0.9375,YES
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9375,YES
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.04,NO
0.04,NO
0.9375,YES
0.0,NO
0.9375,YES
0.0,NO
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0020050254213309295,NO
0.0020050254213309295,NO
0.72,YES
0.11,YES
0.11,YES
0.72,YES
0.0020050254213309295,NO
0.0020050254213309295,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.0020050254213309295,NO
0.11,YES
0.0020050254213309295,NO
0.11,YES
0.0020050254213309295,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.76,YES
0.92,YES
0.92,YES
0.76,YES
0.0,NO
0.0,NO
0.76,YES
0.07,NO
0.76,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.92,YES
0.0,NO
0.92,YES
0.0,NO
0.92,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.76,YES
0.07,NO
0.76,YES
0.0,NO
0.0,NO
0.73,YES
0.02,YES
0.02,YES
0.73,YES
0.0,NO
0.0,NO
0.73,YES
0.07,NO
0.73,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.73,YES
0.07,NO
0.73,YES
0.0020050254213309295,NO
0.0020050254213309295,NO
0.72,YES
0.04,YES
0.04,YES
0.72,YES
0.0020050254213309295,NO
0.0020050254213309295,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.04,NO
0.04,NO
0.04,NO
0.0020050254213309295,NO
0.04,YES
0.0020050254213309295,NO
0.04,YES
0.0020050254213309295,NO
0.04,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.02,YES
0.84,YES
0.84,YES
0.02,YES
0.0,NO
0.0,NO
0.02,YES
0.05,NO
0.02,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.84,YES
0.0,NO
0.84,YES
0.0,NO
0.84,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.02,YES
0.05,NO
0.02,YES
0.0,NO
0.0,NO
0.02,YES
0.83,YES
0.83,YES
0.02,YES
0.0,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.83,YES
0.0,NO
0.83,YES
0.0,NO
0.83,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9141666666666666,YES
0.9141666666666666,YES
0.9141666666666666,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9075,YES
0.9075,YES
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.9075,YES
0.9075,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9075,YES
0.0,NO
0.9075,YES
0.0,NO
0.9075,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.03,YES
0.82,YES
0.82,YES
0.03,YES
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.82,YES
0.0,NO
0.82,YES
0.0,NO
0.82,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.9375,YES
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9375,YES
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9375,YES
0.0,NO
0.9375,YES
0.0,NO
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.12,NO
0.12,NO
0.12,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.93,YES
0.93,YES
0.93,YES
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.9375,YES
0.9375,YES
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.9375,YES
0.9375,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9375,YES
0.0,NO
0.9375,YES
0.0,NO
0.9375,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8966666666666667,YES
0.0,NO
0.8966666666666667,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8966666666666667,YES
0.8966666666666667,YES
0.8966666666666667,YES
0.8966666666666667,YES
0.0,NO
0.8966666666666667,YES
0.0,NO
