LOWERTRACED_RFUNDER_SINGLE_VSM,Associated
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.98,YES
0.98,YES
0.98,YES
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.98,YES
0.98,YES
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.98,YES
0.01,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.98,YES
0.98,YES
0.98,YES
0.01,NO
0.98,YES
0.01,NO
0.0,NO
0.0,NO
0.97,YES
0.0,YES
0.0,YES
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0003171840707405842,NO
0.0003171840707405842,NO
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.0003171840707405842,NO
0.0003171840707405842,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.04,NO
0.04,NO
0.04,NO
0.0003171840707405842,NO
0.0,NO
0.0003171840707405842,NO
0.0,NO
0.0003171840707405842,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.96,YES
0.96,YES
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.57,NO
0.97,YES
0.57,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.57,NO
0.57,NO
0.57,NO
0.57,NO
0.97,YES
0.57,NO
0.97,YES
5.3475935828877e-05,NO
5.3475935828877e-05,NO
0.97,YES
0.02,NO
0.02,NO
0.97,YES
5.3475935828877e-05,NO
5.3475935828877e-05,NO
0.97,YES
0.03,NO
0.97,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
5.3475935828877e-05,NO
0.02,NO
5.3475935828877e-05,NO
0.02,NO
5.3475935828877e-05,NO
0.02,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.97,YES
0.03,NO
0.97,YES
0.0,NO
0.0,NO
0.07,YES
0.96,YES
0.96,YES
0.07,YES
0.0,NO
0.0,NO
0.07,YES
0.0,NO
0.07,YES
0.0,NO
0.15,NO
0.15,NO
0.15,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.07,YES
0.0,NO
0.07,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,NO
0.12,NO
0.12,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.001856758300966005,NO
0.001856758300966005,NO
0.97,YES
0.11,YES
0.11,YES
0.97,YES
0.001856758300966005,NO
0.001856758300966005,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.001856758300966005,NO
0.11,YES
0.001856758300966005,NO
0.11,YES
0.001856758300966005,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.99,YES
0.99,YES
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.2,NO
0.97,YES
0.2,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.2,NO
0.2,NO
0.2,NO
0.2,NO
0.97,YES
0.2,NO
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.02,YES
0.02,YES
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.08,NO
0.97,YES
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.97,YES
0.08,NO
0.97,YES
0.001856758300966005,NO
0.001856758300966005,NO
0.97,YES
0.1,YES
0.1,YES
0.97,YES
0.001856758300966005,NO
0.001856758300966005,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.001856758300966005,NO
0.1,YES
0.001856758300966005,NO
0.1,YES
0.001856758300966005,NO
0.1,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.0,YES
0.96,YES
0.96,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.07,NO
0.0,YES
0.07,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.0,YES
0.07,NO
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.96,YES
0.96,YES
0.01,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.96,YES
0.96,YES
0.03,YES
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.09,NO
0.09,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.99,YES
0.99,YES
0.99,YES
0.0,NO
0.99,YES
0.0,NO
