LOWERTRACED_RFUNDER_MULTI_VSM,Associated
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.97,YES
0.97,YES
0.97,YES
0.97,YES
0.09,NO
0.97,YES
0.09,NO
0.0,NO
0.0,NO
0.31,NO
0.3,NO
0.3,NO
0.31,NO
0.0,NO
0.0,NO
0.31,NO
0.97,YES
0.31,NO
0.97,YES
0.08,NO
0.08,NO
0.08,NO
0.0,NO
0.3,NO
0.0,NO
0.3,NO
0.0,NO
0.3,NO
0.97,YES
0.97,YES
0.97,YES
0.97,YES
0.31,NO
0.97,YES
0.31,NO
0.0,NO
0.0,NO
0.05,NO
0.13,NO
0.13,NO
0.05,NO
0.0,NO
0.0,NO
0.05,NO
0.97,YES
0.05,NO
0.97,YES
0.12,NO
0.12,NO
0.12,NO
0.0,NO
0.13,NO
0.0,NO
0.13,NO
0.0,NO
0.13,NO
0.97,YES
0.97,YES
0.97,YES
0.97,YES
0.05,NO
0.97,YES
0.05,NO
0.0,NO
0.0,NO
0.93,YES
0.04,YES
0.04,YES
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.08,NO
0.93,YES
0.08,NO
0.09,NO
0.09,NO
0.09,NO
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.93,YES
0.08,NO
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.87,NO
0.87,NO
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.07,NO
0.93,YES
0.07,NO
0.05,NO
0.05,NO
0.05,NO
0.0,NO
0.87,NO
0.0,NO
0.87,NO
0.0,NO
0.87,NO
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.93,YES
0.07,NO
0.93,YES
0.0,NO
0.0,NO
0.92,YES
0.94,YES
0.94,YES
0.92,YES
0.0,NO
0.0,NO
0.92,YES
0.87,NO
0.92,YES
0.87,NO
0.12,NO
0.12,NO
0.12,NO
0.0,NO
0.94,YES
0.0,NO
0.94,YES
0.0,NO
0.94,YES
0.87,NO
0.87,NO
0.87,NO
0.87,NO
0.92,YES
0.87,NO
0.92,YES
0.0,NO
0.0,NO
0.93,YES
0.11,NO
0.11,NO
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.05,NO
0.93,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.11,NO
0.0,NO
0.11,NO
0.0,NO
0.11,NO
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.93,YES
0.05,NO
0.93,YES
0.0,NO
0.0,NO
0.0,YES
0.09,YES
0.09,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,YES
0.0,NO
0.09,YES
0.0,NO
0.09,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.94,YES
0.94,YES
0.03,NO
0.02,NO
0.02,NO
0.03,NO
0.94,YES
0.94,YES
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.03,NO
0.03,NO
0.94,YES
0.02,NO
0.94,YES
0.02,NO
0.94,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.93,YES
0.05,YES
0.05,YES
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.39,NO
0.93,YES
0.39,NO
0.07,NO
0.07,NO
0.07,NO
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.39,NO
0.39,NO
0.39,NO
0.39,NO
0.93,YES
0.39,NO
0.93,YES
0.0,NO
0.0,NO
0.87,YES
0.87,YES
0.87,YES
0.87,YES
0.0,NO
0.0,NO
0.87,YES
0.13,NO
0.87,YES
0.13,NO
0.17,NO
0.17,NO
0.17,NO
0.0,NO
0.87,YES
0.0,NO
0.87,YES
0.0,NO
0.87,YES
0.13,NO
0.13,NO
0.13,NO
0.13,NO
0.87,YES
0.13,NO
0.87,YES
0.0,NO
0.0,NO
0.92,YES
0.04,YES
0.04,YES
0.92,YES
0.0,NO
0.0,NO
0.92,YES
0.08,NO
0.92,YES
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.92,YES
0.08,NO
0.92,YES
0.0,NO
0.0,NO
0.93,YES
0.19,YES
0.19,YES
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.01,NO
0.93,YES
0.01,NO
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.19,YES
0.0,NO
0.19,YES
0.0,NO
0.19,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.93,YES
0.01,NO
0.93,YES
0.0,NO
0.0,NO
0.03,YES
0.66,YES
0.66,YES
0.03,YES
0.0,NO
0.0,NO
0.03,YES
0.02,NO
0.03,YES
0.02,NO
0.35,NO
0.35,NO
0.35,NO
0.0,NO
0.66,YES
0.0,NO
0.66,YES
0.0,NO
0.66,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.03,YES
0.02,NO
0.03,YES
0.0,NO
0.0,NO
0.69,YES
0.95,YES
0.95,YES
0.69,YES
0.0,NO
0.0,NO
0.69,YES
0.05,NO
0.69,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.0,NO
0.95,YES
0.0,NO
0.95,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.69,YES
0.05,NO
0.69,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.94,YES
0.94,YES
0.94,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.96,YES
0.96,YES
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.96,YES
0.96,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.8,YES
0.95,YES
0.95,YES
0.8,YES
0.0,NO
0.0,NO
0.8,YES
0.0,NO
0.8,YES
0.0,NO
0.05,NO
0.05,NO
0.05,NO
0.0,NO
0.95,YES
0.0,NO
0.95,YES
0.0,NO
0.95,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8,YES
0.0,NO
0.8,YES
0.95,YES
0.95,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.95,YES
0.95,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.06,YES
0.01,NO
0.06,YES
0.09,NO
0.09,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,YES
0.06,YES
0.06,YES
0.06,YES
0.01,NO
0.06,YES
0.01,NO
0.95,YES
0.95,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.95,YES
0.95,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.03,NO
0.03,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.03,NO
0.03,NO
0.02,NO
0.95,YES
0.02,NO
0.95,YES
0.05,NO
0.05,NO
0.05,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.95,YES
0.95,YES
0.95,YES
0.95,YES
0.02,NO
0.95,YES
0.02,NO
