LOWERTRACED_RFNONE_MULTI_VSM,Associated
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.79,YES
0.79,YES
0.79,YES
0.79,YES
0.08,NO
0.79,YES
0.08,NO
0.0,NO
0.0,NO
0.44,NO
0.45,NO
0.45,NO
0.44,NO
0.0,NO
0.0,NO
0.44,NO
0.79,YES
0.44,NO
0.79,YES
0.14,NO
0.14,NO
0.14,NO
0.0,NO
0.45,NO
0.0,NO
0.45,NO
0.0,NO
0.45,NO
0.79,YES
0.79,YES
0.79,YES
0.79,YES
0.44,NO
0.79,YES
0.44,NO
0.0,NO
0.0,NO
0.13,NO
0.15,NO
0.15,NO
0.13,NO
0.0,NO
0.0,NO
0.13,NO
0.79,YES
0.13,NO
0.79,YES
0.1,NO
0.1,NO
0.1,NO
0.0,NO
0.15,NO
0.0,NO
0.15,NO
0.0,NO
0.15,NO
0.79,YES
0.79,YES
0.79,YES
0.79,YES
0.13,NO
0.79,YES
0.13,NO
0.0,NO
0.0,NO
0.58,YES
0.05,YES
0.05,YES
0.58,YES
0.0,NO
0.0,NO
0.58,YES
0.1,NO
0.58,YES
0.1,NO
0.1,NO
0.1,NO
0.1,NO
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.0,NO
0.05,YES
0.1,NO
0.1,NO
0.1,NO
0.1,NO
0.58,YES
0.1,NO
0.58,YES
0.0,NO
0.0,NO
0.75,YES
0.6,NO
0.6,NO
0.75,YES
0.0,NO
0.0,NO
0.75,YES
0.05,NO
0.75,YES
0.05,NO
0.04,NO
0.04,NO
0.04,NO
0.0,NO
0.6,NO
0.0,NO
0.6,NO
0.0,NO
0.6,NO
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.75,YES
0.05,NO
0.75,YES
0.0,NO
0.0,NO
0.59,YES
0.58,YES
0.58,YES
0.59,YES
0.0,NO
0.0,NO
0.59,YES
0.54,NO
0.59,YES
0.54,NO
0.1,NO
0.1,NO
0.1,NO
0.0,NO
0.58,YES
0.0,NO
0.58,YES
0.0,NO
0.58,YES
0.54,NO
0.54,NO
0.54,NO
0.54,NO
0.59,YES
0.54,NO
0.59,YES
0.0,NO
0.0,NO
0.73,YES
0.08,NO
0.08,NO
0.73,YES
0.0,NO
0.0,NO
0.73,YES
0.03,NO
0.73,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.0,NO
0.08,NO
0.0,NO
0.08,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.73,YES
0.03,NO
0.73,YES
0.0,NO
0.0,NO
0.03,YES
0.13,YES
0.13,YES
0.03,YES
0.0,NO
0.0,NO
0.03,YES
0.01,NO
0.03,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.03,YES
0.01,NO
0.03,YES
0.68,YES
0.68,YES
0.03,NO
0.01,NO
0.01,NO
0.03,NO
0.68,YES
0.68,YES
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.03,NO
0.03,NO
0.68,YES
0.01,NO
0.68,YES
0.01,NO
0.68,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.76,YES
0.06,YES
0.06,YES
0.76,YES
0.0,NO
0.0,NO
0.76,YES
0.53,NO
0.76,YES
0.53,NO
0.05,NO
0.05,NO
0.05,NO
0.0,NO
0.06,YES
0.0,NO
0.06,YES
0.0,NO
0.06,YES
0.53,NO
0.53,NO
0.53,NO
0.53,NO
0.76,YES
0.53,NO
0.76,YES
0.0,NO
0.0,NO
0.54,YES
0.54,YES
0.54,YES
0.54,YES
0.0,NO
0.0,NO
0.54,YES
0.12,NO
0.54,YES
0.12,NO
0.16,NO
0.16,NO
0.16,NO
0.0,NO
0.54,YES
0.0,NO
0.54,YES
0.0,NO
0.54,YES
0.12,NO
0.12,NO
0.12,NO
0.12,NO
0.54,YES
0.12,NO
0.54,YES
0.0,NO
0.0,NO
0.67,YES
0.04,YES
0.04,YES
0.67,YES
0.0,NO
0.0,NO
0.67,YES
0.1,NO
0.67,YES
0.1,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.1,NO
0.1,NO
0.1,NO
0.1,NO
0.67,YES
0.1,NO
0.67,YES
0.0,NO
0.0,NO
0.76,YES
0.13,YES
0.13,YES
0.76,YES
0.0,NO
0.0,NO
0.76,YES
0.01,NO
0.76,YES
0.01,NO
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.76,YES
0.01,NO
0.76,YES
0.0,NO
0.0,NO
0.02,YES
0.31,YES
0.31,YES
0.02,YES
0.0,NO
0.0,NO
0.02,YES
0.02,NO
0.02,YES
0.02,NO
0.47,NO
0.47,NO
0.47,NO
0.0,NO
0.31,YES
0.0,NO
0.31,YES
0.0,NO
0.31,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.02,YES
0.02,NO
0.02,YES
0.0,NO
0.0,NO
0.4,YES
0.7,YES
0.7,YES
0.4,YES
0.0,NO
0.0,NO
0.4,YES
0.07,NO
0.4,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.7,YES
0.0,NO
0.7,YES
0.0,NO
0.7,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.4,YES
0.07,NO
0.4,YES
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.75,YES
0.75,YES
0.75,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.74,YES
0.74,YES
0.03,NO
0.0,NO
0.0,NO
0.03,NO
0.74,YES
0.74,YES
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.74,YES
0.0,NO
0.74,YES
0.0,NO
0.74,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.56,YES
0.62,YES
0.62,YES
0.56,YES
0.0,NO
0.0,NO
0.56,YES
0.0,NO
0.56,YES
0.0,NO
0.08,NO
0.08,NO
0.08,NO
0.0,NO
0.62,YES
0.0,NO
0.62,YES
0.0,NO
0.62,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.56,YES
0.0,NO
0.56,YES
0.8,YES
0.8,YES
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.8,YES
0.8,YES
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8,YES
0.0,NO
0.8,YES
0.0,NO
0.8,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.08,YES
0.01,NO
0.08,YES
0.14,NO
0.14,NO
0.14,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.08,YES
0.08,YES
0.08,YES
0.08,YES
0.01,NO
0.08,YES
0.01,NO
0.82,YES
0.82,YES
0.03,NO
0.02,NO
0.02,NO
0.03,NO
0.82,YES
0.82,YES
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.82,YES
0.02,NO
0.82,YES
0.02,NO
0.82,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.07,NO
0.07,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.07,NO
0.07,NO
0.02,NO
0.74,YES
0.02,NO
0.74,YES
0.1,NO
0.1,NO
0.1,NO
0.07,NO
0.0,NO
0.07,NO
0.0,NO
0.07,NO
0.0,NO
0.74,YES
0.74,YES
0.74,YES
0.74,YES
0.02,NO
0.74,YES
0.02,NO
