LOWERTRACED_RFSMOTE_MULTI_VSM,Associated
0.04,NO
0.0,NO
0.23,NO
0.0,NO
0.23,NO
0.0,NO
0.23,NO
0.93,YES
0.93,YES
0.93,YES
0.93,YES
0.17,NO
0.93,YES
0.17,NO
0.0,NO
0.0,NO
0.22,NO
0.17,NO
0.17,NO
0.22,NO
0.0,NO
0.0,NO
0.22,NO
0.95,YES
0.22,NO
0.95,YES
0.45,NO
0.45,NO
0.45,NO
0.0,NO
0.17,NO
0.0,NO
0.17,NO
0.0,NO
0.17,NO
0.95,YES
0.95,YES
0.95,YES
0.95,YES
0.22,NO
0.95,YES
0.22,NO
0.0,NO
0.0,NO
0.73,NO
0.16,NO
0.16,NO
0.73,NO
0.0,NO
0.0,NO
0.73,NO
0.93,YES
0.73,NO
0.93,YES
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.16,NO
0.0,NO
0.16,NO
0.0,NO
0.16,NO
0.93,YES
0.93,YES
0.93,YES
0.93,YES
0.73,NO
0.93,YES
0.73,NO
0.0,NO
0.0,NO
0.94,YES
0.11,YES
0.11,YES
0.94,YES
0.0,NO
0.0,NO
0.94,YES
0.45,NO
0.94,YES
0.45,NO
0.44,NO
0.44,NO
0.44,NO
0.0,NO
0.11,YES
0.0,NO
0.11,YES
0.0,NO
0.11,YES
0.45,NO
0.45,NO
0.45,NO
0.45,NO
0.94,YES
0.45,NO
0.94,YES
0.04,NO
0.04,NO
0.99,YES
0.9,NO
0.9,NO
0.99,YES
0.04,NO
0.04,NO
0.99,YES
0.63,NO
0.99,YES
0.63,NO
0.25,NO
0.25,NO
0.25,NO
0.04,NO
0.9,NO
0.04,NO
0.9,NO
0.04,NO
0.9,NO
0.63,NO
0.63,NO
0.63,NO
0.63,NO
0.99,YES
0.63,NO
0.99,YES
0.0,NO
0.0,NO
0.93,YES
0.96,YES
0.96,YES
0.93,YES
0.0,NO
0.0,NO
0.93,YES
0.92,NO
0.93,YES
0.92,NO
0.25,NO
0.25,NO
0.25,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.92,NO
0.92,NO
0.92,NO
0.92,NO
0.93,YES
0.92,NO
0.93,YES
0.9,NO
0.9,NO
0.97,YES
0.45,NO
0.45,NO
0.97,YES
0.9,NO
0.9,NO
0.97,YES
0.3,NO
0.97,YES
0.3,NO
0.0,NO
0.0,NO
0.0,NO
0.9,NO
0.45,NO
0.9,NO
0.45,NO
0.9,NO
0.45,NO
0.3,NO
0.3,NO
0.3,NO
0.3,NO
0.97,YES
0.3,NO
0.97,YES
0.05,NO
0.05,NO
0.0,YES
0.26,YES
0.26,YES
0.0,YES
0.05,NO
0.05,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.26,YES
0.05,NO
0.26,YES
0.05,NO
0.26,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.09,NO
0.09,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.1,NO
0.97,YES
0.24,YES
0.24,YES
0.97,YES
0.1,NO
0.1,NO
0.97,YES
0.81,NO
0.97,YES
0.81,NO
0.15,NO
0.15,NO
0.15,NO
0.1,NO
0.24,YES
0.1,NO
0.24,YES
0.1,NO
0.24,YES
0.81,NO
0.81,NO
0.81,NO
0.81,NO
0.97,YES
0.81,NO
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.9,YES
0.9,YES
0.97,YES
0.0,NO
0.0,NO
0.97,YES
0.27,NO
0.97,YES
0.27,NO
0.43,NO
0.43,NO
0.43,NO
0.0,NO
0.9,YES
0.0,NO
0.9,YES
0.0,NO
0.9,YES
0.27,NO
0.27,NO
0.27,NO
0.27,NO
0.97,YES
0.27,NO
0.97,YES
0.0,NO
0.0,NO
1.0,YES
0.18,YES
0.18,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.41,NO
1.0,YES
0.41,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.18,YES
0.0,NO
0.18,YES
0.0,NO
0.18,YES
0.41,NO
0.41,NO
0.41,NO
0.41,NO
1.0,YES
0.41,NO
1.0,YES
0.14,NO
0.14,NO
0.97,YES
0.65,YES
0.65,YES
0.97,YES
0.14,NO
0.14,NO
0.97,YES
0.52,NO
0.97,YES
0.52,NO
0.15,NO
0.15,NO
0.15,NO
0.14,NO
0.65,YES
0.14,NO
0.65,YES
0.14,NO
0.65,YES
0.52,NO
0.52,NO
0.52,NO
0.52,NO
0.97,YES
0.52,NO
0.97,YES
0.0,NO
0.0,NO
0.32,YES
0.82,YES
0.82,YES
0.32,YES
0.0,NO
0.0,NO
0.32,YES
0.15,NO
0.32,YES
0.15,NO
0.69,NO
0.69,NO
0.69,NO
0.0,NO
0.82,YES
0.0,NO
0.82,YES
0.0,NO
0.82,YES
0.15,NO
0.15,NO
0.15,NO
0.15,NO
0.32,YES
0.15,NO
0.32,YES
0.09,NO
0.09,NO
0.9,YES
0.94,YES
0.94,YES
0.9,YES
0.09,NO
0.09,NO
0.9,YES
0.34,NO
0.9,YES
0.34,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.94,YES
0.09,NO
0.94,YES
0.09,NO
0.94,YES
0.34,NO
0.34,NO
0.34,NO
0.34,NO
0.9,YES
0.34,NO
0.9,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.93,YES
0.93,YES
0.96,YES
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.32,NO
0.32,NO
0.32,NO
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.2,YES
0.0,NO
0.2,YES
0.42,NO
0.42,NO
0.42,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.2,YES
0.2,YES
0.2,YES
0.2,YES
0.0,NO
0.2,YES
0.0,NO
0.96,YES
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.28,NO
0.28,NO
0.23,NO
0.0,NO
0.0,NO
0.23,NO
0.28,NO
0.28,NO
0.23,NO
1.0,YES
0.23,NO
1.0,YES
0.5,NO
0.5,NO
0.5,NO
0.28,NO
0.0,NO
0.28,NO
0.0,NO
0.28,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.23,NO
1.0,YES
0.23,NO
