LOWERTRACED_RFSMOTE_SINGLE_VSM,Associated
0.01,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.01,NO
0.01,NO
0.03,NO
1.0,YES
0.03,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.03,NO
0.01,NO
0.03,NO
0.01,NO
0.03,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.03,NO
1.0,YES
0.03,NO
0.01,NO
0.01,NO
0.87,YES
0.98,YES
0.98,YES
0.87,YES
0.01,NO
0.01,NO
0.87,YES
0.04,NO
0.87,YES
0.04,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.98,YES
0.01,NO
0.98,YES
0.01,NO
0.98,YES
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.87,YES
0.04,NO
0.87,YES
0.01,NO
0.01,NO
0.0,NO
0.03,NO
0.03,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.02,NO
0.02,NO
0.02,NO
0.01,NO
0.03,NO
0.01,NO
0.03,NO
0.01,NO
0.03,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.05,NO
0.05,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.05,NO
0.05,NO
0.02,NO
0.97,YES
0.02,NO
0.97,YES
0.18,NO
0.18,NO
0.18,NO
0.05,NO
0.02,NO
0.05,NO
0.02,NO
0.05,NO
0.02,NO
0.97,YES
0.97,YES
0.97,YES
0.97,YES
0.02,NO
0.97,YES
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
1.0,YES
0.02,NO
1.0,YES
0.07,NO
0.07,NO
0.07,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.02,NO
1.0,YES
0.02,NO
0.06,NO
0.06,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.06,NO
0.06,NO
0.02,NO
0.96,YES
0.02,NO
0.96,YES
0.08,NO
0.08,NO
0.08,NO
0.06,NO
0.02,NO
0.06,NO
0.02,NO
0.06,NO
0.02,NO
0.96,YES
0.96,YES
0.96,YES
0.96,YES
0.02,NO
0.96,YES
0.02,NO
0.08,NO
0.08,NO
0.99,YES
0.08,YES
0.08,YES
0.99,YES
0.08,NO
0.08,NO
0.99,YES
0.46,NO
0.99,YES
0.46,NO
0.02,NO
0.02,NO
0.02,NO
0.08,NO
0.08,YES
0.08,NO
0.08,YES
0.08,NO
0.08,YES
0.46,NO
0.46,NO
0.46,NO
0.46,NO
0.99,YES
0.46,NO
0.99,YES
0.5815789288468213,NO
0.5815789288468213,NO
0.98,YES
0.02,NO
0.02,NO
0.98,YES
0.5815789288468213,NO
0.5815789288468213,NO
0.98,YES
0.11,NO
0.98,YES
0.11,NO
0.49,NO
0.49,NO
0.49,NO
0.5815789288468213,NO
0.02,NO
0.5815789288468213,NO
0.02,NO
0.5815789288468213,NO
0.02,NO
0.11,NO
0.11,NO
0.11,NO
0.11,NO
0.98,YES
0.11,NO
0.98,YES
0.0,NO
0.0,NO
0.95,YES
0.82,YES
0.82,YES
0.95,YES
0.0,NO
0.0,NO
0.95,YES
0.78,NO
0.95,YES
0.78,NO
0.08,NO
0.08,NO
0.08,NO
0.0,NO
0.82,YES
0.0,NO
0.82,YES
0.0,NO
0.82,YES
0.78,NO
0.78,NO
0.78,NO
0.78,NO
0.95,YES
0.78,NO
0.95,YES
0.58,NO
0.58,NO
0.98,YES
0.09,NO
0.09,NO
0.98,YES
0.58,NO
0.58,NO
0.98,YES
0.29,NO
0.98,YES
0.29,NO
0.04,NO
0.04,NO
0.04,NO
0.58,NO
0.09,NO
0.58,NO
0.09,NO
0.58,NO
0.09,NO
0.29,NO
0.29,NO
0.29,NO
0.29,NO
0.98,YES
0.29,NO
0.98,YES
0.07,NO
0.07,NO
0.09,YES
0.97,YES
0.97,YES
0.09,YES
0.07,NO
0.07,NO
0.09,YES
0.03,NO
0.09,YES
0.03,NO
0.3,NO
0.3,NO
0.3,NO
0.07,NO
0.97,YES
0.07,NO
0.97,YES
0.07,NO
0.97,YES
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.09,YES
0.03,NO
0.09,YES
1.0,YES
1.0,YES
0.09,NO
0.1,NO
0.1,NO
0.09,NO
1.0,YES
1.0,YES
0.09,NO
0.01,NO
0.09,NO
0.01,NO
0.16,NO
0.16,NO
0.16,NO
1.0,YES
0.1,NO
1.0,YES
0.1,NO
1.0,YES
0.1,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.09,NO
0.01,NO
0.09,NO
0.6024176303826507,NO
0.6024176303826507,NO
0.82,YES
0.68,YES
0.68,YES
0.82,YES
0.6024176303826507,NO
0.6024176303826507,NO
0.82,YES
0.05,NO
0.82,YES
0.05,NO
0.07,NO
0.07,NO
0.07,NO
0.6024176303826507,NO
0.68,YES
0.6024176303826507,NO
0.68,YES
0.6024176303826507,NO
0.68,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.82,YES
0.05,NO
0.82,YES
0.05,NO
0.05,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.05,NO
0.05,NO
1.0,YES
0.29,NO
1.0,YES
0.29,NO
0.02,NO
0.02,NO
0.02,NO
0.05,NO
1.0,YES
0.05,NO
1.0,YES
0.05,NO
1.0,YES
0.29,NO
0.29,NO
0.29,NO
0.29,NO
1.0,YES
0.29,NO
1.0,YES
0.0,NO
0.0,NO
0.98,YES
0.08,YES
0.08,YES
0.98,YES
0.0,NO
0.0,NO
0.98,YES
0.08,NO
0.98,YES
0.08,NO
0.09,NO
0.09,NO
0.09,NO
0.0,NO
0.08,YES
0.0,NO
0.08,YES
0.0,NO
0.08,YES
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.98,YES
0.08,NO
0.98,YES
0.409801678079185,NO
0.409801678079185,NO
1.0,YES
0.7,YES
0.7,YES
1.0,YES
0.409801678079185,NO
0.409801678079185,NO
1.0,YES
0.02,NO
1.0,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.409801678079185,NO
0.7,YES
0.409801678079185,NO
0.7,YES
0.409801678079185,NO
0.7,YES
0.02,NO
0.02,NO
0.02,NO
0.02,NO
1.0,YES
0.02,NO
1.0,YES
0.0,NO
0.0,NO
0.15,YES
0.99,YES
0.99,YES
0.15,YES
0.0,NO
0.0,NO
0.15,YES
0.14,NO
0.15,YES
0.14,NO
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.14,NO
0.14,NO
0.14,NO
0.14,NO
0.15,YES
0.14,NO
0.15,YES
0.04,NO
0.04,NO
0.05,YES
0.95,YES
0.95,YES
0.05,YES
0.04,NO
0.04,NO
0.05,YES
0.04,NO
0.05,YES
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.95,YES
0.04,NO
0.95,YES
0.04,NO
0.95,YES
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.05,YES
0.04,NO
0.05,YES
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.03,NO
0.01,NO
0.03,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.01,NO
0.03,NO
0.01,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.01,NO
0.01,NO
0.01,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.03,NO
0.03,NO
0.12,YES
0.97,YES
0.97,YES
0.12,YES
0.03,NO
0.03,NO
0.12,YES
0.0,NO
0.12,YES
0.0,NO
0.05,NO
0.05,NO
0.05,NO
0.03,NO
0.97,YES
0.03,NO
0.97,YES
0.03,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,YES
0.0,NO
0.12,YES
1.0,YES
1.0,YES
0.02,NO
0.03,NO
0.03,NO
0.02,NO
1.0,YES
1.0,YES
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
1.0,YES
0.03,NO
1.0,YES
0.03,NO
1.0,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.09,NO
0.09,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.09,NO
0.09,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.53,NO
0.53,NO
0.53,NO
0.09,NO
0.02,NO
0.09,NO
0.02,NO
0.09,NO
0.02,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.83,YES
0.83,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.83,YES
0.83,YES
0.0,NO
0.06,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.0,NO
0.83,YES
0.0,NO
0.83,YES
0.0,NO
0.83,YES
0.0,NO
0.06,NO
0.06,NO
0.06,NO
0.06,NO
0.0,NO
0.06,NO
0.0,NO
0.03,NO
0.03,NO
0.05,NO
0.0,NO
0.0,NO
0.05,NO
0.03,NO
0.03,NO
0.05,NO
1.0,YES
0.05,NO
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
0.03,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.05,NO
1.0,YES
0.05,NO
