UPPERTRACED_RFNONE_RAW_VSM,Associated
0.28,NO
0.09,NO
0.23,NO
0.25,NO
0.29,NO
0.27,NO
0.35,NO
0.24,NO
0.35,NO
0.45,YES
0.31,NO
0.31,YES
0.32,NO
0.32,NO
0.03,NO
0.34,NO
0.3,NO
0.3,NO
0.33,NO
0.19,NO
0.35,NO
0.46,YES
0.44,YES
0.46,YES
0.34,YES
0.35,NO
0.39,YES
0.37,NO
0.28,NO
0.09,NO
0.23,NO
0.25,NO
0.29,NO
0.27,NO
0.35,NO
0.24,NO
0.35,NO
0.45,YES
0.31,NO
0.31,YES
0.32,NO
0.32,NO
0.03,NO
0.34,NO
0.3,NO
0.3,NO
0.33,NO
0.19,NO
0.35,NO
0.46,YES
0.44,YES
0.46,YES
0.34,YES
0.35,NO
0.39,YES
0.37,NO
0.28,NO
0.09,NO
0.23,NO
0.25,NO
0.29,NO
0.27,NO
0.35,NO
0.24,NO
0.35,NO
0.45,YES
0.31,NO
0.31,YES
0.32,NO
0.32,NO
0.03,NO
0.34,NO
0.3,NO
0.3,NO
0.33,NO
0.19,NO
0.35,NO
0.46,YES
0.44,YES
0.46,YES
0.34,YES
0.35,NO
0.39,YES
0.37,NO
0.3,NO
0.3,NO
0.41,YES
0.25,YES
0.19,YES
0.46,YES
0.3,NO
0.34,NO
0.45,YES
0.3,NO
0.46,YES
0.37,NO
0.33,NO
0.31,NO
0.28,NO
0.28,NO
0.29,YES
0.235,NO
0.44,YES
0.3,NO
0.26,YES
0.33,NO
0.29,NO
0.43,NO
0.34,NO
0.4,YES
0.43,NO
0.47,YES
0.14,NO
0.07,NO
0.15,YES
0.16,NO
0.15,NO
0.35,YES
0.12,NO
0.03,NO
0.35,YES
0.13,NO
0.23,YES
0.135,NO
0.14,NO
0.17,NO
0.13,NO
0.12,NO
0.16,NO
0.07,NO
0.14,NO
0.01,NO
0.1,NO
0.15,NO
0.12,NO
0.18,NO
0.17,NO
0.31,YES
0.21,NO
0.27,YES
0.34,NO
0.16,NO
0.28,YES
0.41,YES
0.42,YES
0.33,YES
0.29,NO
0.07,NO
0.34,YES
0.3,NO
0.27,YES
0.25,NO
0.33,NO
0.38,NO
0.38,NO
0.32,NO
0.46,YES
0.32,NO
0.43,YES
0.35,NO
0.41,YES
0.32,NO
0.34,NO
0.28,NO
0.27,NO
0.27,YES
0.29,NO
0.35,YES
0.09,NO
0.03,NO
0.32,YES
0.15,NO
0.18,NO
0.38,YES
0.09,NO
0.1,NO
0.31,YES
0.15,NO
0.35,YES
0.01,NO
0.09,NO
0.13,NO
0.09,NO
0.01,NO
0.14,NO
0.02,NO
0.28,NO
0.0,NO
0.13,NO
0.18,NO
0.185,NO
0.24,NO
0.16,NO
0.28,YES
0.31,NO
0.35,YES
0.34,NO
0.16,NO
0.28,YES
0.41,YES
0.42,YES
0.33,YES
0.29,NO
0.07,NO
0.34,YES
0.3,NO
0.27,YES
0.25,NO
0.33,NO
0.38,NO
0.38,NO
0.32,NO
0.46,YES
0.32,NO
0.43,YES
0.35,NO
0.41,YES
0.32,NO
0.34,NO
0.28,NO
0.27,NO
0.27,YES
0.29,NO
0.35,YES
0.43,YES
0.05,YES
0.25,NO
0.28,NO
0.22,NO
0.27,NO
0.29,YES
0.32,YES
0.22,NO
0.27,NO
0.04,NO
0.18,NO
0.23,NO
0.25,NO
0.05,NO
0.35,YES
0.29,NO
0.43,YES
0.07,NO
0.42,YES
0.31,NO
0.06,NO
0.28,NO
0.22,NO
0.1,NO
0.285,NO
0.24,NO
0.23,NO
0.3,NO
0.3,NO
0.41,YES
0.25,YES
0.19,YES
0.46,YES
0.3,NO
0.34,NO
0.45,YES
0.3,NO
0.46,YES
0.37,NO
0.33,NO
0.31,NO
0.28,NO
0.28,NO
0.29,YES
0.235,NO
0.44,YES
0.3,NO
0.26,YES
0.33,NO
0.29,NO
0.43,NO
0.34,NO
0.4,YES
0.43,NO
0.47,YES
0.3,NO
0.3,NO
0.41,YES
0.25,YES
0.19,YES
0.46,YES
0.3,NO
0.34,NO
0.45,YES
0.3,NO
0.46,YES
0.37,NO
0.33,NO
0.31,NO
0.28,NO
0.28,NO
0.29,YES
0.235,NO
0.44,YES
0.3,NO
0.26,YES
0.33,NO
0.29,NO
0.43,NO
0.34,NO
0.4,YES
0.43,NO
0.47,YES
0.3,NO
0.3,NO
0.41,YES
0.25,YES
0.19,YES
0.46,YES
0.3,NO
0.34,NO
0.45,YES
0.3,NO
0.46,YES
0.37,NO
0.33,NO
0.31,NO
0.28,NO
0.28,NO
0.29,YES
0.235,NO
0.44,YES
0.3,NO
0.26,YES
0.33,NO
0.29,NO
0.43,NO
0.34,NO
0.4,YES
0.43,NO
0.47,YES
0.3,NO
0.3,NO
0.41,YES
0.25,YES
0.19,YES
0.46,YES
0.3,NO
0.34,NO
0.45,YES
0.3,NO
0.46,YES
0.37,NO
0.33,NO
0.31,NO
0.28,NO
0.28,NO
0.29,YES
0.235,NO
0.44,YES
0.3,NO
0.26,YES
0.33,NO
0.29,NO
0.43,NO
0.34,NO
0.4,YES
0.43,NO
0.47,YES
0.34,NO
0.16,NO
0.28,YES
0.41,YES
0.42,YES
0.33,YES
0.29,NO
0.07,NO
0.34,YES
0.3,NO
0.27,YES
0.25,NO
0.33,NO
0.38,NO
0.38,NO
0.32,NO
0.46,YES
0.32,NO
0.43,YES
0.35,NO
0.41,YES
0.32,NO
0.34,NO
0.28,NO
0.27,NO
0.27,YES
0.29,NO
0.35,YES
0.34,NO
0.16,NO
0.28,YES
0.41,YES
0.42,YES
0.33,YES
0.29,NO
0.07,NO
0.34,YES
0.3,NO
0.27,YES
0.25,NO
0.33,NO
0.38,NO
0.38,NO
0.32,NO
0.46,YES
0.32,NO
0.43,YES
0.35,NO
0.41,YES
0.32,NO
0.34,NO
0.28,NO
0.27,NO
0.27,YES
0.29,NO
0.35,YES
0.18,NO
0.1,NO
0.11,NO
0.22,NO
0.08,NO
0.18,NO
0.19,NO
0.04,NO
0.33,NO
0.15,NO
0.03,NO
0.055,NO
0.33,YES
0.3,YES
0.39,YES
0.1,NO
0.12,NO
0.11,NO
0.08,NO
0.15,NO
0.15,NO
0.09,NO
0.1,NO
0.21,NO
0.1,NO
0.06,NO
0.12,NO
0.19,NO
0.43,YES
0.05,YES
0.25,NO
0.28,NO
0.22,NO
0.27,NO
0.29,YES
0.32,YES
0.22,NO
0.27,NO
0.04,NO
0.18,NO
0.23,NO
0.25,NO
0.05,NO
0.35,YES
0.29,NO
0.43,YES
0.07,NO
0.42,YES
0.31,NO
0.06,NO
0.28,NO
0.22,NO
0.1,NO
0.285,NO
0.24,NO
0.23,NO
0.34,NO
0.16,NO
0.28,YES
0.41,YES
0.42,YES
0.33,YES
0.29,NO
0.07,NO
0.34,YES
0.3,NO
0.27,YES
0.25,NO
0.33,NO
0.38,NO
0.38,NO
0.32,NO
0.46,YES
0.32,NO
0.43,YES
0.35,NO
0.41,YES
0.32,NO
0.34,NO
0.28,NO
0.27,NO
0.27,YES
0.29,NO
0.35,YES
0.43,YES
0.05,YES
0.25,NO
0.28,NO
0.22,NO
0.27,NO
0.29,YES
0.32,YES
0.22,NO
0.27,NO
0.04,NO
0.18,NO
0.23,NO
0.25,NO
0.05,NO
0.35,YES
0.29,NO
0.43,YES
0.07,NO
0.42,YES
0.31,NO
0.06,NO
0.28,NO
0.22,NO
0.1,NO
0.285,NO
0.24,NO
0.23,NO
0.28,NO
0.09,NO
0.23,NO
0.25,NO
0.29,NO
0.27,NO
0.35,NO
0.24,NO
0.35,NO
0.45,YES
0.31,NO
0.31,YES
0.32,NO
0.32,NO
0.03,NO
0.34,NO
0.3,NO
0.3,NO
0.33,NO
0.19,NO
0.35,NO
0.46,YES
0.44,YES
0.46,YES
0.34,YES
0.35,NO
0.39,YES
0.37,NO
0.43,YES
0.05,YES
0.25,NO
0.28,NO
0.22,NO
0.27,NO
0.29,YES
0.32,YES
0.22,NO
0.27,NO
0.04,NO
0.18,NO
0.23,NO
0.25,NO
0.05,NO
0.35,YES
0.29,NO
0.43,YES
0.07,NO
0.42,YES
0.31,NO
0.06,NO
0.28,NO
0.22,NO
0.1,NO
0.285,NO
0.24,NO
0.23,NO
0.28,NO
0.09,NO
0.23,NO
0.25,NO
0.29,NO
0.27,NO
0.35,NO
0.24,NO
0.35,NO
0.45,YES
0.31,NO
0.31,YES
0.32,NO
0.32,NO
0.03,NO
0.34,NO
0.3,NO
0.3,NO
0.33,NO
0.19,NO
0.35,NO
0.46,YES
0.44,YES
0.46,YES
0.34,YES
0.35,NO
0.39,YES
0.37,NO
