LOWERTRACED_RFUNDER_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.02,NO
0.0,NO
0.0,NO
1.0,YES
0.99,YES
0.48,YES
1.0,YES
0.02,NO
1.0,YES
0.04,NO
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.98,YES
0.01,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.98,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.5,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.98,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.49,YES
0.0,YES
0.0,YES
1.0,YES
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.98,YES
0.0,NO
0.01,NO
0.98,YES
0.0,NO
0.0,NO
0.49,YES
0.0,NO
0.59,YES
0.01,NO
0.57,NO
0.57,NO
0.57,NO
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.0,NO
0.98,YES
0.17,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.56,NO
1.0,YES
0.71,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.04,NO
1.0,YES
0.0,NO
1.0,YES
0.57,NO
0.56,NO
0.57,NO
0.66,NO
1.0,YES
0.57,NO
1.0,YES
0.0,NO
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.97,YES
0.0,NO
0.01,NO
0.53,YES
0.0,NO
0.49,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.17,NO
0.0,NO
0.98,YES
0.17,NO
0.66,YES
0.0,NO
0.0,NO
0.5,YES
1.0,YES
1.0,YES
0.5,YES
0.0,NO
0.0,NO
0.51,YES
0.0,NO
0.5,YES
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.5,YES
0.0,NO
0.5,YES
1.0,YES
1.0,YES
0.17,NO
0.0,NO
0.01,NO
0.0,NO
1.0,YES
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,YES
0.0,YES
1.0,YES
0.0,NO
0.0,NO
0.53,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.67,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.72,NO
1.0,YES
0.75,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.71,NO
0.77,NO
0.72,NO
0.8,NO
1.0,YES
0.71,NO
1.0,YES
0.0,NO
0.0,NO
0.7,YES
0.0,YES
0.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.05,NO
1.0,YES
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.17,YES
0.0,NO
0.0,YES
0.02,NO
0.06,NO
0.19,NO
0.02,NO
1.0,YES
0.13,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,YES
0.0,YES
1.0,YES
0.0,NO
0.0,NO
0.93,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,YES
0.0,NO
0.02,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.04,NO
0.0,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,YES
1.0,YES
1.0,YES
0.02,YES
0.0,NO
0.0,NO
0.0,YES
0.88,NO
0.0,YES
0.85,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.01,NO
1.0,YES
0.82,NO
0.83,NO
0.82,NO
0.78,NO
0.01,YES
0.81,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
1.0,YES
1.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.99,YES
0.0,NO
1.0,YES
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.91,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.05,NO
1.0,YES
1.0,YES
0.23,NO
0.04,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.08,NO
0.0,NO
0.14,NO
0.07,NO
0.08,NO
0.07,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
1.0,YES
1.0,YES
0.01,YES
0.0,NO
0.0,NO
0.7,YES
0.01,NO
0.01,YES
0.0,NO
0.7,NO
0.48,NO
0.48,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
1.0,YES
0.57,YES
0.92,NO
0.33,NO
0.0,NO
0.01,NO
1.0,YES
1.0,YES
0.01,NO
0.0,NO
0.0,NO
0.02,NO
0.98,NO
0.04,NO
0.05,NO
1.0,YES
0.0,NO
0.72,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
1.0,NO
0.04,NO
0.0,NO
0.05,NO
0.0,NO
0.0,NO
0.37,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
1.0,NO
1.0,YES
0.0,NO
1.0,YES
0.34,NO
0.4,NO
0.39,NO
0.19,NO
0.0,NO
0.98,NO
0.06,NO
0.61,NO
0.6,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.61,YES
0.03,NO
0.09,NO
0.0,NO
0.0,NO
1.0,YES
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.07,NO
0.07,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
