LOWERTRACED_RFSMOTE_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.91,YES
0.95,YES
0.45,YES
0.95,YES
0.0,NO
0.95,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
0.95,YES
0.02,NO
0.95,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.91,YES
0.95,YES
0.95,YES
0.95,YES
0.0,NO
0.95,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.58,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.99,YES
0.99,YES
0.99,YES
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.45,YES
0.0,YES
0.0,YES
0.95,YES
0.0,NO
0.0,NO
0.95,YES
0.88,NO
0.95,YES
0.66,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.65,NO
0.93,NO
0.69,NO
0.65,NO
0.93,YES
0.68,NO
0.93,YES
0.65,NO
0.69,NO
0.55,YES
0.0,NO
0.0,NO
0.55,YES
0.6,NO
0.63,NO
0.57,YES
0.0,NO
0.56,YES
0.0,NO
0.7,NO
0.69,NO
0.68,NO
0.65,NO
0.0,NO
0.69,NO
0.05,NO
0.69,NO
0.0,NO
0.0,NO
0.01,NO
0.05,NO
0.0,NO
0.51,YES
0.05,NO
0.48,YES
0.0,NO
0.0,NO
0.69,YES
0.68,YES
0.64,YES
0.66,YES
0.0,NO
0.0,NO
0.7,YES
0.69,NO
0.69,YES
0.67,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.65,YES
0.0,NO
0.68,YES
0.0,NO
0.65,YES
0.69,NO
0.66,NO
0.7,NO
0.67,NO
0.69,YES
0.66,NO
0.66,YES
0.98,NO
0.98,NO
0.97,YES
0.01,NO
0.0,NO
0.93,YES
0.98,NO
0.97,NO
0.66,YES
0.73,NO
0.46,YES
0.73,NO
0.0,NO
0.0,NO
0.0,NO
0.98,NO
0.0,NO
0.98,NO
0.05,NO
0.5,NO
0.0,NO
0.56,NO
0.7,NO
0.62,NO
0.56,NO
0.97,YES
0.62,NO
0.89,YES
0.0,NO
0.0,NO
0.5,YES
0.99,YES
0.99,YES
0.5,YES
0.0,NO
0.0,NO
0.75,YES
0.0,NO
0.54,YES
0.0,NO
0.69,NO
0.7,NO
0.7,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.5,YES
0.0,NO
0.5,YES
0.99,YES
0.58,YES
0.05,NO
0.0,NO
0.01,NO
0.0,NO
0.99,YES
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.74,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.74,NO
0.56,NO
0.98,YES
0.98,YES
0.96,YES
0.98,YES
0.74,NO
0.56,NO
0.89,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.74,NO
0.99,YES
0.56,NO
0.98,YES
0.69,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.74,YES
0.99,YES
0.99,YES
0.99,YES
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.65,YES
0.0,YES
0.0,YES
0.99,YES
0.0,NO
0.0,NO
0.99,YES
0.5,NO
0.99,YES
0.49,NO
0.98,NO
0.98,NO
0.96,NO
0.0,NO
0.01,YES
0.0,NO
0.05,YES
0.01,NO
0.0,YES
1.0,NO
0.99,NO
0.92,NO
0.99,NO
0.99,YES
0.92,NO
0.99,YES
0.56,NO
0.56,NO
0.99,YES
0.99,YES
0.98,YES
0.99,YES
0.56,NO
0.58,NO
0.73,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.99,NO
0.98,YES
0.97,NO
0.99,YES
0.58,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.87,YES
0.0,NO
0.0,NO
0.87,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
1.0,YES
0.0,NO
1.0,YES
0.01,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,YES
0.6,YES
0.6,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.01,NO
0.0,YES
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.6,YES
0.01,NO
0.64,YES
0.0,NO
0.61,YES
0.01,NO
0.04,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.88,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.06,NO
1.0,YES
1.0,YES
0.22,NO
0.08,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.08,NO
0.0,NO
0.13,NO
0.11,NO
0.1,NO
0.06,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
1.0,YES
1.0,YES
0.04,YES
0.0,NO
0.0,NO
0.46,YES
0.01,NO
0.05,YES
0.0,NO
0.46,NO
0.36,NO
0.36,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.05,YES
0.0,NO
0.01,YES
1.0,YES
0.52,YES
1.0,NO
0.57,NO
0.0,NO
0.03,NO
1.0,YES
0.96,YES
0.03,NO
0.0,NO
0.0,NO
0.04,NO
0.99,NO
0.15,NO
0.15,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.15,NO
0.0,NO
1.0,NO
0.05,NO
0.0,NO
0.15,NO
0.0,NO
0.49,NO
0.39,NO
0.0,NO
0.99,NO
0.0,NO
0.0,NO
1.0,NO
1.0,YES
0.47,NO
1.0,YES
1.0,NO
1.0,NO
1.0,NO
0.27,NO
0.0,NO
0.99,NO
0.17,NO
0.65,NO
0.57,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.99,NO
0.98,YES
0.99,NO
1.0,YES
0.33,YES
0.05,NO
0.02,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.04,NO
0.05,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.02,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
1.0,YES
1.0,YES
1.0,YES
0.01,NO
1.0,YES
0.0,NO
