NONETRACED_MEDIAN_RAW_VSM_RFSMOTE,Associated
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.01,YES
0.02,NO
0.0,YES
0.01,YES
0.0,YES
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.01,YES
0.01,YES
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.02,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.02,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.01,YES
0.17,YES
0.03,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.02,NO
0.02,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.02,NO
0.0,NO
0.01,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.01,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.0,NO
0.01,YES
0.0,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.0,NO
