LOWERTRACED_MAX_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.08,NO
0.32,NO
0.2,NO
0.01,NO
0.07,NO
0.01,NO
1.0,YES
1.0,YES
0.71,YES
1.0,YES
0.12,NO
1.0,YES
0.19,NO
0.15,NO
0.06,NO
0.08,NO
0.01,NO
0.07,NO
0.17,NO
0.17,NO
0.0,NO
0.17,NO
1.0,YES
0.17,NO
1.0,YES
0.01,NO
0.07,NO
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.03,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.76,YES
0.0,NO
1.0,YES
0.03,NO
0.07,NO
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,NO
0.16,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.71,YES
0.1,YES
0.11,YES
1.0,YES
0.01,NO
0.0,NO
1.0,YES
0.08,NO
1.0,YES
0.13,NO
0.02,NO
0.13,NO
0.13,NO
0.0,NO
0.07,YES
0.0,NO
0.06,YES
0.02,NO
0.11,YES
0.12,NO
0.03,NO
0.1,NO
0.12,NO
1.0,YES
0.09,NO
1.0,YES
0.07,NO
0.07,NO
1.0,YES
0.06,NO
0.1,NO
1.0,YES
0.07,NO
0.0,NO
0.71,YES
0.09,NO
0.83,YES
0.14,NO
0.01,NO
0.01,NO
0.01,NO
0.07,NO
0.06,NO
0.0,NO
0.06,NO
0.11,NO
0.05,NO
0.07,NO
0.13,NO
0.01,NO
0.09,NO
1.0,YES
0.01,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.8,NO
1.0,YES
0.79,NO
0.02,NO
0.06,NO
0.07,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.8,NO
0.79,NO
0.8,NO
0.79,NO
1.0,YES
0.79,NO
1.0,YES
0.07,NO
0.07,NO
1.0,YES
0.07,NO
0.09,NO
1.0,YES
0.07,NO
0.08,NO
0.77,YES
0.12,NO
0.71,YES
0.12,NO
0.01,NO
0.12,NO
0.0,NO
0.07,NO
0.06,NO
0.07,NO
0.07,NO
0.0,NO
0.06,NO
0.08,NO
0.08,NO
0.1,NO
0.08,NO
1.0,YES
0.1,NO
0.98,YES
0.0,NO
0.0,NO
0.12,YES
1.0,YES
1.0,YES
0.13,YES
0.0,NO
0.0,NO
0.13,YES
0.0,NO
0.12,YES
0.0,NO
0.15,NO
0.15,NO
0.14,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.11,YES
0.0,NO
0.1,YES
1.0,YES
1.0,YES
0.01,NO
0.13,NO
0.11,NO
0.14,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.14,NO
0.0,NO
0.07,NO
0.11,NO
0.11,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.12,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.07,YES
0.07,YES
1.0,YES
0.0,NO
0.0,NO
0.71,YES
0.0,NO
1.0,YES
0.0,NO
0.01,NO
0.13,NO
0.07,NO
0.0,NO
0.07,YES
0.0,NO
0.06,YES
0.0,NO
0.05,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.02,NO
0.0,NO
1.0,YES
0.2,NO
1.0,YES
0.22,NO
0.01,NO
0.12,NO
0.12,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.06,NO
1.0,YES
0.24,NO
0.22,NO
0.26,NO
0.26,NO
1.0,YES
0.24,NO
1.0,YES
0.0,NO
0.0,NO
0.88,YES
0.18,YES
0.16,YES
1.0,YES
0.01,NO
0.07,NO
1.0,YES
0.14,NO
1.0,YES
0.17,NO
0.12,NO
0.0,NO
0.0,NO
0.06,NO
0.29,YES
0.06,NO
0.27,YES
0.07,NO
0.29,YES
0.27,NO
0.29,NO
0.54,NO
0.54,NO
1.0,YES
0.75,NO
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.11,YES
0.07,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.13,NO
0.0,NO
0.13,YES
0.0,NO
0.16,YES
0.0,NO
0.17,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.01,NO
1.0,YES
0.0,NO
0.0,NO
0.47,YES
1.0,YES
1.0,YES
0.94,YES
0.0,NO
0.0,NO
1.0,YES
0.98,NO
0.54,YES
0.95,NO
0.01,NO
0.01,NO
0.02,NO
0.08,NO
1.0,YES
0.08,NO
1.0,YES
0.08,NO
1.0,YES
0.88,NO
0.97,NO
0.97,NO
0.72,NO
0.89,YES
0.88,NO
0.77,YES
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.16,NO
1.0,YES
0.0,NO
0.12,NO
0.0,NO
0.0,NO
0.11,NO
1.0,YES
0.17,NO
1.0,YES
0.0,NO
1.0,YES
0.23,NO
0.2,NO
0.13,NO
0.0,NO
1.0,YES
0.33,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.34,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.97,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.82,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,NO
0.0,NO
1.0,NO
1.0,YES
1.0,YES
1.0,NO
0.87,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.83,NO
0.0,NO
1.0,NO
0.86,NO
0.83,NO
0.83,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.73,YES
1.0,YES
1.0,YES
0.74,YES
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.89,YES
0.0,NO
1.0,NO
1.0,NO
1.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.88,YES
0.0,NO
0.54,YES
1.0,YES
0.56,YES
1.0,NO
0.99,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,NO
1.0,YES
0.0,NO
1.0,YES
0.92,NO
0.85,NO
0.92,NO
0.0,NO
0.0,NO
0.98,NO
0.0,NO
0.99,NO
0.79,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.83,YES
0.99,NO
0.75,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.84,NO
0.76,NO
0.69,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.6,NO
0.63,NO
0.0,NO
0.59,NO
0.6,NO
0.0,NO
0.68,NO
1.0,YES
0.0,NO
1.0,YES
0.4,NO
0.4,NO
0.42,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.37,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.77,NO
1.0,YES
0.0,NO
