LOWERTRACED_RFNONE_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.43,YES
0.41,YES
0.37,YES
0.42,YES
0.0,NO
0.4,YES
0.03,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.98,YES
0.01,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.97,YES
0.98,YES
0.98,YES
0.98,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.29,YES
0.0,NO
0.33,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.33,YES
0.33,YES
0.33,YES
0.36,YES
0.0,NO
0.37,YES
0.0,NO
0.0,NO
0.0,NO
0.57,YES
0.0,YES
0.0,YES
0.51,YES
0.0,NO
0.0,NO
0.52,YES
0.0,NO
0.52,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.55,YES
0.0,NO
0.51,YES
0.01,NO
0.0,NO
0.58,YES
0.0,NO
0.0,NO
0.58,YES
0.01,NO
0.0,NO
0.59,YES
0.0,NO
0.57,YES
0.0,NO
0.5,NO
0.5,NO
0.5,NO
0.01,NO
0.0,NO
0.0,NO
0.14,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.14,NO
0.0,NO
0.57,YES
0.14,NO
0.51,YES
0.0,NO
0.0,NO
0.29,YES
0.52,YES
0.52,YES
0.29,YES
0.0,NO
0.0,NO
0.29,YES
0.61,NO
0.29,YES
0.7,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.53,YES
0.0,NO
0.52,YES
0.0,NO
0.52,YES
0.61,NO
0.63,NO
0.62,NO
0.7,NO
0.29,YES
0.68,NO
0.26,YES
0.0,NO
0.0,NO
0.57,YES
0.01,NO
0.0,NO
0.57,YES
0.01,NO
0.0,NO
0.56,YES
0.0,NO
0.57,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.14,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.14,NO
0.0,NO
0.57,YES
0.14,NO
0.51,YES
0.0,NO
0.0,NO
0.93,YES
0.26,YES
0.35,YES
0.93,YES
0.0,NO
0.0,NO
0.58,YES
0.0,NO
0.93,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.3,YES
0.0,NO
0.33,YES
0.0,NO
0.35,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.0,NO
0.9,YES
0.99,YES
1.0,YES
0.14,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
1.0,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.03,NO
0.55,YES
0.0,YES
0.0,YES
0.55,YES
0.03,NO
0.03,NO
0.59,YES
0.0,NO
0.59,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,YES
0.03,NO
0.0,YES
0.03,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.55,YES
0.0,NO
0.59,YES
0.0,NO
0.0,NO
0.68,YES
0.99,YES
1.0,YES
0.71,YES
0.0,NO
0.0,NO
0.71,YES
0.72,NO
0.71,YES
0.72,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.67,NO
0.73,NO
0.66,NO
0.74,NO
0.71,YES
0.66,NO
0.71,YES
0.0,NO
0.0,NO
0.6,YES
0.0,YES
0.0,YES
0.58,YES
0.0,NO
0.0,NO
0.6,YES
0.69,NO
0.61,YES
0.71,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.14,YES
0.01,NO
0.0,YES
0.9,NO
0.94,NO
0.95,NO
0.95,NO
0.94,YES
0.96,NO
0.95,YES
0.03,NO
0.03,NO
0.95,YES
0.0,YES
0.0,YES
0.99,YES
0.03,NO
0.03,NO
0.99,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,YES
0.03,NO
0.0,YES
0.03,NO
0.0,YES
0.0,NO
0.0,NO
0.03,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,YES
1.0,YES
1.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
1.0,YES
1.0,YES
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.01,NO
0.01,YES
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.01,NO
1.0,YES
0.01,NO
0.96,YES
0.0,NO
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.01,YES
0.01,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.05,NO
1.0,YES
1.0,YES
0.29,NO
0.08,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.1,NO
0.0,NO
0.15,NO
0.09,NO
0.09,NO
0.1,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.97,YES
0.97,YES
0.0,YES
0.0,NO
0.0,NO
0.44,YES
0.0,NO
0.0,YES
0.0,NO
0.64,NO
0.33,NO
0.39,NO
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
1.0,YES
0.37,YES
0.99,NO
0.4,NO
0.0,NO
0.0,NO
1.0,YES
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
0.67,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.33,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.83,NO
1.0,YES
0.0,NO
1.0,YES
0.2,NO
0.19,NO
0.21,NO
0.0,NO
0.0,NO
0.85,NO
0.0,NO
0.47,NO
0.81,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.37,YES
0.05,NO
0.08,NO
0.0,NO
0.0,NO
0.96,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.04,NO
0.02,NO
0.96,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.02,NO
1.0,YES
0.0,NO
