LOWERTRACED_RFUNDER_SINGLE_VSM_RFNONE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.58,YES
0.72,YES
0.32,YES
0.96,YES
0.0,NO
0.95,YES
0.03,NO
0.27,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.05,NO
0.01,NO
0.38,NO
0.88,YES
0.06,NO
0.94,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.58,YES
0.8,YES
0.95,YES
0.95,YES
0.0,NO
0.94,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.43,YES
0.0,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.72,YES
0.72,YES
0.72,YES
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.28,YES
0.03,YES
0.01,YES
0.95,YES
0.0,NO
0.0,NO
0.72,YES
0.0,NO
0.72,YES
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.72,YES
0.0,NO
0.94,YES
0.0,NO
0.0,NO
0.88,YES
0.0,NO
0.0,NO
0.53,YES
0.06,NO
0.0,NO
0.61,YES
0.0,NO
0.53,YES
0.02,NO
0.03,NO
0.02,NO
0.04,NO
0.01,NO
0.0,NO
0.0,NO
0.45,NO
0.13,NO
0.0,NO
0.0,NO
0.0,NO
0.39,NO
0.0,NO
0.86,YES
0.08,NO
0.95,YES
0.0,NO
0.0,NO
0.86,YES
0.9,YES
0.89,YES
0.95,YES
0.03,NO
0.0,NO
0.96,YES
0.06,NO
0.96,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.9,YES
0.0,NO
0.9,YES
0.01,NO
0.9,YES
0.06,NO
0.1,NO
0.04,NO
0.01,NO
0.86,YES
0.03,NO
0.96,YES
0.01,NO
0.0,NO
0.86,YES
0.01,NO
0.0,NO
0.53,YES
0.03,NO
0.0,NO
0.42,YES
0.0,NO
0.33,YES
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.6,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.39,NO
0.0,NO
0.83,YES
0.45,NO
0.72,YES
0.0,NO
0.0,NO
0.0,YES
0.9,YES
0.92,YES
0.0,YES
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.0,YES
0.0,NO
0.01,NO
0.03,NO
0.01,NO
0.0,NO
0.92,YES
0.0,NO
0.92,YES
0.0,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.95,YES
0.95,YES
0.45,NO
0.0,NO
0.08,NO
0.0,NO
0.87,YES
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.32,NO
0.86,YES
0.0,NO
0.88,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.92,YES
0.0,YES
0.0,YES
0.74,YES
0.0,NO
0.0,NO
0.64,YES
0.0,NO
0.88,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.96,YES
0.0,NO
0.9,YES
0.01,NO
0.0,NO
0.54,YES
0.97,YES
0.98,YES
0.88,YES
0.0,NO
0.05,NO
0.92,YES
0.02,NO
0.96,YES
0.03,NO
0.0,NO
0.01,NO
0.37,NO
0.0,NO
0.99,YES
0.0,NO
0.97,YES
0.0,NO
0.99,YES
0.08,NO
0.03,NO
0.01,NO
0.13,NO
0.92,YES
0.03,NO
0.93,YES
0.0,NO
0.0,NO
0.31,YES
0.0,YES
0.0,YES
0.74,YES
0.0,NO
0.0,NO
0.74,YES
0.0,NO
0.88,YES
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.09,YES
0.01,NO
0.0,YES
0.06,NO
0.07,NO
0.43,NO
0.01,NO
0.81,YES
0.03,NO
0.99,YES
0.0,NO
0.0,NO
0.75,YES
0.0,YES
0.0,YES
0.97,YES
0.0,NO
0.0,NO
0.36,YES
0.0,NO
0.93,YES
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.97,YES
0.0,NO
0.58,YES
0.0,NO
0.0,NO
0.0,YES
0.88,YES
0.93,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.01,NO
0.0,NO
0.03,NO
0.0,NO
0.01,NO
0.92,YES
0.0,NO
0.93,YES
0.0,NO
0.92,YES
0.02,NO
0.0,NO
0.0,NO
0.22,NO
0.0,YES
0.03,NO
0.01,YES
0.01,NO
0.0,NO
0.0,YES
0.69,YES
0.87,YES
0.0,YES
0.0,NO
0.0,NO
0.02,YES
0.06,NO
0.02,YES
0.0,NO
0.29,NO
0.0,NO
0.0,NO
0.06,NO
0.9,YES
0.01,NO
0.8,YES
0.0,NO
0.5,YES
0.0,NO
0.08,NO
0.02,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.56,YES
0.73,YES
0.87,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.0,NO
0.0,NO
0.92,YES
0.93,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.72,YES
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.81,YES
0.0,NO
0.85,YES
0.0,NO
0.84,YES
0.0,NO
0.06,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,YES
0.81,YES
0.81,YES
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.75,YES
0.0,NO
0.8,YES
0.0,NO
0.82,YES
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.71,YES
0.38,YES
0.28,NO
0.01,NO
0.0,NO
0.03,NO
0.83,YES
0.53,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.25,NO
0.05,NO
0.11,NO
0.84,YES
0.0,NO
0.65,YES
0.0,NO
0.71,YES
0.0,NO
0.0,NO
0.0,NO
0.3,NO
0.0,NO
0.2,NO
0.09,NO
0.0,NO
0.25,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.21,NO
0.0,NO
0.0,NO
0.14,NO
0.79,YES
0.0,NO
0.84,YES
0.09,NO
0.09,NO
0.09,NO
0.26,NO
0.0,NO
0.27,NO
0.26,NO
0.14,NO
0.04,NO
0.84,YES
0.84,YES
0.84,YES
0.84,YES
0.01,NO
0.84,YES
0.04,NO
0.86,YES
0.68,YES
0.04,NO
0.01,NO
0.0,NO
0.0,NO
0.87,YES
0.51,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.08,NO
0.87,YES
0.0,NO
0.86,YES
0.0,NO
0.86,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.87,YES
0.0,NO
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.87,YES
0.87,YES
0.87,YES
0.89,YES
0.0,NO
0.87,YES
0.0,NO
