ALLTRACED_MEDIAN_SINGLE_LSA_RFNONE,Associated
0.11,YES
0.0,NO
0.13,YES
0.0,NO
0.0,NO
0.0,NO
0.16,NO
0.0,NO
0.14,NO
0.02,NO
0.01,NO
0.07,NO
0.0,NO
0.0,NO
0.04,NO
0.02,NO
0.08,NO
0.0,NO
0.0,NO
0.12,NO
0.1,YES
0.0,NO
0.1,YES
0.01,NO
0.17,NO
0.21,NO
0.08,NO
0.0,NO
0.13,NO
0.04,NO
0.11,NO
0.21,NO
0.08,YES
0.02,YES
0.02,YES
0.08,YES
0.06,NO
0.0,YES
0.02,NO
0.29,YES
0.0,YES
0.31,NO
0.01,NO
0.0,NO
0.0,NO
0.03,YES
0.19,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.11,NO
0.14,NO
0.0,YES
0.0,NO
0.53,YES
0.0,NO
0.34,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.0,NO
0.11,NO
0.27,NO
0.0,NO
0.02,NO
0.16,NO
0.0,NO
0.47,NO
0.19,YES
0.01,NO
0.31,YES
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.0,YES
0.0,YES
0.02,YES
0.25,YES
0.08,NO
0.0,YES
0.0,NO
