LOWERTRACED_RFNONE_SINGLE_VSM_RFNONE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.01,YES
0.09,NO
0.28,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.03,NO
0.0,NO
0.14,NO
0.79,YES
0.03,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.49,YES
0.73,YES
0.91,YES
0.91,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.04,YES
0.0,NO
0.21,YES
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.1,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.03,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.16,NO
0.16,NO
0.2,NO
0.1,NO
0.0,NO
0.0,NO
0.55,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.55,NO
0.0,NO
0.0,YES
0.05,NO
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.0,YES
0.01,YES
0.01,YES
0.0,NO
0.0,NO
0.0,YES
0.56,NO
0.01,YES
0.41,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.56,NO
0.56,NO
0.56,NO
0.52,NO
0.01,YES
0.57,NO
0.02,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.01,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.56,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.55,NO
0.0,NO
0.0,YES
0.56,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.02,YES
0.04,YES
0.0,YES
0.0,NO
0.0,NO
0.06,YES
0.0,NO
0.0,YES
0.0,NO
0.1,NO
0.09,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.06,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.91,YES
0.99,YES
0.55,NO
0.0,NO
0.02,NO
0.0,NO
0.89,YES
0.82,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.62,NO
1.0,YES
0.0,NO
0.9,YES
0.0,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,YES
0.0,YES
0.01,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,YES
0.98,YES
1.0,YES
0.01,YES
0.0,NO
0.0,NO
0.0,YES
0.57,NO
0.0,YES
0.41,NO
0.0,NO
0.0,NO
0.33,NO
0.0,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
1.0,YES
0.56,NO
0.57,NO
0.56,NO
0.55,NO
0.0,YES
0.56,NO
0.08,YES
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.17,NO
0.0,YES
0.15,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.06,YES
0.0,NO
0.0,YES
0.1,NO
0.14,NO
0.12,NO
0.1,NO
0.0,YES
0.12,NO
0.01,YES
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.01,YES
0.02,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.02,YES
0.0,NO
0.01,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.02,NO
0.0,YES
0.0,NO
0.09,NO
0.0,NO
0.0,NO
0.04,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.01,NO
0.02,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.54,YES
0.72,YES
0.87,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,NO
0.0,NO
0.0,NO
0.96,YES
0.99,YES
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.71,YES
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.87,YES
0.0,NO
0.91,YES
0.0,NO
0.87,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.09,NO
0.0,NO
0.0,NO
0.08,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.68,YES
0.3,YES
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.93,YES
0.48,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,NO
0.0,NO
0.0,NO
0.92,YES
0.0,NO
0.65,YES
0.0,NO
0.68,YES
0.02,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.91,YES
0.0,NO
0.93,YES
0.1,NO
0.1,NO
0.1,NO
0.0,NO
0.0,NO
0.28,NO
0.0,NO
0.3,NO
0.28,NO
0.92,YES
0.92,YES
0.92,YES
0.93,YES
0.0,NO
0.92,YES
0.0,NO
0.0,YES
0.0,YES
0.06,NO
0.04,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.01,NO
0.01,NO
0.04,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.04,NO
0.92,YES
0.0,NO
0.96,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.94,YES
0.94,YES
0.94,YES
0.96,YES
0.01,NO
0.94,YES
0.0,NO
