LOWERTRACED_MAX_SINGLE_VSM_RFUNDER,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.9,YES
0.96,YES
0.81,YES
0.99,YES
0.01,NO
0.99,YES
0.05,NO
0.12,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.07,NO
0.0,NO
0.05,NO
0.99,YES
0.04,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.9,YES
0.99,YES
0.99,YES
0.99,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.0,NO
0.96,YES
0.96,YES
0.96,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.69,YES
0.0,YES
0.02,YES
0.99,YES
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.96,YES
0.0,NO
1.0,YES
0.03,NO
0.0,NO
0.98,YES
0.01,NO
0.0,NO
0.9,YES
0.04,NO
0.0,NO
0.92,YES
0.01,NO
0.96,YES
0.07,NO
0.29,NO
0.29,NO
0.28,NO
0.03,NO
0.02,NO
0.0,NO
0.06,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.42,NO
0.01,NO
0.98,YES
0.05,NO
0.99,YES
0.0,NO
0.0,NO
0.51,YES
0.99,YES
1.0,YES
0.65,YES
0.0,NO
0.0,NO
0.54,YES
0.14,NO
0.53,YES
0.13,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.0,NO
0.99,YES
0.0,NO
1.0,YES
0.14,NO
0.16,NO
0.13,NO
0.12,NO
0.51,YES
0.15,NO
0.7,YES
0.01,NO
0.01,NO
0.98,YES
0.0,NO
0.0,NO
0.9,YES
0.03,NO
0.02,NO
0.94,YES
0.0,NO
0.81,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.03,NO
0.01,NO
0.08,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.06,NO
0.01,NO
0.93,YES
0.06,NO
0.96,YES
0.0,NO
0.0,NO
0.0,YES
1.0,YES
1.0,YES
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.99,YES
0.95,YES
0.42,NO
0.0,NO
0.0,NO
0.0,NO
0.85,YES
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.02,NO
1.0,YES
0.0,NO
0.85,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.02,YES
0.0,YES
0.96,YES
0.0,NO
0.0,NO
0.92,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.9,YES
1.0,YES
1.0,YES
0.85,YES
0.0,NO
0.0,NO
0.98,YES
0.06,NO
0.99,YES
0.06,NO
0.0,NO
0.02,NO
0.17,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.09,NO
0.06,NO
0.08,NO
0.06,NO
0.98,YES
0.09,NO
1.0,YES
0.0,NO
0.0,NO
0.69,YES
0.0,YES
0.01,YES
0.96,YES
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.02,YES
0.03,NO
0.0,YES
0.01,NO
0.0,NO
0.07,NO
0.0,NO
0.98,YES
0.01,NO
0.98,YES
0.0,NO
0.0,NO
0.96,YES
0.0,YES
0.0,YES
0.99,YES
0.0,NO
0.0,NO
0.69,YES
0.0,NO
0.98,YES
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.04,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.99,YES
0.0,NO
0.9,YES
0.0,NO
0.0,NO
0.0,YES
0.99,YES
0.99,YES
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.99,YES
0.01,NO
0.98,YES
0.0,NO
0.98,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.03,NO
0.01,YES
0.0,NO
0.0,NO
0.0,YES
0.95,YES
0.97,YES
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.04,NO
0.01,YES
0.0,NO
0.15,NO
0.0,NO
0.0,NO
0.04,NO
0.98,YES
0.03,NO
0.96,YES
0.0,NO
0.95,YES
0.03,NO
0.0,NO
0.02,NO
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.95,YES
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.07,NO
0.0,NO
0.0,NO
0.98,YES
0.97,YES
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.94,YES
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.93,YES
0.0,NO
0.95,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.93,YES
0.93,YES
0.0,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.05,NO
0.02,NO
0.0,NO
0.94,YES
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.92,YES
0.31,YES
0.15,NO
0.0,NO
0.0,NO
0.0,NO
0.94,YES
0.85,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.01,NO
0.94,YES
0.0,NO
0.9,YES
0.0,NO
0.92,YES
0.02,NO
0.02,NO
0.01,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.06,NO
0.94,YES
0.0,NO
0.94,YES
0.21,NO
0.21,NO
0.21,NO
0.02,NO
0.0,NO
0.35,NO
0.02,NO
0.34,NO
0.29,NO
0.94,YES
0.94,YES
0.94,YES
0.94,YES
0.01,NO
0.94,YES
0.01,NO
0.95,YES
0.64,YES
0.08,NO
0.07,NO
0.0,NO
0.0,NO
0.97,YES
0.94,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.04,NO
0.04,NO
0.97,YES
0.0,NO
0.95,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.03,NO
0.0,NO
0.03,NO
0.97,YES
0.0,NO
0.96,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.97,YES
0.97,YES
0.97,YES
0.96,YES
0.01,NO
0.97,YES
0.0,NO
