TraceType,IndirectAggregation,ScalingType,NLP,Technique,AUC,Credibility,LagGlobal,MAP,AUC_Rank,Credibility_Rank,LagGlobal_Rank,MAP_Rank
ALLTRACED,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,SUM,MULTI,LSA,ALLTRACED_SUM_MULTI_LSA,1.0,0.8462585034013606,0.0,1.0,30,27,36,30
ALLTRACED,SUM,SINGLE,LSA,ALLTRACED_SUM_SINGLE_LSA,1.0,0.8462585034013606,0.0,1.0,30,27,36,30
ALLTRACED,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,1.0,0.2761904761904762,0.0,1.0,30,36,36,30
ALLTRACED,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,1.0,0.2761904761904762,0.0,1.0,30,36,36,30
ALLTRACED,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,SUM,RAW,LSA,ALLTRACED_SUM_RAW_LSA,1.0,0.8462585034013606,0.0,1.0,30,27,36,30
ALLTRACED,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,MEDIAN,RAW,LSA,ALLTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.313492063492064,0.3,36,33,6,36
ALLTRACED,MEDIAN,SINGLE,LSA,ALLTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.313492063492064,0.3,36,33,6,36
ALLTRACED,MEDIAN,SINGLE,VSM,ALLTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.313492063492064,0.3,36,33,6,36
ALLTRACED,MEDIAN,MULTI,LSA,ALLTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.313492063492064,0.3,36,33,6,36
ALLTRACED,MEDIAN,MULTI,VSM,ALLTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.313492063492064,0.3,36,33,6,36
ALLTRACED,MEDIAN,RAW,VSM,ALLTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.313492063492064,0.3,36,33,6,36
UPPERTRACED,MAX,SINGLE,LSA,UPPERTRACED_MAX_SINGLE_LSA,0.9822845804988664,0.7700382891069913,0.3888888888888889,0.9657013842322536,2,6,36,2
UPPERTRACED,MAX,SINGLE,VSM,UPPERTRACED_MAX_SINGLE_VSM,0.9822845804988664,0.7618126190476191,0.3888888888888889,0.9657013842322536,2,8,36,2
UPPERTRACED,MAX,MULTI,VSM,UPPERTRACED_MAX_MULTI_VSM,0.9633071482561278,0.6960851190476189,0.6071428571428571,0.9279075337387812,6,22,34,6
UPPERTRACED,MAX,MULTI,LSA,UPPERTRACED_MAX_MULTI_LSA,0.9633071482561278,0.7284780604149925,0.6071428571428571,0.9279075337387812,6,10,34,6
UPPERTRACED,MAX,RAW,LSA,UPPERTRACED_MAX_RAW_LSA,0.9633071482561278,0.7284572458791209,0.6071428571428571,0.9279075337387812,6,11,34,6
UPPERTRACED,MAX,RAW,VSM,UPPERTRACED_MAX_RAW_VSM,0.9633071482561278,0.6937182142857142,0.6071428571428571,0.9279075337387812,6,23,34,6
UPPERTRACED,SUM,SINGLE,LSA,UPPERTRACED_SUM_SINGLE_LSA,0.9411510636000432,0.7462845847641587,0.8611111111111112,0.8534525241735065,8,9,30,8
UPPERTRACED,SUM,SINGLE,VSM,UPPERTRACED_SUM_SINGLE_VSM,0.9411510636000432,-0.07343511904761905,0.8611111111111112,0.8534525241735065,8,35,30,8
UPPERTRACED,SUM,MULTI,VSM,UPPERTRACED_SUM_MULTI_VSM,0.8952529424468199,-0.0954829761904762,1.7103174603174602,0.7759705138628438,10,36,26,10
UPPERTRACED,SUM,MULTI,LSA,UPPERTRACED_SUM_MULTI_LSA,0.8952529424468199,0.7191517968629223,1.7103174603174602,0.7759705138628438,10,12,26,10
UPPERTRACED,SUM,RAW,LSA,UPPERTRACED_SUM_RAW_LSA,0.8911598369506533,0.7154200050276845,1.7023809523809523,0.7695319616274482,12,14,28,12
UPPERTRACED,SUM,RAW,VSM,UPPERTRACED_SUM_RAW_VSM,0.8911598369506533,0.5445865476190477,1.7023809523809523,0.7695319616274482,12,28,28,12
UPPERTRACED,RFUNDER,SINGLE,VSM,UPPERTRACED_RFUNDER_SINGLE_VSM,0.8089569160997732,0.7690476190476191,2.2103174603174605,0.5476289682539682,13,7,24,14
UPPERTRACED,RFUNDER,SINGLE,LSA,UPPERTRACED_RFUNDER_SINGLE_LSA,0.7998866213151927,0.7928571428571428,2.3095238095238093,0.5589440167284478,14,2,19,13
UPPERTRACED,RFSMOTE,SINGLE,VSM,UPPERTRACED_RFSMOTE_SINGLE_VSM,0.7517006802721088,0.6761904761904762,2.2341269841269837,0.4690572585309427,15,24,23,19
UPPERTRACED,RFSMOTE,SINGLE,LSA,UPPERTRACED_RFSMOTE_SINGLE_LSA,0.7312925170068025,0.6619047619047619,2.2777777777777777,0.45128805620608897,16,26,22,20
UPPERTRACED,RFNONE,MULTI,VSM,UPPERTRACED_RFNONE_MULTI_VSM,0.6862244897959183,0.7178571428571429,2.3293650793650795,0.43707658321060383,17,13,7,21
UPPERTRACED,RFNONE,RAW,VSM,UPPERTRACED_RFNONE_RAW_VSM,0.6842403628117915,0.7833333333333333,2.3293650793650795,0.4891534391534391,18,5,7,18
UPPERTRACED,RFNONE,RAW,LSA,UPPERTRACED_RFNONE_RAW_LSA,0.6825396825396824,0.7904761904761904,2.3174603174603177,0.5013468013468013,19,3,9,17
UPPERTRACED,RFSMOTE,RAW,LSA,UPPERTRACED_RFSMOTE_RAW_LSA,0.6802721088435374,0.6714285714285714,2.3293650793650795,0.4181783824640967,20,25,7,22
UPPERTRACED,RFNONE,SINGLE,VSM,UPPERTRACED_RFNONE_SINGLE_VSM,0.6706349206349207,0.8023809523809524,2.3095238095238093,0.5388888888888889,21,1,19,15
UPPERTRACED,RFNONE,SINGLE,LSA,UPPERTRACED_RFNONE_SINGLE_LSA,0.6499433106575964,0.7892857142857143,2.313492063492064,0.5071943929086786,22,4,16,16
UPPERTRACED,RFSMOTE,RAW,VSM,UPPERTRACED_RFSMOTE_RAW_VSM,0.6448412698412698,0.5678571428571428,2.281746031746032,0.3802741296643736,23,27,21,23
UPPERTRACED,RFUNDER,MULTI,LSA,UPPERTRACED_RFUNDER_MULTI_LSA,0.6230158730158729,0.5023809523809524,2.2896825396825395,0.36349331926863576,24,29,20,24
UPPERTRACED,RFNONE,MULTI,LSA,UPPERTRACED_RFNONE_MULTI_LSA,0.5833333333333333,0.7023809523809523,2.3174603174603177,0.35915492957746475,25,15,9,25
UPPERTRACED,RFSMOTE,MULTI,LSA,UPPERTRACED_RFSMOTE_MULTI_LSA,0.5731292517006803,0.4928571428571429,2.333333333333333,0.33539766970618035,26,30,3,26
UPPERTRACED,RFSMOTE,MULTI,VSM,UPPERTRACED_RFSMOTE_MULTI_VSM,0.5700113378684808,0.4773809523809524,2.333333333333333,0.33350119517632204,27,31,3,27
UPPERTRACED,RFUNDER,RAW,LSA,UPPERTRACED_RFUNDER_RAW_LSA,0.5620748299319728,0.4345238095238095,2.3293650793650795,0.32892482330263434,28,32,7,28
UPPERTRACED,RFUNDER,MULTI,VSM,UPPERTRACED_RFUNDER_MULTI_VSM,0.5561224489795917,0.3976190476190476,2.333333333333333,0.3256909303230829,29,34,3,29
UPPERTRACED,RFUNDER,RAW,VSM,UPPERTRACED_RFUNDER_RAW_VSM,0.5396825396825397,0.4047619047619048,2.3095238095238093,0.3177938808373591,30,33,19,30
UPPERTRACED,MEDIAN,MULTI,LSA,UPPERTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.313492063492064,0.3,36,21,16,36
UPPERTRACED,MEDIAN,RAW,LSA,UPPERTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.313492063492064,0.3,36,21,16,36
UPPERTRACED,MEDIAN,RAW,VSM,UPPERTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.313492063492064,0.3,36,21,16,36
UPPERTRACED,MEDIAN,SINGLE,VSM,UPPERTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.313492063492064,0.3,36,21,16,36
UPPERTRACED,MEDIAN,MULTI,VSM,UPPERTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.313492063492064,0.3,36,21,16,36
UPPERTRACED,MEDIAN,SINGLE,LSA,UPPERTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.313492063492064,0.3,36,21,16,36
NONETRACED,MAX,SINGLE,VSM,NONETRACED_MAX_SINGLE_VSM,0.9154991361624014,0.6839835714285715,1.8253968253968251,0.8518149488599231,2,20,36,2
NONETRACED,MAX,SINGLE,LSA,NONETRACED_MAX_SINGLE_LSA,0.9154991361624014,0.7206195327292928,1.8253968253968251,0.8518149488599231,2,10,36,2
NONETRACED,MAX,MULTI,LSA,NONETRACED_MAX_MULTI_LSA,0.8470535039412591,0.6839238004841253,2.2857142857142856,0.7520098970363776,4,21,32,4
NONETRACED,MAX,MULTI,VSM,NONETRACED_MAX_MULTI_VSM,0.8470535039412591,0.6640365476190476,2.2857142857142856,0.7520098970363776,4,26,32,4
NONETRACED,MAX,RAW,VSM,NONETRACED_MAX_RAW_VSM,0.8464258719360761,0.6887360714285714,2.2896825396825395,0.7509207443292613,6,19,30,6
NONETRACED,MAX,RAW,LSA,NONETRACED_MAX_RAW_LSA,0.8464258719360761,0.6795310820211219,2.2896825396825395,0.7509207443292613,6,24,30,6
NONETRACED,SUM,SINGLE,VSM,NONETRACED_SUM_SINGLE_VSM,0.8170688910484829,-1.0051415476190475,2.1865079365079363,0.6825021738311771,8,36,34,8
NONETRACED,SUM,SINGLE,LSA,NONETRACED_SUM_SINGLE_LSA,0.8170688910484829,0.6828828241954189,2.1865079365079363,0.6825021738311771,8,22,34,8
NONETRACED,SUM,MULTI,VSM,NONETRACED_SUM_MULTI_VSM,0.7202009772162834,-0.8061657142857143,2.3293650793650795,0.5766025354493128,10,35,15,10
NONETRACED,SUM,MULTI,LSA,NONETRACED_SUM_MULTI_LSA,0.7202009772162834,0.6252690499075638,2.3293650793650795,0.5766025354493128,10,30,15,10
NONETRACED,SUM,RAW,VSM,NONETRACED_SUM_RAW_VSM,0.7102870910268871,0.5315005952380952,2.3293650793650795,0.5674328708529183,12,34,15,12
NONETRACED,SUM,RAW,LSA,NONETRACED_SUM_RAW_LSA,0.7102870910268871,0.6138307826707221,2.3293650793650795,0.5674328708529183,12,31,15,12
NONETRACED,RFUNDER,MULTI,LSA,NONETRACED_RFUNDER_MULTI_LSA,0.6320861678004535,0.7738095238095238,2.3174603174603177,0.465954415954416,13,2,22,14
NONETRACED,RFUNDER,SINGLE,LSA,NONETRACED_RFUNDER_SINGLE_LSA,0.6309523809523809,0.7785714285714286,2.305555555555556,0.4833333333333334,14,1,28,13
NONETRACED,MEDIAN,SINGLE,LSA,NONETRACED_MEDIAN_SINGLE_LSA,0.6141952812871181,0.6506830720092915,2.333333333333333,0.4521715088313009,16,29,4,16
NONETRACED,MEDIAN,SINGLE,VSM,NONETRACED_MEDIAN_SINGLE_VSM,0.6141952812871181,0.6811040476190476,2.333333333333333,0.4521715088313009,16,23,4,16
NONETRACED,RFNONE,MULTI,LSA,NONETRACED_RFNONE_MULTI_LSA,0.5969387755102041,0.7547619047619047,2.3293650793650795,0.4235969387755102,17,3,15,17
NONETRACED,MEDIAN,MULTI,LSA,NONETRACED_MEDIAN_MULTI_LSA,0.5900415721844293,0.6074276415203999,2.3293650793650795,0.4177388737189421,19,32,15,20
NONETRACED,MEDIAN,MULTI,VSM,NONETRACED_MEDIAN_MULTI_VSM,0.5900415721844293,0.6725257142857143,2.3293650793650795,0.4177388737189421,19,25,15,20
NONETRACED,RFUNDER,MULTI,VSM,NONETRACED_RFUNDER_MULTI_VSM,0.5875850340136055,0.7464285714285714,2.313492063492064,0.4032581453634085,20,5,27,23
NONETRACED,MEDIAN,RAW,LSA,NONETRACED_MEDIAN_RAW_LSA,0.5857325072886298,0.5991013824884792,2.333333333333333,0.4123773324591337,22,33,4,22
NONETRACED,MEDIAN,RAW,VSM,NONETRACED_MEDIAN_RAW_VSM,0.5857325072886298,0.6916242857142857,2.333333333333333,0.4123773324591337,22,18,4,22
NONETRACED,RFUNDER,SINGLE,VSM,NONETRACED_RFUNDER_SINGLE_VSM,0.5853174603174603,0.7511904761904762,2.3253968253968256,0.4194444444444444,23,4,20,18
NONETRACED,RFSMOTE,SINGLE,LSA,NONETRACED_RFSMOTE_SINGLE_LSA,0.5850340136054422,0.7380952380952381,2.3253968253968256,0.38673469387755105,24,6,20,24
NONETRACED,RFSMOTE,SINGLE,VSM,NONETRACED_RFSMOTE_SINGLE_VSM,0.5751133786848073,0.7226190476190476,2.3253968253968256,0.3643323996265173,25,8,20,25
NONETRACED,RFNONE,SINGLE,VSM,NONETRACED_RFNONE_SINGLE_VSM,0.5436507936507936,0.7261904761904762,2.3253968253968256,0.3611111111111111,26,7,20,26
NONETRACED,RFNONE,MULTI,VSM,NONETRACED_RFNONE_MULTI_VSM,0.5357142857142857,0.7214285714285714,2.3293650793650795,0.35,27,9,15,27
NONETRACED,RFSMOTE,RAW,LSA,NONETRACED_RFSMOTE_RAW_LSA,0.530328798185941,0.705952380952381,2.321428571428572,0.32381920247773904,28,12,21,29
NONETRACED,RFSMOTE,RAW,VSM,NONETRACED_RFSMOTE_RAW_VSM,0.5289115646258504,0.7023809523809523,2.3253968253968256,0.3211180124223602,29,13,20,30
NONETRACED,RFNONE,SINGLE,LSA,NONETRACED_RFNONE_SINGLE_LSA,0.5198412698412699,0.7119047619047619,2.3293650793650795,0.3277777777777777,30,11,15,28
NONETRACED,RFSMOTE,MULTI,LSA,NONETRACED_RFSMOTE_MULTI_LSA,0.5099206349206349,0.6583333333333333,2.3293650793650795,0.30462962962962964,31,27,15,31
NONETRACED,RFSMOTE,MULTI,VSM,NONETRACED_RFSMOTE_MULTI_VSM,0.5048185941043084,0.655952380952381,2.3293650793650795,0.30213735659280216,32,28,15,32
NONETRACED,RFNONE,RAW,LSA,NONETRACED_RFNONE_RAW_LSA,0.5,0.7,2.313492063492064,0.3,35,16,27,36
NONETRACED,RFNONE,RAW,VSM,NONETRACED_RFNONE_RAW_VSM,0.5,0.7,2.313492063492064,0.3,35,16,27,36
NONETRACED,RFUNDER,RAW,VSM,NONETRACED_RFUNDER_RAW_VSM,0.5,0.7,2.313492063492064,0.3,35,16,27,36
NONETRACED,RFUNDER,RAW,LSA,NONETRACED_RFUNDER_RAW_LSA,0.4991496598639456,0.6988095238095238,2.313492063492064,0.3,36,17,27,36
LOWERTRACED,MAX,SINGLE,LSA,LOWERTRACED_MAX_SINGLE_LSA,0.9829392074290032,0.7360352591740922,0.3412698412698413,0.9658712388741206,2,14,36,2
LOWERTRACED,MAX,SINGLE,VSM,LOWERTRACED_MAX_SINGLE_VSM,0.9829392074290032,0.7334190476190476,0.3412698412698413,0.9658712388741206,2,15,36,2
LOWERTRACED,MAX,MULTI,VSM,LOWERTRACED_MAX_MULTI_VSM,0.9596898283122772,0.6888740476190476,1.6785714285714286,0.9390053816102584,6,32,28,6
LOWERTRACED,MAX,RAW,LSA,LOWERTRACED_MAX_RAW_LSA,0.9596898283122772,0.6975517725517726,1.6785714285714286,0.9390053816102584,6,30,28,6
LOWERTRACED,MAX,MULTI,LSA,LOWERTRACED_MAX_MULTI_LSA,0.9596898283122772,0.6975404289706069,1.6785714285714286,0.9390053816102584,6,31,28,6
LOWERTRACED,MAX,RAW,VSM,LOWERTRACED_MAX_RAW_VSM,0.9596898283122772,0.6839242857142858,1.6785714285714286,0.9390053816102584,6,33,28,6
LOWERTRACED,SUM,SINGLE,LSA,LOWERTRACED_SUM_SINGLE_LSA,0.9523607061872368,0.7518093707016857,0.4801587301587302,0.8891888239466296,8,13,34,8
LOWERTRACED,SUM,SINGLE,VSM,LOWERTRACED_SUM_SINGLE_VSM,0.9523607061872368,-0.26681154761904763,0.4801587301587302,0.8891888239466296,8,36,34,8
LOWERTRACED,SUM,MULTI,LSA,LOWERTRACED_SUM_MULTI_LSA,0.92792355037253,0.7239268164553725,0.9325396825396826,0.8609532173098976,10,16,30,10
LOWERTRACED,SUM,MULTI,VSM,LOWERTRACED_SUM_MULTI_VSM,0.92792355037253,-0.13136285714285714,0.9325396825396826,0.8609532173098976,10,35,30,10
LOWERTRACED,SUM,RAW,LSA,LOWERTRACED_SUM_RAW_LSA,0.9170378468847856,0.7217150226352795,0.7896825396825397,0.8403418016667935,12,17,32,13
LOWERTRACED,SUM,RAW,VSM,LOWERTRACED_SUM_RAW_VSM,0.9170378468847856,0.4334619047619048,0.7896825396825397,0.8403418016667935,12,34,32,13
LOWERTRACED,RFUNDER,SINGLE,LSA,LOWERTRACED_RFUNDER_SINGLE_LSA,0.8948412698412699,0.9321428571428572,2.313492063492064,0.8342636895268475,13,2,17,14
LOWERTRACED,RFNONE,SINGLE,LSA,LOWERTRACED_RFNONE_SINGLE_LSA,0.8888888888888888,0.9333333333333332,2.3015873015873014,0.8444444444444444,14,1,21,11
LOWERTRACED,RFUNDER,SINGLE,VSM,LOWERTRACED_RFUNDER_SINGLE_VSM,0.8829365079365079,0.925,2.313492063492064,0.8176245210727969,16,4,17,16
LOWERTRACED,RFSMOTE,SINGLE,LSA,LOWERTRACED_RFSMOTE_SINGLE_LSA,0.8829365079365079,0.925,2.3015873015873014,0.8176245210727969,16,4,21,16
LOWERTRACED,RFSMOTE,SINGLE,VSM,LOWERTRACED_RFSMOTE_SINGLE_VSM,0.8684807256235827,0.9047619047619048,2.2896825396825395,0.7595959595959596,17,9,23,21
LOWERTRACED,RFUNDER,MULTI,LSA,LOWERTRACED_RFUNDER_MULTI_LSA,0.8681972789115645,0.9059523809523811,2.3015873015873014,0.7632159315339039,18,8,21,20
LOWERTRACED,RFNONE,SINGLE,VSM,LOWERTRACED_RFNONE_SINGLE_VSM,0.8650793650793651,0.919047619047619,2.281746031746032,0.8111111111111111,19,5,24,17
LOWERTRACED,RFUNDER,MULTI,VSM,LOWERTRACED_RFUNDER_MULTI_VSM,0.8622448979591837,0.9071428571428573,2.293650793650793,0.7698529411764705,20,7,22,19
LOWERTRACED,RFSMOTE,MULTI,LSA,LOWERTRACED_RFSMOTE_MULTI_LSA,0.8585600907029479,0.9083333333333332,2.3293650793650795,0.7762413512413512,21,6,2,18
LOWERTRACED,RFSMOTE,MULTI,VSM,LOWERTRACED_RFSMOTE_MULTI_VSM,0.8367346938775511,0.8857142857142857,2.3174603174603177,0.7159663865546219,22,12,4,24
LOWERTRACED,RFNONE,MULTI,VSM,LOWERTRACED_RFNONE_MULTI_VSM,0.8268140589569158,0.8892857142857142,2.3015873015873014,0.7319788064201471,23,10,21,22
LOWERTRACED,RFNONE,MULTI,LSA,LOWERTRACED_RFNONE_MULTI_LSA,0.8248299319727891,0.8880952380952379,2.3174603174603177,0.7292134831460674,24,11,4,23
LOWERTRACED,RFSMOTE,RAW,LSA,LOWERTRACED_RFSMOTE_RAW_LSA,0.5277777777777778,0.7166666666666667,2.3293650793650795,0.3388888888888889,25,18,2,25
LOWERTRACED,RFSMOTE,RAW,VSM,LOWERTRACED_RFSMOTE_RAW_VSM,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,RFUNDER,RAW,LSA,LOWERTRACED_RFUNDER_RAW_LSA,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,RFNONE,RAW,LSA,LOWERTRACED_RFNONE_RAW_LSA,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,MEDIAN,SINGLE,VSM,LOWERTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,RFUNDER,RAW,VSM,LOWERTRACED_RFUNDER_RAW_VSM,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,RFNONE,RAW,VSM,LOWERTRACED_RFNONE_RAW_VSM,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,MEDIAN,RAW,VSM,LOWERTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,MEDIAN,RAW,LSA,LOWERTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,MEDIAN,SINGLE,LSA,LOWERTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,MEDIAN,MULTI,VSM,LOWERTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.313492063492064,0.3,36,29,17,36
LOWERTRACED,MEDIAN,MULTI,LSA,LOWERTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.313492063492064,0.3,36,29,17,36
DIRECT,NA,NA,LSA,DIRECT_NA_NA_LSA,0.7782366915019977,0.6639700160703713,2.293650793650793,0.6795107654487806,2,2,2,2
DIRECT,NA,NA,VSM,DIRECT_NA_NA_VSM,0.7782366915019977,0.6757951190476189,2.293650793650793,0.6795107654487806,2,1,2,2
Random,,,,Random,0.4731400496706619,0.4885742630385487,2.3293650793650795,0.2865718993279801,1,1,1,1
